Date,open,high,low,close,adj_close,volume
2008-10-06,40.000000,40.000000,15.800000,16.775000,14.346820,23501600
2008-10-07,16.000000,19.000000,13.925000,15.025000,12.850134,9113400
2008-10-08,14.000000,14.600000,12.550000,13.250000,11.332065,2464384
2008-10-10,12.450000,12.450000,10.825000,11.600000,9.920902,1207928
2008-10-13,12.150000,13.300000,11.650000,12.325000,10.540957,898692
2008-10-14,12.825000,13.000000,10.750000,11.075000,9.471895,673088
2008-10-15,10.650000,12.775000,10.025000,12.175000,10.412671,1126836
2008-10-16,11.025000,14.625000,10.800000,13.250000,11.332065,1944000
2008-10-17,14.025000,14.350000,10.975000,10.975000,9.386371,1806200
2008-10-20,11.250000,11.625000,9.850000,10.875000,9.300846,722818
2008-10-21,11.400000,11.475000,10.550000,10.850000,9.279464,177410
2008-10-22,10.925000,11.100000,10.000000,10.150000,8.680789,328698
2008-10-23,9.150000,10.125000,8.150000,9.500000,8.124876,108936
2008-10-24,8.625000,9.950000,8.025000,8.250000,7.055813,122200
2008-10-27,7.625000,8.475000,6.750000,7.300000,6.243326,141400
2008-10-29,7.750000,9.550000,7.750000,8.300000,7.098577,208876
2008-10-31,8.600000,9.300000,8.350000,8.625000,7.376533,141526
2008-11-03,8.900000,9.000000,8.375000,8.625000,7.376533,109362
2008-11-04,8.500000,9.750000,8.250000,9.075000,7.761395,227414
2008-11-05,9.150000,9.725000,7.450000,9.050000,7.740015,233216
2008-11-06,8.575000,9.400000,8.550000,9.000000,7.697251,81298
2008-11-07,8.800000,10.800000,8.800000,10.350000,8.851839,490888
2008-11-10,10.600000,11.175000,9.825000,9.950000,8.509739,304862
2008-11-11,10.025000,10.025000,9.125000,9.200000,7.868302,71050
2008-11-12,9.200000,9.425000,8.775000,9.225000,7.889682,137950
2008-11-14,9.500000,9.600000,9.075000,9.150000,7.825539,48202
2008-11-17,9.100000,9.225000,8.650000,8.875000,7.590346,26806
2008-11-18,8.850000,9.000000,8.350000,8.625000,7.376533,26082
2008-11-19,8.575000,8.825000,8.250000,8.325000,7.119956,33194
2008-11-20,8.000000,8.500000,8.000000,8.125000,6.948908,19600
2008-11-21,7.900000,8.175000,7.650000,7.975000,6.820620,21100
2008-11-24,7.875000,8.775000,7.875000,8.275000,7.077195,34138
2008-11-25,8.400000,9.950000,8.125000,8.525000,7.291007,252226
2008-11-26,8.625000,8.825000,8.275000,8.400000,7.184101,22260
2008-11-27,null,null,null,null,null,null
2008-11-28,8.125000,8.675000,8.125000,8.300000,7.098577,7086
2008-12-01,7.525000,8.575000,7.525000,8.150000,6.970288,30842
2008-12-02,8.150000,8.150000,7.550000,7.850000,6.713713,27134
2008-12-03,8.000000,8.225000,7.850000,7.950000,6.799239,12046
2008-12-04,7.375000,8.500000,7.375000,7.975000,6.820620,18264
2008-12-05,8.300000,8.750000,7.825000,8.100000,6.927526,40104
2008-12-08,9.000000,9.000000,8.000000,8.175000,6.991670,23222
2008-12-10,8.250000,8.975000,8.025000,8.700000,7.440677,68424
2008-12-11,8.375000,9.400000,8.250000,9.175000,7.846920,114544
2008-12-12,8.625000,9.225000,8.025000,8.400000,7.184101,74766
2008-12-15,8.825000,8.825000,8.375000,8.525000,7.291007,37698
2008-12-16,8.725000,9.000000,8.525000,8.775000,7.504820,31000
2008-12-17,8.975000,9.250000,8.350000,8.450000,7.226863,52140
2008-12-18,8.250000,8.500000,8.125000,8.325000,7.119956,21636
2008-12-19,8.475000,8.725000,8.125000,8.175000,6.991670,75652
2008-12-22,8.450000,8.600000,8.175000,8.275000,7.077195,26384
2008-12-23,8.125000,8.275000,8.000000,8.125000,6.948908,22350
2008-12-24,8.175000,8.175000,7.750000,8.000000,6.842001,34636
2008-12-26,8.150000,8.250000,7.750000,7.825000,6.692332,10050
2008-12-29,7.750000,8.150000,7.550000,7.850000,6.713713,28012
2008-12-30,8.000000,8.150000,7.450000,7.625000,6.521282,107000
2008-12-31,7.925000,8.000000,7.550000,7.825000,6.692332,32658
2009-01-02,7.850000,9.850000,7.700000,9.100000,7.782777,419832
2009-01-05,9.450000,9.750000,9.000000,9.125000,7.804158,73986
2009-01-06,8.850000,9.150000,8.775000,8.975000,7.675871,33086
2009-01-07,8.750000,8.925000,7.575000,8.000000,6.842001,58126
2009-01-09,7.550000,7.725000,6.600000,7.525000,6.435757,71160
2009-01-12,7.500000,7.925000,7.200000,7.350000,6.286089,25708
2009-01-13,7.275000,7.525000,7.100000,7.300000,6.243326,16718
2009-01-14,7.125000,7.750000,7.125000,7.525000,6.435757,15904
2009-01-15,7.375000,7.500000,7.000000,7.325000,6.264707,11726
2009-01-16,7.400000,7.500000,7.175000,7.300000,6.243326,19440
2009-01-19,7.250000,7.450000,7.150000,7.250000,6.200564,7536
2009-01-20,7.500000,7.500000,7.100000,7.425000,6.350233,18918
2009-01-21,7.250000,7.475000,7.150000,7.325000,6.264707,20000
2009-01-22,7.850000,7.850000,7.075000,7.225000,6.179182,18506
2009-01-23,7.225000,7.225000,6.875000,7.125000,6.093657,40752
2009-01-27,7.025000,7.200000,7.000000,7.200000,6.157801,10400
2009-01-28,7.075000,7.400000,6.925000,7.100000,6.072276,19490
2009-01-29,7.250000,7.500000,7.000000,7.300000,6.243326,14600
2009-01-30,7.075000,7.850000,7.050000,7.425000,6.350233,103630
2009-02-02,7.750000,7.750000,7.250000,7.425000,6.350233,24576
2009-02-03,7.625000,8.225000,7.350000,8.025000,6.863382,41320
2009-02-04,8.050000,8.425000,7.625000,7.800000,6.670951,34098
2009-02-05,8.000000,8.075000,7.775000,7.950000,6.799239,8178
2009-02-06,7.750000,8.225000,7.750000,7.850000,6.713713,38064
2009-02-09,7.800000,8.400000,7.800000,8.325000,7.119956,24126
2009-02-10,8.375000,9.225000,8.325000,8.500000,7.269626,87666
2009-02-11,8.850000,8.975000,8.125000,8.875000,7.590346,44522
2009-02-12,9.000000,9.225000,8.675000,8.875000,7.590346,35064
2009-02-13,10.000000,10.000000,8.400000,8.700000,7.440677,17236
