Date,open,high,low,close,adj_close,volume
2002-07-01,2.503480,2.572390,2.448630,2.500660,-0.001865,588710
2002-07-02,2.544260,2.552700,2.489410,2.520350,-0.001880,553700
2002-07-03,2.517540,2.545670,2.504880,2.520350,-0.001880,534218
2002-07-04,2.531610,2.572390,2.531610,2.534420,-0.001890,530052
2002-07-05,2.548480,2.548480,2.518950,2.528790,-0.001886,531004
2002-07-08,2.559740,2.669440,2.504880,2.639900,-0.001969,578514
2002-07-09,2.630060,2.644120,2.554110,2.570990,-0.001917,558371
2002-07-10,2.587860,2.587860,2.545670,2.568170,-0.001915,515824
2002-07-11,2.659590,2.659590,2.518950,2.525980,-0.001884,527584
2002-07-12,2.554110,2.575210,2.531610,2.545670,-0.001899,527335
2002-07-15,2.517540,2.530200,2.483790,2.493630,-0.001860,530819
2002-07-16,2.503480,2.534420,2.503480,2.516140,-0.001877,522636
2002-07-17,2.517540,2.517540,2.489410,2.496450,-0.001862,520872
2002-07-18,2.563950,2.563950,2.504880,2.525980,-0.001884,522060
2002-07-19,2.545670,2.545670,2.490820,2.516140,-0.001877,556899
2002-07-22,2.475350,2.527390,2.440190,2.457060,-0.001832,522685
2002-07-23,2.390960,2.502070,2.390960,2.457060,-0.001832,517716
2002-07-24,2.433160,2.465500,2.392370,2.392370,-0.001784,547358
2002-07-25,2.461280,2.499260,2.376900,2.414870,-0.001801,506588
2002-07-26,2.355800,2.355800,2.323450,2.340330,-0.001745,509226
2002-07-29,2.376900,2.376900,2.254540,2.282670,-0.001702,520510
2002-07-30,2.376900,2.376900,2.250320,2.257350,-0.001684,529703
2002-07-31,2.292510,2.292510,2.194060,2.236250,-0.001668,523930
2002-08-01,2.250320,2.313610,2.250320,2.262970,-0.001688,519472
2002-08-02,2.250320,2.250320,2.203900,2.240470,-0.001671,511914
2002-08-05,2.362830,2.362830,2.196870,2.236250,-0.001668,535157
2002-08-06,2.250320,2.250320,2.195470,2.205310,-0.001645,529205
2002-08-07,2.278450,2.278450,2.229220,2.246100,-0.001675,526688
2002-08-08,2.292510,2.292510,2.201090,2.212340,-0.001650,529341
2002-08-09,2.222190,2.243280,2.208120,2.229220,-0.001663,500701
2002-08-12,2.237660,2.248910,2.222190,2.239070,-0.001670,266778
2002-08-13,2.241880,2.248910,2.222190,2.230630,-0.001664,209663
2002-08-14,2.244690,2.244690,2.184210,2.208120,-0.001647,262889
2002-08-15,null,null,null,null,null,null
2002-08-16,2.202500,2.222190,2.160300,2.172960,-0.001621,283715
2002-08-19,2.222190,2.222190,2.153270,2.171560,-0.001620,273028
