Date,open,high,low,close,adj_close,volume
2000-01-03,18.111601,20.058599,18.111601,20.058599,11.530135,9386
2000-01-04,19.469900,20.194401,18.654900,19.651100,11.295896,8392
2000-01-05,19.469900,21.235800,19.469900,21.235800,12.206815,18552
2000-01-06,21.733900,22.458300,20.828300,21.281099,12.232855,12589
2000-01-07,21.281099,21.281099,20.149099,20.466101,11.764373,3644
2000-01-10,null,null,null,null,null,null
2000-01-11,19.741600,19.922701,19.017200,19.017200,10.931515,18662
2000-01-12,null,null,null,null,null,null
2000-01-13,20.194401,20.194401,19.017200,19.741600,11.347914,1546
2000-01-14,19.469900,19.832199,18.202101,18.519100,10.645197,1215
2000-01-17,18.337999,20.013300,18.337999,19.651100,11.295896,11264
2000-01-18,19.469900,19.469900,18.836000,19.017200,10.931515,7178
2000-01-19,19.922701,20.556601,19.107700,20.556601,11.816396,14245
2000-01-20,20.375500,21.733900,20.194401,21.009399,12.076676,15349
2000-01-21,20.828300,22.548901,20.828300,22.322500,12.831474,12920
2000-01-24,21.054701,24.133699,21.054701,24.133699,13.872596,38870
2000-01-25,25.537300,26.035400,23.997801,24.541201,14.106833,98942
2000-01-26,null,null,null,null,null,null
2000-01-27,null,null,null,null,null,null
2000-01-28,null,null,null,null,null,null
2000-01-31,30.970800,30.970800,30.970800,30.970800,17.802713,73765
2000-02-01,33.461102,33.461102,33.461102,33.461102,19.234192,148855
2000-02-02,36.177898,36.177898,36.177898,36.177898,20.795866,62501
2000-02-03,39.075699,39.075699,39.075699,39.075699,22.461588,219639
2000-02-04,42.200001,42.200001,42.200001,42.200001,24.257511,78072
2000-02-07,45.595901,45.595901,45.595901,45.595901,26.209555,73875
2000-02-08,49.263500,49.263500,49.263500,49.263500,28.317768,88231
2000-02-09,53.202801,53.202801,45.369499,47.905102,27.536930,1216018
2000-02-10,49.671001,51.753799,44.373402,51.753799,29.749250,930675
2000-02-11,54.334702,55.919498,48.901299,55.919498,32.143791,1167209
2000-02-14,58.862598,60.402100,51.482201,51.527401,29.619108,1047728
2000-02-15,null,null,null,null,null,null
2000-02-16,57.866501,60.130402,57.277901,60.130402,34.564308,1182227
2000-02-17,61.579399,64.975304,61.081299,64.975304,37.349270,853819
2000-02-18,70.182404,70.182404,70.182404,70.182404,40.342422,35005
2000-02-21,75.796997,75.796997,75.796997,75.796997,43.569817,33459
2000-02-22,81.864304,81.864304,81.864304,81.864304,47.057449,110868
2000-02-23,null,null,null,null,null,null
