Date,open,high,low,close,adj_close,volume
2002-07-01,5.763330,5.833330,5.696670,5.720000,1.307990,838110
2002-07-02,5.766670,5.820000,5.746670,5.790000,1.323997,688305
2002-07-03,5.793330,6.113330,5.793330,5.926670,1.355249,1731270
2002-07-04,5.993330,5.996670,5.883330,5.893330,1.347625,472860
2002-07-05,6.026670,6.026670,5.886670,5.910000,1.351437,688410
2002-07-08,6.000000,6.220000,5.966670,6.093330,1.393359,1625895
2002-07-09,6.133330,6.420000,6.133330,6.150000,1.406318,3097470
2002-07-10,6.216670,6.246670,5.890000,5.930000,1.356010,1085070
2002-07-11,5.916670,6.066670,5.800000,5.836670,1.334669,1050180
2002-07-12,5.933330,5.956670,5.766670,5.836670,1.334669,724590
2002-07-15,5.933330,5.933330,5.550000,5.570000,1.273690,505440
2002-07-16,5.583330,5.660000,5.466670,5.486670,1.254634,434490
2002-07-17,5.533330,5.583330,5.350000,5.380000,1.230242,307110
2002-07-18,5.486670,5.550000,5.473330,5.520000,1.262256,192525
2002-07-19,5.473330,5.550000,5.460000,5.500000,1.257683,156735
2002-07-22,5.266670,5.400000,5.200000,5.246670,1.199754,381180
2002-07-23,5.333330,5.400000,5.226670,5.380000,1.230242,246315
2002-07-24,5.340000,5.466670,5.286670,5.306670,1.213474,439710
2002-07-25,5.403330,5.466670,5.286670,5.343330,1.221857,265680
2002-07-26,5.213330,5.330000,5.166670,5.193330,1.187557,272610
2002-07-29,5.206670,5.206670,4.933330,5.096670,1.165453,353310
2002-07-30,5.200000,5.323330,5.133330,5.156670,1.179173,668580
2002-07-31,5.136670,5.426670,5.066670,5.390000,1.232529,522345
2002-08-01,5.333330,5.560000,5.333330,5.360000,1.225669,320190
2002-08-02,5.233330,5.353330,5.233330,5.336670,1.220334,178170
2002-08-05,5.513330,5.616670,5.343330,5.550000,1.269116,372630
2002-08-06,5.533330,5.630000,5.483330,5.536670,1.266068,868245
2002-08-07,5.513330,5.533330,5.400000,5.430000,1.241676,566250
2002-08-08,5.466670,5.466670,5.166670,5.193330,1.187557,239580
2002-08-09,5.326670,5.326670,5.213330,5.256670,1.202041,162750
2002-08-12,5.386670,5.580000,5.303330,5.496670,1.256921,653670
2002-08-13,5.550000,5.566670,5.406670,5.453330,1.247011,163125
2002-08-14,5.466670,5.493330,5.420000,5.450000,1.246249,150990
2002-08-15,null,null,null,null,null,null
2002-08-16,5.500000,5.523330,5.433330,5.456670,1.247774,198375
2002-08-19,5.466670,5.490000,5.370000,5.410000,1.237103,179040
2002-08-20,5.400000,5.500000,5.373330,5.473330,1.251584,100065
2002-08-21,5.483330,5.500000,5.433330,5.440000,1.243963,63450
2002-08-22,5.453330,5.476670,5.426670,5.433330,1.242437,43350
2002-08-23,5.466670,5.466670,5.366670,5.406670,1.236341,137160
2002-08-26,5.400000,5.433330,5.326670,5.360000,1.225669,82635
2002-08-27,5.366670,5.386670,5.233330,5.293330,1.210424,151935
2002-08-28,5.326670,5.356670,5.266670,5.293330,1.210424,65190
2002-08-29,5.333330,5.333330,5.140000,5.153330,1.178410,149865
2002-08-30,5.146670,5.226670,5.146670,5.203330,1.189843,217875
2002-09-02,5.333330,5.360000,5.266670,5.300000,1.211949,116835
2002-09-03,5.283330,5.300000,5.186670,5.196670,1.188320,67185
2002-09-04,5.196670,5.200000,5.146670,5.176670,1.183747,123300
2002-09-05,5.233330,5.246670,5.136670,5.156670,1.179173,118800
2002-09-06,5.166670,5.233330,5.123330,5.133330,1.173836,177960
2002-09-09,5.393330,5.393330,5.100000,5.106670,1.167740,90720
2002-09-10,null,null,null,null,null,null
2002-09-11,5.113330,5.153330,5.066670,5.100000,1.166215,102765
2002-09-12,5.133330,5.186670,5.076670,5.120000,1.170788,102345
2002-09-13,5.110000,5.160000,5.100000,5.143330,1.176123,51525
2002-09-16,5.136670,5.160000,5.106670,5.140000,1.175362,78360
2002-09-17,5.000000,5.233330,5.000000,5.076670,1.160880,114930
2002-09-18,5.100000,5.100000,5.033330,5.043330,1.153256,87120
2002-09-19,5.066670,5.066670,4.883330,4.916670,1.124293,216585
2002-09-20,4.803330,4.886670,4.803330,4.843330,1.107522,135675
2002-09-23,4.886670,4.890000,4.786670,4.806670,1.099139,133185
2002-09-24,4.800000,4.853330,4.706670,4.760000,1.088467,148530
2002-09-25,4.740000,4.790000,4.700000,4.756670,1.087706,83310
2002-09-26,4.820000,4.900000,4.820000,4.840000,1.106761,86895
2002-09-27,4.833330,4.890000,4.820000,4.840000,1.106761,54525
2002-09-30,4.700000,4.816670,4.666670,4.783330,1.093802,69060
2002-10-01,4.730000,4.823330,4.730000,4.773330,1.091515,121215
2002-10-02,null,null,null,null,null,null
2002-10-03,4.773330,4.823330,4.733330,4.763330,1.089229,69465
2002-10-04,4.733330,4.800000,4.720000,4.733330,1.082368,92175
2002-10-07,4.736670,4.813330,4.733330,4.796670,1.096852,114090
2002-10-08,4.783330,4.860000,4.783330,4.846670,1.108286,72930
2002-10-09,4.866670,4.923330,4.843330,4.873330,1.114382,92850
2002-10-10,4.820000,4.880000,4.800000,4.846670,1.108286,61050
2002-10-11,4.873330,4.886670,4.806670,4.826670,1.103713,63300
2002-10-14,4.896670,4.896670,4.823330,4.836670,1.105999,45975
2002-10-15,null,null,null,null,null,null
