Date,open,high,low,close,adj_close,volume
2002-07-01,1.810070,1.830800,1.810070,1.824810,1.602647,478
2002-07-02,1.899910,1.999880,1.899910,1.991130,1.748718,11743
2002-07-03,1.994810,1.999880,1.985140,1.990200,1.747902,5579
2002-07-04,null,null,null,null,null,null
2002-07-05,1.900830,1.900830,1.900830,1.900830,1.669412,2171
2002-07-08,2.039960,2.090170,1.924790,2.074970,1.822351,21055
2002-07-09,2.064840,2.069900,2.025220,2.025220,1.778658,8683
2002-07-10,2.069900,2.069900,1.985140,2.016920,1.771369,5796
2002-07-11,2.025220,2.025220,2.025220,2.025220,1.778658,217
2002-07-12,1.999880,1.999880,1.999880,1.999880,1.756403,434
2002-07-15,1.955190,1.955190,1.851070,1.851070,1.625710,6295
2002-07-16,1.904980,1.980070,1.904980,1.980070,1.739005,1172
2002-07-17,1.999880,1.999880,1.950120,1.950120,1.712701,4341
2002-07-18,1.975000,1.975000,1.899910,1.899910,1.668604,5231
2002-07-19,1.899910,1.899910,1.875030,1.875030,1.646753,1194
2002-07-22,1.815140,1.815140,1.805000,1.805000,1.585249,4558
2002-07-23,1.875030,1.875030,1.875030,1.875030,1.646753,1671
2002-07-24,1.990200,1.990200,1.990200,1.990200,1.747902,22
2002-07-25,1.809150,1.809150,1.799940,1.800860,1.581613,3799
2002-07-26,1.874110,1.875030,1.874110,1.875030,1.646753,2930
2002-07-29,null,null,null,null,null,null
2002-07-30,1.775060,1.850150,1.760780,1.760780,1.546412,55134
2002-07-31,1.789800,1.800860,1.789800,1.799020,1.579997,2496
2002-08-01,null,null,null,null,null,null
2002-08-02,1.789800,1.789800,1.756170,1.756170,1.542364,2388
2002-08-05,1.875030,1.875030,1.805000,1.824810,1.602647,543
2002-08-06,1.875030,1.894840,1.756170,1.756170,1.542364,65770
2002-08-07,1.760780,1.924790,1.760780,1.800860,1.581613,4775
2002-08-08,null,null,null,null,null,null
2002-08-09,1.810070,1.810070,1.799940,1.805930,1.586066,1085
2002-08-12,1.799940,1.799940,1.799940,1.799940,1.580805,1780
2002-08-13,1.799940,1.799940,1.799940,1.799940,1.580805,1519
2002-08-14,1.781050,1.789800,1.775060,1.789800,1.571899,3994
2002-08-15,null,null,null,null,null,null
2002-08-16,1.799940,1.799940,1.799940,1.799940,1.580805,5427
2002-08-19,1.824810,1.824810,1.764920,1.776900,1.560570,8357
2002-08-20,null,null,null,null,null,null
2002-08-21,1.824810,1.899910,1.780130,1.794870,1.576352,8314
2002-08-22,1.834950,1.834950,1.834950,1.834950,1.611553,434
2002-08-23,1.775060,1.850150,1.775060,1.840020,1.616005,282
2002-08-26,1.799940,1.799940,1.750180,1.786120,1.568668,1194
2002-08-27,1.840020,1.840020,1.840020,1.840020,1.616005,152
2002-08-28,null,null,null,null,null,null
