Date,open,high,low,close,adj_close,volume
2002-07-01,6.125000,6.150000,5.900000,5.970000,0.055091,711934
2002-07-02,5.890000,6.120000,5.815000,5.850000,0.053983,520842
2002-07-03,5.850000,5.925000,5.820000,5.860000,0.054076,277700
2002-07-04,5.750000,5.970000,5.675000,5.895000,0.234394,597586
2002-07-05,5.945000,6.105000,5.830000,5.860000,0.233003,425350
2002-07-08,5.850000,6.025000,5.750000,5.770000,0.229424,227548
2002-07-09,5.850000,5.925000,5.680000,5.715000,0.227237,310782
2002-07-10,5.750000,5.790000,5.565000,5.670000,0.225448,293170
2002-07-11,5.740000,5.750000,5.580000,5.615000,0.223261,235822
2002-07-12,5.675000,5.725000,5.475000,5.510000,0.219086,310650
2002-07-15,5.500000,5.500000,5.235000,5.260000,0.209146,259934
2002-07-16,5.290000,5.495000,5.105000,5.145000,0.204573,320936
2002-07-17,5.200000,5.220000,5.015000,5.080000,0.201989,396672
2002-07-18,5.175000,5.350000,5.150000,5.295000,0.210537,343394
2002-07-19,5.010000,5.330000,5.010000,5.115000,0.203380,239092
2002-07-22,5.050000,5.075000,4.940000,5.000000,0.198808,219326
2002-07-23,4.875000,5.150000,4.875000,5.040000,0.200398,187574
2002-07-24,5.100000,5.195000,5.015000,5.055000,0.200994,187028
2002-07-25,5.195000,5.265000,5.050000,5.115000,0.203380,216812
2002-07-26,5.095000,5.095000,4.750000,4.785000,0.190259,311778
2002-07-29,4.775000,4.900000,4.600000,4.705000,0.187078,543580
2002-07-30,4.825000,4.835000,4.410000,4.590000,0.182505,272536
2002-07-31,4.550000,4.550000,4.300000,4.475000,0.177933,221288
2002-08-01,4.550000,4.825000,4.550000,4.765000,0.189464,294276
2002-08-02,4.600000,4.750000,4.590000,4.710000,0.187277,124822
2002-08-05,4.800000,4.945000,4.780000,4.910000,0.195229,137250
2002-08-06,4.900000,5.125000,4.815000,4.910000,0.195229,278290
2002-08-07,4.990000,5.220000,4.925000,5.095000,0.202585,445562
2002-08-08,5.125000,5.150000,4.905000,4.930000,0.196024,171092
2002-08-09,4.970000,5.045000,4.725000,4.805000,0.191054,251308
2002-08-12,4.945000,5.050000,4.850000,4.945000,0.196621,126188
2002-08-13,5.005000,5.100000,5.005000,5.045000,0.200597,63650
2002-08-14,5.000000,5.085000,4.955000,5.025000,0.199802,315328
2002-08-15,null,null,null,null,null,null
2002-08-16,5.095000,5.125000,5.000000,5.015000,0.199404,79634
2002-08-19,5.045000,5.050000,4.975000,5.000000,0.198808,480316
2002-08-20,5.040000,5.050000,5.000000,5.020000,0.199603,73628
2002-08-21,5.025000,5.175000,5.000000,5.015000,0.199404,105018
2002-08-22,5.000000,5.070000,4.900000,4.915000,0.195428,110992
2002-08-23,5.000000,5.000000,4.875000,4.925000,0.195825,56170
2002-08-26,4.945000,5.000000,4.900000,4.930000,0.196024,56426
2002-08-27,4.970000,4.990000,4.890000,4.905000,0.195030,47508
2002-08-28,4.905000,4.945000,4.885000,4.910000,0.195229,63654
2002-08-29,4.875000,5.145000,4.875000,5.020000,0.199603,239768
2002-08-30,5.250000,5.250000,4.990000,5.005000,0.199006,177294
2002-09-02,5.050000,5.120000,4.975000,5.010000,0.199205,92896
