Date,open,high,low,close,adj_close,volume
2007-03-20,10.300000,11.365000,10.000000,10.535000,7.386530,48262030
2007-03-21,10.500000,10.755000,9.770000,9.890000,6.934295,12334190
2007-03-22,10.200000,10.400000,9.730000,9.825000,6.888720,4392740
2007-03-23,9.995000,9.995000,9.015000,9.290000,6.513608,2001240
2007-03-26,9.200000,9.205000,8.610000,8.690000,6.092925,1195670
2007-03-28,8.850000,8.850000,7.900000,8.025000,5.626665,604620
2007-03-29,8.000000,8.100000,7.615000,7.760000,5.440862,872160
2007-03-30,8.100000,8.500000,7.605000,8.290000,5.812468,1380770
2007-04-02,7.850000,8.490000,7.815000,8.020000,5.623159,356310
2007-04-03,8.025000,8.300000,7.910000,8.025000,5.626665,189740
2007-04-04,8.140000,8.140000,7.725000,7.780000,5.454885,164100
2007-04-05,7.750000,8.350000,7.725000,7.860000,5.510977,274740
2007-04-09,7.945000,8.250000,7.875000,7.935000,5.563561,211230
2007-04-10,7.820000,8.060000,7.610000,7.975000,5.591608,128290
2007-04-11,7.950000,8.175000,7.930000,7.975000,5.591608,155420
2007-04-12,7.850000,8.035000,7.800000,7.835000,5.493448,35290
2007-04-13,7.650000,7.975000,7.605000,7.785000,5.458391,60580
2007-04-16,7.865000,8.530000,7.815000,8.385000,5.879076,538110
2007-04-17,8.320000,8.780000,8.200000,8.475000,5.942179,273080
2007-04-18,8.500000,9.740000,8.500000,9.305000,6.524128,2462120
2007-04-19,9.400000,9.470000,8.800000,9.140000,6.408437,350260
2007-04-20,9.165000,9.360000,8.750000,8.805000,6.173555,187070
2007-04-23,9.020000,9.145000,8.725000,8.795000,6.166545,126310
2007-04-24,8.700000,9.770000,8.650000,9.270000,6.499587,1014320
2007-04-25,9.250000,10.550000,9.230000,9.845000,6.902744,2493540
2007-04-26,10.125000,10.500000,9.510000,9.600000,6.730964,927610
2007-04-27,9.720000,10.000000,9.555000,9.785000,6.860674,328230
2007-04-30,9.620000,10.385000,9.620000,10.215000,7.162166,338600
2007-05-03,10.290000,10.510000,9.925000,10.075000,7.064006,230570
2007-05-04,10.100000,10.855000,10.100000,10.425000,7.309405,1016440
2007-05-07,11.000000,11.200000,10.625000,10.725000,7.519749,590930
2007-05-08,10.500000,10.800000,10.350000,10.540000,7.390037,269010
2007-05-09,10.350000,10.680000,10.150000,10.360000,7.263831,178740
2007-05-10,10.205000,10.990000,10.205000,10.805000,7.575840,308640
2007-05-11,11.400000,11.400000,10.200000,10.840000,7.600381,347090
2007-05-14,10.910000,11.240000,10.880000,11.010000,7.719573,198800
2007-05-15,11.240000,11.745000,10.910000,11.400000,7.993019,1311970
2007-05-16,11.550000,11.740000,11.100000,11.210000,7.859801,264550
2007-05-17,11.300000,11.390000,10.810000,10.895000,7.638943,183560
2007-05-18,10.815000,11.250000,10.800000,10.955000,7.681010,141650
2007-05-21,11.000000,11.500000,11.000000,11.220000,7.866815,206410
2007-05-22,11.115000,11.690000,11.115000,11.465000,8.038593,855940
2007-05-23,11.550000,11.810000,11.210000,11.305000,7.926410,449960
2007-05-24,11.035000,11.400000,11.035000,11.225000,7.870318,72800
2007-05-25,11.250000,11.585000,11.100000,11.425000,8.010549,188080
2007-05-28,11.470000,11.525000,11.300000,11.450000,8.028079,126350
2007-05-29,11.450000,11.450000,11.210000,11.380000,7.978997,86750
2007-05-30,11.380000,11.400000,11.200000,11.255000,7.891354,108940
2007-05-31,10.800000,11.250000,10.800000,10.940000,7.670494,160300
2007-06-01,11.090000,11.525000,11.090000,11.475000,8.045604,259610
2007-06-04,11.500000,11.555000,11.305000,11.365000,7.968478,115800
2007-06-05,11.350000,11.490000,11.100000,11.140000,7.810723,43570
2007-06-06,11.400000,11.430000,10.810000,10.835000,7.596873,73540
2007-06-07,10.970000,10.995000,10.510000,10.720000,7.516243,58920
2007-06-08,10.510000,11.000000,10.500000,10.925000,7.659977,51370
2007-06-11,10.800000,11.100000,10.610000,10.735000,7.526759,34180
2007-06-12,10.300000,10.550000,10.300000,10.390000,7.284866,49910
2007-06-13,10.230000,10.560000,10.055000,10.130000,7.102568,27030
2007-06-14,10.490000,10.490000,10.060000,10.255000,7.190211,12530
2007-06-15,10.275000,10.735000,10.275000,10.715000,7.512738,23430
2007-06-18,10.950000,10.950000,10.310000,10.555000,7.400554,18330
2007-06-19,10.900000,10.900000,10.200000,10.480000,7.347968,17690
2007-06-20,10.590000,10.630000,10.300000,10.440000,7.319922,32600
2007-06-21,10.410000,10.695000,10.400000,10.560000,7.404060,31780
2007-06-22,10.500000,10.755000,10.420000,10.535000,7.386530,33380
2007-06-25,10.700000,10.800000,10.205000,10.310000,7.228775,35540
2007-06-26,10.510000,10.780000,10.300000,10.605000,7.435611,335400
2007-06-27,10.750000,10.800000,10.550000,10.680000,7.488195,296810
