Date,open,high,low,close,adj_close,volume
2007-01-10,7.900000,7.900000,6.000000,6.545000,0.007779,1125900
2007-01-11,6.650000,7.000000,6.550000,6.705000,0.007969,152000
2007-01-12,6.825000,7.125000,6.655000,6.807500,0.008091,108000
2007-01-15,6.680000,6.950000,6.680000,6.787500,0.008067,9300
2007-01-16,6.557500,6.600000,6.557500,6.600000,0.007844,9120
2007-01-17,6.310000,7.000000,6.300000,6.500000,0.007725,270000
2007-01-18,6.500000,6.737500,6.500000,6.530000,0.007761,20720
2007-01-19,6.300000,6.525000,6.055000,6.130000,0.007286,137980
2007-01-22,6.300000,6.900000,5.560000,6.177500,0.007342,392300
2007-01-23,6.250000,6.297500,6.000000,6.162500,0.007324,94120
2007-01-24,6.055000,6.272500,6.000000,6.065000,0.007208,87380
2007-01-25,5.800000,6.132500,5.800000,5.925000,0.007042,156000
2007-01-29,5.800000,6.100000,5.800000,5.857500,0.006962,9040
2007-01-31,6.150000,6.200000,5.900000,5.935000,0.007054,20000
2007-02-01,6.200000,7.122500,6.150000,7.075000,0.008409,306280
2007-02-02,7.350000,7.395000,6.570000,6.732500,0.008002,446000
2007-02-05,6.515000,7.150000,6.515000,6.867500,0.008162,226000
2007-02-06,7.200000,7.200000,6.650000,6.712500,0.007978,30000
2007-02-07,7.000000,7.000000,6.400000,6.497500,0.007722,38000
2007-02-08,6.500000,6.650000,6.450000,6.562500,0.007800,23140
2007-02-09,6.450000,6.700000,6.250000,6.505000,0.007731,24000
2007-02-12,6.745000,6.745000,6.255000,6.310000,0.007500,13360
2007-02-13,6.250000,6.497500,6.190000,6.390000,0.007595,15000
2007-02-14,6.250000,6.357500,6.055000,6.095000,0.007244,9480
2007-02-15,6.250000,6.497500,6.250000,6.300000,0.007488,13040
2007-02-19,6.350000,6.500000,6.350000,6.410000,0.007618,19300
2007-02-20,6.250000,6.350000,6.250000,6.265000,0.007446,17800
2007-02-21,6.350000,6.500000,6.102500,6.217500,0.007390,12000
2007-02-22,6.400000,6.400000,5.912500,6.027500,0.007164,12000
2007-02-23,5.900000,5.900000,5.750000,5.760000,0.006846,4800
2007-02-26,5.600000,5.600000,5.500000,5.500000,0.006537,14000
2007-02-27,5.550000,5.800000,5.315000,5.315000,0.006317,13840
2007-02-28,5.600000,5.745000,5.355000,5.517500,0.006558,32000
2007-03-01,5.517500,5.625000,5.517500,5.595000,0.006650,10040
2007-03-02,5.600000,5.600000,5.362500,5.400000,0.006418,7840
2007-03-05,5.362500,5.500000,5.000000,5.150000,0.006121,28000
2007-03-06,5.447500,5.447500,5.000000,5.000000,0.005943,12700
2007-03-07,5.447500,5.447500,4.755000,4.945000,0.005877,5680
2007-03-08,5.050000,5.500000,4.900000,5.300000,0.006299,24000
2007-03-09,5.350000,5.350000,5.050000,5.300000,0.006299,12000
2007-03-12,5.105000,5.200000,5.100000,5.200000,0.006180,4440
2007-03-13,5.400000,5.475000,5.275000,5.405000,0.006424,5500
2007-03-14,4.705000,5.500000,4.655000,5.207500,0.006189,23140
2007-03-15,5.500000,5.500000,5.327500,5.327500,0.006332,10000
2007-03-16,5.225000,5.662500,5.225000,5.275000,0.006269,96000
2007-03-19,5.112500,5.450000,5.112500,5.450000,0.006477,2520
2007-03-20,5.327500,5.527500,5.150000,5.180000,0.006157,30000
2007-03-21,4.750000,5.235000,4.750000,5.120000,0.006085,14840
2007-03-22,5.250000,5.295000,5.100000,5.250000,0.006240,27960
2007-03-23,5.085000,5.235000,5.085000,5.100000,0.006061,9040
2007-03-26,5.100000,5.305000,5.005000,5.052500,0.006005,11580
2007-03-28,5.100000,5.100000,4.875000,4.987500,0.005928,19180
2007-03-29,5.100000,5.100000,4.950000,4.970000,0.005907,6000
2007-03-30,5.100000,5.175000,4.825000,5.025000,0.005972,12580
2007-04-02,5.025000,5.025000,5.025000,5.025000,0.005972,0
2007-04-03,5.050000,5.050000,4.900000,4.900000,0.005824,4740
2007-04-04,5.045000,5.045000,4.655000,4.915000,0.005842,4680
2007-04-05,5.050000,5.050000,4.800000,4.882500,0.005803,70000
2007-04-09,4.997500,4.997500,4.827500,4.950000,0.005883,22000
2007-04-10,5.050000,5.095000,5.000000,5.095000,0.006056,3500
2007-04-11,5.000000,5.137500,4.630000,5.070000,0.006026,11640
2007-04-12,5.000000,5.207500,5.000000,5.042500,0.005993,9000
2007-04-13,5.050000,5.050000,5.000000,5.015000,0.005960,500
2007-04-16,5.000000,5.300000,5.000000,5.225000,0.006210,14000
2007-04-17,5.200000,5.445000,5.200000,5.205000,0.006186,11700
2007-04-18,5.250000,5.400000,5.160000,5.250000,0.006240,2460
2007-04-19,5.000000,5.480000,4.900000,5.325000,0.006329,23360
2007-04-20,5.325000,5.705000,5.325000,5.540000,0.006584,74000
2007-04-23,5.150000,5.872500,5.150000,5.360000,0.006370,15360
2007-04-24,5.257500,5.397500,5.180000,5.267500,0.006261,9900
2007-04-25,5.200000,5.325000,5.150000,5.255000,0.006246,24000
2007-04-26,5.105000,5.255000,5.102500,5.102500,0.006064,10820
2007-04-27,5.062500,5.062500,5.005000,5.005000,0.005949,4220
2007-04-30,5.292500,5.420000,5.112500,5.415000,0.006436,38000
2007-05-03,5.450000,5.600000,5.427500,5.452500,0.006480,62000
2007-05-04,5.302500,5.397500,5.250000,5.375000,0.006388,14000
2007-05-07,5.107500,5.267500,5.100000,5.122500,0.006088,7300
2007-05-08,5.250000,5.442500,5.102500,5.137500,0.006106,30000
2007-05-09,5.150000,5.150000,5.050000,5.122500,0.006088,14000
2007-05-10,5.397500,5.397500,5.055000,5.060000,0.006014,8820
2007-05-11,5.070000,5.097500,4.800000,4.987500,0.005928,36000
2007-05-14,5.097500,5.100000,4.952500,4.997500,0.005940,16000
2007-05-15,4.965000,5.092500,4.965000,5.092500,0.006053,4000
2007-05-16,4.907500,4.927500,4.907500,4.920000,0.005848,5920
2007-05-17,4.920000,4.927500,4.875000,4.882500,0.005803,8000
2007-05-18,4.857500,4.997500,4.857500,4.997500,0.005940,9000
2007-05-21,5.350000,5.350000,4.955000,4.965000,0.005901,18000
2007-05-22,4.910000,5.085000,4.910000,4.975000,0.005913,10000
2007-05-23,4.682500,5.000000,4.682500,4.860000,0.005776,28000
2007-05-24,4.912500,4.912500,4.912500,4.912500,0.005839,1000
2007-05-25,4.760000,4.940000,4.760000,4.875000,0.005794,14000
2007-05-28,4.800000,4.905000,4.800000,4.852500,0.005767,6000
2007-05-29,5.000000,5.000000,4.810000,4.817500,0.005726,28000
2007-05-30,4.945000,4.945000,4.805000,4.805000,0.005711,10640
2007-05-31,4.750000,4.945000,4.750000,4.850000,0.005764,1660
2007-06-01,4.850000,4.850000,4.750000,4.750000,0.005645,10800
2007-06-04,4.752500,4.752500,4.725000,4.730000,0.005622,11620
2007-06-05,4.850000,4.850000,4.650000,4.677500,0.005559,4420
2007-06-06,4.825000,4.850000,4.712500,4.712500,0.005601,5060
2007-06-07,4.712500,4.712500,4.657500,4.670000,0.005550,1540
2007-06-08,4.525000,4.845000,4.500000,4.612500,0.005482,18000
2007-06-11,4.560000,4.675000,4.560000,4.612500,0.005482,15200
2007-06-12,4.650000,4.650000,4.350000,4.427500,0.005262,7600
2007-06-13,4.575000,4.645000,4.500000,4.572500,0.005435,18000
2007-06-14,4.517500,4.742500,4.517500,4.742500,0.005637,1700
2007-06-15,4.712500,4.712500,4.602500,4.605000,0.005473,8600
2007-06-18,4.607500,4.607500,4.607500,4.607500,0.005476,0
2007-06-19,4.697500,4.697500,4.650000,4.657500,0.005536,2380
2007-06-20,4.502500,4.640000,4.370000,4.507500,0.005357,6840
2007-06-21,4.500000,4.675000,4.500000,4.600000,0.005467,7160
2007-06-22,4.600000,4.750000,4.600000,4.700000,0.005586,2680
2007-06-25,4.700000,4.900000,4.625000,4.740000,0.005634,19780
2007-06-26,4.797500,4.797500,4.680000,4.797500,0.005702,3440
2007-06-27,4.862500,4.862500,4.615000,4.775000,0.005675,9200
2007-06-28,4.787500,4.800000,4.650000,4.730000,0.005622,22000
2007-06-29,4.580000,4.800000,4.580000,4.750000,0.005645,11280
2007-07-02,4.900000,5.200000,4.700000,5.050000,0.006002,108000
2007-07-03,5.500000,5.500000,4.900000,5.055000,0.006008,21680
2007-07-04,5.450000,5.497500,4.765000,4.892500,0.005815,30000
2007-07-05,5.050000,5.090000,4.850000,4.995000,0.005937,12000
2007-07-06,5.095000,5.100000,4.962500,5.100000,0.006061,26000
2007-07-09,5.045000,5.050000,4.870000,4.995000,0.005937,38000
2007-07-10,5.070000,5.070000,4.920000,4.985000,0.005925,13520
2007-07-11,5.087500,5.087500,4.960000,4.960000,0.005895,12640
2007-07-12,5.000000,5.120000,4.937500,5.120000,0.006085,16000
2007-07-13,5.015000,5.150000,5.000000,5.010000,0.005954,38000
2007-07-16,5.000000,5.150000,4.815000,4.992500,0.005934,20000
2007-07-17,5.050000,5.050000,5.000000,5.002500,0.005946,6000
2007-07-18,5.050000,5.100000,4.950000,4.955000,0.014712,25680
2007-07-19,5.080000,5.300000,5.080000,5.202500,0.015447,70000
2007-07-20,5.200000,5.250000,5.085000,5.225000,0.015513,20000
2007-07-23,4.952500,5.250000,4.952500,4.975000,0.014771,24000
2007-07-24,4.950000,5.130000,4.115000,4.515000,0.013405,46000
2007-07-25,4.750000,5.000000,4.750000,4.857500,0.014422,24140
2007-07-26,4.775000,4.940000,4.760000,4.837500,0.014363,20000
2007-07-27,4.417500,4.940000,4.417500,4.712500,0.013992,72000
2007-07-30,4.887500,4.887500,4.562500,4.602500,0.013665,42000
2007-07-31,4.740000,4.740000,4.555000,4.680000,0.013895,42000
2007-08-01,4.625000,4.845000,4.402500,4.500000,0.013361,41560
2007-08-02,4.697500,4.697500,4.540000,4.662500,0.013843,40000
2007-08-03,4.500000,4.500000,4.402500,4.402500,0.013071,7720
2007-08-06,4.407500,4.700000,4.250000,4.367500,0.012967,44000
2007-08-07,4.600000,4.600000,4.547500,4.547500,0.013502,2900
2007-08-08,4.600000,4.600000,4.450000,4.550000,0.013509,20000
2007-08-09,4.662500,4.662500,4.495000,4.495000,0.013346,40000
2007-08-10,4.500000,4.575000,4.400000,4.500000,0.013361,9300
2007-08-13,4.500000,4.500000,4.475000,4.500000,0.013361,9900
2007-08-14,4.520000,4.520000,4.367500,4.442500,0.013190,28020
2007-08-16,4.300000,4.600000,4.300000,4.550000,0.013509,52000
2007-08-17,4.400000,4.520000,4.302500,4.440000,0.013183,20000
2007-08-20,4.040000,4.845000,4.032500,4.542500,0.013487,1760
2007-08-21,4.695000,4.695000,4.100000,4.325000,0.012841,7740
2007-08-22,4.350000,4.450000,4.270000,4.380000,0.013005,8000
2007-08-23,4.545000,4.625000,4.260000,4.482500,0.013309,57260
2007-08-24,4.272500,4.490000,4.272500,4.390000,0.013034,3500
2007-08-27,4.260000,4.450000,4.260000,4.385000,0.013019,6260
2007-08-28,4.275000,4.425000,4.275000,4.400000,0.013064,16000
2007-08-29,4.200000,4.350000,4.200000,4.302500,0.012774,48680
2007-08-30,4.300000,4.750000,4.300000,4.497500,0.013353,18300
2007-08-31,4.497500,4.497500,4.300000,4.355000,0.012930,36680
2007-09-03,4.350000,4.500000,4.275000,4.487500,0.013324,12280
2007-09-04,4.337500,4.490000,4.325000,4.350000,0.012915,7100
2007-09-05,4.385000,4.485000,4.380000,4.427500,0.013146,48000
2007-09-06,4.370000,4.580000,4.370000,4.415000,0.013108,18700
2007-09-07,4.600000,5.295000,4.557500,4.912500,0.014586,199360
2007-09-10,5.050000,5.150000,4.895000,4.900000,0.014548,62000
2007-09-11,4.907500,4.907500,4.852500,4.852500,0.014407,8000
2007-09-12,5.100000,5.100000,4.800000,5.032500,0.014942,43400
2007-09-13,4.950000,4.950000,4.700000,4.947500,0.014690,16880
2007-09-14,4.950000,4.950000,4.700000,4.710000,0.013984,29480
2007-09-17,4.750000,4.842500,4.525000,4.722500,0.014021,48120
2007-09-18,4.677500,4.800000,4.605000,4.787500,0.014214,16000
2007-09-19,4.777500,4.900000,4.777500,4.802500,0.014259,19460
2007-09-20,4.807500,4.930000,4.700000,4.855000,0.014415,26580
2007-09-21,4.700000,4.870000,4.612500,4.650000,0.013806,29260
