Date,open,high,low,close,adj_close,volume
2002-07-01,1.291000,1.375000,1.282000,1.344000,-36.451218,157670
2002-07-02,1.375000,1.390000,1.341000,1.363000,-36.966530,83770
2002-07-03,1.366000,1.366000,1.342000,1.357000,-36.803802,65820
2002-07-04,1.341000,1.499000,1.323000,1.445000,-39.190487,919770
2002-07-05,1.480000,1.529000,1.452000,1.501000,-40.709286,1051530
2002-07-08,1.509000,1.562000,1.507000,1.518000,-41.170349,424310
2002-07-09,1.529000,1.529000,1.466000,1.474000,-39.977005,214230
2002-07-10,1.499000,1.528000,1.450000,1.471000,-39.895641,236900
2002-07-11,1.504000,1.514000,1.465000,1.473000,-39.949883,532730
2002-07-12,1.437000,1.437000,1.361000,1.378000,7.834203,109790
2002-07-15,1.371000,1.391000,1.332000,1.336000,7.595425,43800
2002-07-16,1.367000,1.367000,1.302000,1.305000,7.419183,36620
2002-07-17,1.341000,1.341000,1.244000,1.284000,7.299795,83710
2002-07-18,1.287000,1.321000,1.265000,1.289000,7.328222,37420
2002-07-19,1.282000,1.297000,1.275000,1.293000,7.350962,98030
2002-07-22,1.263000,1.267000,1.233000,1.243000,7.066702,28270
2002-07-23,1.223000,1.258000,1.206000,1.249000,7.100811,55540
2002-07-24,1.184000,1.248000,1.184000,1.234000,7.015535,133080
2002-07-25,1.243000,1.322000,1.229000,1.247000,7.089442,82130
2002-07-26,1.282000,1.282000,1.204000,1.255000,7.134924,264020
2002-07-29,1.218000,1.258000,1.194000,1.220000,6.935942,113290
2002-07-30,1.228000,1.243000,1.201000,1.202000,6.833608,57160
2002-07-31,1.194000,1.223000,1.168000,1.204000,6.844978,31950
2002-08-01,1.233000,1.242000,1.203000,1.207000,6.862035,38170
2002-08-02,1.194000,1.210000,1.194000,1.196000,6.799498,46100
2002-08-05,1.219000,1.219000,1.196000,1.218000,6.924573,205710
2002-08-06,1.208000,1.223000,1.199000,1.210000,6.879090,31150
2002-08-07,1.332000,1.332000,1.194000,1.203000,6.839293,145240
2002-08-08,1.203000,1.203000,1.154000,1.164000,6.617572,46080
2002-08-09,1.174000,1.188000,1.167000,1.182000,6.719905,23250
2002-08-12,1.184000,1.184000,1.174000,1.174000,6.674424,4500
2002-08-13,1.194000,1.371000,1.174000,1.294000,7.356647,248270
2002-08-14,1.316000,1.322000,1.238000,1.257000,7.146295,588010
2002-08-15,null,null,null,null,null,null
2002-08-16,1.263000,1.263000,1.213000,1.226000,6.970052,143740
2002-08-19,1.243000,1.263000,1.233000,1.241000,7.055332,64250
2002-08-20,1.243000,1.263000,1.214000,1.246000,7.083757,89560
2002-08-21,1.322000,1.322000,1.213000,1.229000,6.987109,8500
2002-08-22,1.233000,1.233000,1.220000,1.228000,6.981424,11040
2002-08-23,1.233000,1.233000,1.204000,1.217000,6.918886,34250
2002-08-26,1.223000,1.223000,1.194000,1.199000,6.816553,39900
2002-08-27,1.189000,1.216000,1.172000,1.179000,6.702849,151460
2002-08-28,1.171000,1.191000,1.170000,1.170000,6.651682,85790
2002-08-29,1.184000,1.194000,1.165000,1.179000,6.702849,8850
2002-08-30,1.181000,1.189000,1.174000,1.181000,6.714220,57750
2002-09-02,1.230000,1.230000,1.174000,1.180000,6.708534,408210
2002-09-03,1.184000,1.184000,1.155000,1.165000,6.623256,154990
2002-09-04,1.165000,1.175000,1.164000,1.174000,6.674424,24580
2002-09-05,1.181000,1.184000,1.176000,1.183000,6.725589,3990
2002-09-06,1.184000,1.184000,1.163000,1.182000,6.719905,24560
2002-09-09,1.144000,1.183000,1.134000,1.148000,6.526608,32330
2002-09-10,null,null,null,null,null,null
2002-09-11,1.151000,1.151000,1.137000,1.149000,6.532293,17400
2002-09-12,1.182000,1.184000,1.161000,1.181000,6.714220,177990
2002-09-13,1.144000,1.183000,1.144000,1.174000,6.674424,8760
2002-09-16,1.164000,1.173000,1.156000,1.157000,6.577775,23250
2002-09-17,1.164000,1.164000,1.154000,1.156000,6.572090,7270
2002-09-18,1.172000,1.180000,1.159000,1.173000,6.668738,21380
2002-09-19,1.184000,1.184000,1.164000,1.167000,6.634627,22470
2002-09-20,1.174000,1.174000,1.164000,1.164000,6.617572,940
2002-09-23,1.150000,1.169000,1.150000,1.161000,6.600516,11010
2002-09-24,1.159000,1.169000,1.149000,1.162000,6.606200,6430
2002-09-25,1.164000,1.169000,1.154000,1.169000,6.645997,2500
2002-09-26,1.178000,1.178000,1.154000,1.154000,6.560719,9470
2002-09-27,1.178000,1.178000,1.155000,1.164000,6.617572,3200
2002-09-30,1.164000,1.164000,1.139000,1.143000,6.498182,32000
2002-10-01,1.184000,1.184000,1.154000,1.161000,6.600516,25080
2002-10-02,null,null,null,null,null,null
2002-10-03,1.164000,1.177000,1.144000,1.145000,6.509552,8610
2002-10-04,1.142000,1.153000,1.139000,1.144000,6.503868,1940
2002-10-07,1.042000,1.154000,1.042000,1.134000,6.447015,24610
2002-10-08,1.120000,1.144000,1.120000,1.125000,6.395848,26660
2002-10-09,1.134000,1.134000,1.105000,1.110000,6.310571,16920
2002-10-10,1.122000,1.123000,1.105000,1.110000,6.310571,8290
2002-10-11,1.154000,1.154000,1.115000,1.122000,6.378793,16630
2002-10-14,1.120000,1.148000,1.115000,1.140000,6.481126,18120
2002-10-15,null,null,null,null,null,null
2002-10-16,1.134000,1.154000,1.114000,1.121000,6.373109,23000
2002-10-17,1.088000,1.105000,1.073000,1.075000,6.111588,18060
2002-10-18,1.075000,1.075000,1.036000,1.055000,5.997884,84310
2002-10-21,1.035000,1.046000,0.997000,1.021000,5.804588,131700
2002-10-22,1.026000,1.026000,0.979000,0.986000,5.605605,131940
2002-10-23,0.985000,1.016000,0.973000,1.008000,5.730680,90800
2002-10-24,1.011000,1.026000,0.990000,1.013000,5.759107,63750
2002-10-25,1.016000,1.016000,0.986000,0.991000,5.634031,16240
2002-10-28,1.124000,1.124000,0.968000,0.989000,5.622662,79710
2002-10-29,0.961000,0.991000,0.961000,0.985000,5.599921,187540
2002-10-30,0.968000,1.006000,0.968000,0.986000,5.605605,109860
2002-10-31,1.001000,1.006000,0.960000,0.964000,5.480531,113140
2002-11-01,1.016000,1.016000,0.967000,0.971000,5.520329,70180
2002-11-04,0.986000,0.986000,0.977000,0.978000,5.560123,12920
2002-11-05,1.036000,1.036000,0.957000,0.965000,5.486216,70570
2002-11-06,null,null,null,null,null,null
2002-11-07,0.969000,0.969000,0.947000,0.949000,5.395254,108140
2002-11-08,0.967000,0.967000,0.949000,0.952000,5.412309,102060
2002-11-11,0.976000,1.016000,0.976000,0.993000,5.645402,136440
2002-11-12,0.996000,1.006000,0.979000,0.983000,5.588550,85750
2002-11-13,0.980000,1.021000,0.979000,1.008000,5.730680,173690
2002-11-14,1.031000,1.031000,1.009000,1.014000,5.764791,101460
2002-11-15,1.016000,1.026000,0.972000,0.984000,5.594235,184920
2002-11-18,1.036000,1.036000,0.866000,0.977000,5.554439,157730
2002-11-19,null,null,null,null,null,null
2002-11-20,0.996000,0.996000,0.977000,0.979000,5.565809,105380
2002-11-21,0.986000,1.006000,0.957000,0.996000,5.662457,369200
2002-11-22,0.992000,1.041000,0.992000,1.007000,5.724994,107060
2002-11-25,1.006000,1.063000,0.997000,1.053000,5.986514,177890
2002-11-26,1.069000,1.119000,1.068000,1.101000,6.259403,261290
2002-11-27,1.115000,1.238000,1.115000,1.184000,6.731276,333750
2002-11-28,1.085000,1.230000,1.085000,1.127000,6.407218,328680
2002-11-29,1.184000,1.223000,1.105000,1.122000,6.378793,273490
2002-12-02,1.134000,1.159000,1.134000,1.138000,6.469756,111600
2002-12-03,1.184000,1.184000,1.134000,1.136000,6.458385,463330
2002-12-04,1.133000,1.174000,1.127000,1.169000,6.645997,158970
2002-12-05,1.174000,1.174000,1.135000,1.137000,6.464071,132650
2002-12-06,1.164000,1.178000,1.146000,1.171000,6.657367,45170
2002-12-09,1.174000,1.211000,1.164000,1.175000,6.680108,266790
2002-12-10,1.167000,1.189000,1.167000,1.176000,6.685793,118680
2002-12-11,1.185000,1.213000,1.175000,1.206000,6.856349,115610
2002-12-12,1.223000,1.223000,1.166000,1.175000,6.680108,81820
2002-12-13,1.233000,1.233000,1.164000,1.180000,6.708534,80060
2002-12-16,1.186000,1.213000,1.178000,1.184000,6.731276,200460
2002-12-17,1.189000,1.189000,1.158000,1.176000,6.685793,81950
2002-12-18,1.164000,1.184000,1.159000,1.162000,6.606200,54000
2002-12-19,1.159000,1.169000,1.154000,1.163000,6.611886,86090
2002-12-20,1.155000,1.175000,1.149000,1.154000,6.560719,134310
2002-12-23,1.124000,1.149000,1.124000,1.142000,6.492496,80760
2002-12-24,1.144000,1.164000,1.124000,1.131000,6.429960,170830
2002-12-25,null,null,null,null,null,null
2002-12-26,1.117000,1.138000,1.117000,1.135000,6.452701,100530
2002-12-27,1.154000,1.154000,1.124000,1.146000,6.515237,46560
2002-12-30,1.117000,1.154000,1.095000,1.134000,6.447015,82520
2002-12-31,1.134000,1.159000,1.124000,1.128000,6.412904,186500
2003-01-01,1.147000,1.153000,1.137000,1.147000,6.520923,16660
2003-01-02,1.166000,1.174000,1.135000,1.138000,6.469756,135640
2003-01-03,1.162000,1.162000,1.120000,1.120000,6.367422,42750
2003-01-06,1.129000,1.129000,1.105000,1.109000,6.304884,23800
2003-01-07,1.129000,1.133000,1.097000,1.106000,6.287830,11950
2003-01-08,1.106000,1.120000,1.105000,1.110000,6.310571,6640
2003-01-09,1.134000,1.135000,1.116000,1.134000,6.447015,22840
2003-01-10,1.115000,1.134000,1.112000,1.114000,6.333312,46590
2003-01-13,1.123000,1.124000,1.085000,1.086000,6.174124,45060
2003-01-14,1.115000,1.115000,1.091000,1.097000,6.236663,63650
2003-01-15,1.097000,1.097000,1.057000,1.078000,6.128644,79690
2003-01-16,1.084000,1.094000,1.070000,1.077000,6.122959,24940
2003-01-17,1.080000,1.102000,1.080000,1.092000,6.208237,26790
2003-01-20,1.095000,1.095000,1.061000,1.070000,6.083162,26380
2003-01-21,1.085000,1.085000,1.056000,1.057000,6.009255,57650
2003-01-22,1.065000,1.065000,1.028000,1.034000,5.878496,118740
2003-01-23,1.036000,1.036000,1.014000,1.034000,5.878496,35120
2003-01-24,1.036000,1.059000,1.019000,1.023000,5.815958,34850
2003-01-27,1.006000,1.006000,0.967000,0.970000,5.514643,113760
2003-01-28,0.996000,0.996000,0.962000,0.970000,5.514643,42500
2003-01-29,0.972000,0.976000,0.967000,0.971000,5.520329,84510
2003-01-30,0.968000,0.986000,0.962000,0.981000,5.577180,35700
2003-01-31,0.969000,1.014000,0.969000,0.993000,5.645402,102080
2003-02-03,1.006000,1.009000,0.977000,0.989000,5.622662,52040
2003-02-04,1.040000,1.053000,0.978000,0.980000,5.571495,38800
2003-02-05,1.001000,1.010000,0.981000,0.982000,5.582864,52500
2003-02-06,1.000000,1.001000,0.977000,0.999000,5.679513,137560
2003-02-07,1.001000,1.001000,0.988000,0.995000,5.656772,27050
2003-02-10,1.001000,1.001000,0.984000,0.985000,5.599921,27500
2003-02-11,0.977000,0.996000,0.973000,0.985000,5.599921,38990
2003-02-12,0.995000,0.995000,0.977000,0.985000,5.599921,22890
2003-02-13,null,null,null,null,null,null
2003-02-14,0.984000,1.011000,0.981000,0.987000,5.611291,35100
2003-02-17,0.997000,1.016000,0.987000,1.015000,5.770476,67610
2003-02-18,1.052000,1.115000,1.026000,1.106000,6.287830,161540
2003-02-19,1.106000,1.134000,1.095000,1.106000,6.287830,42350
2003-02-20,1.114000,1.114000,1.085000,1.085000,6.168440,185100
2003-02-21,1.085000,1.085000,1.055000,1.065000,6.054737,71480
2003-02-24,1.066000,1.083000,1.057000,1.060000,6.026311,51410
2003-02-25,1.066000,1.094000,1.041000,1.078000,6.128644,64830
2003-02-26,1.085000,1.104000,1.073000,1.095000,6.225293,45620
2003-02-27,1.095000,1.133000,1.086000,1.131000,6.429960,130020
2003-02-28,1.139000,1.213000,1.091000,1.133000,6.441329,443840
2003-03-03,1.088000,1.133000,1.088000,1.099000,6.248034,42240
2003-03-04,1.000000,1.154000,1.000000,1.135000,6.452701,72990
2003-03-05,1.115000,1.160000,1.115000,1.145000,6.509552,106880
2003-03-06,1.164000,1.179000,1.134000,1.139000,6.475442,41810
2003-03-07,1.095000,1.124000,1.084000,1.110000,6.310571,233900
2003-03-10,1.085000,1.095000,1.036000,1.084000,6.162755,107560
2003-03-11,1.085000,1.102000,1.085000,1.088000,6.185496,35070
2003-03-12,1.102000,1.120000,1.085000,1.092000,6.208237,64980
2003-03-13,1.133000,1.193000,1.095000,1.146000,6.515237,464130
2003-03-14,null,null,null,null,null,null
2003-03-17,1.107000,1.144000,1.105000,1.120000,6.367422,455070
2003-03-18,null,null,null,null,null,null
2003-03-19,1.161000,1.161000,1.105000,1.108000,6.299200,127280
2003-03-20,1.133000,1.134000,1.105000,1.115000,6.338996,306300
2003-03-21,1.047000,1.174000,1.047000,1.112000,6.321941,152650
2003-03-24,1.107000,1.110000,1.095000,1.105000,6.282145,39390
2003-03-25,0.948000,1.127000,0.948000,1.121000,6.373109,70270
2003-03-26,1.110000,1.115000,1.096000,1.097000,6.236663,26840
2003-03-27,1.124000,1.124000,1.087000,1.095000,6.225293,28240
2003-03-28,1.050000,1.104000,1.050000,1.094000,6.219606,247730
2003-03-31,1.085000,1.100000,1.068000,1.094000,6.219606,103140
2003-04-01,1.090000,1.090000,1.071000,1.075000,6.111588,25850
2003-04-02,1.084000,1.084000,1.062000,1.066000,6.060421,33430
2003-04-03,1.075000,1.085000,1.065000,1.070000,6.083162,23860
2003-04-04,1.095000,1.095000,1.085000,1.086000,6.174124,42700
2003-04-07,1.085000,1.095000,1.075000,1.076000,6.117273,49530
2003-04-08,0.977000,1.080000,0.977000,1.077000,6.122959,38780
2003-04-09,1.079000,1.095000,1.076000,1.087000,6.179811,27400
2003-04-10,1.085000,1.090000,1.066000,1.071000,6.088848,10490
2003-04-11,1.080000,1.080000,1.065000,1.069000,6.077477,27330
2003-04-14,null,null,null,null,null,null
2003-04-15,1.065000,1.080000,1.065000,1.066000,6.060421,15550
2003-04-16,0.977000,1.075000,0.977000,1.072000,6.094532,214060
2003-04-17,0.977000,1.075000,0.977000,1.065000,6.054737,95130
2003-04-18,null,null,null,null,null,null
2003-04-21,1.065000,1.075000,1.053000,1.073000,6.100218,110060
2003-04-22,1.026000,1.075000,1.026000,1.059000,6.020626,35000
2003-04-23,1.057000,1.058000,1.047000,1.047000,5.952403,50820
2003-04-24,0.977000,1.055000,0.977000,1.025000,5.827328,183270
2003-04-25,1.021000,1.038000,1.021000,1.035000,5.884181,20280
2003-04-28,1.029000,1.041000,1.028000,1.031000,5.861441,25370
2003-04-29,0.977000,1.026000,0.977000,1.017000,5.781847,63350
2003-04-30,1.011000,1.031000,1.011000,1.020000,5.798903,89530
2003-05-01,null,null,null,null,null,null
2003-05-02,0.989000,1.085000,0.989000,1.023000,5.815958,154070
2003-05-05,1.035000,1.035000,1.006000,1.012000,5.753421,176880
2003-05-06,0.987000,1.044000,0.987000,1.012000,5.753421,113720
2003-05-07,1.026000,1.033000,1.013000,1.026000,5.833014,109370
2003-05-08,1.035000,1.055000,1.031000,1.050000,5.969459,62020
2003-05-09,1.105000,1.182000,1.070000,1.086000,6.174124,1592880
2003-05-12,0.987000,1.092000,0.986000,1.061000,6.031995,1000980
2003-05-13,0.996000,1.121000,0.996000,1.100000,6.253718,464100
2003-05-14,1.103000,1.123000,1.077000,1.086000,6.174124,259380
2003-05-15,0.996000,1.100000,0.996000,1.063000,6.043365,215180
2003-05-16,1.006000,1.070000,1.006000,1.068000,6.071791,293990
2003-05-19,1.036000,1.103000,1.036000,1.088000,6.185496,132120
2003-05-20,1.048000,1.104000,1.048000,1.091000,6.202551,303830
2003-05-21,1.112000,1.154000,1.112000,1.129000,6.418589,405480
