Date,open,high,low,close,adj_close,volume
2002-07-01,163.000000,170.949997,161.000000,168.350006,145.062119,1550
2002-07-02,169.899994,169.899994,162.500000,165.000000,142.175522,70
2002-07-03,165.000000,168.000000,165.000000,168.000000,144.760559,657
2002-07-04,169.949997,180.500000,169.949997,175.149994,150.921463,2499
2002-07-05,170.000000,180.500000,170.000000,175.350006,151.093826,1293
2002-07-08,170.000000,176.000000,170.000000,175.100006,150.878403,280
2002-07-09,177.949997,180.000000,167.100006,167.100006,143.985046,956
2002-07-10,173.850006,175.000000,167.100006,174.000000,149.930588,505
2002-07-11,171.000000,171.000000,171.000000,171.000000,147.345581,134
2002-07-12,167.000000,180.000000,167.000000,172.500000,148.638092,1276
2002-07-15,170.000000,170.000000,167.000000,167.000000,143.898880,305
2002-07-16,170.000000,170.500000,170.000000,170.500000,146.914734,1026
2002-07-17,168.000000,168.000000,165.000000,165.149994,142.304764,599
2002-07-18,174.000000,174.000000,169.149994,173.000000,149.068893,514
2002-07-19,170.899994,171.000000,165.000000,170.699997,147.087067,1779
2002-07-22,165.100006,167.000000,165.000000,165.000000,142.175522,255
2002-07-23,165.000000,165.000000,158.500000,158.500000,136.574692,238
2002-07-24,null,null,null,null,null,null
2002-07-25,null,null,null,null,null,null
2002-07-26,null,null,null,null,null,null
2002-07-29,155.000000,155.000000,155.000000,155.000000,133.558823,29
2002-07-30,160.000000,164.000000,160.000000,163.199997,140.624557,592
2002-07-31,160.000000,165.000000,160.000000,165.000000,142.175522,370
2002-08-01,null,null,null,null,null,null
2002-08-02,null,null,null,null,null,null
2002-08-05,null,null,null,null,null,null
2002-08-06,null,null,null,null,null,null
2002-08-07,157.000000,157.000000,157.000000,157.000000,135.282181,100
2002-08-08,null,null,null,null,null,null
2002-08-09,null,null,null,null,null,null
2002-08-12,150.050003,158.149994,150.050003,150.250000,129.465912,252
2002-08-13,null,null,null,null,null,null
2002-08-14,null,null,null,null,null,null
2002-08-15,null,null,null,null,null,null
2002-08-16,155.000000,155.000000,155.000000,155.000000,133.558823,20
2002-08-19,155.000000,155.000000,155.000000,155.000000,133.558823,100
2002-08-20,null,null,null,null,null,null
2002-08-21,158.000000,158.000000,154.000000,154.000000,132.697189,240
2002-08-22,null,null,null,null,null,null
2002-08-23,150.000000,150.000000,150.000000,150.000000,129.250488,403
2002-08-26,146.050003,146.050003,146.050003,146.050003,125.846916,110
2002-08-27,152.000000,152.000000,152.000000,152.000000,130.973831,50
2002-08-28,150.000000,153.000000,146.050003,146.050003,125.846916,35
2002-08-29,150.000000,153.000000,150.000000,152.000000,130.973831,370
2002-08-30,148.199997,148.199997,148.199997,148.199997,127.699501,300
2002-09-02,150.050003,150.050003,150.050003,150.050003,129.293579,16
2002-09-03,155.000000,155.000000,151.000000,151.399994,130.456833,137
2002-09-04,151.000000,151.000000,151.000000,151.000000,130.112183,8
2002-09-05,151.000000,154.899994,150.600006,154.600006,133.214172,350
2002-09-06,null,null,null,null,null,null
2002-09-09,150.000000,150.000000,150.000000,150.000000,129.250488,1135
2002-09-10,null,null,null,null,null,null
2002-09-11,151.000000,151.000000,150.000000,150.000000,129.250488,126
2002-09-12,150.000000,150.000000,150.000000,150.000000,129.250488,215
2002-09-13,150.000000,150.000000,150.000000,150.000000,129.250488,300
2002-09-16,149.899994,149.899994,143.000000,143.000000,123.218819,45
2002-09-17,135.050003,149.000000,135.050003,148.899994,128.302658,104
2002-09-18,148.100006,148.100006,140.050003,146.699997,126.406967,401
2002-09-19,135.000000,140.000000,134.050003,138.050003,118.953506,135
2002-09-20,null,null,null,null,null,null
2002-09-23,145.000000,145.250000,145.000000,145.000000,124.942162,208
2002-09-24,139.000000,139.000000,139.000000,139.000000,119.772102,235
2002-09-25,null,null,null,null,null,null
2002-09-26,135.250000,135.250000,135.050003,135.050003,116.368530,110
2002-09-27,145.000000,145.000000,135.000000,135.000000,116.325447,152
2002-09-30,null,null,null,null,null,null
2002-10-01,null,null,null,null,null,null
2002-10-02,null,null,null,null,null,null
2002-10-03,null,null,null,null,null,null
2002-10-04,139.000000,145.000000,135.000000,135.000000,116.325447,1050
2002-10-07,125.050003,136.050003,125.050003,136.050003,117.230202,1516
2002-10-08,null,null,null,null,null,null
2002-10-09,null,null,null,null,null,null
2002-10-10,null,null,null,null,null,null
2002-10-11,132.000000,132.000000,132.000000,132.000000,113.740448,100
2002-10-14,null,null,null,null,null,null
2002-10-15,null,null,null,null,null,null
2002-10-16,null,null,null,null,null,null
2002-10-17,null,null,null,null,null,null
2002-10-18,126.050003,126.050003,126.050003,126.050003,108.613510,100
2002-10-21,126.199997,126.199997,126.099998,126.150002,108.699669,100
2002-10-22,126.000000,126.000000,125.000000,125.000000,107.708748,5557
2002-10-23,125.000000,125.000000,125.000000,125.000000,107.708748,100
2002-10-24,125.000000,125.000000,125.000000,125.000000,107.708748,475
2002-10-25,125.000000,125.000000,125.000000,125.000000,107.708748,85
2002-10-28,null,null,null,null,null,null
2002-10-29,120.000000,120.000000,120.000000,120.000000,103.400398,141
2002-10-30,null,null,null,null,null,null
2002-10-31,null,null,null,null,null,null
2002-11-01,120.500000,120.500000,120.500000,120.500000,103.831238,5
2002-11-04,null,null,null,null,null,null
2002-11-05,null,null,null,null,null,null
2002-11-06,null,null,null,null,null,null
2002-11-07,125.000000,125.000000,125.000000,125.000000,107.708748,10
2002-11-08,125.000000,125.000000,125.000000,125.000000,107.708748,5
2002-11-11,130.000000,132.000000,130.000000,130.100006,112.103279,124
2002-11-12,null,null,null,null,null,null
2002-11-13,130.050003,130.050003,130.050003,130.050003,112.060188,23
2002-11-14,130.000000,134.000000,130.000000,134.000000,115.463783,125
2002-11-15,135.000000,137.000000,135.000000,137.000000,118.048798,1739
2002-11-18,134.500000,134.500000,134.000000,134.000000,115.463783,1001
2002-11-19,null,null,null,null,null,null
2002-11-20,137.000000,137.000000,137.000000,137.000000,118.048798,450
2002-11-21,131.000000,131.000000,131.000000,131.000000,112.878769,74
2002-11-22,135.000000,135.000000,135.000000,135.000000,116.325447,100
2002-11-25,134.000000,135.899994,134.000000,135.000000,116.325447,1101
2002-11-26,135.000000,135.000000,134.000000,134.399994,115.808441,1062
2002-11-27,134.100006,134.100006,134.050003,134.050003,115.506851,52
2002-11-28,134.000000,140.000000,134.000000,140.000000,120.633789,100
2002-11-29,140.000000,143.949997,138.100006,143.949997,124.037415,2011
2002-12-02,141.000000,141.000000,141.000000,141.000000,121.495468,100
2002-12-03,135.000000,135.000000,135.000000,135.000000,116.325447,900
2002-12-04,135.000000,135.000000,135.000000,135.000000,116.325447,5
2002-12-05,135.199997,135.199997,135.000000,135.000000,116.325447,250
2002-12-06,135.050003,135.050003,135.000000,135.000000,116.325447,166
2002-12-09,141.000000,141.000000,135.000000,135.000000,116.325447,216
2002-12-10,135.000000,135.000000,135.000000,135.000000,116.325447,100
2002-12-11,135.000000,136.000000,135.000000,136.000000,117.187111,220
2002-12-12,135.000000,135.000000,135.000000,135.000000,116.325447,166
2002-12-13,135.000000,135.000000,135.000000,135.000000,116.325447,2
2002-12-16,135.050003,135.050003,135.000000,135.000000,116.325447,850
2002-12-17,138.949997,138.949997,136.000000,136.000000,117.187111,161
2002-12-18,135.000000,135.000000,135.000000,135.000000,116.325447,466
2002-12-19,null,null,null,null,null,null
2002-12-20,135.000000,135.000000,135.000000,135.000000,116.325447,2
2002-12-23,135.000000,135.000000,135.000000,135.000000,116.325447,249
2002-12-24,135.000000,135.000000,135.000000,135.000000,116.325447,100
2002-12-25,null,null,null,null,null,null
2002-12-26,137.000000,137.000000,137.000000,137.000000,118.048798,200
2002-12-27,138.000000,138.000000,137.500000,137.500000,118.479614,123
2002-12-30,140.000000,140.000000,140.000000,140.000000,120.633789,21
2002-12-31,140.000000,140.000000,138.000000,139.800003,120.461456,129
2003-01-01,139.000000,139.000000,139.000000,139.000000,119.772102,116
2003-01-02,142.000000,143.000000,142.000000,143.000000,123.218819,200
2003-01-03,140.500000,140.600006,138.000000,138.000000,118.910454,350
2003-01-06,null,null,null,null,null,null
2003-01-07,138.000000,138.000000,138.000000,138.000000,118.910454,16
2003-01-08,138.000000,138.300003,138.000000,138.300003,119.168968,198
2003-01-09,null,null,null,null,null,null
2003-01-10,139.949997,139.949997,137.300003,137.300003,118.307289,646
2003-01-13,138.000000,138.000000,138.000000,138.000000,118.910454,132
2003-01-14,137.050003,141.000000,137.050003,141.000000,121.495468,1218
2003-01-15,150.000000,154.899994,140.050003,141.050003,121.538551,10175
2003-01-16,130.000000,145.000000,130.000000,145.000000,124.942162,591
2003-01-17,141.000000,142.000000,141.000000,141.250000,121.710869,26
2003-01-20,140.000000,140.000000,138.649994,140.000000,120.633789,332
2003-01-21,135.000000,137.699997,135.000000,137.699997,118.651932,63
2003-01-22,137.000000,140.000000,137.000000,139.350006,120.073723,250
2003-01-23,137.100006,137.100006,137.100006,137.100006,118.134964,16
2003-01-24,138.000000,139.949997,137.050003,139.949997,120.590714,3441
2003-01-27,137.050003,139.800003,137.000000,138.449997,119.298210,4950
2003-01-28,null,null,null,null,null,null
2003-01-29,132.050003,139.750000,132.050003,137.000000,118.048798,517
2003-01-30,137.000000,137.000000,137.000000,137.000000,118.048798,1500
2003-01-31,131.000000,131.000000,130.000000,130.000000,112.017105,65
2003-02-03,130.149994,139.949997,120.000000,139.949997,120.590714,716
2003-02-04,132.000000,135.000000,130.000000,132.500000,114.171272,380
2003-02-05,130.000000,130.000000,125.050003,130.000000,112.017105,60
2003-02-06,135.000000,135.000000,135.000000,135.000000,116.325447,100
2003-02-07,135.000000,138.300003,135.000000,135.100006,116.411621,101
2003-02-10,null,null,null,null,null,null
2003-02-11,125.000000,125.000000,122.000000,122.000000,105.123741,170
2003-02-12,120.500000,120.500000,120.500000,120.500000,103.831238,400
2003-02-13,null,null,null,null,null,null
2003-02-14,116.250000,120.000000,116.000000,116.000000,99.953720,10235
2003-02-17,115.000000,115.000000,113.000000,113.000000,97.368706,176
2003-02-18,120.000000,121.949997,115.150002,118.000000,101.677055,200
2003-02-19,121.250000,121.250000,120.000000,120.599998,103.917404,200
2003-02-20,129.000000,129.000000,129.000000,129.000000,111.155434,1
2003-02-21,null,null,null,null,null,null
2003-02-24,118.699997,128.899994,118.000000,118.500000,102.107887,216
2003-02-25,129.899994,129.899994,119.099998,120.849998,104.132805,5195
