Date,open,high,low,close,adj_close,volume
2002-07-01,102.949997,114.349998,99.000000,110.800003,95.584755,2845801
2002-07-02,111.000000,114.949997,108.599998,110.900002,95.671013,1508074
2002-07-03,110.000000,112.500000,108.000000,109.349998,94.333839,822196
2002-07-04,110.800003,112.500000,109.000000,110.750000,95.541611,653598
2002-07-05,110.750000,112.000000,106.099998,107.000000,92.306564,382153
2002-07-08,107.000000,108.000000,102.000000,102.699997,88.597046,264980
2002-07-09,102.750000,108.500000,101.099998,106.199997,91.616417,491308
2002-07-10,106.699997,106.699997,101.050003,102.099998,88.079445,206543
2002-07-11,103.000000,105.000000,97.150002,97.800003,84.369934,369391
2002-07-12,99.400002,102.449997,98.250000,99.300003,85.663918,271071
2002-07-15,100.250000,100.750000,93.250000,95.500000,82.385750,299823
2002-07-16,96.000000,98.900002,94.000000,95.500000,82.385750,244794
2002-07-17,95.000000,96.400002,84.099998,87.400002,75.398071,917132
2002-07-18,87.150002,94.750000,87.000000,93.849998,80.962334,955467
2002-07-19,91.099998,96.300003,90.000000,93.300003,80.487862,1847358
2002-07-22,90.099998,93.000000,85.300003,88.050003,75.958801,856114
2002-07-23,102.000000,102.000000,86.050003,90.099998,77.727303,839176
2002-07-24,90.000000,93.400002,87.500000,88.699997,76.519554,1390123
2002-07-25,90.150002,92.849998,88.000000,89.000000,76.778366,529824
2002-07-26,89.250000,89.400002,81.599998,83.199997,71.774803,378113
2002-07-29,84.000000,84.449997,67.400002,72.650002,62.673573,1102737
2002-07-30,83.500000,83.500000,66.000000,67.449997,58.187637,625515
2002-07-31,67.000000,72.000000,61.000000,70.550003,60.861969,924305
2002-08-01,71.000000,73.150002,68.500000,69.449997,59.912994,680514
2002-08-02,66.250000,70.849998,65.500000,69.199997,59.697308,458324
2002-08-05,69.699997,72.500000,69.050003,71.050003,61.293282,426690
2002-08-06,70.050003,76.199997,69.500000,75.250000,64.916519,857778
2002-08-07,76.699997,80.650002,76.550003,77.349998,66.728157,899887
2002-08-08,77.800003,78.199997,72.199997,72.849998,62.846111,421969
2002-08-09,73.699997,75.500000,72.599998,74.400002,64.183250,366137
2002-08-12,75.500000,75.500000,73.300003,74.900002,64.614594,295495
2002-08-13,75.000000,78.800003,74.599998,76.000000,65.563530,552863
2002-08-14,75.000000,76.650002,74.550003,75.150002,64.830261,230737
2002-08-15,null,null,null,null,null,null
2002-08-16,76.000000,76.199997,74.500000,75.050003,64.743996,145225
2002-08-19,75.400002,76.250000,72.500000,73.300003,63.234310,345997
2002-08-20,73.699997,75.199997,73.000000,74.599998,64.355774,247192
2002-08-21,74.500000,75.400002,73.800003,74.349998,64.140121,146696
2002-08-22,74.750000,77.250000,74.199997,75.500000,65.132195,377109
2002-08-23,75.699997,75.800003,73.550003,74.199997,64.010712,151229
2002-08-26,74.099998,74.849998,73.099998,73.599998,63.493092,126222
2002-08-27,73.900002,73.900002,70.050003,70.349998,60.689396,155140
2002-08-28,70.500000,72.000000,70.099998,70.949997,61.207012,104801
2002-08-29,70.300003,70.800003,67.050003,67.300003,58.058239,127014
2002-08-30,66.500000,67.750000,64.099998,66.750000,57.583763,189260
2002-09-02,67.699997,68.500000,65.500000,65.800003,56.764233,111443
2002-09-03,64.000000,70.849998,64.000000,68.150002,58.791508,427720
2002-09-04,67.500000,71.650002,66.500000,70.750000,61.034473,540606
2002-09-05,71.599998,72.400002,69.199997,69.650002,60.085529,182944
2002-09-06,69.800003,69.800003,66.099998,67.300003,58.058239,122872
2002-09-09,61.250000,61.750000,55.299999,56.400002,48.655045,427386
2002-09-10,null,null,null,null,null,null
2002-09-11,57.400002,60.500000,56.950001,58.799999,50.725471,248185
2002-09-12,60.000000,62.000000,58.099998,59.400002,51.243088,132451
2002-09-13,59.000000,63.700001,59.000000,60.250000,51.976357,248972
2002-09-16,60.549999,61.500000,53.650002,54.250000,46.800285,199822
2002-09-17,58.000000,60.000000,51.700001,52.700001,45.463142,343370
2002-09-18,53.000000,54.200001,52.099998,52.450001,45.247463,192931
2002-09-19,52.700001,53.200001,50.250000,52.549999,45.333736,234704
2002-09-20,51.000000,54.349998,49.900002,52.299999,45.118061,405957
2002-09-23,52.500000,53.299999,51.000000,51.500000,44.427929,180417
2002-09-24,50.500000,51.650002,50.049999,50.200001,43.306438,138847
2002-09-25,49.799999,50.700001,49.299999,49.599998,42.788826,67069
2002-09-26,51.000000,51.000000,49.099998,49.349998,42.573154,46088
2002-09-27,50.900002,50.900002,48.450001,50.150002,43.263309,91385
2002-09-30,49.000000,50.000000,45.400002,46.000000,39.683193,125479
2002-10-01,46.000000,47.250000,44.049999,44.750000,38.604843,214843
2002-10-02,null,null,null,null,null,null
2002-10-03,45.500000,47.799999,45.500000,46.700001,40.287071,188801
2002-10-04,46.799999,48.500000,46.150002,47.799999,41.236008,120632
2002-10-07,54.000000,57.400002,49.549999,57.400002,49.517727,768990
2002-10-08,58.599998,64.000000,58.599998,60.849998,52.493958,1739488
2002-10-09,61.849998,63.200001,59.299999,60.700001,52.364559,611737
2002-10-10,60.900002,61.099998,54.750000,57.500000,49.603996,496904
2002-10-11,58.500000,63.400002,56.099998,60.450001,52.148895,1579842
2002-10-14,59.950001,59.950001,56.750000,57.950001,49.992203,512093
2002-10-15,null,null,null,null,null,null
2002-10-16,58.500000,58.500000,53.500000,54.049999,46.627758,440830
2002-10-17,54.349998,64.900002,52.750000,63.750000,54.995731,1281736
2002-10-18,66.000000,67.349998,62.099998,62.900002,54.262451,1990827
2002-10-21,62.900002,67.500000,61.599998,64.150002,55.340801,2039662
2002-10-22,64.000000,64.750000,60.650002,61.650002,53.184113,1061773
2002-10-23,61.099998,62.549999,60.099998,60.950001,52.580227,674782
2002-10-24,61.200001,63.750000,59.150002,59.750000,51.545017,387601
