Date,open,high,low,close,adj_close,volume
2002-07-01,11.720000,12.590000,11.720000,12.330000,10.134232,919
2002-07-02,12.330000,12.980000,12.330000,12.460000,10.241080,1065
2002-07-03,13.540000,13.720000,12.460000,12.810000,10.528752,3530
2002-07-04,14.670000,14.670000,10.680000,12.240000,10.060259,2813
2002-07-05,14.670000,14.670000,12.850000,13.670000,11.235599,7029
2002-07-08,16.410000,16.410000,13.720000,14.150000,11.630119,2947
2002-07-09,16.670000,16.670000,14.760000,14.980000,12.312310,4485
2002-07-10,17.969999,17.969999,13.890000,14.150000,11.630119,4825
2002-07-11,14.370000,14.410000,13.460000,13.760000,11.309573,2532
2002-07-12,13.280000,15.630000,13.280000,13.630000,11.202724,1450
2002-07-15,13.460000,13.540000,13.280000,13.540000,11.128751,550
2002-07-16,13.070000,13.760000,13.020000,13.760000,11.309573,300
2002-07-17,11.720000,12.330000,11.720000,12.240000,10.060259,804
2002-07-18,12.940000,12.940000,11.980000,11.980000,9.846560,200
2002-07-19,11.590000,11.590000,11.590000,11.590000,9.526013,100
2002-07-22,11.760000,11.760000,11.550000,11.550000,9.493136,700
2002-07-23,11.720000,11.720000,10.720000,11.550000,9.493136,225
2002-07-24,11.330000,12.160000,11.290000,11.330000,9.312314,740
2002-07-25,11.330000,11.330000,10.900000,10.900000,8.958891,175
2002-07-26,10.900000,10.900000,10.460000,10.460000,8.597248,4429
2002-07-29,9.460000,9.460000,9.460000,9.460000,7.775331,50
2002-07-30,10.640000,10.640000,9.720000,9.770000,8.030125,833
2002-07-31,null,null,null,null,null,null
2002-08-01,9.070000,9.200000,8.940000,8.940000,7.347934,3100
2002-08-02,9.380000,10.770000,8.940000,10.290000,8.457521,2858
2002-08-05,12.160000,12.160000,10.160000,10.330000,8.490398,250
2002-08-06,12.330000,12.330000,10.110000,10.330000,8.490398,592
2002-08-07,9.550000,10.420000,9.550000,10.420000,8.564371,105
2002-08-08,10.070000,10.250000,9.980000,9.980000,8.202727,620
2002-08-09,10.380000,10.380000,10.380000,10.380000,8.531493,200
2002-08-12,10.290000,10.640000,9.420000,9.940000,8.169851,1071
2002-08-13,11.030000,11.030000,9.460000,9.940000,8.169851,295
2002-08-14,10.050000,13.500000,10.050000,11.050000,9.082178,2800
2002-08-15,null,null,null,null,null,null
2002-08-16,10.420000,10.420000,9.640000,9.680000,7.956155,300
2002-08-19,9.640000,9.640000,9.640000,9.640000,7.923276,103
2002-08-20,9.380000,9.380000,9.380000,9.380000,7.709578,4
2002-08-21,9.550000,10.380000,9.420000,9.510000,7.816427,348
2002-08-22,9.380000,10.330000,9.380000,10.330000,8.490398,200
2002-08-23,10.200000,10.200000,9.330000,10.200000,8.383549,365
2002-08-26,9.460000,11.160000,9.460000,9.590000,7.882180,14
2002-08-27,9.590000,9.590000,9.290000,9.380000,7.709578,4050
2002-08-28,7.990000,11.290000,7.990000,10.330000,8.490398,3537
2002-08-29,9.200000,10.770000,9.120000,10.380000,8.531493,54
2002-08-30,8.860000,10.380000,8.860000,9.550000,7.849304,151
2002-09-02,9.290000,9.290000,9.290000,9.290000,7.635605,100
2002-09-03,9.420000,9.420000,9.330000,9.330000,7.668482,200
2002-09-04,null,null,null,null,null,null
2002-09-05,9.330000,9.330000,9.330000,9.330000,7.668482,50
2002-09-06,8.550000,9.550000,8.550000,9.290000,7.635605,714
2002-09-09,9.120000,9.120000,8.680000,9.120000,7.495879,190
2002-09-10,null,null,null,null,null,null
2002-09-11,9.250000,9.940000,9.120000,9.720000,7.989030,1202
2002-09-12,null,null,null,null,null,null
2002-09-13,null,null,null,null,null,null
2002-09-16,8.940000,9.290000,8.680000,9.290000,7.635605,1450
2002-09-17,9.380000,9.680000,9.120000,9.460000,7.775331,105
2002-09-18,9.160000,9.160000,9.120000,9.120000,7.495879,750
2002-09-19,9.120000,9.120000,9.120000,9.120000,7.495879,800
2002-09-20,9.680000,9.680000,9.680000,9.680000,7.956155,1
2002-09-23,10.160000,10.160000,9.030000,9.030000,7.421906,586
2002-09-24,8.940000,10.110000,8.940000,10.030000,8.243822,105
2002-09-25,8.940000,9.550000,8.940000,9.550000,7.849304,101
2002-09-26,null,null,null,null,null,null
2002-09-27,9.550000,9.550000,9.120000,9.120000,7.495879,299
2002-09-30,8.860000,8.860000,8.860000,8.860000,7.282181,250
2002-10-01,9.380000,9.380000,8.860000,9.120000,7.495879,194
2002-10-02,null,null,null,null,null,null
2002-10-03,8.940000,9.330000,8.940000,8.940000,7.347934,1401
2002-10-04,9.460000,9.460000,9.460000,9.460000,7.775331,40
2002-10-07,10.110000,10.110000,9.030000,9.030000,7.421906,250
2002-10-08,9.120000,9.120000,9.120000,9.120000,7.495879,2
2002-10-09,8.990000,9.720000,8.510000,9.550000,7.849304,426
2002-10-10,9.460000,9.460000,9.460000,9.460000,7.775331,1
2002-10-11,null,null,null,null,null,null
2002-10-14,9.160000,9.680000,9.120000,9.680000,7.956155,60
2002-10-15,null,null,null,null,null,null
2002-10-16,null,null,null,null,null,null
2002-10-17,null,null,null,null,null,null
2002-10-18,9.720000,9.720000,9.720000,9.720000,7.989030,25
2002-10-21,9.720000,9.720000,9.720000,9.720000,7.989030,25
2002-10-22,9.030000,9.680000,9.030000,9.680000,7.956155,81
2002-10-23,9.030000,9.030000,9.030000,9.030000,7.421906,500
2002-10-24,9.030000,9.720000,8.940000,9.720000,7.989030,801
2002-10-25,9.720000,10.290000,8.680000,9.330000,7.668482,369
2002-10-28,7.810000,9.120000,7.810000,9.120000,7.495879,2
2002-10-29,9.720000,9.720000,9.550000,9.550000,7.849304,14
2002-10-30,9.290000,9.290000,9.290000,9.290000,7.635605,695
2002-10-31,9.380000,9.380000,8.730000,8.730000,7.175332,502
2002-11-01,7.990000,9.380000,7.990000,9.120000,7.495879,4801
2002-11-04,null,null,null,null,null,null
2002-11-05,null,null,null,null,null,null
2002-11-06,null,null,null,null,null,null
2002-11-07,8.810000,9.550000,8.770000,9.550000,7.849304,201
2002-11-08,8.990000,9.200000,8.990000,9.200000,7.561633,55
2002-11-11,8.730000,9.200000,8.730000,8.730000,7.175332,1001
2002-11-12,9.330000,9.330000,8.510000,8.550000,7.027388,2937
2002-11-13,9.720000,9.720000,8.510000,8.680000,7.134236,603
2002-11-14,null,null,null,null,null,null
2002-11-15,8.470000,8.680000,8.470000,8.680000,7.134236,351
2002-11-18,8.810000,8.810000,8.470000,8.810000,7.241086,301
2002-11-19,null,null,null,null,null,null
2002-11-20,8.600000,8.600000,8.290000,8.290000,6.813689,200
2002-11-21,8.680000,8.680000,6.990000,8.250000,6.780812,1411
2002-11-22,null,null,null,null,null,null
2002-11-25,8.200000,8.200000,8.200000,8.200000,6.739716,500
2002-11-26,8.250000,8.250000,8.030000,8.030000,6.599990,112
2002-11-27,7.210000,8.200000,7.210000,7.730000,6.353415,592
2002-11-28,9.030000,9.030000,7.900000,8.250000,6.780812,127
2002-11-29,7.810000,8.600000,7.810000,8.600000,7.068483,211
2002-12-02,8.250000,9.070000,7.730000,8.900000,7.315057,2170
2002-12-03,9.550000,9.550000,8.330000,8.330000,6.846565,4
2002-12-04,9.550000,9.550000,7.860000,8.030000,6.599990,1252
2002-12-05,8.030000,8.070000,8.030000,8.070000,6.632867,150
2002-12-06,8.470000,9.510000,8.290000,9.510000,7.816427,7289
2002-12-09,9.160000,9.160000,8.330000,8.330000,6.846565,301
2002-12-10,9.720000,9.720000,8.250000,8.420000,6.920537,201
2002-12-11,8.680000,10.070000,8.680000,9.640000,7.923276,4900
2002-12-12,9.940000,10.290000,9.550000,9.680000,7.956155,3495
2002-12-13,9.460000,9.640000,9.200000,9.590000,7.882180,1580
2002-12-16,10.290000,10.290000,9.550000,9.590000,7.882180,2500
2002-12-17,9.590000,9.940000,9.550000,9.640000,7.923276,1263
2002-12-18,null,null,null,null,null,null
2002-12-19,9.550000,9.590000,9.120000,9.590000,7.882180,1201
2002-12-20,9.550000,9.640000,9.380000,9.590000,7.882180,5050
2002-12-23,9.980000,9.980000,9.550000,9.550000,7.849304,1030
2002-12-24,9.590000,9.900000,9.550000,9.590000,7.882180,7400
2002-12-25,null,null,null,null,null,null
2002-12-26,9.590000,9.590000,9.590000,9.590000,7.882180,200
2002-12-27,9.770000,9.770000,9.590000,9.590000,7.882180,650
2002-12-30,9.290000,9.290000,9.290000,9.290000,7.635605,99
2002-12-31,9.550000,9.550000,9.550000,9.550000,7.849304,462
2003-01-01,9.550000,9.550000,9.290000,9.550000,7.849304,1150
2003-01-02,9.550000,9.550000,9.550000,9.550000,7.849304,200
2003-01-03,9.300000,11.500000,9.300000,11.450000,9.410944,1600
2003-01-06,9.550000,9.550000,9.550000,9.550000,7.849304,25
2003-01-07,9.590000,10.070000,9.550000,9.590000,7.882180,1270
2003-01-08,9.980000,10.070000,9.550000,10.070000,8.276700,347
2003-01-09,9.590000,9.590000,9.590000,9.590000,7.882180,190
2003-01-10,9.980000,9.980000,9.550000,9.590000,7.882180,2135
2003-01-13,9.550000,9.980000,9.550000,9.980000,8.202727,1260
2003-01-14,9.330000,9.770000,9.330000,9.770000,8.030125,590
2003-01-15,9.770000,9.980000,9.550000,9.550000,7.849304,601
2003-01-16,9.550000,9.980000,9.550000,9.590000,7.882180,1512
2003-01-17,9.550000,9.770000,9.550000,9.770000,8.030125,75
2003-01-20,9.980000,10.850000,9.550000,10.850000,8.917795,1303
2003-01-21,10.460000,10.460000,10.200000,10.200000,8.383549,486
2003-01-22,11.200000,11.200000,9.720000,9.770000,8.030125,1345
2003-01-23,9.980000,10.030000,9.640000,9.640000,7.923276,1585
2003-01-24,10.380000,10.380000,9.550000,9.590000,7.882180,1748
2003-01-27,null,null,null,null,null,null
2003-01-28,8.810000,8.810000,8.510000,8.600000,7.068483,1310
2003-01-29,8.680000,9.550000,8.680000,9.550000,7.849304,1597
2003-01-30,9.550000,9.550000,9.550000,9.550000,7.849304,2250
2003-01-31,8.810000,9.460000,8.810000,8.900000,7.315057,3602
2003-02-03,8.990000,9.030000,8.990000,9.030000,7.421906,842
2003-02-04,9.460000,9.460000,9.460000,9.460000,7.775331,745
2003-02-05,null,null,null,null,null,null
2003-02-06,8.900000,9.510000,8.900000,9.120000,7.495879,3475
2003-02-07,9.160000,9.550000,9.160000,9.510000,7.816427,864
2003-02-10,12.800000,12.800000,10.500000,10.500000,8.630123,300
2003-02-11,9.330000,9.330000,8.680000,8.680000,7.134236,200
2003-02-12,null,null,null,null,null,null
2003-02-13,null,null,null,null,null,null
2003-02-14,null,null,null,null,null,null
2003-02-17,8.680000,9.070000,8.070000,8.250000,6.780812,805
2003-02-18,8.330000,8.600000,8.330000,8.600000,7.068483,29
2003-02-19,7.120000,7.120000,7.120000,7.120000,5.852046,1
2003-02-20,7.420000,8.030000,7.420000,8.030000,6.599990,351
2003-02-21,6.990000,8.070000,6.990000,7.810000,6.419168,102
2003-02-24,7.810000,9.070000,7.810000,8.250000,6.780812,363
2003-02-25,null,null,null,null,null,null
2003-02-26,null,null,null,null,null,null
2003-02-27,null,null,null,null,null,null
2003-02-28,8.030000,8.030000,8.030000,8.030000,6.599990,100
2003-03-03,null,null,null,null,null,null
2003-03-04,7.900000,8.600000,7.900000,7.940000,6.526018,4
2003-03-05,7.990000,7.990000,7.900000,7.990000,6.567113,75
2003-03-06,8.330000,8.330000,7.810000,7.810000,6.419168,202
2003-03-07,null,null,null,null,null,null
2003-03-10,7.030000,7.210000,6.860000,7.080000,5.819169,2726
2003-03-11,7.380000,7.380000,7.380000,7.380000,6.065745,25
2003-03-12,6.690000,6.690000,6.690000,6.690000,5.498621,90
2003-03-13,6.950000,6.950000,6.340000,6.340000,5.210951,125
2003-03-14,null,null,null,null,null,null
2003-03-17,6.100000,7.500000,6.100000,7.500000,6.164375,100
2003-03-18,null,null,null,null,null,null
2003-03-19,6.950000,6.950000,6.950000,6.950000,5.712320,37
2003-03-20,7.120000,7.160000,7.120000,7.160000,5.884923,55
2003-03-21,6.120000,6.120000,6.120000,6.120000,5.030129,50
2003-03-24,4.990000,8.420000,4.990000,7.080000,5.819169,3179
2003-03-25,null,null,null,null,null,null
2003-03-26,null,null,null,null,null,null
2003-03-27,null,null,null,null,null,null
2003-03-28,7.080000,7.080000,7.080000,7.080000,5.819169,300
2003-03-31,null,null,null,null,null,null
2003-04-01,null,null,null,null,null,null
2003-04-02,9.450000,9.450000,7.500000,7.500000,6.164375,26
2003-04-03,7.030000,7.030000,7.030000,7.030000,5.778074,1
