Date,open,high,low,close,adj_close,volume
2002-07-01,39.000000,39.000000,36.000000,36.400002,27.977200,30933
2002-07-02,38.250000,38.750000,36.450001,38.150002,29.322260,11196
2002-07-03,37.700001,38.700001,36.250000,37.049999,28.476791,27942
2002-07-04,36.799999,37.299999,36.000000,36.750000,28.246210,15176
2002-07-05,37.000000,37.450001,36.650002,37.000000,28.438358,5150
2002-07-08,37.450001,38.849998,37.450001,38.400002,29.514406,12975
2002-07-09,39.000000,39.400002,37.500000,37.849998,29.091673,19847
2002-07-10,38.000000,38.150002,36.750000,36.900002,28.361502,17028
2002-07-11,37.000000,37.400002,34.549999,35.599998,27.362314,25324
2002-07-12,36.000000,36.200001,34.700001,35.400002,27.208595,6900
2002-07-15,36.000000,36.000000,34.500000,35.400002,27.208595,7681
2002-07-16,35.500000,36.299999,35.000000,35.500000,27.285452,9104
2002-07-17,35.099998,35.450001,33.700001,34.200001,26.286270,12429
2002-07-18,35.000000,35.750000,34.650002,35.450001,27.247025,14354
2002-07-19,35.250000,35.250000,34.000000,34.200001,26.286270,8707
2002-07-22,34.250000,34.250000,30.049999,30.500000,23.442434,14478
2002-07-23,30.500000,31.500000,30.000000,31.100000,23.903599,11950
2002-07-24,31.000000,31.200001,30.500000,30.500000,23.442434,2855
2002-07-25,31.500000,31.700001,29.750000,30.299999,23.288713,11459
2002-07-26,29.500000,29.799999,28.500000,28.650000,22.020515,16379
2002-07-29,28.750000,28.750000,26.700001,27.400000,21.059759,8610
2002-07-30,27.500000,28.500000,26.549999,26.900000,20.675455,6035
2002-07-31,27.500000,27.950001,25.299999,27.049999,20.790747,4668
2002-08-01,27.150000,28.150000,27.150000,27.950001,21.482494,7045
2002-08-02,27.500000,28.000000,27.100000,27.600000,21.213480,8598
2002-08-05,28.000000,28.250000,27.500000,27.750000,21.328775,2000
2002-08-06,27.500000,27.850000,27.250000,27.700001,21.290340,1740
2002-08-07,28.350000,29.000000,27.700001,28.250000,21.713070,9039
2002-08-08,28.900000,28.900000,27.549999,27.700001,21.290340,3522
2002-08-09,28.200001,28.200001,27.299999,27.549999,21.175051,1520
2002-08-12,28.000000,28.299999,27.549999,27.900000,21.444063,572
2002-08-13,28.200001,28.200001,28.200001,28.200001,21.674646,500
2002-08-14,28.100000,28.500000,28.100000,28.250000,21.713070,2700
2002-08-15,null,null,null,null,null,null
2002-08-16,28.150000,28.500000,28.100000,28.150000,21.636211,2100
2002-08-19,27.650000,28.500000,27.600000,28.500000,21.905226,350
2002-08-20,28.299999,28.400000,28.000000,28.400000,21.828365,225
2002-08-21,32.650002,32.650002,28.000000,28.500000,21.905226,900
2002-08-22,29.000000,29.000000,28.049999,28.250000,21.713070,595
2002-08-23,28.250000,28.799999,28.049999,28.650000,22.020515,700
2002-08-26,28.700001,28.700001,28.700001,28.700001,22.058949,100
2002-08-27,28.500000,28.500000,28.500000,28.500000,21.905226,100
2002-08-28,28.000000,28.400000,27.299999,28.049999,21.559351,4300
2002-08-29,27.400000,28.450001,27.400000,28.100000,21.597784,1179
2002-08-30,27.799999,28.150000,27.799999,28.150000,21.636211,100
2002-09-02,28.500000,28.500000,28.100000,28.450001,21.866795,3000
2002-09-03,28.049999,28.150000,28.000000,28.100000,21.597784,1375
2002-09-04,27.950001,28.000000,27.750000,28.000000,21.520922,773
2002-09-05,27.850000,27.850000,27.850000,27.850000,21.405634,150
2002-09-06,28.250000,28.250000,27.850000,27.850000,21.405634,1200
2002-09-09,26.500000,28.500000,26.500000,28.299999,21.751505,1300
2002-09-10,null,null,null,null,null,null
2002-09-11,27.000000,27.500000,27.000000,27.250000,20.944471,6300
2002-09-12,26.799999,27.049999,26.799999,27.000000,20.752321,260
2002-09-13,26.650000,28.500000,26.650000,27.350000,21.021330,2900
2002-09-16,28.250000,28.250000,27.000000,27.049999,20.790747,3600
2002-09-17,27.500000,27.500000,26.750000,26.750000,20.560167,1100
2002-09-18,26.600000,26.900000,25.500000,26.200001,20.137438,3800
2002-09-19,31.200001,31.200001,24.500000,26.950001,20.713890,4
2002-09-20,29.600000,29.600000,26.200001,26.400000,20.291157,2700
2002-09-23,27.450001,27.450001,26.250000,26.900000,20.675455,700
2002-09-24,25.750000,26.700001,25.700001,26.700001,20.521734,1599
2002-09-25,26.450001,26.450001,26.049999,26.049999,20.022146,100
2002-09-26,null,null,null,null,null,null
2002-09-27,26.100000,26.700001,25.900000,26.000000,19.983715,489
2002-09-30,26.100000,26.100000,25.950001,25.950001,19.945286,53
2002-10-01,24.600000,26.400000,24.600000,25.500000,19.599413,1200
2002-10-02,null,null,null,null,null,null
2002-10-03,25.650000,25.700001,25.250000,25.700001,19.753134,2400
2002-10-04,25.900000,26.500000,25.900000,26.500000,20.368017,1800
2002-10-07,25.100000,26.850000,25.049999,26.049999,20.022146,800
2002-10-08,26.100000,26.500000,26.049999,26.500000,20.368017,1157
2002-10-09,26.500000,26.500000,26.000000,26.000000,19.983715,378
2002-10-10,25.650000,25.650000,25.650000,25.650000,19.714703,100
2002-10-11,25.700001,25.750000,25.700001,25.750000,19.791563,325
2002-10-14,null,null,null,null,null,null
2002-10-15,null,null,null,null,null,null
2002-10-16,28.000000,28.000000,25.750000,25.799999,19.829992,321
2002-10-17,26.900000,27.000000,26.250000,26.799999,20.598597,385
2002-10-18,26.299999,27.450001,26.299999,27.450001,21.098190,700
2002-10-21,26.500000,26.500000,26.500000,26.500000,20.368017,350
2002-10-22,26.500000,28.000000,26.500000,27.200001,20.906040,750
2002-10-23,26.500000,27.000000,26.000000,26.549999,20.406445,700
2002-10-24,26.950001,26.950001,26.000000,26.250000,20.175861,300
2002-10-25,26.500000,27.450001,26.100000,27.150000,20.867609,1000
2002-10-28,26.000000,26.900000,26.000000,26.049999,20.022146,200
2002-10-29,27.000000,27.000000,26.500000,27.000000,20.752321,2200
2002-10-30,27.500000,27.600000,27.500000,27.600000,21.213480,100
2002-10-31,27.450001,27.450001,26.700001,26.700001,20.521734,377
2002-11-01,28.000000,28.000000,26.750000,26.950001,20.713890,300
2002-11-04,26.900000,26.900000,26.100000,26.100000,20.060577,800
2002-11-05,26.500000,26.500000,25.500000,25.600000,19.676268,1800
2002-11-06,null,null,null,null,null,null
2002-11-07,25.400000,26.200001,25.350000,26.000000,19.983715,1400
2002-11-08,26.200001,26.200001,24.950001,25.299999,19.445692,2700
2002-11-11,24.250000,25.750000,24.250000,24.799999,19.061388,1400
2002-11-12,24.250000,24.950001,24.000000,24.400000,18.753946,3200
2002-11-13,24.350000,24.500000,24.350000,24.500000,18.830809,487
2002-11-14,24.500000,25.400000,23.900000,24.250000,18.638660,2800
2002-11-15,24.299999,24.500000,23.549999,24.000000,18.446507,2500
2002-11-18,24.049999,24.049999,23.799999,23.950001,18.408077,994
2002-11-19,null,null,null,null,null,null
2002-11-20,26.299999,26.299999,23.400000,23.700001,18.215923,2600
2002-11-21,23.549999,24.500000,23.549999,24.000000,18.446507,2100
2002-11-22,26.100000,26.100000,23.750000,24.000000,18.446507,4900
2002-11-25,25.900000,25.900000,23.549999,24.049999,18.484936,2700
2002-11-26,24.000000,24.700001,24.000000,24.299999,18.677088,2400
2002-11-27,25.799999,25.799999,24.100000,24.500000,18.830809,1200
2002-11-28,25.200001,25.200001,24.250000,24.299999,18.677088,1100
2002-11-29,26.000000,26.000000,24.950001,25.799999,19.829992,2652
2002-12-02,26.000000,26.650000,26.000000,26.450001,20.329584,2500
2002-12-03,26.799999,26.799999,25.750000,25.799999,19.829992,1900
2002-12-04,25.500000,25.600000,25.250000,25.450001,19.560986,1200
2002-12-05,25.100000,25.500000,25.100000,25.500000,19.599413,1000
2002-12-06,25.549999,26.000000,25.549999,26.000000,19.983715,1100
2002-12-09,26.100000,27.150000,26.100000,26.549999,20.406445,3800
2002-12-10,26.500000,26.900000,25.600000,26.250000,20.175861,1800
2002-12-11,26.000000,26.500000,25.500000,25.750000,19.791563,2000
2002-12-12,25.500000,26.750000,25.200001,25.200001,19.368828,1280
2002-12-13,25.400000,25.500000,24.750000,25.000000,19.215111,800
2002-12-16,25.350000,25.750000,25.100000,25.700001,19.753134,1800
2002-12-17,25.000000,25.350000,24.500000,25.350000,19.484121,2700
2002-12-18,25.350000,25.350000,24.500000,24.549999,18.869234,6200
2002-12-19,24.500000,24.799999,24.500000,24.799999,19.061388,245
2002-12-20,24.350000,26.900000,24.299999,24.400000,18.753946,1600
2002-12-23,24.850000,24.900000,24.750000,24.850000,19.099821,500
2002-12-24,24.799999,25.000000,24.500000,24.850000,19.099821,2000
2002-12-25,null,null,null,null,null,null
2002-12-26,24.850000,25.000000,24.500000,24.500000,18.830809,1800
2002-12-27,24.750000,24.850000,24.299999,24.549999,18.869234,671
2002-12-30,24.000000,24.100000,24.000000,24.100000,18.523367,200
2002-12-31,24.750000,25.200001,24.750000,25.150000,19.330400,1378
2003-01-01,25.900000,25.900000,25.500000,25.500000,19.599413,800
2003-01-02,25.799999,25.799999,24.900000,25.049999,19.253544,652
2003-01-03,25.350000,25.400000,24.850000,25.000000,19.215111,700
2003-01-06,25.200001,25.200001,24.250000,24.500000,18.830809,2300
2003-01-07,24.950001,24.950001,24.600000,24.600000,18.907669,1000
2003-01-08,24.600000,24.600000,24.350000,24.400000,18.753946,800
2003-01-09,25.000000,25.000000,24.600000,24.600000,18.907669,1300
2003-01-10,25.250000,25.250000,24.250000,24.500000,18.830809,1700
2003-01-13,24.450001,24.450001,24.400000,24.400000,18.753946,250
2003-01-14,24.500000,25.500000,24.500000,24.750000,19.022957,1600
2003-01-15,24.500000,24.850000,24.500000,24.850000,19.099821,400
2003-01-16,25.000000,25.000000,24.650000,24.750000,19.022957,1600
2003-01-17,24.299999,24.549999,24.299999,24.549999,18.869234,400
2003-01-20,24.150000,24.650000,24.100000,24.250000,18.638660,1500
2003-01-21,24.000000,24.500000,23.799999,23.799999,18.292782,6100
2003-01-22,23.850000,24.400000,23.549999,23.549999,18.100636,1700
2003-01-23,23.150000,23.600000,22.700001,23.400000,17.985340,3000
2003-01-24,23.500000,23.750000,23.299999,23.299999,17.908485,1300
2003-01-27,22.000000,22.950001,22.000000,22.549999,17.332029,1500
2003-01-28,23.400000,23.400000,22.250000,22.299999,17.139877,700
2003-01-29,22.100000,22.400000,21.799999,22.350000,17.178312,1800
2003-01-30,22.299999,22.900000,22.000000,22.900000,17.601042,4900
2003-01-31,22.250000,22.500000,22.000000,22.350000,17.178312,2000
2003-02-03,22.000000,22.700001,22.000000,22.549999,17.332029,1900
2003-02-04,22.950001,22.950001,22.100000,22.350000,17.178312,48
2003-02-05,22.500000,22.799999,22.299999,22.600000,17.370461,750
2003-02-06,22.600000,22.700001,22.600000,22.700001,17.447321,900
2003-02-07,22.500000,22.500000,22.000000,22.350000,17.178312,2200
2003-02-10,21.950001,22.000000,21.750000,21.850000,16.794004,1600
2003-02-11,21.900000,22.000000,21.799999,21.799999,16.755575,751
2003-02-12,21.700001,22.000000,21.650000,21.900000,16.832432,1190
2003-02-13,null,null,null,null,null,null
2003-02-14,21.150000,21.900000,21.150000,21.650000,16.640285,1900
2003-02-17,22.000000,22.400000,22.000000,22.400000,17.216743,850
2003-02-18,22.400000,22.700001,22.100000,22.100000,16.986155,1700
2003-02-19,22.500000,22.500000,22.000000,22.450001,17.255167,495
2003-02-20,22.650000,22.650000,22.650000,22.650000,17.408888,15
2003-02-21,22.400000,22.400000,21.650000,22.000000,16.909296,2500
2003-02-24,22.799999,22.850000,22.799999,22.850000,17.562611,100
2003-02-25,22.600000,22.600000,22.000000,22.100000,16.986155,350
2003-02-26,22.100000,22.450001,22.049999,22.450001,17.255167,1300
2003-02-27,22.500000,22.700001,22.250000,22.500000,17.293600,1000
2003-02-28,22.950001,23.000000,22.000000,22.000000,16.909296,2500
2003-03-03,22.250000,22.600000,22.250000,22.500000,17.293600,2900
2003-03-04,22.549999,22.549999,22.200001,22.250000,17.101446,1900
2003-03-05,22.100000,22.100000,21.700001,22.000000,16.909296,1265
2003-03-06,21.500000,21.549999,21.500000,21.549999,16.563425,350
2003-03-07,21.450001,21.450001,21.049999,21.049999,16.179121,352
2003-03-10,22.500000,22.950001,20.400000,20.700001,15.910114,11200
2003-03-11,20.250000,21.000000,20.250000,20.950001,16.102264,3300
2003-03-12,20.650000,21.000000,20.650000,20.650000,15.871679,550
2003-03-13,21.000000,21.100000,20.950001,21.100000,16.217554,700
2003-03-14,null,null,null,null,null,null
2003-03-17,20.850000,20.850000,20.850000,20.850000,16.025402,300
2003-03-18,null,null,null,null,null,null
2003-03-19,20.850000,21.500000,20.750000,21.200001,16.294415,538
2003-03-20,21.000000,21.500000,21.000000,21.400000,16.448133,780
2003-03-21,21.000000,21.350000,20.500000,21.299999,16.371273,1691
2003-03-24,21.350000,21.350000,20.500000,20.750000,15.948537,600
2003-03-25,21.000000,21.000000,20.650000,20.950001,16.102264,1000
2003-03-26,20.500000,21.000000,20.250000,20.600000,15.833253,1800
2003-03-27,20.299999,20.799999,20.299999,20.750000,15.948537,200
2003-03-28,20.000000,21.150000,20.000000,20.600000,15.833253,252
2003-03-31,19.150000,20.350000,18.549999,19.600000,15.064646,5600
2003-04-01,20.000000,20.299999,20.000000,20.100000,15.448949,1000
2003-04-02,20.500000,20.900000,20.500000,20.900000,16.063833,2000
2003-04-03,21.000000,21.850000,20.350000,21.850000,16.794004,1400
2003-04-04,20.250000,21.549999,20.250000,21.549999,16.563425,1500
2003-04-07,21.500000,22.950001,21.450001,22.700001,17.447321,2600
2003-04-08,22.500000,22.500000,21.500000,21.500000,16.524996,566
2003-04-09,22.250000,22.350000,21.850000,22.250000,17.101446,426
2003-04-10,21.100000,21.950001,21.100000,21.950001,16.870871,580
2003-04-11,21.600000,22.250000,21.600000,22.049999,16.947725,862
2003-04-14,null,null,null,null,null,null
2003-04-15,21.250000,21.450001,21.000000,21.350000,16.409706,1100
2003-04-16,21.100000,21.100000,20.900000,20.900000,16.063833,300
2003-04-17,21.100000,21.650000,21.049999,21.049999,16.179121,554
2003-04-18,null,null,null,null,null,null
2003-04-21,21.000000,21.000000,21.000000,21.000000,16.140692,100
2003-04-22,21.250000,21.250000,20.950001,21.100000,16.217554,4100
2003-04-23,21.950001,21.950001,21.000000,21.100000,16.217554,900
2003-04-24,20.900000,23.500000,20.700001,21.299999,16.371273,400
2003-04-25,21.100000,21.100000,21.000000,21.049999,16.179121,473
2003-04-28,20.950001,21.450001,20.900000,21.450001,16.486565,1200
2003-04-29,20.000000,21.600000,20.000000,21.350000,16.409706,300
2003-04-30,21.299999,21.500000,21.250000,21.250000,16.332842,2500
2003-05-01,null,null,null,null,null,null
2003-05-02,21.600000,21.650000,21.150000,21.250000,16.332842,5100
2003-05-05,21.299999,21.500000,21.250000,21.350000,16.409706,3100
2003-05-06,21.250000,21.900000,21.250000,21.799999,16.755575,3400
2003-05-07,21.450001,21.450001,21.350000,21.350000,16.409706,950
2003-05-08,null,null,null,null,null,null
2003-05-09,22.100000,22.100000,21.350000,21.900000,16.832432,2500
2003-05-12,22.000000,22.250000,21.750000,22.100000,16.986155,2400
2003-05-13,21.850000,22.350000,21.850000,22.250000,17.101446,3100
2003-05-14,22.799999,24.500000,22.799999,24.500000,18.830809,12400
2003-05-15,26.950001,26.950001,26.000000,26.950001,20.713890,8700
