Date,open,high,low,close,adj_close,volume
2002-07-01,73.949997,75.000000,73.199997,74.900002,64.901436,8619
2002-07-02,75.000000,75.900002,73.000000,74.300003,64.381561,10099
2002-07-03,74.500000,75.500000,74.199997,74.650002,64.684845,2865
2002-07-04,75.500000,77.599998,75.000000,77.250000,66.937744,14631
2002-07-05,75.050003,85.000000,75.050003,83.650002,72.483414,63840
2002-07-08,84.000000,87.849998,83.000000,85.099998,73.739861,34885
2002-07-09,85.500000,85.500000,78.699997,79.750000,69.104034,18043
2002-07-10,81.000000,83.949997,78.250000,79.300003,68.714096,7786
2002-07-11,77.150002,79.900002,76.150002,77.349998,67.024406,4555
2002-07-12,79.949997,80.000000,77.400002,77.599998,67.241035,7695
2002-07-15,74.000000,76.000000,74.000000,74.650002,64.684845,6069
2002-07-16,75.000000,75.650002,74.199997,74.449997,64.511536,2201
2002-07-17,74.500000,74.500000,72.000000,73.150002,63.385071,6481
2002-07-18,73.500000,74.900002,73.500000,74.199997,64.294899,3685
2002-07-19,74.000000,75.000000,73.699997,74.699997,64.728157,3786
2002-07-22,72.500000,74.800003,72.500000,72.900002,63.168453,12467
2002-07-23,72.500000,73.849998,72.500000,73.300003,63.515045,2880
2002-07-24,73.900002,73.900002,70.500000,71.250000,61.738705,7018
2002-07-25,72.099998,73.349998,71.000000,71.650002,62.085323,4435
2002-07-26,71.699997,72.250000,70.000000,71.550003,61.998665,5384
2002-07-29,71.500000,71.500000,68.000000,70.650002,61.218819,5241
2002-07-30,71.099998,71.550003,68.000000,68.250000,59.139191,7253
2002-07-31,68.000000,68.849998,66.599998,68.000000,58.922554,3534
2002-08-01,68.550003,69.900002,67.050003,67.650002,58.619278,5758
2002-08-02,66.500000,68.449997,66.500000,67.949997,58.879227,4257
2002-08-05,69.500000,71.900002,68.300003,70.250000,60.872189,4671
2002-08-06,71.000000,71.000000,69.000000,70.099998,60.742222,2448
2002-08-07,70.300003,72.750000,70.250000,70.949997,61.478764,2827
2002-08-08,71.050003,71.050003,69.250000,69.750000,60.438946,4077
