Date,open,high,low,close,adj_close,volume
2002-07-01,8.279300,8.310190,8.134720,8.270650,2.020224,235952
2002-07-02,8.270650,8.341090,8.208870,8.332440,2.035318,173017
2002-07-03,8.310190,8.433770,8.295370,8.396690,2.051011,89017
2002-07-04,8.520270,8.641370,8.344790,8.449830,2.063992,119218
2002-07-05,8.495550,8.514090,8.371980,8.415230,2.055540,50788
2002-07-08,8.375690,8.542510,8.297840,8.347270,2.038940,84129
2002-07-09,8.514090,8.680910,8.155730,8.458480,2.066104,181409
2002-07-10,8.557340,8.635190,8.495550,8.536330,2.085120,101099
2002-07-11,8.526440,8.588230,8.464660,8.542510,2.086630,94917
2002-07-12,8.501730,8.526440,8.347270,8.517790,2.080592,63299
2002-07-15,8.495550,8.548690,8.295370,8.520270,2.081198,106667
2002-07-16,8.375690,8.514090,8.365800,8.458480,2.066104,212953
2002-07-17,8.462190,8.526440,8.320080,8.507910,2.078178,151175
2002-07-18,8.526440,8.530150,8.421410,8.511620,2.079085,64926
2002-07-19,8.464660,8.464660,8.390520,8.400400,2.051918,36659
2002-07-22,8.279300,8.402870,8.155730,8.375690,2.045882,163379
2002-07-23,7.621900,8.526440,7.621900,8.427590,2.058559,145284
2002-07-24,8.285480,8.489370,8.285480,8.449830,2.063992,90320
2002-07-25,8.402870,8.464660,8.316370,8.332440,2.035318,260302
2002-07-26,8.279300,8.279300,8.124840,8.221220,2.008150,211934
2002-07-29,8.110010,8.155730,7.974080,8.100120,1.978570,242102
2002-07-30,8.128540,8.155730,8.093940,8.134720,1.987021,93735
2002-07-31,8.192800,8.192800,7.951840,8.087770,1.975553,175024
2002-08-01,8.112480,8.155730,7.951840,8.038340,1.963479,67556
2002-08-02,7.955540,8.153260,7.908590,8.091470,1.976457,111806
2002-08-05,8.137190,8.221220,8.035870,8.190330,2.000605,37420
2002-08-06,8.122370,8.279300,8.100120,8.270650,2.020224,44897
2002-08-07,8.196510,8.371980,8.196510,8.332440,2.035318,47195
2002-08-08,8.264470,8.341090,8.180440,8.264470,2.018715,109645
2002-08-09,8.186620,8.402870,8.124840,8.326260,2.033808,84882
2002-08-12,8.402870,8.446120,8.295370,8.390520,2.049505,24383
2002-08-13,8.357150,8.388040,8.165620,8.258290,2.017205,20239
2002-08-14,8.233580,8.332440,8.217520,8.307720,2.029280,31731
2002-08-15,null,null,null,null,null,null
2002-08-16,8.208870,8.365800,8.208870,8.326260,2.033808,111336
2002-08-19,8.341090,8.341090,8.221220,8.242230,2.013282,23751
2002-08-20,8.320080,8.320080,8.236050,8.270650,2.020224,44565
2002-08-21,8.190330,8.310190,8.159440,8.264470,2.018715,32807
2002-08-22,8.276830,8.295370,8.211340,8.270650,2.020224,107023
2002-08-23,8.279300,8.310190,8.186620,8.221220,2.008150,22578
2002-08-26,8.190330,8.341090,8.032160,8.087770,1.975553,43343
2002-08-27,8.079120,8.124840,8.032160,8.050690,1.966496,32046
2002-08-28,8.056870,8.072940,7.939480,7.980260,1.949293,18596
2002-08-29,7.970370,8.093940,7.908590,7.918470,1.934199,30161
2002-08-30,7.924650,7.955540,7.887580,7.937010,1.938728,35987
2002-09-02,7.939480,8.106300,7.939480,7.995090,1.952915,26592
2002-09-03,7.908590,8.044520,7.881400,8.019800,1.958951,23064
2002-09-04,7.970370,8.056870,7.920940,7.955540,1.943254,19584
2002-09-05,8.032160,8.032160,7.862870,7.943190,1.940238,11864
2002-09-06,7.908590,7.955540,7.846800,7.862870,1.920618,25022
