Date,open,high,low,close,adj_close,volume
2006-03-23,19.500000,19.985001,19.200001,19.985001,13.818819,191540
2006-03-24,20.895000,20.900000,19.000000,19.350000,13.379743,99340
2006-03-27,19.600000,19.600000,19.115000,19.440001,13.441974,35240
2006-03-28,18.610001,20.395000,18.610001,19.379999,13.400484,20530
2006-03-29,19.400000,19.600000,19.200001,19.219999,13.289851,2800
2006-03-30,19.000000,19.600000,18.600000,18.905001,13.072042,20600
2006-03-31,18.100000,18.900000,18.100000,18.555000,12.830033,11000
2006-04-03,19.000000,19.299999,18.500000,18.924999,13.085871,244750
2006-04-04,18.254999,18.775000,18.200001,18.725000,12.947581,45560
2006-04-05,18.900000,19.000000,18.309999,18.889999,13.061668,31500
2006-04-07,18.405001,18.885000,18.405001,18.475000,12.774714,20150
2006-04-10,18.150000,18.475000,18.000000,18.000000,12.446271,78590
2006-04-12,17.105000,17.995001,17.100000,17.150000,11.858533,50130
2006-04-13,17.004999,17.004999,16.299999,16.299999,11.270789,38250
2006-04-17,16.315001,17.110001,16.305000,17.110001,11.830872,12750
2006-04-18,17.549999,17.969999,17.549999,17.969999,12.425527,9420
2006-04-19,18.700001,18.870001,18.105000,18.870001,13.047841,41060
2006-04-20,18.799999,18.799999,18.030001,18.469999,12.771257,7500
2006-04-21,18.040001,18.040001,17.580000,17.889999,12.370210,37050
2006-04-24,17.799999,17.799999,17.100000,17.150000,11.858533,5900
2006-04-25,17.950001,17.969999,16.600000,16.820000,11.630347,6430
2006-04-26,16.775000,16.950001,16.600000,16.844999,11.647635,5100
2006-04-27,17.200001,17.590000,16.615000,16.820000,11.630347,8460
2006-04-28,17.340000,17.900000,16.600000,17.900000,12.377125,4350
2006-05-02,18.250000,19.629999,17.520000,18.900000,13.068585,181270
2006-05-03,17.299999,19.000000,17.299999,18.695000,12.926834,23070
2006-05-04,18.799999,18.799999,17.799999,18.139999,12.543074,40560
2006-05-05,17.200001,19.900000,17.200001,19.900000,13.760043,21510
2006-05-08,18.500000,18.900000,17.930000,18.465000,12.767800,185040
2006-05-09,18.445000,18.500000,18.105000,18.120001,12.529249,36500
2006-05-10,18.110001,18.695000,18.110001,18.280001,12.639880,35350
2006-05-11,18.094999,18.094999,17.799999,18.059999,12.487761,62920
2006-05-12,17.510000,17.610001,17.510000,17.520000,12.114370,11750
2006-05-15,17.549999,17.600000,16.200001,16.200001,11.201643,27110
2006-05-16,16.150000,17.000000,16.100000,16.370001,11.319193,8990
2006-05-17,15.825000,16.950001,15.825000,16.500000,11.409083,15790
2006-05-18,17.000000,17.000000,14.850000,15.320000,10.593160,12320
2006-05-19,15.000000,15.000000,13.850000,14.125000,9.766866,19950
2006-05-22,13.500000,15.400000,13.500000,14.940000,10.330405,42550
2006-05-23,14.400000,14.700000,14.000000,14.535000,10.050364,19200
2006-05-24,15.100000,15.990000,15.100000,15.990000,11.056437,103100
2006-05-25,16.110001,16.700001,16.010000,16.670000,11.526630,41500
2006-05-26,17.000000,18.250000,16.424999,17.754999,12.276865,177400
2006-05-29,17.850000,18.200001,17.105000,17.695000,12.235376,58710
2006-05-30,17.299999,17.299999,16.950001,17.000000,11.754812,23260
2006-05-31,16.400000,16.490000,16.150000,16.174999,11.184359,42700
2006-06-01,16.230000,16.500000,15.800000,16.245001,11.232760,32510
2006-06-02,16.200001,16.400000,15.505000,15.505000,10.721081,12660
2006-06-05,16.280001,16.280001,16.280001,16.280001,11.256960,10
2006-06-06,16.000000,16.000000,15.500000,15.830000,10.945804,18260
2006-06-07,15.310000,15.310000,15.050000,15.050000,10.406465,13500
2006-06-08,14.300000,14.300000,14.300000,14.300000,9.887871,0
2006-06-09,14.300000,14.600000,14.300000,14.425000,9.974303,15750
2006-06-12,13.700000,14.500000,12.990000,13.380000,9.251729,50250
2006-06-13,12.300000,12.300000,12.045000,12.045000,8.328629,33600
2006-06-14,11.500000,12.600000,11.450000,11.790000,8.152308,10780
2006-06-15,11.540000,12.350000,11.355000,12.190000,8.428891,17790
2006-06-16,12.675000,12.800000,12.600000,12.600000,8.712391,23750
2006-06-19,12.600000,13.230000,12.225000,13.230000,9.148009,39200
2006-06-20,13.600000,13.820000,13.400000,13.500000,9.334703,24770
2006-06-21,14.100000,14.100000,13.905000,14.000000,9.680433,24000
2006-06-22,14.190000,14.190000,13.400000,13.585000,9.393476,42790
2006-06-23,13.900000,14.265000,13.400000,14.265000,9.863671,5250
2006-06-26,15.650000,15.650000,14.200000,14.350000,9.922445,91430
2006-06-27,14.000000,14.990000,13.950000,14.230000,9.839470,30630
2006-06-28,13.535000,14.100000,13.535000,13.725000,9.490282,3300
2006-06-29,13.550000,14.400000,13.550000,14.055000,9.718463,8260
2006-06-30,14.695000,14.760000,14.450000,14.760000,10.205943,117250
2006-07-03,14.800000,15.350000,14.605000,15.100000,10.441039,55210
2006-07-04,14.700000,14.975000,14.605000,14.750000,10.199028,47340
2006-07-05,14.800000,15.000000,14.515000,14.515000,10.036534,1960
2006-07-06,15.000000,15.245000,14.440000,14.790000,10.226686,35120
2006-07-07,15.000000,15.175000,14.500000,14.500000,10.026162,6360
2006-07-10,14.000000,14.290000,13.780000,14.020000,9.694263,8800
2006-07-11,14.535000,14.535000,13.615000,14.135000,9.773781,8400
2006-07-12,13.600000,14.845000,13.430000,14.845000,10.264718,36030
2006-07-13,15.500000,15.590000,14.350000,15.590000,10.779854,32620
2006-07-14,15.590000,16.370001,15.590000,16.370001,11.319193,104900
2006-07-17,16.600000,17.190001,15.810000,16.090000,11.125585,93820
2006-07-18,16.500000,16.690001,15.860000,16.090000,11.125585,37120
2006-07-19,15.500000,16.600000,15.425000,15.640000,10.814428,20050
2006-07-20,15.350000,16.424999,15.000000,16.389999,11.333021,8440
2006-07-21,15.600000,16.200001,15.600000,15.845000,10.956176,5050
2006-07-24,15.115000,16.084999,15.110000,16.084999,11.122126,36800
2006-07-25,16.700001,16.700001,15.800000,16.459999,11.381423,63940
2006-07-26,16.150000,16.900000,16.150000,16.459999,11.381423,2560
2006-07-27,16.799999,17.230000,16.799999,17.045000,11.785927,70570
2006-07-28,17.299999,17.299999,16.900000,16.990000,13.767128,33340
2006-07-31,17.020000,17.240000,16.500000,16.795000,13.609119,52880
2006-08-01,16.225000,16.700001,16.209999,16.690001,13.524037,1570
2006-08-02,16.100000,16.799999,16.000000,16.260000,13.175605,52420
2006-08-03,15.850000,16.299999,15.700000,15.705000,12.725884,18880
2006-08-04,16.400000,16.490000,16.100000,16.170000,13.102677,10860
2006-08-07,16.650000,16.650000,15.625000,16.004999,12.968974,14050
2006-08-08,15.730000,16.805000,15.730000,16.490000,13.361975,62970
2006-08-09,16.684999,16.790001,16.400000,16.490000,13.361975,19550
2006-08-10,16.150000,16.495001,16.059999,16.440001,13.321462,5710
2006-08-11,15.525000,16.500000,15.525000,16.225000,13.147244,13020
2006-08-14,16.490000,16.490000,16.150000,16.270000,13.183709,10650
2006-08-16,16.490000,16.700001,16.155001,16.350000,13.248533,15890
2006-08-17,15.905000,16.174999,15.700000,16.000000,12.964926,14140
2006-08-18,16.200001,16.450001,16.000000,16.344999,13.244481,33070
2006-08-21,16.299999,17.240000,16.299999,16.895000,13.690151,66180
2006-08-22,17.299999,17.700001,16.805000,16.879999,13.677997,97050
2006-08-23,17.200001,17.200001,16.700001,16.850000,13.653687,30500
2006-08-24,16.520000,17.000000,16.520000,16.995001,13.771182,17710
2006-08-25,16.655001,17.000000,16.655001,16.825001,13.633431,17180
2006-08-28,16.900000,17.100000,16.900000,16.959999,13.742820,23510
2006-08-29,17.200001,17.400000,16.930000,17.004999,13.779284,20090
2006-08-30,17.400000,17.400000,16.799999,17.184999,13.925139,11130
2006-08-31,17.100000,17.100000,16.200001,16.555000,13.414647,44050
2006-09-01,16.549999,17.049999,16.549999,17.035000,13.803593,19070
2006-09-04,17.485001,17.600000,17.030001,17.090000,13.848160,89110
2006-09-05,17.200001,17.500000,17.014999,17.115000,13.868418,37500
2006-09-06,17.080000,17.100000,16.799999,16.834999,13.641533,36380
2006-09-07,17.200001,17.200001,16.799999,16.875000,13.673944,2440
2006-09-08,16.750000,17.049999,16.725000,17.010000,13.783338,19860
2006-09-11,16.900000,16.930000,16.700001,16.745001,13.568604,10750
2006-09-12,16.615000,16.785000,16.504999,16.750000,13.572657,4930
2006-09-13,17.379999,17.900000,17.370001,17.424999,14.119613,230010
2006-09-14,17.600000,18.495001,17.400000,17.469999,14.156075,167900
2006-09-15,17.410000,17.950001,17.400000,17.670000,14.318139,27150
2006-09-18,17.344999,17.950001,17.344999,17.785000,14.411325,57160
2006-09-19,17.995001,19.565001,17.799999,19.520000,15.817207,283450
2006-09-20,20.500000,21.475000,18.500000,21.475000,17.401360,592620
2006-09-21,22.379999,22.549999,22.100000,22.549999,18.272438,243180
2006-09-22,23.000000,23.680000,22.700001,23.610001,19.131369,563370
2006-09-25,24.290001,24.795000,23.000000,23.580000,19.107061,579800
2006-09-26,24.180000,24.184999,22.424999,22.635000,18.341318,236820
2006-09-27,22.820000,22.820000,21.754999,22.240000,18.021248,98460
2006-09-28,22.105000,22.500000,21.799999,22.010000,17.834873,69060
2006-09-29,22.200001,22.200001,21.600000,21.635000,17.531012,21790
2006-10-03,21.995001,22.719999,21.754999,22.719999,18.410196,57360
2006-10-04,23.600000,23.700001,23.049999,23.549999,19.082745,83790
2006-10-05,23.500000,24.000000,22.799999,22.905001,18.560104,38510
2006-10-06,22.625000,23.500000,22.625000,23.434999,18.989565,32180
2006-10-09,22.650000,23.700001,22.650000,23.125000,18.738369,30280
2006-10-10,23.400000,23.500000,22.900000,23.070000,18.693798,49410
2006-10-11,22.905001,23.100000,22.500000,22.844999,18.511482,9350
2006-10-12,22.010000,22.700001,22.010000,22.555000,18.276495,14710
2006-10-13,23.000000,23.000000,22.510000,22.730000,18.418295,13460
2006-10-16,22.500000,22.950001,22.400000,22.400000,18.150896,49090
2006-10-17,22.700001,22.700001,22.200001,22.500000,18.231928,14740
2006-10-18,22.500000,22.990000,22.400000,22.820000,18.491224,31880
2006-10-19,22.504999,22.799999,22.299999,22.530001,18.256233,22290
2006-10-20,22.900000,23.000000,22.400000,22.969999,18.612768,22760
2006-10-23,22.950001,22.950001,22.000000,22.340000,18.102274,42570
2006-10-26,23.000000,23.000000,22.500000,22.760000,18.442606,20850
2006-10-27,23.000000,23.500000,23.000000,23.080000,18.701904,41960
2006-10-30,23.500000,23.600000,22.930000,23.020000,18.653286,300700
2006-10-31,23.485001,23.500000,22.500000,22.825001,18.495274,71060
2006-11-01,22.915001,23.799999,22.500000,23.344999,18.916637,85140
2006-11-02,23.900000,24.400000,23.260000,23.330000,18.904482,77350
2006-11-03,25.000000,25.000000,23.200001,23.690001,19.196192,66730
2006-11-06,23.945000,24.400000,23.850000,23.985001,19.435234,92410
2006-11-07,24.000000,24.295000,23.915001,24.184999,19.597296,48410
2006-11-08,24.549999,24.600000,24.225000,24.355000,19.735048,66390
2006-11-09,24.500000,26.795000,24.500000,26.795000,21.712198,291230
2006-11-10,28.990000,29.370001,28.000000,28.420000,23.028948,1039750
2006-11-13,28.945000,29.000000,27.125000,27.254999,22.084936,335020
2006-11-14,27.254999,28.090000,27.254999,27.825001,22.546816,82730
2006-11-15,28.100000,28.500000,27.100000,28.400000,23.012737,148460
2006-11-16,28.500000,29.500000,28.500000,28.730000,23.280144,319230
2006-11-17,29.200001,29.299999,27.805000,28.254999,22.895245,189130
2006-11-20,28.000000,28.295000,27.400000,27.969999,22.664310,182760
2006-11-21,28.000000,28.389999,27.900000,28.240000,22.883095,158790
2006-11-22,28.500000,29.000000,28.299999,28.920000,23.434107,156310
2006-11-23,28.990000,30.370001,28.650000,30.370001,24.609051,527440
2006-11-24,31.889999,31.889999,31.100000,31.889999,25.840717,305390
2006-11-27,32.500000,33.485001,32.209999,33.244999,26.938684,569640
2006-11-28,32.700001,32.700001,31.705000,32.255001,26.136478,163460
2006-11-29,32.900002,33.869999,32.610001,33.869999,27.445129,97360
2006-11-30,35.299999,35.564999,33.799999,34.965000,28.332411,543940
2006-12-01,34.990002,36.674999,33.500000,36.264999,29.385815,739940
2006-12-04,37.000000,37.000000,35.125000,35.889999,29.081949,267300
2006-12-05,36.900002,37.000000,34.500000,35.075001,28.421549,177860
2006-12-06,35.009998,35.009998,33.410000,33.580002,27.210138,112320
2006-12-07,33.500000,33.990002,33.000000,33.084999,26.809034,87540
2006-12-08,33.500000,34.480000,33.110001,33.945000,27.505901,210470
2006-12-11,34.110001,34.110001,32.299999,32.685001,26.484913,51250
2006-12-12,32.500000,33.389999,31.055000,31.055000,25.164110,59400
2006-12-13,31.100000,31.500000,29.504999,31.379999,25.427460,78680
2006-12-14,31.600000,32.950001,31.600000,32.939999,26.691538,35650
2006-12-15,32.705002,34.139999,32.650002,33.560001,27.193932,163460
2006-12-18,33.814999,35.240002,33.020000,35.230000,28.547142,270290
2006-12-19,36.465000,36.465000,33.480000,33.759998,27.355993,90680
2006-12-20,34.080002,34.400002,33.650002,33.755001,27.351944,40080
2006-12-21,32.209999,34.200001,32.209999,33.990002,27.542364,16370
2006-12-22,33.250000,34.400002,33.250000,33.895000,27.465382,35450
2006-12-26,33.299999,34.689999,33.299999,34.310001,27.801664,74080
2006-12-27,36.000000,36.000000,33.880001,34.994999,28.356722,92770
2006-12-28,34.500000,36.200001,34.500000,36.080002,29.235910,105200
2006-12-29,35.990002,36.599998,35.900002,36.195000,29.329098,143650
2007-01-02,36.000000,37.445000,36.000000,37.275002,30.204226,41130
2007-01-03,38.500000,38.500000,37.005001,37.189999,30.135347,63430
2007-01-04,37.599998,37.599998,36.750000,36.790001,29.811226,45540
2007-01-05,36.799999,37.494999,36.025002,36.250000,29.373655,28010
2007-01-08,36.000000,36.275002,35.705002,36.235001,29.361506,26510
2007-01-09,35.900002,35.900002,34.994999,35.084999,28.429646,48890
2007-01-10,35.005001,35.200001,33.700001,34.000000,27.550467,35370
2007-01-11,35.000000,35.000000,33.500000,33.680000,27.291168,29630
2007-01-12,34.990002,35.349998,34.000000,35.049999,28.401289,106620
2007-01-15,36.599998,36.599998,35.000000,35.125000,28.462065,57230
2007-01-16,35.000000,35.000000,34.500000,34.805000,28.202765,30000
2007-01-17,35.500000,35.779999,34.500000,34.709999,28.125784,13100
2007-01-18,34.500000,35.000000,34.500000,34.500000,27.955622,32510
2007-01-19,34.500000,34.500000,33.255001,33.910000,27.477537,20060
2007-01-22,32.720001,34.500000,32.720001,34.009998,27.558569,21270
2007-01-23,33.209999,35.299999,33.000000,33.049999,26.780676,20150
2007-01-24,33.000000,33.500000,32.000000,32.610001,26.424139,28640
2007-01-25,31.000000,34.200001,31.000000,33.700001,27.307373,14450
2007-01-29,34.779999,35.384998,33.900002,35.384998,28.672739,71430
2007-01-31,37.139999,37.154999,36.400002,36.730000,29.762604,244630
2007-02-01,37.685001,37.799999,35.115002,35.540001,28.798338,31880
2007-02-02,36.200001,36.595001,35.299999,36.150002,29.292627,76090
2007-02-05,36.299999,36.299999,35.500000,35.599998,28.846956,7210
2007-02-06,35.500000,35.500000,34.000000,34.709999,28.125784,14840
2007-02-07,34.110001,34.799999,34.000000,34.005001,27.554516,29720
2007-02-08,34.000000,34.000000,32.599998,33.340000,27.015663,20840
2007-02-09,32.805000,33.340000,31.680000,31.915001,25.860973,32370
2007-02-12,31.700001,32.500000,30.320000,30.980000,25.103336,76950
2007-02-13,30.665001,31.990000,30.665001,31.799999,25.767790,9040
2007-02-14,30.250000,32.099998,30.250000,31.889999,25.840717,12900
2007-02-15,33.299999,33.400002,32.299999,32.935001,26.687490,41950
2007-02-19,33.105000,33.500000,33.000000,33.000000,26.740158,54960
2007-02-20,32.709999,33.000000,32.400002,32.595001,26.411985,25040
2007-02-21,33.799999,33.799999,32.099998,32.125000,26.031137,29600
2007-02-22,32.005001,32.900002,32.000000,32.900002,26.659130,1300
2007-02-23,31.500000,32.400002,31.500000,32.400002,26.253975,25890
2007-02-26,32.000000,32.400002,31.410000,31.625000,25.625986,27530
2007-02-27,31.600000,31.600000,30.799999,31.080000,25.184368,27820
2007-02-28,30.000000,32.500000,30.000000,31.230000,25.305914,236050
2007-03-01,31.700001,31.900000,31.400000,31.705000,25.690807,7470
2007-03-02,31.500000,31.895000,31.200001,31.340000,25.395048,26490
2007-03-05,30.200001,31.125000,29.775000,29.775000,24.126917,33170
2007-03-06,29.535000,29.535000,28.799999,29.100000,23.579960,27110
2007-03-07,30.500000,30.500000,28.500000,29.250000,23.701502,16500
2007-03-08,28.600000,29.000000,28.000000,28.855000,23.381432,50760
2007-03-09,29.299999,29.299999,28.500000,28.500000,23.093773,21070
2007-03-12,28.990000,28.990000,27.525000,27.844999,22.563023,37490
2007-03-13,28.495001,28.495001,27.600000,28.035000,22.716978,10100
