Date,open,high,low,close,adj_close,volume
2002-08-12,29.900000,31.500000,29.900000,30.000000,24.525257,400
2002-08-13,24.650000,30.000000,24.650000,29.100000,23.789499,100
2002-08-14,31.000000,31.950001,31.000000,31.150000,25.465389,700
2002-08-15,null,null,null,null,null,null
2002-08-16,30.000000,31.000000,29.150000,29.350000,23.993877,900
2002-08-19,28.350000,29.000000,28.250000,28.549999,23.339870,2200
2002-08-20,28.750000,29.000000,28.500000,28.500000,23.298994,500
2002-08-21,28.500000,30.100000,28.500000,29.049999,23.748623,4300
2002-08-22,28.600000,30.000000,28.549999,30.000000,24.525257,1500
2002-08-23,28.600000,28.600000,28.600000,28.600000,23.380745,200
2002-08-26,29.000000,30.000000,28.750000,28.750000,23.503370,100
2002-08-27,28.900000,29.700001,28.750000,29.700001,24.280005,3600
2002-08-28,27.600000,28.750000,27.549999,28.750000,23.503370,400
2002-08-29,28.500000,28.500000,28.500000,28.500000,23.298994,300
2002-08-30,null,null,null,null,null,null
2002-09-02,29.250000,29.250000,29.150000,29.150000,23.830372,100
2002-09-03,null,null,null,null,null,null
2002-09-04,null,null,null,null,null,null
2002-09-05,29.000000,29.900000,29.000000,29.900000,24.443506,400
2002-09-06,29.900000,29.900000,29.000000,29.000000,23.707748,700
2002-09-09,29.000000,29.600000,27.250000,27.650000,22.604109,1000
2002-09-10,null,null,null,null,null,null
2002-09-11,29.000000,29.000000,29.000000,29.000000,23.707748,500
2002-09-12,28.049999,29.950001,28.000000,29.600000,24.198252,1000
2002-09-13,29.500000,30.000000,29.500000,30.000000,24.525257,500
2002-09-16,29.850000,30.500000,29.850000,30.500000,24.934013,1100
2002-09-17,null,null,null,null,null,null
2002-09-18,29.900000,29.900000,29.500000,29.500000,24.116501,600
2002-09-19,27.650000,27.700001,27.600000,27.700001,22.644987,1000
2002-09-20,27.049999,30.000000,27.049999,29.799999,24.361752,2700
2002-09-23,29.000000,30.000000,29.000000,30.000000,24.525257,1700
2002-09-24,29.000000,30.000000,29.000000,29.900000,24.443506,2300
2002-09-25,29.799999,30.000000,28.600000,28.600000,23.380745,2200
2002-09-26,26.200001,26.200001,26.200001,26.200001,21.418722,100
2002-09-27,30.000000,30.000000,29.950001,30.000000,24.525257,3000
2002-09-30,29.049999,29.500000,29.049999,29.500000,24.116501,500
2002-10-01,null,null,null,null,null,null
2002-10-02,null,null,null,null,null,null
2002-10-03,null,null,null,null,null,null
2002-10-04,null,null,null,null,null,null
2002-10-07,null,null,null,null,null,null
2002-10-08,null,null,null,null,null,null
2002-10-09,null,null,null,null,null,null
2002-10-10,null,null,null,null,null,null
2002-10-11,null,null,null,null,null,null
2002-10-14,null,null,null,null,null,null
2002-10-15,null,null,null,null,null,null
2002-10-16,null,null,null,null,null,null
2002-10-17,null,null,null,null,null,null
2002-10-18,null,null,null,null,null,null
2002-10-21,null,null,null,null,null,null
2002-10-22,null,null,null,null,null,null
2002-10-23,null,null,null,null,null,null
2002-10-24,null,null,null,null,null,null
2002-10-25,null,null,null,null,null,null
2002-10-28,null,null,null,null,null,null
2002-10-29,null,null,null,null,null,null
2002-10-30,null,null,null,null,null,null
2002-10-31,null,null,null,null,null,null
2002-11-01,null,null,null,null,null,null
2002-11-04,null,null,null,null,null,null
2002-11-05,null,null,null,null,null,null
2002-11-06,null,null,null,null,null,null
2002-11-07,null,null,null,null,null,null
2002-11-08,null,null,null,null,null,null
2002-11-11,null,null,null,null,null,null
2002-11-12,null,null,null,null,null,null
2002-11-13,null,null,null,null,null,null
2002-11-14,null,null,null,null,null,null
2002-11-15,null,null,null,null,null,null
2002-11-18,null,null,null,null,null,null
2002-11-19,null,null,null,null,null,null
2002-11-20,null,null,null,null,null,null
2002-11-21,null,null,null,null,null,null
2002-11-22,null,null,null,null,null,null
2002-11-25,null,null,null,null,null,null
2002-11-26,null,null,null,null,null,null
2002-11-27,null,null,null,null,null,null
2002-11-28,null,null,null,null,null,null
2002-11-29,null,null,null,null,null,null
2002-12-02,null,null,null,null,null,null
2002-12-03,null,null,null,null,null,null
2002-12-04,null,null,null,null,null,null
2002-12-05,null,null,null,null,null,null
2002-12-06,null,null,null,null,null,null
2002-12-09,null,null,null,null,null,null
2002-12-10,null,null,null,null,null,null
2002-12-11,null,null,null,null,null,null
2002-12-12,null,null,null,null,null,null
2002-12-13,null,null,null,null,null,null
2002-12-16,null,null,null,null,null,null
2002-12-17,null,null,null,null,null,null
2002-12-18,null,null,null,null,null,null
2002-12-19,null,null,null,null,null,null
2002-12-20,null,null,null,null,null,null
2002-12-23,null,null,null,null,null,null
2002-12-24,null,null,null,null,null,null
2002-12-25,null,null,null,null,null,null
2002-12-26,null,null,null,null,null,null
2002-12-27,null,null,null,null,null,null
2002-12-30,null,null,null,null,null,null
2002-12-31,null,null,null,null,null,null
2003-01-01,null,null,null,null,null,null
2003-01-02,null,null,null,null,null,null
2003-01-03,null,null,null,null,null,null
2003-01-06,null,null,null,null,null,null
2003-01-07,null,null,null,null,null,null
2003-01-08,null,null,null,null,null,null
2003-01-09,null,null,null,null,null,null
2003-01-10,null,null,null,null,null,null
2003-01-13,null,null,null,null,null,null
2003-01-14,null,null,null,null,null,null
2003-01-15,null,null,null,null,null,null
2003-01-16,null,null,null,null,null,null
2003-01-17,null,null,null,null,null,null
2003-01-20,null,null,null,null,null,null
2003-01-21,null,null,null,null,null,null
2003-01-22,null,null,null,null,null,null
2003-01-23,null,null,null,null,null,null
2003-01-24,null,null,null,null,null,null
2003-01-27,null,null,null,null,null,null
2003-01-28,null,null,null,null,null,null
2003-01-29,null,null,null,null,null,null
2003-01-30,null,null,null,null,null,null
2003-01-31,null,null,null,null,null,null
2003-02-03,null,null,null,null,null,null
2003-02-04,null,null,null,null,null,null
2003-02-05,null,null,null,null,null,null
2003-02-06,null,null,null,null,null,null
2003-02-07,null,null,null,null,null,null
2003-02-10,null,null,null,null,null,null
2003-02-11,null,null,null,null,null,null
2003-02-12,null,null,null,null,null,null
2003-02-13,null,null,null,null,null,null
2003-02-14,null,null,null,null,null,null
2003-02-17,null,null,null,null,null,null
2003-02-18,null,null,null,null,null,null
2003-02-19,null,null,null,null,null,null
2003-02-20,null,null,null,null,null,null
2003-02-21,null,null,null,null,null,null
2003-02-24,null,null,null,null,null,null
2003-02-25,null,null,null,null,null,null
2003-02-26,null,null,null,null,null,null
2003-02-27,null,null,null,null,null,null
2003-02-28,null,null,null,null,null,null
2003-03-03,null,null,null,null,null,null
2003-03-04,null,null,null,null,null,null
2003-03-05,null,null,null,null,null,null
2003-03-06,null,null,null,null,null,null
2003-03-07,null,null,null,null,null,null
2003-03-10,null,null,null,null,null,null
2003-03-11,null,null,null,null,null,null
2003-03-12,null,null,null,null,null,null
2003-03-13,null,null,null,null,null,null
2003-03-14,null,null,null,null,null,null
2003-03-17,null,null,null,null,null,null
2003-03-18,null,null,null,null,null,null
2003-03-19,null,null,null,null,null,null
2003-03-20,null,null,null,null,null,null
2003-03-21,null,null,null,null,null,null
2003-03-24,null,null,null,null,null,null
2003-03-25,null,null,null,null,null,null
2003-03-26,null,null,null,null,null,null
2003-03-27,null,null,null,null,null,null
2003-03-28,null,null,null,null,null,null
2003-03-31,null,null,null,null,null,null
2003-04-01,null,null,null,null,null,null
2003-04-02,null,null,null,null,null,null
2003-04-03,null,null,null,null,null,null
2003-04-04,null,null,null,null,null,null
2003-04-07,null,null,null,null,null,null
2003-04-08,null,null,null,null,null,null
2003-04-09,null,null,null,null,null,null
2003-04-10,null,null,null,null,null,null
2003-04-11,null,null,null,null,null,null
2003-04-14,null,null,null,null,null,null
2003-04-15,null,null,null,null,null,null
2003-04-16,null,null,null,null,null,null
2003-04-17,null,null,null,null,null,null
2003-04-18,null,null,null,null,null,null
2003-04-21,null,null,null,null,null,null
2003-04-22,null,null,null,null,null,null
2003-04-23,null,null,null,null,null,null
2003-04-24,null,null,null,null,null,null
2003-04-25,null,null,null,null,null,null
2003-04-28,null,null,null,null,null,null
2003-04-29,null,null,null,null,null,null
2003-04-30,null,null,null,null,null,null
2003-05-01,null,null,null,null,null,null
2003-05-02,null,null,null,null,null,null
