Date,open,high,low,close,adj_close,volume
2008-04-21,0.240000,2.698260,0.240000,2.693700,0.830215,628590
2008-04-22,3.232610,3.232610,2.717390,3.232610,0.996310,1959140
2008-04-23,3.543480,3.878260,2.739130,3.525650,1.086627,11968280
2008-04-24,3.525650,3.525650,3.282610,3.448040,1.062707,3065900
2008-04-25,3.304350,4.086960,3.304350,3.728480,1.149140,2110940
2008-04-28,3.813040,4.474350,3.813040,4.474350,1.379022,4487990
2008-04-29,4.569570,4.921960,4.565220,4.921960,1.516978,2083340
2008-04-30,5.414350,5.414350,4.613910,5.135870,1.582907,4619090
2008-05-02,5.439130,5.565220,4.782610,5.261740,1.621701,3296820
2008-05-05,null,null,null,null,null,null
2008-05-06,null,null,null,null,null,null
2008-05-07,null,null,null,null,null,null
2008-05-08,null,null,null,null,null,null
2008-05-09,null,null,null,null,null,null
2008-05-12,null,null,null,null,null,null
2008-05-13,null,null,null,null,null,null
2008-05-14,null,null,null,null,null,null
2008-05-15,null,null,null,null,null,null
2008-05-16,null,null,null,null,null,null
2008-05-20,null,null,null,null,null,null
2008-05-21,null,null,null,null,null,null
2008-05-22,null,null,null,null,null,null
2008-05-23,null,null,null,null,null,null
2008-05-26,null,null,null,null,null,null
2008-05-27,null,null,null,null,null,null
2008-05-28,null,null,null,null,null,null
2008-05-29,null,null,null,null,null,null
2008-05-30,null,null,null,null,null,null
2008-06-02,null,null,null,null,null,null
2008-06-03,null,null,null,null,null,null
2008-06-04,null,null,null,null,null,null
2008-06-05,null,null,null,null,null,null
2008-06-06,null,null,null,null,null,null
2008-06-09,null,null,null,null,null,null
2008-06-10,null,null,null,null,null,null
2008-06-11,null,null,null,null,null,null
2008-06-12,null,null,null,null,null,null
2008-06-13,2.004350,2.170000,2.004350,2.170000,0.668807,16100
2008-06-16,2.278700,2.278700,2.208910,2.221740,0.684754,39560
2008-06-17,2.155220,2.295650,2.155220,2.192830,0.675844,91770
2008-06-18,2.200000,2.243260,2.200000,2.200430,0.678186,4140
2008-06-19,2.200000,2.200000,2.100000,2.105430,0.648906,8050
2008-06-20,2.208700,2.208700,2.002170,2.004350,0.617753,9660
2008-06-23,1.913040,1.934780,1.913040,1.921960,0.592360,28060
2008-06-24,1.834780,1.834780,1.826960,1.830430,0.564150,28750
2008-06-25,1.739130,1.921740,1.739130,1.921740,0.592292,34040
2008-06-26,1.921740,1.921740,1.826090,1.826090,0.562812,6670
2008-06-27,1.826090,1.917390,1.739130,1.739130,0.536011,17710
2008-06-30,1.804350,1.804350,1.652170,1.668040,0.514100,12650
2008-07-01,null,null,null,null,null,null
2008-07-02,1.591300,1.747830,1.586960,1.747830,0.538692,45310
2008-07-03,1.826090,1.830430,1.660870,1.660870,0.511890,24610
2008-07-04,null,null,null,null,null,null
2008-07-07,1.578260,1.608700,1.565220,1.608700,0.495811,11040
2008-07-08,1.760870,1.760870,1.617390,1.627170,0.501504,13110
2008-07-09,1.780650,1.780650,1.780650,1.780650,0.548807,230
2008-07-10,1.947830,1.952170,1.695650,1.695650,0.522610,11040
2008-07-11,1.695650,1.695650,1.695650,1.695650,0.522610,1610
2008-07-14,null,null,null,null,null,null
2008-07-15,1.782610,1.821740,1.652390,1.695650,0.522610,2530
2008-07-16,1.865220,1.865220,1.565220,1.766960,0.544588,31740
2008-07-17,1.865220,1.868260,1.685000,1.833040,0.564954,21160
2008-07-18,1.739130,1.739130,1.704350,1.712390,0.527769,1610
2008-07-21,1.543480,1.691300,1.541300,1.691300,0.521269,8740
2008-07-22,1.695650,1.695650,1.547830,1.695650,0.522610,920
2008-07-23,1.817390,1.817390,1.530430,1.614350,0.497553,32660
2008-07-24,1.726090,1.773910,1.482610,1.695650,0.522610,24610
2008-07-25,1.695650,1.695650,1.565220,1.608700,0.495811,16560
2008-07-28,1.760870,1.760870,1.478260,1.565650,0.482543,40480
2008-07-29,1.608700,1.652170,1.521740,1.608700,0.495811,9200
2008-07-30,1.652170,1.652170,1.547830,1.634780,0.503849,46920
2008-07-31,1.695650,1.695650,1.530430,1.543480,0.475710,3680
2008-08-01,1.413040,1.465220,1.413040,1.465220,0.451590,1380
2008-08-04,1.439130,1.611740,1.439130,1.605000,0.494671,32200
2008-08-05,1.556520,1.730430,1.556520,1.696960,0.523013,21390
2008-08-06,1.652170,1.808700,1.608700,1.615870,0.498021,543950
2008-08-07,1.586960,1.695650,1.586960,1.695650,0.522610,5980
2008-08-08,1.843480,1.843480,1.621740,1.712170,0.527701,44850
2008-08-11,1.673910,1.821740,1.673910,1.744570,0.537687,27830
2008-08-12,1.643480,1.673910,1.617390,1.645650,0.507200,28750
2008-08-13,1.782610,1.791300,1.643910,1.739570,0.536146,5290
2008-08-14,1.582610,1.739130,1.582610,1.724570,0.531523,5980
2008-08-18,1.591300,1.897170,1.591300,1.895650,0.584251,115920
2008-08-19,2.065220,2.085220,2.060650,2.085220,0.642678,75440
2008-08-20,2.293910,2.293910,2.293910,2.293910,0.706997,41400
2008-08-21,2.408700,2.408700,2.186960,2.326090,0.716915,350060
2008-08-22,2.382610,2.430000,2.210000,2.391520,0.737081,232760
2008-08-25,2.339130,2.506090,2.273910,2.476960,0.763414,219190
2008-08-26,2.408700,2.500000,2.353700,2.483260,0.765356,206310
2008-08-27,2.400000,2.603910,2.395650,2.475000,0.762810,45310
2008-08-28,2.421740,2.521740,2.421740,2.502390,0.771252,85790
2008-08-29,2.434780,2.565220,2.434780,2.523480,0.777752,81190
2008-09-01,2.469570,2.586960,2.421740,2.478260,0.763815,8740
2008-09-02,2.500000,2.536960,2.456740,2.469350,0.761069,33580
2008-09-04,2.521740,2.521740,2.346090,2.347830,0.723616,20240
2008-09-05,2.239130,2.343480,2.230430,2.334780,0.719594,4140
2008-09-08,null,null,null,null,null,null
2008-09-09,null,null,null,null,null,null
2008-09-10,null,null,null,null,null,null
2008-09-11,null,null,null,null,null,null
2008-09-12,null,null,null,null,null,null
2008-09-15,null,null,null,null,null,null
2008-09-16,null,null,null,null,null,null
2008-09-17,null,null,null,null,null,null
2008-09-18,null,null,null,null,null,null
2008-09-19,null,null,null,null,null,null
2008-09-22,null,null,null,null,null,null
2008-09-23,null,null,null,null,null,null
2008-09-24,null,null,null,null,null,null
2008-09-25,null,null,null,null,null,null
2008-09-26,null,null,null,null,null,null
2008-09-29,null,null,null,null,null,null
2008-09-30,null,null,null,null,null,null
2008-10-01,null,null,null,null,null,null
2008-10-03,null,null,null,null,null,null
2008-10-06,null,null,null,null,null,null
2008-10-07,null,null,null,null,null,null
2008-10-08,null,null,null,null,null,null
2008-10-10,null,null,null,null,null,null
2008-10-13,null,null,null,null,null,null
2008-10-14,null,null,null,null,null,null
2008-10-15,null,null,null,null,null,null
2008-10-16,null,null,null,null,null,null
2008-10-17,null,null,null,null,null,null
2008-10-20,null,null,null,null,null,null
2008-10-21,null,null,null,null,null,null
2008-10-22,null,null,null,null,null,null
2008-10-23,null,null,null,null,null,null
2008-10-24,null,null,null,null,null,null
2008-10-27,null,null,null,null,null,null
2008-10-29,null,null,null,null,null,null
2008-10-31,null,null,null,null,null,null
2008-11-03,null,null,null,null,null,null
2008-11-04,null,null,null,null,null,null
2008-11-05,null,null,null,null,null,null
2008-11-06,null,null,null,null,null,null
2008-11-07,null,null,null,null,null,null
2008-11-10,null,null,null,null,null,null
2008-11-11,null,null,null,null,null,null
2008-11-12,null,null,null,null,null,null
2008-11-14,null,null,null,null,null,null
2008-11-17,null,null,null,null,null,null
2008-11-18,null,null,null,null,null,null
2008-11-19,null,null,null,null,null,null
2008-11-20,null,null,null,null,null,null
2008-11-21,null,null,null,null,null,null
2008-11-24,null,null,null,null,null,null
2008-11-25,null,null,null,null,null,null
2008-11-26,null,null,null,null,null,null
2008-11-27,null,null,null,null,null,null
2008-11-28,null,null,null,null,null,null
2008-12-01,1.493040,1.493040,1.477170,1.477170,0.455273,920
2008-12-02,1.533910,1.533910,1.403480,1.403480,0.432561,8740
2008-12-03,1.400000,1.400000,1.336090,1.377170,0.424452,690
2008-12-04,1.309780,1.309780,1.309780,1.309780,0.403682,1610
2008-12-05,1.373040,1.373040,1.244570,1.244570,0.383584,2070
2008-12-08,1.217390,1.217390,1.182390,1.182390,0.364420,8050
2008-12-10,1.241300,1.241300,1.123480,1.128040,0.347669,11730
2008-12-11,1.184350,1.184350,1.108700,1.108700,0.341708,25300
2008-12-12,null,null,null,null,null,null
2008-12-15,1.164130,1.164130,1.164130,1.164130,0.358792,230
2008-12-16,1.113040,1.113040,1.113040,1.113040,0.343046,230
2008-12-17,null,null,null,null,null,null
2008-12-18,null,null,null,null,null,null
2008-12-19,1.168700,1.168700,1.160650,1.160650,0.357719,16100
2008-12-22,null,null,null,null,null,null
2008-12-23,null,null,null,null,null,null
2008-12-24,1.104350,1.104350,1.104350,1.104350,0.340367,2070
2008-12-26,null,null,null,null,null,null
2008-12-29,1.147830,1.147830,1.147830,1.147830,0.353768,9430
2008-12-30,1.147830,1.204350,1.147830,1.204350,0.371188,920
2008-12-31,null,null,null,null,null,null
2009-01-02,1.260870,1.269570,1.204350,1.206090,0.371724,48070
2009-01-05,1.256520,1.260870,1.256520,1.260870,0.388608,67160
2009-01-06,1.200000,1.200000,1.200000,1.200000,0.369847,23460
2009-01-07,null,null,null,null,null,null
2009-01-09,null,null,null,null,null,null
2009-01-12,1.140000,1.140000,1.140000,1.140000,0.351355,1150
2009-01-13,1.084780,1.084780,1.084780,1.084780,0.334336,1150
2009-01-14,null,null,null,null,null,null
2009-01-15,1.032610,1.032610,1.032610,1.032610,0.318257,1150
2009-01-16,0.982610,0.982610,0.982610,0.982610,0.302846,1150
2009-01-19,0.934780,0.934780,0.934780,0.934780,0.288105,3450
