Date,open,high,low,close,adj_close,volume
2004-01-15,551.000000,551.000000,550.000000,550.000000,455.770416,51
2004-01-16,542.000000,569.000000,530.200012,530.200012,439.362671,229
2004-01-19,531.000000,544.799988,525.099976,525.099976,435.136505,246
2004-01-20,521.000000,579.200012,481.000000,535.400024,443.671814,649
2004-01-21,555.549988,564.000000,495.100006,499.350006,413.798157,654
2004-01-22,490.000000,492.700012,466.250000,466.250000,386.369019,114
2004-01-23,460.549988,494.000000,460.000000,491.250000,407.085938,148
2004-01-26,null,null,null,null,null,null
2004-01-27,489.000000,499.000000,488.750000,491.200012,407.044495,185
2004-01-28,485.000000,518.000000,480.000000,480.000000,397.763336,579
2004-01-29,476.000000,509.299988,472.500000,490.350006,406.340088,1097
2004-01-30,485.000000,529.000000,475.000000,481.149994,398.716309,182
2004-02-02,null,null,null,null,null,null
2004-02-03,484.899994,484.899994,448.000000,452.750000,375.181915,435
2004-02-04,475.000000,481.000000,462.000000,470.000000,389.476532,166
2004-02-05,550.000000,550.000000,470.500000,479.000000,396.934601,1505
2004-02-06,508.950012,509.000000,478.000000,480.600006,398.260529,644
2004-02-09,500.000000,500.000000,485.299988,490.000000,406.050079,331
2004-02-10,490.000000,495.000000,477.000000,480.899994,398.509155,466
2004-02-11,487.899994,489.000000,470.000000,470.750000,390.098083,717
2004-02-12,510.000000,510.000000,465.500000,474.450012,393.164185,1233
2004-02-13,494.850006,498.000000,480.399994,490.600006,406.547302,1315
2004-02-16,509.000000,529.799988,496.000000,504.100006,417.734375,2358
2004-02-17,500.100006,521.950012,482.049988,487.850006,404.268311,1490
2004-02-18,455.000000,517.500000,455.000000,516.049988,427.637054,2820
2004-02-19,520.000000,540.000000,511.100006,520.700012,431.490326,4492
2004-02-20,525.000000,534.950012,513.250000,524.950012,435.012207,1081
2004-02-23,602.000000,602.000000,507.649994,521.950012,432.526154,3121
2004-02-24,525.000000,536.349976,510.000000,532.900024,441.600220,3679
2004-02-25,485.000000,486.000000,432.000000,455.250000,377.253693,21838
2004-02-26,494.899994,494.899994,462.000000,468.700012,388.399323,13673
2004-02-27,470.000000,479.399994,462.000000,473.149994,392.086914,5122
2004-03-01,488.799988,500.000000,480.000000,491.850006,407.583160,5963
2004-03-02,null,null,null,null,null,null
2004-03-03,528.799988,545.500000,476.100006,480.950012,398.550629,2324
2004-03-04,490.000000,508.000000,484.000000,489.549988,405.677185,6793
2004-03-05,492.799988,587.500000,492.799988,587.500000,486.845673,39735
2004-03-08,605.000000,648.000000,583.000000,606.049988,502.217590,67531
2004-03-09,598.700012,644.900024,560.000000,596.549988,494.345215,101023
2004-03-10,597.799988,619.000000,580.000000,594.000000,492.232117,48912
2004-03-11,597.000000,612.900024,566.000000,575.150024,476.611603,29540
2004-03-12,573.000000,573.799988,550.000000,563.049988,466.584625,18391
2004-03-15,565.000000,585.000000,532.049988,545.099976,451.709930,13651
2004-03-16,547.000000,568.799988,511.250000,521.700012,432.319031,17397
2004-03-17,522.000000,529.500000,505.000000,509.850006,422.499268,12709
2004-03-18,517.700012,517.700012,465.000000,499.899994,414.253876,60162
2004-03-19,462.000000,522.849976,456.000000,503.100006,416.905701,298386
2004-03-22,502.000000,502.000000,438.000000,460.250000,381.396973,556638
2004-03-23,460.000000,474.399994,460.000000,467.950012,387.777740,191646
2004-03-24,466.000000,500.000000,445.000000,474.600006,393.288483,97251
2004-03-25,480.000000,483.799988,472.000000,479.649994,397.473236,59341
2004-03-26,481.000000,486.000000,472.500000,480.200012,397.929016,68276
2004-03-29,452.000000,485.000000,452.000000,480.549988,398.219055,48282
2004-03-30,480.000000,503.100006,480.000000,498.200012,412.845215,71357
2004-03-31,508.950012,514.000000,500.000000,510.149994,422.747894,111505
2004-04-01,519.000000,521.400024,500.299988,509.149994,421.919128,167474
2004-04-02,506.200012,515.000000,503.899994,511.649994,423.990845,63279
2004-04-05,518.000000,528.000000,510.000000,516.650024,428.134216,65600
2004-04-06,520.000000,525.000000,511.600006,519.450012,430.454529,80821
2004-04-07,515.000000,524.000000,512.599976,516.349976,427.885590,35252
2004-04-08,510.000000,515.000000,502.000000,510.049988,422.664948,48748
2004-04-09,null,null,null,null,null,null
2004-04-12,505.500000,558.000000,505.500000,531.500000,440.440033,169471
2004-04-13,535.000000,550.000000,524.099976,540.799988,448.146667,78360
2004-04-14,null,null,null,null,null,null
2004-04-15,544.349976,573.000000,537.000000,564.250000,467.579010,128928
2004-04-16,569.000000,575.000000,550.000000,562.049988,465.755981,106689
2004-04-19,569.799988,584.000000,550.099976,568.500000,471.100952,128686
2004-04-20,569.900024,569.900024,561.849976,562.200012,465.880341,60023
2004-04-21,557.000000,572.000000,550.000000,560.650024,464.595856,85116
2004-04-22,558.000000,568.500000,556.000000,562.200012,465.880341,43857
2004-04-23,560.000000,567.000000,557.000000,562.099976,465.797363,53360
2004-04-26,null,null,null,null,null,null
2004-04-27,511.500000,564.000000,510.000000,536.900024,444.914825,95530
2004-04-28,521.000000,540.000000,521.000000,536.549988,444.624786,31537
2004-04-29,545.000000,546.000000,526.099976,537.650024,445.536407,21635
2004-04-30,520.000000,549.000000,520.000000,543.099976,450.052612,18707
2004-05-03,525.000000,530.000000,500.000000,508.100006,421.049072,42528
2004-05-04,510.000000,534.500000,508.500000,522.200012,432.733368,34423
2004-05-05,526.000000,529.950012,524.000000,525.150024,435.177979,16518
2004-05-06,555.000000,625.000000,526.799988,527.049988,436.752411,20295
2004-05-07,526.799988,531.000000,522.000000,529.400024,438.699799,13089
2004-05-10,510.049988,535.000000,505.000000,527.849976,437.415344,18413
2004-05-11,501.000000,531.000000,501.000000,525.700012,435.633728,25616
2004-05-12,520.000000,531.000000,512.000000,526.950012,436.669525,42175
2004-05-13,495.000000,524.900024,495.000000,522.400024,432.899048,61999
2004-05-14,515.099976,517.900024,449.000000,460.299988,381.438416,61987
2004-05-17,410.000000,418.850006,369.000000,391.049988,324.052765,15969
2004-05-18,390.000000,399.000000,381.000000,394.350006,326.787476,37254
2004-05-19,429.950012,441.000000,404.000000,407.850006,337.974518,33168
2004-05-20,434.000000,435.000000,416.000000,425.149994,352.310547,38128
2004-05-21,435.000000,440.000000,391.000000,426.850006,353.719330,48006
2004-05-24,440.000000,440.000000,420.000000,428.950012,355.459503,18254
2004-05-25,420.000000,430.000000,420.000000,429.000000,355.500946,6201
2004-05-26,422.000000,438.000000,420.000000,430.200012,356.495392,6037
2004-05-27,440.000000,440.000000,410.049988,433.850006,359.520020,7835
2004-05-28,425.100006,432.100006,410.049988,414.750000,343.692352,24342
2004-05-31,405.000000,405.000000,380.100006,392.450012,325.212952,29559
2004-06-01,388.000000,408.000000,385.500000,389.299988,322.602600,26974
2004-06-02,396.200012,400.000000,385.100006,397.950012,329.770691,18510
2004-06-03,390.000000,414.899994,390.000000,411.850006,341.289246,12613
2004-06-04,420.000000,422.000000,405.149994,418.649994,346.924255,7172
2004-06-07,439.950012,439.950012,414.000000,425.750000,352.807831,23116
2004-06-08,422.000000,422.799988,415.049988,420.049988,348.084320,13778
2004-06-09,420.000000,435.000000,420.000000,431.350006,357.448395,8063
2004-06-10,425.000000,450.000000,425.000000,448.600006,371.742981,15893
2004-06-11,444.500000,459.000000,440.000000,450.649994,373.441742,20721
2004-06-14,447.000000,453.000000,441.500000,445.350006,369.049805,11256
2004-06-15,425.000000,456.299988,425.000000,454.950012,377.005035,6840
2004-06-16,451.100006,455.250000,450.000000,454.200012,376.383545,6689
2004-06-17,455.000000,461.000000,448.299988,460.049988,381.231262,4289
2004-06-18,452.000000,461.750000,450.100006,461.399994,382.350067,10906
2004-06-21,452.000000,460.000000,452.000000,455.049988,377.087921,9683
2004-06-22,457.000000,457.000000,448.000000,451.000000,373.731842,4727
2004-06-23,445.000000,455.000000,445.000000,445.299988,369.008392,7853
2004-06-24,445.000000,445.000000,430.000000,434.100006,359.727234,25114
2004-06-25,395.049988,441.000000,395.049988,434.200012,359.810089,11226
2004-06-28,424.250000,433.000000,424.250000,430.049988,356.371033,9098
2004-06-29,430.049988,445.000000,421.100006,431.350006,357.448395,4145
2004-06-30,430.000000,436.000000,426.149994,429.850006,356.205383,9868
2004-07-01,425.600006,433.000000,425.500000,430.100006,356.412476,2195
2004-07-02,425.500000,431.000000,425.500000,426.700012,353.595062,12170
2004-07-05,426.000000,428.000000,418.000000,422.600006,350.197479,6128
2004-07-06,420.049988,425.000000,417.350006,424.149994,351.481903,17515
2004-07-07,426.000000,430.000000,421.000000,425.049988,352.227692,6585
2004-07-08,427.000000,439.000000,414.149994,416.549988,345.183929,21933
2004-07-09,372.000000,419.950012,372.000000,414.100006,343.153748,8945
2004-07-12,420.000000,420.000000,406.000000,407.649994,337.808746,8605
2004-07-13,410.000000,415.000000,407.500000,409.850006,339.631897,3491
2004-07-14,424.950012,424.950012,409.250000,417.500000,345.971283,4945
2004-07-15,424.799988,424.799988,410.049988,414.549988,343.526672,4405
2004-07-16,415.000000,422.799988,415.000000,420.049988,348.084320,12955
2004-07-19,420.000000,426.899994,418.100006,424.899994,352.103394,14053
2004-07-20,425.000000,427.950012,423.000000,425.250000,352.393402,1874
2004-07-21,425.000000,429.000000,422.000000,423.250000,350.736084,13878
2004-07-22,438.000000,480.000000,405.000000,412.200012,341.579285,28200
2004-07-23,410.899994,419.000000,397.100006,400.000000,331.469452,76151
2004-07-26,405.000000,415.000000,403.000000,407.549988,337.725952,34033
2004-07-27,412.000000,418.000000,411.000000,414.500000,343.485168,11395
2004-07-28,410.000000,425.000000,410.000000,422.049988,349.741669,13295
2004-07-29,413.549988,433.799988,413.549988,427.549988,354.299438,12064
2004-07-30,425.000000,429.750000,420.000000,425.850006,352.890656,5906
2004-08-02,406.250000,428.000000,406.250000,410.649994,340.294769,7929
2004-08-03,407.000000,415.000000,407.000000,410.500000,340.170502,6980
2004-08-04,411.000000,418.000000,411.000000,415.600006,344.396729,17783
2004-08-05,406.000000,416.500000,406.000000,410.000000,339.756195,4476
2004-08-06,408.000000,421.899994,408.000000,419.450012,347.587158,40668
2004-08-09,408.100006,418.000000,408.100006,413.149994,342.366486,3202
2004-08-10,413.000000,417.000000,410.049988,410.600006,340.253387,4180
2004-08-11,418.000000,418.000000,411.500000,416.549988,345.183929,13825
2004-08-12,406.000000,417.899994,402.750000,404.000000,334.784119,7478
2004-08-13,409.000000,410.000000,402.000000,405.250000,335.819977,9372
2004-08-16,409.100006,411.000000,405.049988,407.799988,337.933075,2926
2004-08-17,408.000000,413.000000,403.100006,405.500000,336.027161,126615
2004-08-18,406.000000,407.850006,400.000000,401.399994,332.629517,14313
2004-08-19,402.000000,407.000000,399.000000,400.000000,331.469452,37113
2004-08-20,402.000000,404.850006,399.000000,400.649994,332.008026,4064
2004-08-23,401.000000,403.799988,398.100006,399.200012,330.806580,7126
2004-08-24,399.000000,406.000000,398.000000,400.700012,332.049530,12551
2004-08-25,408.000000,408.000000,392.049988,395.049988,327.367554,8314
2004-08-26,403.000000,404.000000,394.100006,395.049988,327.367554,11082
2004-08-27,399.700012,399.700012,390.000000,394.700012,327.077515,19449
2004-08-30,410.000000,410.000000,396.000000,405.450012,335.985687,9213
2004-08-31,402.000000,411.899994,402.000000,410.250000,339.963348,11495
2004-09-01,398.100006,411.000000,396.000000,408.100006,338.181732,14913
2004-09-02,401.100006,403.700012,400.000000,402.500000,343.645813,15223
2004-09-03,401.500000,405.000000,400.000000,401.549988,342.834747,9507
2004-09-06,403.000000,407.600006,401.200012,405.000000,345.780334,12299
2004-09-07,401.200012,406.850006,401.200012,404.850006,345.652252,7696
2004-09-08,408.899994,409.000000,404.299988,408.149994,348.469666,5577
2004-09-09,405.149994,409.899994,404.000000,405.149994,345.908417,5717
2004-09-10,404.049988,406.000000,402.000000,403.700012,344.670410,3300
2004-09-13,405.000000,409.000000,403.000000,405.549988,346.249878,8683
2004-09-14,405.000000,406.950012,401.100006,403.149994,344.200806,5634
2004-09-15,401.000000,407.000000,401.000000,402.500000,343.645813,4211
2004-09-16,402.000000,404.950012,401.000000,402.500000,343.645813,6434
2004-09-17,405.000000,421.700012,403.799988,414.799988,354.147369,25094
2004-09-20,398.100006,420.000000,398.100006,413.850006,353.336304,23100
2004-09-21,416.899994,417.000000,411.100006,413.399994,352.952057,7336
2004-09-22,412.049988,438.000000,412.049988,433.149994,369.814209,80080
2004-09-23,436.000000,441.000000,421.250000,424.649994,362.557037,29727
2004-09-24,420.000000,430.000000,416.000000,424.399994,362.343628,11974
2004-09-27,424.799988,437.500000,416.500000,422.450012,360.678741,12169
2004-09-28,420.100006,424.750000,416.100006,416.850006,355.897583,5216
2004-09-29,425.000000,431.000000,421.000000,424.000000,362.002106,12074
2004-09-30,428.000000,434.000000,421.200012,424.649994,362.557037,18179
2004-10-01,426.000000,429.000000,416.100006,426.700012,364.307343,15947
2004-10-04,428.000000,437.350006,428.000000,431.950012,368.789673,23006
2004-10-05,433.000000,434.000000,428.250000,430.049988,367.167450,6477
2004-10-06,430.000000,433.100006,428.000000,428.700012,366.014862,8985
2004-10-07,419.000000,435.000000,419.000000,430.250000,367.338226,9432
2004-10-08,432.000000,433.000000,425.649994,426.700012,364.307343,4602
2004-10-11,428.000000,432.000000,425.000000,427.149994,364.691528,9569
2004-10-12,426.549988,430.000000,425.100006,426.200012,363.880432,5978
2004-10-13,null,null,null,null,null,null
2004-10-14,426.000000,426.000000,416.049988,423.899994,361.916718,2689
2004-10-15,422.049988,429.000000,422.049988,424.950012,362.813263,5373
2004-10-18,424.000000,426.000000,414.049988,415.549988,354.787720,17327
2004-10-19,419.950012,420.000000,415.000000,418.000000,356.879456,8944
2004-10-20,417.000000,420.000000,416.100006,417.299988,356.281769,8816
2004-10-21,420.000000,426.000000,405.200012,412.750000,352.397064,8625
2004-10-22,null,null,null,null,null,null
2004-10-25,412.500000,419.700012,407.200012,410.100006,350.134583,7997
2004-10-26,413.000000,416.049988,409.100006,414.750000,354.104645,8033
2004-10-27,419.899994,420.000000,409.000000,409.399994,349.536957,13221
2004-10-28,410.250000,417.000000,410.250000,415.049988,354.360779,6913
2004-10-29,412.299988,417.750000,410.000000,413.600006,353.122833,25971
2004-11-01,381.250000,405.000000,381.250000,401.399994,342.706726,19511
2004-11-02,405.000000,410.000000,405.000000,408.350006,348.640533,5038
2004-11-03,405.200012,414.700012,405.200012,410.350006,350.348022,6342
2004-11-04,412.000000,428.000000,400.149994,410.250000,350.262665,3859
2004-11-05,405.500000,412.000000,405.500000,409.200012,349.366211,2967
2004-11-08,402.100006,413.950012,402.100006,410.850006,350.774963,3489
2004-11-09,410.500000,414.000000,405.000000,408.350006,348.640533,10306
2004-11-10,406.000000,408.000000,404.000000,404.500000,345.353455,12444
2004-11-11,405.000000,410.000000,401.100006,402.049988,343.261627,9714
2004-11-12,407.000000,424.000000,401.500000,408.049988,348.384308,3498
2004-11-15,null,null,null,null,null,null
2004-11-16,409.000000,415.000000,406.000000,408.000000,348.341675,11417
2004-11-17,407.500000,409.600006,405.350006,407.200012,347.658691,13640
2004-11-18,410.000000,416.000000,405.000000,415.000000,354.318085,12863
2004-11-19,418.000000,426.200012,410.100006,413.200012,352.781311,12094
2004-11-22,413.000000,413.000000,406.000000,407.600006,348.000153,8381
2004-11-23,410.100006,416.000000,406.100006,408.299988,348.597748,12167
2004-11-24,410.000000,414.799988,409.000000,410.299988,350.305298,14128
2004-11-25,410.000000,415.000000,408.500000,411.450012,351.287170,44691
2004-11-26,null,null,null,null,null,null
2004-11-29,414.000000,414.000000,407.100006,409.899994,349.963837,28827
2004-11-30,410.000000,415.000000,409.899994,411.399994,351.244537,26882
2004-12-01,408.000000,414.000000,408.000000,409.850006,349.921112,7523
2004-12-02,408.000000,430.000000,408.000000,421.850006,360.166473,35474
2004-12-03,421.000000,430.000000,418.000000,421.100006,359.526154,35994
2004-12-06,449.000000,449.000000,425.000000,427.000000,364.563477,22609
2004-12-07,418.100006,429.950012,412.000000,426.700012,364.307343,29035
2004-12-08,418.000000,431.299988,418.000000,425.399994,363.197388,34667
2004-12-09,421.000000,429.899994,421.000000,427.649994,365.118378,9647
2004-12-10,425.000000,428.299988,422.000000,426.399994,364.051208,22639
2004-12-13,424.000000,429.000000,422.000000,427.100006,364.648834,10511
2004-12-14,423.049988,466.500000,423.049988,456.100006,389.408447,236930
2004-12-15,460.000000,476.000000,460.000000,462.799988,395.128693,103031
2004-12-16,461.049988,469.000000,452.250000,458.000000,391.030640,29799
2004-12-17,452.100006,469.000000,450.000000,452.850006,386.633667,33834
2004-12-20,452.500000,461.000000,452.500000,455.450012,388.853485,29584
2004-12-21,459.000000,465.000000,455.100006,461.049988,393.634613,29724
2004-12-22,461.000000,464.000000,445.600006,449.100006,383.431946,26934
2004-12-23,450.000000,459.000000,447.000000,449.649994,383.901581,17526
2004-12-24,470.000000,512.000000,452.049988,457.200012,390.347565,22014
2004-12-27,460.500000,473.950012,460.500000,471.250000,402.343201,47003
2004-12-28,475.000000,498.399994,472.250000,494.500000,422.193512,77747
2004-12-29,500.000000,505.000000,489.000000,492.299988,420.315125,85158
2004-12-30,480.000000,499.000000,478.399994,480.250000,410.027161,22025
2004-12-31,480.000000,501.000000,480.000000,484.750000,413.869141,24723
2005-01-03,491.000000,494.450012,486.000000,488.549988,417.113495,16249
2005-01-04,490.000000,490.000000,480.000000,480.950012,410.624756,7461
2005-01-05,488.000000,488.000000,448.000000,461.149994,393.720001,19031
2005-01-06,455.100006,461.000000,445.000000,450.799988,384.883453,28747
2005-01-07,450.000000,455.100006,445.200012,452.149994,386.035950,6189
2005-01-10,459.799988,463.450012,450.000000,454.549988,388.085052,4285
2005-01-11,460.000000,460.000000,442.000000,447.100006,381.724426,26325
2005-01-12,447.100006,448.000000,433.250000,437.700012,373.698914,10994
2005-01-13,425.000000,453.000000,425.000000,447.649994,382.193970,9559
2005-01-14,455.000000,457.799988,440.000000,452.950012,386.718994,25994
2005-01-17,448.000000,455.000000,445.100006,451.950012,385.865265,15522
2005-01-18,459.799988,459.799988,432.049988,456.549988,389.792572,12833
2005-01-19,450.000000,463.700012,442.100006,460.799988,393.421173,7303
2005-01-20,443.000000,467.750000,443.000000,463.850006,396.025208,8619
2005-01-24,465.000000,466.000000,454.000000,462.000000,394.445709,13233
2005-01-25,456.350006,474.000000,456.350006,470.200012,401.446655,219752
2005-01-27,478.000000,478.000000,469.000000,472.600006,403.495758,20975
2005-01-28,470.000000,474.950012,466.000000,470.299988,401.532074,8350
2005-01-31,444.549988,475.000000,444.549988,472.750000,403.623840,23386
2005-02-01,472.000000,472.000000,463.000000,466.049988,397.903534,14082
2005-02-02,493.000000,496.000000,471.000000,472.149994,403.111572,16170
2005-02-03,479.000000,480.000000,475.100006,477.250000,407.465820,6561
2005-02-04,472.000000,479.500000,472.000000,476.200012,406.569427,29147
2005-02-07,476.500000,477.000000,471.000000,473.049988,403.879944,16685
2005-02-08,476.899994,476.899994,470.000000,473.850006,404.562958,23445
2005-02-09,475.000000,478.500000,467.000000,475.049988,405.587524,11312
2005-02-10,470.200012,479.000000,468.549988,475.000000,408.988617,9419
2005-02-11,479.500000,485.000000,461.049988,480.000000,413.293762,17417
2005-02-14,483.000000,484.000000,478.000000,481.049988,414.197754,7561
2005-02-15,480.000000,480.000000,470.049988,475.000000,408.988617,4299
2005-02-16,471.000000,474.399994,465.000000,468.350006,403.262756,5047
2005-02-17,479.950012,479.950012,460.000000,464.899994,400.292145,12260
2005-02-18,483.000000,483.000000,460.500000,462.549988,398.268799,19551
2005-02-21,473.000000,473.000000,459.000000,463.500000,399.086700,3057
2005-02-22,465.000000,465.100006,462.000000,464.899994,400.292145,9800
2005-02-23,465.000000,467.950012,456.700012,464.500000,399.947815,11643
2005-02-24,460.100006,465.000000,458.000000,464.799988,400.206055,14464
2005-02-25,468.000000,468.000000,460.000000,464.049988,399.560333,15395
2005-02-28,488.000000,488.000000,446.000000,483.750000,416.522614,68130
2005-03-01,487.000000,525.000000,487.000000,501.149994,431.504456,112896
2005-03-02,500.100006,515.750000,500.100006,504.850006,434.690338,25314
2005-03-03,507.000000,534.950012,505.000000,532.849976,458.799103,46171
2005-03-04,535.000000,553.950012,526.099976,540.049988,464.998413,59282
2005-03-07,505.549988,543.000000,505.549988,525.450012,452.427460,14638
2005-03-08,510.049988,542.000000,510.049988,540.099976,465.041534,12630
2005-03-09,520.000000,541.750000,515.650024,522.000000,449.456940,11360
2005-03-10,525.000000,535.000000,525.000000,527.299988,454.020447,7523
2005-03-11,510.000000,531.000000,510.000000,528.750000,455.268860,3816
2005-03-14,512.000000,531.000000,510.000000,526.150024,453.030182,8789
2005-03-15,516.000000,531.450012,516.000000,521.099976,448.681976,13532
2005-03-16,525.000000,526.000000,511.200012,514.750000,443.214508,27475
2005-03-17,517.000000,520.000000,509.000000,515.599976,443.946350,11566
2005-03-18,510.000000,516.000000,501.250000,509.299988,438.521851,5820
2005-03-21,503.000000,509.899994,495.450012,497.399994,428.275604,10491
2005-03-22,485.000000,499.799988,484.000000,497.100006,428.017334,4784
2005-03-23,486.049988,499.950012,481.500000,495.600006,426.725739,3355
2005-03-24,500.000000,500.000000,485.000000,485.450012,417.986359,2298
2005-03-28,490.000000,490.000000,480.250000,488.299988,420.440247,5964
2005-03-29,486.500000,486.500000,474.000000,480.350006,413.595032,9453
2005-03-30,478.000000,495.000000,478.000000,486.950012,419.277863,834
2005-03-31,491.000000,514.799988,491.000000,505.950012,435.637451,11665
2005-04-01,500.000000,510.000000,495.149994,504.850006,434.690338,2460
2005-04-04,482.000000,500.000000,482.000000,496.149994,427.199341,1609
2005-04-05,500.000000,502.000000,490.100006,495.100006,426.295288,5090
2005-04-06,481.000000,502.000000,481.000000,500.700012,431.117004,2516
2005-04-07,502.000000,502.000000,490.000000,492.850006,424.357941,2552
2005-04-08,493.000000,501.000000,493.000000,499.700012,430.255981,8971
2005-04-11,480.000000,496.000000,480.000000,490.049988,421.947083,3610
2005-04-12,495.000000,499.899994,495.000000,498.000000,428.792206,1797
2005-04-13,495.250000,501.000000,495.250000,498.549988,429.265778,2848
2005-04-15,480.049988,502.000000,480.049988,500.049988,430.557373,3447
2005-04-18,475.250000,502.000000,475.250000,499.899994,430.428223,4771
2005-04-19,486.000000,500.000000,485.000000,486.200012,418.632111,2392
2005-04-20,488.000000,500.000000,480.000000,491.600006,423.281647,2776
2005-04-21,490.250000,500.000000,486.250000,497.100006,428.017334,2331
2005-04-22,496.000000,500.000000,485.350006,487.750000,419.966705,1004
2005-04-25,485.049988,490.000000,481.500000,485.100006,417.684998,11201
2005-04-26,490.000000,493.399994,485.000000,488.250000,420.397217,2991
2005-04-27,488.000000,490.049988,478.000000,485.750000,418.244629,9264
2005-04-28,489.799988,492.500000,485.500000,490.049988,421.947083,8927
2005-04-29,485.100006,495.000000,470.100006,483.350006,416.178162,69996
2005-05-02,462.000000,475.250000,458.049988,464.850006,400.249207,5243
2005-05-03,458.000000,470.000000,458.000000,463.250000,398.871490,10493
2005-05-04,460.000000,470.000000,460.000000,465.700012,400.981049,1314
2005-05-05,455.000000,500.000000,455.000000,457.649994,394.049744,1911
2005-05-06,446.000000,494.250000,446.000000,453.850006,390.777802,3226
2005-05-09,455.000000,468.000000,455.000000,462.950012,398.613251,5637
2005-05-10,457.049988,465.000000,457.049988,462.549988,398.268799,3117
2005-05-11,468.000000,478.000000,463.250000,466.000000,401.239288,1438
2005-05-12,451.000000,472.000000,451.000000,464.600006,400.033844,989
2005-05-13,460.000000,470.000000,460.000000,466.100006,401.325439,1941
2005-05-16,446.000000,479.000000,446.000000,468.600006,403.477966,3169
2005-05-17,465.500000,480.000000,465.500000,474.350006,408.428925,5178
2005-05-18,459.000000,475.000000,459.000000,472.850006,407.137421,2760
2005-05-19,466.549988,486.000000,466.549988,482.549988,415.489319,2516
2005-05-20,490.000000,517.900024,490.000000,507.399994,436.885925,20082
2005-05-23,507.000000,552.000000,507.000000,536.950012,462.329315,33186
2005-05-24,540.000000,559.849976,536.000000,537.599976,462.888855,48495
2005-05-25,538.000000,546.000000,506.649994,542.200012,466.849762,9643
2005-05-26,546.000000,546.000000,531.000000,540.400024,465.299866,10893
2005-05-27,545.000000,545.000000,535.049988,535.750000,461.296082,6719
2005-05-30,539.950012,539.950012,521.549988,534.450012,460.176697,8966
2005-05-31,511.000000,545.000000,511.000000,529.049988,455.527161,5873
2005-06-01,529.900024,530.000000,521.250000,524.250000,451.394257,6684
2005-06-02,529.799988,529.799988,512.500000,513.200012,441.879913,4383
2005-06-03,518.849976,518.849976,505.000000,508.600006,437.919159,5371
2005-06-06,510.000000,518.700012,501.149994,505.000000,434.819458,4949
2005-06-07,500.350006,514.900024,500.350006,507.850006,437.273315,4806
2005-06-08,501.000000,505.000000,496.049988,501.299988,431.633606,6554
2005-06-09,509.899994,509.899994,498.250000,499.049988,429.696320,12170
2005-06-10,500.000000,507.399994,491.000000,492.799988,424.314880,14543
2005-06-13,487.049988,499.000000,487.049988,493.899994,425.262024,919
2005-06-14,507.899994,508.000000,487.549988,490.299988,422.162292,3057
2005-06-15,492.000000,495.899994,492.000000,494.899994,426.123016,8758
2005-06-16,480.000000,497.000000,476.000000,486.700012,419.062653,2979
2005-06-17,490.000000,490.000000,476.000000,477.850006,411.442535,4364
2005-06-20,477.850006,490.100006,475.000000,476.350006,410.151001,3038
2005-06-21,474.000000,482.000000,470.000000,470.299988,404.941681,3570
2005-06-22,471.000000,473.000000,465.049988,469.299988,404.080750,5379
2005-06-23,465.000000,473.649994,465.000000,467.750000,402.746094,10682
2005-06-24,465.000000,475.000000,463.000000,465.450012,400.765778,2556
2005-06-27,465.000000,482.000000,465.000000,470.000000,404.683380,10107
2005-06-28,470.000000,480.000000,467.450012,472.450012,406.792999,20257
2005-06-29,476.000000,476.000000,465.250000,472.100006,406.491608,2131
2005-06-30,482.000000,482.000000,461.000000,475.899994,409.763458,6677
2005-07-01,476.000000,496.000000,476.000000,484.399994,417.082245,11990
2005-07-04,500.000000,509.950012,485.350006,495.399994,426.553589,27526
2005-07-05,495.000000,496.000000,485.100006,495.000000,426.209137,10874
2005-07-06,489.000000,498.000000,489.000000,492.200012,423.798309,1917
2005-07-07,488.000000,495.000000,487.000000,490.000000,421.904022,5060
