Date,open,high,low,close,adj_close,volume
2000-01-03,5.735110,6.036960,5.282340,5.357800,3.561192,4506
2000-01-04,5.282340,5.282340,5.282340,5.282340,3.511035,133
2000-01-05,5.282340,5.659650,5.282340,5.659650,3.761823,1325
2000-01-06,5.244610,5.244610,5.244610,5.244610,3.485957,133
2000-01-07,4.489990,6.036960,4.489990,6.036960,4.012612,795
2000-01-10,5.282340,5.282340,4.527720,4.527720,3.009459,530
2000-01-11,3.773100,3.773100,3.773100,3.773100,2.507882,133
2000-01-12,3.810830,3.810830,3.810830,3.810830,2.532961,265
2000-01-13,3.433520,3.433520,3.433520,3.433520,2.282172,133
2000-01-14,null,null,null,null,null,null
2000-01-17,null,null,null,null,null,null
2000-01-18,3.773100,5.093690,3.773100,3.773100,2.507882,2650
2000-01-19,null,null,null,null,null,null
2000-01-20,4.150410,5.433270,4.150410,5.433270,3.611354,1988
2000-01-21,3.773100,3.886290,3.773100,3.886290,2.583117,530
2000-01-24,3.244870,3.395790,3.244870,3.395790,2.257094,265
2000-01-25,null,null,null,null,null,null
2000-01-26,null,null,null,null,null,null
2000-01-27,5.093690,5.093690,4.527720,4.527720,3.009459,1723
2000-01-28,null,null,null,null,null,null
2000-01-31,3.395790,3.395790,3.395790,3.395790,2.257094,133
2000-02-01,null,null,null,null,null,null
2000-02-02,3.773100,3.773100,3.773100,3.773100,2.507882,398
2000-02-03,null,null,null,null,null,null
2000-02-04,null,null,null,null,null,null
2000-02-07,null,null,null,null,null,null
2000-02-08,null,null,null,null,null,null
2000-02-09,null,null,null,null,null,null
2000-02-10,null,null,null,null,null,null
2000-02-11,3.773100,3.773100,3.773100,3.773100,2.507882,530
2000-02-14,null,null,null,null,null,null
2000-02-15,3.018480,3.018480,3.018480,3.018480,2.006306,265
2000-02-16,3.244870,3.244870,3.244870,3.244870,2.156782,133
2000-02-17,3.773100,4.527720,3.773100,4.376800,2.909146,663
2000-02-18,null,null,null,null,null,null
2000-02-21,3.244870,3.244870,3.207140,3.207140,2.131704,265
2000-02-22,3.584450,3.584450,3.584450,3.584450,2.382491,133
2000-02-23,null,null,null,null,null,null
2000-02-24,null,null,null,null,null,null
2000-02-25,null,null,null,null,null,null
2000-02-28,4.527720,4.527720,4.527720,4.527720,3.009459,265
2000-02-29,6.036960,6.036960,4.905030,4.905030,3.260247,1988
2000-03-01,null,null,null,null,null,null
2000-03-02,4.150410,4.150410,4.150410,4.150410,2.758671,265
2000-03-03,3.056210,3.056210,3.018480,3.018480,2.006306,663
2000-03-06,null,null,null,null,null,null
2000-03-07,4.452260,4.452260,4.452260,4.452260,2.959303,133
2000-03-08,null,null,null,null,null,null
2000-03-09,null,null,null,null,null,null
2000-03-10,null,null,null,null,null,null
2000-03-13,5.206880,5.206880,5.206880,5.206880,3.460879,133
