Date,open,high,low,close,adj_close,volume
2006-09-14,1244.000000,1244.000000,1150.099976,1163.300049,1122.102783,740
2006-09-15,1150.000000,1279.650024,1088.000000,1279.650024,1234.332153,484
2006-09-18,1389.000000,1389.000000,1151.699951,1157.050049,1116.073730,2843
2006-09-19,1112.250000,1170.000000,1095.000000,1106.099976,1066.928223,801
2006-09-20,1113.000000,1113.000000,1059.000000,1065.949951,1028.200073,415
2006-09-21,1130.000000,1130.000000,1031.000000,1056.550049,1019.132996,469
2006-09-22,1113.000000,1113.000000,1010.000000,1022.000000,985.806519,531
2006-09-25,1022.000000,1027.000000,978.349976,1000.000000,964.585815,192
2006-09-26,1021.000000,1034.000000,990.000000,1024.650024,988.362732,385
2006-09-27,1000.000000,1045.000000,1000.000000,1032.599976,996.031006,96
2006-09-28,1025.000000,1025.000000,991.349976,1004.150024,968.588745,331
2006-09-29,1017.000000,1054.400024,1017.000000,1054.000000,1016.673340,380
2006-10-03,1010.000000,1024.500000,1002.000000,1011.549988,975.726563,3429
2006-10-04,1015.000000,1015.000000,961.049988,961.049988,927.015076,888
2006-10-05,989.000000,1009.099976,980.000000,1006.000000,970.373169,403
2006-10-06,975.000000,1029.000000,975.000000,1015.400024,979.440247,59
2006-10-09,1010.000000,1035.000000,1010.000000,1031.000000,994.487793,82
2006-10-10,1040.000000,1040.000000,1015.500000,1018.250000,982.189392,214
2006-10-11,1015.000000,1025.000000,982.000000,1001.250000,965.791443,191
2006-10-12,980.099976,1037.900024,980.099976,993.450012,958.267517,26
2006-10-13,1020.000000,1050.000000,997.099976,1026.449951,990.098877,798
2006-10-16,1065.000000,1100.000000,950.000000,1021.250000,985.083130,555
2006-10-17,1002.000000,1048.000000,1002.000000,1006.000000,970.373169,210
2006-10-18,1001.000000,1025.000000,980.000000,1020.000000,983.877441,91
2006-10-19,1001.000000,1050.000000,982.500000,1048.650024,1011.512817,158
2006-10-20,1021.000000,1021.000000,1021.000000,1021.000000,984.842102,10
2006-10-23,1060.000000,1075.000000,1027.000000,1052.000000,1014.744263,67
2006-10-26,1068.500000,1069.000000,1045.000000,1045.000000,1007.992004,28
2006-10-27,1001.000000,1057.000000,994.000000,1030.050049,993.571594,246
2006-10-30,1029.000000,1069.900024,1025.000000,1047.699951,1010.596313,52
2006-10-31,1107.000000,1107.000000,980.000000,990.299988,955.229187,213
2006-11-01,1005.500000,1030.000000,1005.049988,1012.000000,976.160706,30
2006-11-02,1002.000000,1010.000000,995.000000,997.299988,961.981262,177
2006-11-03,995.000000,998.000000,993.000000,997.500000,962.174194,110
2006-11-06,961.299988,1005.000000,961.299988,986.900024,951.949585,552
2006-11-07,995.000000,995.000000,982.000000,982.000000,947.223145,198
2006-11-08,972.000000,982.900024,930.000000,945.250000,911.774719,471
2006-11-09,978.000000,978.000000,940.000000,944.250000,910.810120,336
2006-11-10,900.000000,1000.000000,900.000000,965.049988,930.873413,141
2006-11-13,975.000000,999.000000,950.000000,969.450012,935.117676,42
2006-11-14,970.000000,970.000000,910.000000,935.549988,902.418030,422
2006-11-15,940.000000,997.950012,910.000000,985.900024,950.985046,1076
2006-11-16,1008.000000,1020.000000,972.200012,990.000000,954.939819,1162
2006-11-17,1009.000000,1010.000000,1000.000000,1000.000000,964.585815,384
2006-11-20,980.000000,1000.000000,951.500000,991.799988,956.676086,49
2006-11-21,1005.000000,1005.000000,982.000000,1005.000000,969.408630,16
2006-11-22,960.500000,998.900024,960.450012,975.000000,940.471130,8
2006-11-23,960.000000,995.950012,925.400024,958.599976,924.651794,43
2006-11-24,965.500000,984.000000,965.500000,983.650024,948.814758,54
2006-11-27,1020.000000,1020.000000,951.500000,966.200012,931.982605,244
2006-11-28,963.150024,965.200012,950.000000,960.000000,926.002197,113
2006-11-29,1009.000000,1020.000000,982.500000,1015.750000,979.778015,1528
2006-11-30,1020.000000,1025.000000,982.500000,982.500000,947.705444,137
2006-12-01,1006.000000,1023.000000,1006.000000,1023.000000,986.771057,280
2006-12-04,1005.049988,1015.000000,1005.000000,1015.000000,979.054565,523
2006-12-05,1044.000000,1044.000000,1015.000000,1024.750000,988.459229,1015
2006-12-06,1036.000000,1127.250000,1036.000000,1089.449951,1050.868042,2575
2006-12-07,1129.000000,1148.949951,1105.000000,1126.900024,1086.991577,1067
2006-12-08,1131.000000,1239.599976,1129.000000,1180.800049,1138.982666,7899
2006-12-11,1185.000000,1210.000000,1161.000000,1199.400024,1156.924072,2074
2006-12-12,1200.000000,1249.000000,1100.000000,1114.449951,1074.982422,7696
2006-12-13,1121.099976,1225.000000,1121.099976,1190.550049,1148.387695,4267
2006-12-14,1216.000000,1249.000000,1195.000000,1209.750000,1166.907593,830
2006-12-15,1150.000000,1267.949951,1150.000000,1171.650024,1130.156738,393
2006-12-18,1200.000000,1200.000000,1130.000000,1165.699951,1124.417725,286
2006-12-19,1099.000000,1199.000000,1099.000000,1133.449951,1093.309692,1441
2006-12-20,1055.599976,1168.000000,1055.599976,1151.800049,1111.010010,372
