Date,open,high,low,close,adj_close,volume
2002-07-01,9.915000,11.000000,9.915000,10.905000,1.245421,80674
2002-07-02,10.650000,11.100000,10.650000,11.005000,1.256842,31254
2002-07-03,10.755000,10.950000,10.450000,10.505000,1.199739,23920
2002-07-04,10.600000,11.200000,10.410000,11.020000,1.258555,70256
2002-07-05,10.865000,10.865000,10.300000,10.480000,2.190973,51574
2002-07-08,10.750000,11.840000,10.700000,11.545000,2.413625,119282
2002-07-09,11.600000,12.490000,11.500000,12.300000,2.571465,151538
2002-07-10,12.500000,12.500000,11.500000,12.005000,2.509793,126428
2002-07-11,12.100000,12.190000,11.550000,11.680000,2.441847,56172
2002-07-12,11.560000,11.650000,11.300000,11.500000,2.404216,57040
2002-07-15,11.500000,11.600000,11.360000,11.560000,2.416760,40580
2002-07-16,11.500000,12.310000,11.425000,12.085000,2.526518,91866
2002-07-17,12.100000,12.550000,12.100000,12.470000,2.607007,182100
2002-07-18,12.610000,12.725000,12.335000,12.640000,2.642548,121536
2002-07-19,12.400000,12.600000,12.350000,12.410000,2.594463,42300
2002-07-22,12.300000,12.300000,11.415000,11.550000,2.414669,56976
2002-07-23,12.000000,12.000000,11.300000,11.700000,2.446028,26830
2002-07-24,13.000000,13.000000,10.645000,11.170000,2.335225,9126
2002-07-25,11.500000,11.610000,10.630000,11.105000,2.321636,18052
2002-07-26,11.010000,11.010000,10.455000,10.575000,2.210834,93012
2002-07-29,10.900000,10.900000,9.800000,10.030000,2.096895,18306
2002-07-30,10.200000,10.620000,9.750000,9.915000,2.072852,26126
2002-07-31,9.205000,9.550000,9.000000,9.380000,1.961004,7292
2002-08-01,9.510000,9.740000,9.335000,9.355000,1.955778,5352
2002-08-02,9.600000,9.600000,9.300000,9.440000,1.973548,3120
2002-08-05,9.895000,9.900000,9.030000,9.300000,1.944280,32140
2002-08-06,9.310000,9.400000,9.100000,9.190000,1.921282,12560
2002-08-07,9.300000,9.530000,9.300000,9.400000,1.965185,65316
2002-08-08,9.580000,9.585000,9.350000,9.395000,1.964141,27146
2002-08-09,9.400000,9.580000,9.210000,9.310000,1.946370,1360
2002-08-12,9.700000,9.700000,9.380000,9.450000,1.975639,1716
2002-08-13,9.400000,9.600000,9.400000,9.540000,1.994454,2694
2002-08-14,9.555000,9.740000,9.500000,9.590000,2.004907,20470
2002-08-15,null,null,null,null,null,null
2002-08-16,9.015000,9.800000,9.015000,9.755000,2.039402,107128
2002-08-19,9.625000,9.850000,9.625000,9.785000,2.045675,2490
2002-08-20,9.700000,10.000000,9.700000,9.980000,2.086441,6730
2002-08-21,9.900000,9.990000,9.770000,9.925000,2.074943,2470
2002-08-22,9.505000,10.100000,9.505000,10.065000,2.104212,6968
2002-08-23,10.000000,10.000000,9.850000,9.850000,2.059263,4458
2002-08-26,10.495000,10.495000,9.660000,9.695000,2.026859,4754
2002-08-27,9.610000,9.785000,9.570000,9.580000,2.002817,5820
2002-08-28,9.520000,9.800000,9.400000,9.460000,1.977729,1916
2002-08-29,9.435000,9.555000,9.405000,9.535000,1.993409,15532
2002-08-30,9.700000,9.755000,9.510000,9.630000,2.013270,1430
2002-09-02,9.410000,9.695000,9.210000,9.505000,1.987137,1176
2002-09-03,9.505000,9.550000,9.355000,9.465000,1.978774,3160
2002-09-04,8.800000,9.500000,8.800000,9.490000,1.984001,2882
2002-09-05,9.500000,9.875000,9.500000,9.690000,2.025814,3062
2002-09-06,9.600000,9.750000,9.600000,9.645000,2.016406,2084
2002-09-09,9.600000,9.605000,9.325000,9.330000,1.950551,7034
2002-09-10,null,null,null,null,null,null
2002-09-11,9.560000,9.560000,9.000000,9.440000,1.973548,8354
2002-09-12,9.500000,9.550000,9.355000,9.375000,1.959959,1340
2002-09-13,9.520000,9.520000,9.375000,9.390000,1.963095,43530
2002-09-16,9.175000,9.400000,9.130000,9.245000,1.932781,8936
2002-09-17,9.265000,9.400000,9.250000,9.335000,1.951596,1734
2002-09-18,9.330000,9.400000,9.300000,9.305000,1.945324,3578
2002-09-19,9.290000,9.310000,9.200000,9.260000,1.935917,14674
2002-09-20,9.200000,9.380000,9.200000,9.305000,1.945324,37668
2002-09-23,9.400000,9.400000,9.225000,9.270000,1.938007,2030
2002-09-24,9.240000,9.340000,9.200000,9.295000,1.943234,7716
2002-09-25,9.550000,9.550000,9.175000,9.230000,1.929645,67478
2002-09-26,9.000000,9.490000,9.000000,9.215000,1.926509,4286
2002-09-27,9.220000,9.400000,9.215000,9.340000,1.952641,4312
2002-09-30,9.040000,9.500000,9.040000,9.455000,1.976684,19334
2002-10-01,9.500000,9.500000,9.265000,9.265000,1.936962,2588
2002-10-02,null,null,null,null,null,null
2002-10-03,9.170000,9.250000,9.160000,9.210000,1.925463,554
2002-10-04,8.815000,9.150000,8.815000,9.060000,1.894105,2302
2002-10-07,9.295000,9.295000,9.005000,9.020000,1.885742,900
2002-10-08,9.125000,9.125000,8.950000,8.950000,1.871107,2004
2002-10-09,9.000000,9.000000,8.800000,8.855000,1.851246,1846
2002-10-10,8.800000,8.825000,8.660000,8.780000,1.835567,1044
2002-10-11,8.800000,9.070000,8.800000,8.925000,1.865881,2312
2002-10-14,8.895000,8.900000,8.805000,8.870000,1.854383,410
2002-10-15,null,null,null,null,null,null
2002-10-16,8.520000,8.890000,8.520000,8.775000,1.834521,966
2002-10-17,8.870000,9.390000,8.760000,8.805000,1.840793,2340
2002-10-18,8.800000,8.855000,8.750000,8.750000,1.829295,2858
2002-10-21,8.840000,8.840000,8.655000,8.705000,1.819887,1334
2002-10-22,8.700000,8.800000,8.600000,8.600000,1.797936,3164
2002-10-23,8.450000,8.700000,8.200000,8.690000,1.816751,5822
2002-10-24,8.650000,8.650000,8.505000,8.505000,1.778075,1496
