Date,open,high,low,close,adj_close,volume
2006-02-16,269.000000,273.799988,255.600006,258.399994,255.563736,4601763
2006-02-17,261.000000,262.399994,241.149994,243.199997,240.530533,2258499
2006-02-20,243.800003,254.350006,225.600006,247.050003,244.338318,3964149
2006-02-21,null,null,null,null,null,null
2006-02-22,240.250000,241.399994,231.500000,237.100006,234.497528,1732499
2006-02-23,236.000000,246.399994,232.500000,239.100006,236.475571,1244219
2006-02-24,241.000000,244.800003,237.500000,240.600006,237.959091,614549
2006-02-27,242.949997,250.100006,238.000000,246.500000,243.794312,1494971
2006-02-28,245.100006,245.100006,230.550003,234.600006,232.024948,387700
2006-03-01,234.699997,235.000000,223.800003,226.149994,223.667709,355322
2006-03-02,228.000000,235.800003,224.000000,226.000000,223.519348,447037
2006-03-03,226.000000,231.850006,221.500000,222.550003,220.107208,259789
2006-03-06,223.000000,224.750000,220.250000,221.100006,218.673126,130384
2006-03-07,223.000000,228.449997,220.500000,224.699997,222.233612,133985
2006-03-08,224.000000,231.000000,222.250000,224.000000,221.541290,309996
2006-03-09,225.000000,225.699997,221.050003,222.350006,219.909424,76977
2006-03-10,223.000000,236.500000,223.000000,233.550003,230.986481,320617
2006-03-13,234.550003,235.949997,225.000000,226.600006,224.112762,91002
2006-03-14,228.000000,228.000000,222.000000,222.500000,220.057770,46793
2006-03-16,223.800003,233.500000,218.000000,224.899994,222.431412,167186
2006-03-17,225.500000,228.000000,223.500000,224.350006,221.887466,123600
2006-03-20,227.000000,238.000000,224.100006,234.350006,231.777695,429353
2006-03-21,238.250000,239.399994,229.100006,233.949997,231.382095,226716
2006-03-22,234.100006,237.000000,221.550003,224.100006,221.640213,238845
2006-03-23,226.199997,233.699997,226.199997,231.399994,228.860062,85456
2006-03-24,232.000000,234.600006,227.050003,227.949997,225.447952,45398
2006-03-27,228.149994,232.000000,225.500000,227.850006,225.349045,79314
2006-03-28,227.000000,230.000000,221.000000,222.449997,220.008301,91673
2006-03-29,null,null,null,null,null,null
2006-03-30,225.949997,225.949997,220.000000,224.100006,221.640213,45730
2006-03-31,223.500000,225.500000,218.000000,219.500000,217.090683,76070
2006-04-03,221.500000,231.800003,220.000000,230.100006,227.574356,85152
2006-04-04,235.000000,239.500000,233.199997,235.600006,233.013992,177502
2006-04-05,237.000000,246.000000,237.000000,239.649994,237.019516,185682
2006-04-07,236.949997,248.899994,227.000000,228.899994,226.387497,60826
2006-04-10,228.000000,232.000000,225.149994,226.350006,223.865509,38277
2006-04-12,null,null,null,null,null,null
2006-04-13,222.000000,223.100006,197.000000,213.199997,210.859848,87651
2006-04-17,220.000000,220.000000,212.250000,213.699997,211.354355,36028
2006-04-18,215.000000,222.000000,214.000000,217.899994,215.508255,40870
2006-04-19,222.100006,245.000000,221.000000,222.350006,219.909424,37083
2006-04-20,227.949997,236.000000,225.050003,230.899994,228.365555,141987
2006-04-21,235.199997,244.899994,231.600006,232.949997,230.393051,362410
2006-04-24,233.500000,234.899994,218.350006,219.600006,217.189590,85942
2006-04-25,221.000000,263.549988,217.500000,263.549988,260.657196,686677
2006-04-26,268.000000,276.000000,254.000000,264.950012,262.041840,1154810
2006-04-27,265.000000,277.049988,260.000000,267.549988,264.613281,614864
2006-04-28,null,null,null,null,null,null
2006-05-02,258.399994,275.000000,256.000000,267.100006,264.168243,357352
2006-05-03,269.700012,275.049988,265.549988,267.200012,264.267120,107303
2006-05-04,270.549988,270.549988,260.000000,261.799988,258.926361,56195
2006-05-05,265.950012,273.000000,260.500000,270.500000,267.530884,97633
2006-05-08,270.049988,283.799988,265.149994,267.100006,264.168243,126603
2006-05-09,267.500000,269.799988,263.049988,264.700012,261.794586,30336
2006-05-10,265.000000,270.000000,263.000000,266.149994,263.228607,40284
2006-05-11,265.500000,265.500000,258.399994,263.649994,260.756073,30336
2006-05-12,255.100006,269.000000,250.000000,255.300003,252.497742,20280
2006-05-15,257.000000,259.000000,235.300003,240.649994,238.008545,28898
2006-05-16,241.000000,244.449997,225.000000,242.000000,239.343735,23653
