Date,open,high,low,close,adj_close,volume
2002-07-01,96.900002,98.949997,93.050003,95.300003,74.558449,35621
2002-07-02,97.000000,97.000000,91.250000,92.000000,71.976677,7911
2002-07-03,92.500000,96.000000,91.099998,91.900002,71.898438,10652
2002-07-04,94.800003,97.000000,92.800003,94.349998,73.815201,24991
2002-07-05,96.000000,105.599998,95.000000,102.900002,80.504349,124961
2002-07-08,107.800003,117.800003,105.250000,111.150002,86.958771,118344
2002-07-09,111.500000,115.000000,105.550003,107.400002,84.024940,49189
2002-07-10,106.000000,110.699997,103.150002,103.949997,81.325821,23603
2002-07-11,92.000000,105.000000,92.000000,100.900002,78.939629,20544
2002-07-12,103.750000,107.500000,101.000000,104.699997,81.912590,33229
2002-07-15,97.000000,104.949997,95.099998,97.150002,76.005806,22834
2002-07-16,97.000000,97.900002,93.000000,94.300003,73.776100,23208
2002-07-17,85.000000,95.900002,85.000000,90.050003,70.451080,23763
2002-07-18,93.000000,99.599998,91.000000,97.250000,76.084030,32412
2002-07-19,100.000000,100.000000,95.550003,96.599998,75.575508,9775
2002-07-22,93.199997,94.099998,87.550003,87.949997,68.808136,14072
2002-07-23,90.000000,90.500000,86.199997,88.699997,69.394897,18498
2002-07-24,90.000000,93.000000,87.750000,88.349998,69.121071,18029
2002-07-25,92.000000,92.199997,86.000000,86.750000,67.869316,13947
2002-07-26,84.750000,86.000000,80.000000,80.949997,63.331657,12103
2002-07-29,79.099998,79.099998,70.199997,73.900002,57.816036,16075
2002-07-30,76.900002,78.949997,72.000000,73.599998,57.581337,12318
2002-07-31,71.000000,77.000000,69.000000,74.900002,58.598400,13926
2002-08-01,77.550003,80.000000,76.349998,77.449997,60.593403,8406
2002-08-02,71.000000,79.849998,65.800003,77.849998,60.906342,4905
2002-08-05,80.500000,85.400002,80.349998,84.599998,66.187256,12115
2002-08-06,84.449997,86.199997,81.199997,84.400002,66.030785,12861
2002-08-07,84.099998,86.650002,81.050003,81.900002,64.074883,12106
2002-08-08,82.750000,82.750000,79.000000,79.400002,62.118999,3962
2002-08-09,80.000000,81.900002,77.000000,81.000000,63.370766,7659
2002-08-12,80.050003,82.800003,79.099998,79.949997,62.549294,3325
2002-08-13,81.000000,81.000000,79.349998,79.599998,62.275475,1530
