Date,open,high,low,close,adj_close,volume
2002-08-12,23.600000,23.600000,19.500000,20.400000,15.037780,6515
2002-08-13,20.500000,20.500000,20.000000,20.000000,14.742926,4399
2002-08-14,20.000000,20.100000,19.799999,20.100000,14.816639,1140
2002-08-15,null,null,null,null,null,null
2002-08-16,19.200001,20.000000,19.000000,19.100000,14.079492,3550
2002-08-19,18.500000,20.000000,18.500000,19.600000,14.448068,2673
2002-08-20,19.000000,19.950001,19.000000,19.500000,14.374351,2400
2002-08-21,21.000000,21.000000,19.500000,19.500000,14.374351,1880
2002-08-22,19.799999,19.799999,19.100000,19.600000,14.448068,1400
2002-08-23,19.200001,19.799999,19.200001,19.600000,14.448068,1738
2002-08-26,19.900000,19.900000,19.299999,19.850000,14.632353,4650
2002-08-27,19.750000,20.150000,19.600000,20.049999,14.779780,16740
2002-08-28,19.950001,20.150000,19.750000,19.950001,14.706065,10705
2002-08-29,20.000000,20.000000,19.650000,19.750000,14.558640,9232
2002-08-30,20.100000,20.250000,19.500000,20.150000,14.853496,2697
2002-09-02,20.750000,20.750000,19.650000,19.750000,14.558640,6616
2002-09-03,20.100000,20.250000,19.750000,19.950001,14.706065,12375
2002-09-04,19.500000,20.100000,19.200001,19.750000,14.558640,10160
2002-09-05,21.000000,21.000000,20.000000,20.150000,14.853496,1806
2002-09-06,19.650000,20.450001,19.650000,20.350000,15.000926,15752
2002-09-09,18.850000,18.850000,17.600000,17.650000,13.010632,2379
2002-09-10,null,null,null,null,null,null
2002-09-11,21.100000,21.100000,17.500000,18.000000,13.268634,977
2002-09-12,21.600000,21.600000,17.299999,17.900000,13.194917,601
2002-09-13,19.900000,19.900000,16.750000,17.000000,12.531487,3059
2002-09-16,19.750000,19.750000,16.799999,17.450001,12.863201,1406
2002-09-17,18.549999,18.549999,16.799999,17.200001,12.678916,1253
2002-09-18,17.200001,17.900000,16.500000,16.750000,12.347199,4303
2002-09-19,16.850000,17.000000,16.850000,16.950001,12.494627,3800
