Date,open,high,low,close,adj_close,volume
2005-03-31,71.120003,95.199997,71.120003,89.839996,57.922470,27752572
2005-04-01,90.400002,101.199997,82.599998,98.320000,63.389771,17329749
2005-04-04,98.400002,100.800003,92.480003,93.639999,60.372440,9625086
2005-04-05,94.000000,94.599998,88.160004,89.360001,57.613022,5091014
2005-04-06,90.400002,95.120003,89.120003,91.959999,59.289303,4804050
2005-04-07,92.720001,100.559998,91.639999,97.360001,62.770840,10021846
2005-04-08,97.599998,101.559998,94.680000,100.040001,64.498711,9033132
2005-04-11,99.919998,103.559998,95.279999,96.559998,62.255054,7987108
2005-04-12,96.080002,99.400002,93.599998,94.360001,60.836639,2566068
2005-04-13,95.199997,97.040001,92.320000,93.000000,59.959816,2161725
2005-04-15,93.000000,93.000000,86.599998,89.120003,57.458260,2065375
2005-04-18,89.000000,97.360001,80.160004,96.040001,61.919792,6202729
2005-04-19,96.400002,101.160004,94.800003,97.599998,62.925579,6070904
2005-04-20,97.440002,98.239998,94.000000,97.279999,62.719254,1926134
2005-04-21,95.199997,100.639999,95.199997,99.959999,64.447136,2130015
2005-04-22,101.599998,106.639999,100.519997,101.440002,65.401329,3842376
2005-04-25,102.160004,107.879997,100.800003,106.599998,68.728142,4091434
2005-04-26,108.800003,127.919998,108.800003,123.559998,79.662758,13298342
2005-04-27,124.239998,130.399994,115.680000,117.440002,75.717003,12480510
2005-04-28,118.400002,121.199997,110.639999,115.519997,74.479126,6198474
2005-04-29,116.800003,121.839996,113.919998,118.199997,76.207008,7012929
2005-05-02,118.199997,122.160004,117.040001,118.919998,76.671181,6905758
2005-05-03,118.400002,124.599998,118.120003,122.919998,79.250114,6399106
2005-05-04,122.400002,135.880005,122.400002,131.399994,84.717415,14711886
2005-05-05,132.000000,137.279999,128.839996,130.240005,83.969528,7782341
2005-05-06,131.199997,135.000000,130.160004,132.520004,85.439537,5968814
2005-05-09,133.600006,136.000000,132.039993,132.720001,85.568466,2792338
2005-05-10,132.960007,134.600006,126.559998,129.160004,83.905426,3522852
2005-05-11,129.960007,131.919998,128.279999,129.240005,83.957405,1849528
2005-05-12,129.919998,131.399994,127.879997,128.720001,83.619606,1225996
2005-05-13,129.199997,130.600006,126.599998,127.559998,82.866035,1366202
2005-05-16,129.199997,129.199997,124.160004,124.800003,81.073051,831229
2005-05-17,125.599998,133.119995,124.000000,129.320007,84.009384,4582960
2005-05-18,127.839996,128.960007,122.919998,123.839996,80.449417,1578872
2005-05-19,124.800003,126.800003,121.239998,122.199997,79.384041,1478132
2005-05-20,122.040001,124.160004,121.239998,122.320000,79.461990,1292698
2005-05-23,122.800003,125.360001,120.879997,121.519997,78.942299,980676
2005-05-24,122.800003,123.120003,119.279999,119.879997,77.876923,1018275
2005-05-25,120.559998,121.000000,118.040001,118.720001,77.123352,759369
2005-05-26,119.120003,125.839996,118.720001,121.760002,79.098228,2788204
2005-05-27,122.400002,123.519997,117.680000,118.959999,77.279259,899498
2005-05-30,118.599998,120.360001,118.000000,118.639999,77.071388,664280
2005-05-31,118.800003,119.599998,115.720001,116.559998,75.720169,676815
2005-06-01,116.760002,117.040001,114.120003,115.320000,74.914642,748795
2005-06-02,115.919998,119.919998,114.519997,118.239998,76.811546,1409459
2005-06-03,118.040001,118.959999,115.639999,116.559998,75.720169,416656
2005-06-06,116.120003,117.000000,115.199997,115.360001,74.940628,446669
2005-06-07,115.760002,120.480003,115.400002,119.040001,77.331223,939554
2005-06-08,119.519997,123.800003,119.519997,121.839996,79.150192,1734152
2005-06-09,122.480003,123.320000,120.160004,121.160004,78.708450,572065
2005-06-10,121.919998,125.120003,118.879997,120.480003,78.266685,855256
2005-06-13,120.480003,120.599998,114.800003,115.440002,74.992577,504329
2005-06-14,115.519997,116.800003,112.199997,113.440002,73.693359,467475
2005-06-15,114.040001,116.000000,113.639999,114.559998,74.420914,429490
2005-06-16,114.440002,115.680000,110.440002,113.360001,73.641342,358769
2005-06-17,112.440002,116.720001,111.279999,113.879997,73.979172,601632
2005-06-20,110.839996,114.639999,110.400002,111.160004,72.212196,273331
2005-06-21,111.720001,120.400002,110.559998,118.320000,76.863503,801845
2005-06-22,118.400002,121.040001,116.000000,117.160004,76.109955,591251
2005-06-23,117.199997,119.120003,114.919998,116.440002,75.642220,496109
2005-06-24,114.080002,116.000000,111.199997,112.360001,72.991737,301639
2005-06-27,112.000000,115.000000,111.680000,112.279999,72.939781,352368
2005-06-28,109.239998,113.120003,109.199997,110.519997,71.796425,271452
2005-06-29,110.919998,112.559998,110.160004,111.879997,72.679932,199458
2005-06-30,112.360001,114.879997,106.480003,108.400002,70.419228,653975
2005-07-01,106.040001,110.320000,106.040001,107.760002,70.003471,246659
2005-07-04,106.839996,110.239998,106.839996,108.160004,70.263351,334722
2005-07-05,108.800003,117.199997,108.000000,114.160004,74.161072,1233799
2005-07-06,115.199997,119.279999,115.199997,116.879997,75.928062,1245064
2005-07-07,118.000000,118.320000,111.199997,112.760002,73.251595,291206
