Date,open,high,low,close,adj_close,volume
2002-07-01,4.800000,5.408000,4.800000,5.024000,2.683988,7347
2002-07-02,5.984000,5.984000,4.832000,5.056000,2.701083,1952
2002-07-03,5.984000,5.984000,5.120000,5.408000,2.889133,2817
2002-07-04,6.400000,6.400000,5.408000,5.728000,3.060088,1258
2002-07-05,6.816000,6.816000,4.960000,6.720000,3.590047,25444
2002-07-08,7.040000,8.000000,7.040000,7.488000,4.000338,14842
2002-07-09,7.808000,7.808000,6.560000,6.976000,3.726811,7556
2002-07-10,6.656000,7.680000,6.656000,7.072000,3.778097,14492
2002-07-11,7.616000,7.616000,6.400000,6.784000,3.624238,26505
2002-07-12,6.400000,7.008000,6.400000,7.008000,3.743905,3125
2002-07-15,6.592000,6.592000,6.400000,6.400000,3.419092,3047
2002-07-16,5.888000,6.336000,5.888000,6.080000,3.248138,2656
2002-07-17,6.144000,6.144000,6.144000,6.144000,3.282329,156
2002-07-18,6.336000,6.336000,6.336000,6.336000,3.384901,2
2002-07-19,6.656000,6.656000,6.016000,6.016000,3.213947,80
2002-07-22,6.080000,6.080000,5.440000,5.440000,2.906229,938
2002-07-23,5.440000,5.440000,5.216000,5.280000,2.820751,625
2002-07-24,5.440000,5.440000,5.440000,5.440000,2.906229,1250
2002-07-25,null,null,null,null,null,null
2002-07-26,null,null,null,null,null,null
2002-07-29,null,null,null,null,null,null
2002-07-30,5.280000,5.280000,5.280000,5.280000,2.820751,391
2002-07-31,null,null,null,null,null,null
2002-08-01,null,null,null,null,null,null
2002-08-02,5.120000,5.120000,5.120000,5.120000,2.735274,312
2002-08-05,null,null,null,null,null,null
2002-08-06,5.120000,5.600000,4.896000,4.896000,2.615605,81
2002-08-07,4.768000,5.120000,4.768000,5.120000,2.735274,148
2002-08-08,null,null,null,null,null,null
2002-08-09,null,null,null,null,null,null
2002-08-12,null,null,null,null,null,null
2002-08-13,4.704000,4.704000,4.640000,4.640000,2.478842,1562
2002-08-14,4.640000,4.640000,4.640000,4.640000,2.478842,2500
2002-08-15,null,null,null,null,null,null
2002-08-16,4.576000,4.576000,4.576000,4.576000,2.444651,156
2002-08-19,null,null,null,null,null,null
2002-08-20,null,null,null,null,null,null
2002-08-21,null,null,null,null,null,null
2002-08-22,null,null,null,null,null,null
2002-08-23,4.384000,4.384000,4.384000,4.384000,2.342078,2
2002-08-26,null,null,null,null,null,null
2002-08-27,4.576000,4.576000,4.576000,4.576000,2.444651,469
2002-08-28,4.480000,4.480000,4.480000,4.480000,2.393365,312
2002-08-29,5.312000,5.312000,5.312000,5.312000,2.837847,2
2002-08-30,6.048000,6.048000,6.048000,6.048000,3.231042,2
2002-09-02,6.976000,6.976000,4.864000,4.864000,2.598510,312
2002-09-03,5.216000,5.248000,5.216000,5.248000,2.803656,625
2002-09-04,null,null,null,null,null,null
2002-09-05,null,null,null,null,null,null
2002-09-06,null,null,null,null,null,null
2002-09-09,null,null,null,null,null,null
2002-09-10,null,null,null,null,null,null
2002-09-11,4.512000,5.952000,4.512000,5.952000,3.179755,3
2002-09-12,5.280000,5.280000,4.896000,4.896000,2.615605,1875
2002-09-13,5.376000,5.440000,4.800000,4.800000,2.564319,1094
2002-09-16,4.160000,5.728000,4.160000,5.728000,3.060088,22
2002-09-17,null,null,null,null,null,null
2002-09-18,null,null,null,null,null,null
2002-09-19,null,null,null,null,null,null
2002-09-20,null,null,null,null,null,null
2002-09-23,4.640000,4.640000,4.640000,4.640000,2.478842,2
2002-09-24,4.544000,4.960000,4.544000,4.960000,2.649796,353
2002-09-25,null,null,null,null,null,null
2002-09-26,null,null,null,null,null,null
2002-09-27,null,null,null,null,null,null
2002-09-30,null,null,null,null,null,null
2002-10-01,null,null,null,null,null,null
2002-10-02,null,null,null,null,null,null
2002-10-03,null,null,null,null,null,null
2002-10-04,null,null,null,null,null,null
2002-10-07,null,null,null,null,null,null
2002-10-08,null,null,null,null,null,null
2002-10-09,null,null,null,null,null,null
2002-10-10,4.960000,4.960000,4.960000,4.960000,2.649796,469
2002-10-11,4.928000,4.928000,4.896000,4.896000,2.615605,156
2002-10-14,5.664000,5.664000,4.576000,4.576000,2.444651,469
2002-10-15,null,null,null,null,null,null
2002-10-16,4.800000,5.248000,4.576000,4.896000,2.615605,1094
2002-10-17,5.696000,5.696000,4.512000,5.376000,2.872037,20
2002-10-18,5.856000,5.856000,4.640000,4.640000,2.478842,156
2002-10-21,null,null,null,null,null,null
2002-10-22,4.544000,4.544000,4.544000,4.544000,2.427555,156
2002-10-23,null,null,null,null,null,null
2002-10-24,null,null,null,null,null,null
2002-10-25,5.248000,5.248000,4.544000,4.640000,2.478842,2031
2002-10-28,5.280000,5.280000,5.280000,5.280000,2.820751,2
2002-10-29,null,null,null,null,null,null
2002-10-30,null,null,null,null,null,null
2002-10-31,null,null,null,null,null,null
2002-11-01,null,null,null,null,null,null
2002-11-04,null,null,null,null,null,null
2002-11-05,null,null,null,null,null,null
2002-11-06,null,null,null,null,null,null
2002-11-07,null,null,null,null,null,null
2002-11-08,null,null,null,null,null,null
2002-11-11,null,null,null,null,null,null
2002-11-12,null,null,null,null,null,null
2002-11-13,null,null,null,null,null,null
2002-11-14,null,null,null,null,null,null
2002-11-15,null,null,null,null,null,null
2002-11-18,null,null,null,null,null,null
2002-11-19,null,null,null,null,null,null
2002-11-20,4.640000,4.640000,4.608000,4.608000,2.461746,312
2002-11-21,null,null,null,null,null,null
2002-11-22,null,null,null,null,null,null
2002-11-25,null,null,null,null,null,null
2002-11-26,null,null,null,null,null,null
2002-11-27,null,null,null,null,null,null
2002-11-28,null,null,null,null,null,null
2002-11-29,null,null,null,null,null,null
2002-12-02,null,null,null,null,null,null
2002-12-03,null,null,null,null,null,null
2002-12-04,4.800000,4.864000,4.800000,4.864000,2.598510,547
2002-12-05,4.864000,4.864000,4.864000,4.864000,2.598510,156
2002-12-06,null,null,null,null,null,null
2002-12-09,5.248000,5.280000,5.248000,5.280000,2.820751,469
2002-12-10,null,null,null,null,null,null
2002-12-11,null,null,null,null,null,null
2002-12-12,5.216000,5.216000,5.216000,5.216000,2.786560,1562
2002-12-13,4.800000,4.800000,4.800000,4.800000,2.564319,312
2002-12-16,null,null,null,null,null,null
2002-12-17,null,null,null,null,null,null
2002-12-18,null,null,null,null,null,null
2002-12-19,null,null,null,null,null,null
2002-12-20,4.032000,4.800000,3.936000,4.800000,2.564319,1094
2002-12-23,null,null,null,null,null,null
2002-12-24,4.576000,4.576000,4.480000,4.480000,2.393365,469
2002-12-25,null,null,null,null,null,null
2002-12-26,4.576000,4.576000,4.576000,4.576000,2.444651,469
2002-12-27,null,null,null,null,null,null
2002-12-30,null,null,null,null,null,null
2002-12-31,null,null,null,null,null,null
2003-01-01,null,null,null,null,null,null
2003-01-02,4.256000,4.256000,4.096000,4.096000,2.188219,781
2003-01-03,4.800000,4.864000,4.800000,4.864000,2.598510,312
2003-01-06,4.960000,4.960000,4.960000,4.960000,2.649796,1562
2003-01-07,5.440000,5.440000,4.608000,4.608000,2.461746,625
2003-01-08,5.440000,5.440000,5.440000,5.440000,2.906229,156
2003-01-09,5.920000,5.920000,5.920000,5.920000,3.162660,312
2003-01-10,6.240000,6.272000,4.800000,4.928000,2.632701,5312
2003-01-13,null,null,null,null,null,null
2003-01-14,5.408000,5.408000,4.512000,5.248000,2.803656,469
2003-01-15,4.800000,5.504000,4.800000,5.504000,2.940419,312
2003-01-16,5.024000,5.024000,5.024000,5.024000,2.683988,312
2003-01-17,5.760000,5.760000,5.760000,5.760000,3.077183,156
2003-01-20,6.368000,6.368000,5.120000,5.120000,2.735274,312
2003-01-21,5.120000,5.120000,5.120000,5.120000,2.735274,547
2003-01-22,4.800000,4.800000,4.320000,4.320000,2.307887,1562
2003-01-23,4.000000,4.736000,4.000000,4.512000,2.410460,1406
2003-01-24,4.288000,4.960000,4.288000,4.544000,2.427555,469
2003-01-27,4.480000,4.800000,4.320000,4.800000,2.564319,1008
2003-01-28,4.384000,5.120000,4.384000,5.120000,2.735274,16
2003-01-29,4.192000,5.760000,4.192000,4.672000,2.495938,1875
2003-01-30,4.800000,4.800000,4.800000,4.800000,2.564319,312
2003-01-31,4.320000,5.056000,4.288000,5.024000,2.683988,7656
2003-02-03,4.544000,4.544000,4.448000,4.480000,2.393365,1031
2003-02-04,null,null,null,null,null,null
2003-02-05,null,null,null,null,null,null
2003-02-06,4.352000,4.352000,4.352000,4.352000,2.324983,156
2003-02-07,4.416000,4.416000,4.384000,4.384000,2.342078,781
2003-02-10,4.320000,4.320000,4.320000,4.320000,2.307887,469
2003-02-11,4.928000,5.088000,4.896000,4.960000,2.649796,1247
2003-02-12,4.992000,4.992000,4.512000,4.640000,2.478842,469
2003-02-13,null,null,null,null,null,null
2003-02-14,4.384000,4.384000,4.384000,4.384000,2.342078,781
2003-02-17,4.512000,4.512000,4.512000,4.512000,2.410460,78
2003-02-18,4.384000,4.384000,4.384000,4.384000,2.342078,156
2003-02-19,4.224000,4.992000,4.192000,4.544000,2.427555,4219
2003-02-20,4.512000,4.512000,4.512000,4.512000,2.410460,78
2003-02-21,4.480000,4.928000,4.480000,4.576000,2.444651,3438
2003-02-24,4.576000,4.960000,4.576000,4.960000,2.649796,1875
2003-02-25,4.544000,4.960000,4.512000,4.960000,2.649796,4531
2003-02-26,4.608000,4.608000,4.608000,4.608000,2.461746,156
2003-02-27,4.608000,4.608000,4.608000,4.608000,2.461746,312
2003-02-28,null,null,null,null,null,null
2003-03-03,null,null,null,null,null,null
2003-03-04,4.800000,5.056000,4.800000,5.056000,2.701083,1406
2003-03-05,4.800000,4.800000,4.800000,4.800000,2.564319,167
2003-03-06,null,null,null,null,null,null
2003-03-07,4.480000,4.800000,4.480000,4.800000,2.564319,3281
2003-03-10,4.544000,4.544000,4.480000,4.480000,2.393365,2656
2003-03-11,4.352000,4.960000,4.352000,4.800000,2.564319,2969
2003-03-12,4.800000,4.800000,4.800000,4.800000,2.564319,1562
2003-03-13,null,null,null,null,null,null
2003-03-14,null,null,null,null,null,null
2003-03-17,4.448000,4.448000,4.448000,4.448000,2.376269,156
2003-03-18,null,null,null,null,null,null
2003-03-19,null,null,null,null,null,null
2003-03-20,null,null,null,null,null,null
2003-03-21,null,null,null,null,null,null
2003-03-24,4.544000,4.544000,4.544000,4.544000,2.427555,312
2003-03-25,5.120000,5.120000,5.120000,5.120000,2.735274,156
2003-03-26,4.512000,4.512000,4.480000,4.480000,2.393365,156
2003-03-27,4.480000,4.480000,4.480000,4.480000,2.393365,234
