Date,open,high,low,close,adj_close,volume
2000-01-03,118.599998,118.599998,118.599998,118.599998,16.523848,3000
2000-01-04,114.199997,120.000000,114.000000,119.269997,16.617191,5500
2000-01-05,118.000000,120.000000,118.000000,120.000000,16.718899,1000
2000-01-06,122.000000,123.000000,116.000000,116.000000,16.161604,3500
2000-01-07,119.199997,122.000000,119.199997,122.000000,16.997549,3500
2000-01-10,122.000000,124.000000,122.000000,124.000000,17.276197,5000
2000-01-11,120.000000,124.000000,118.199997,118.220001,16.470905,6000
2000-01-12,119.980003,123.000000,119.980003,122.540001,17.072783,3500
2000-01-13,118.199997,124.000000,118.199997,122.000000,16.997549,29500
2000-01-14,121.000000,122.000000,121.000000,122.000000,16.997549,1500
2000-01-17,123.199997,126.000000,123.199997,126.000000,17.554844,8500
2000-01-18,121.449997,126.000000,118.000000,122.860001,17.117367,118000
2000-01-19,122.400002,122.400002,122.400002,122.400002,17.053276,500
2000-01-20,null,null,null,null,null,null
2000-01-21,null,null,null,null,null,null
2000-01-24,118.000000,118.000000,113.400002,113.400002,15.799360,1500
2000-01-25,118.000000,121.000000,109.199997,116.279999,16.200613,4000
2000-01-26,null,null,null,null,null,null
2000-01-27,118.000000,118.000000,112.199997,112.199997,15.632169,4500
2000-01-28,112.000000,112.000000,112.000000,112.000000,15.604304,1500
2000-01-31,null,null,null,null,null,null
2000-02-01,104.000000,104.000000,104.000000,104.000000,14.489714,500
2000-02-02,104.000000,104.000000,104.000000,104.000000,14.489714,500
2000-02-03,100.199997,104.000000,100.000000,104.000000,14.489714,3500
2000-02-04,96.300003,103.760002,96.300003,103.760002,14.456276,1500
2000-02-07,100.000000,100.000000,100.000000,100.000000,13.932416,1000
2000-02-08,100.199997,100.199997,96.199997,96.199997,13.402984,2000
2000-02-09,100.000000,102.000000,100.000000,100.300003,13.974216,4500
2000-02-10,null,null,null,null,null,null
2000-02-11,100.199997,100.599998,100.199997,100.199997,13.960282,3000
2000-02-14,95.199997,95.199997,94.199997,94.199997,13.124334,1500
