Date,open,high,low,close,adj_close,volume
2005-08-29,73.000000,76.000000,65.150002,67.550003,46.469250,172500
2005-08-30,67.699997,67.699997,63.700001,63.950001,43.992722,97600
2005-08-31,66.500000,66.500000,63.500000,63.650002,43.786358,62300
2005-09-01,64.599998,64.599998,63.650002,63.799999,43.889534,20500
2005-09-02,64.800003,64.849998,62.650002,62.900002,43.270401,26100
2005-09-05,65.000000,65.500000,61.349998,61.950001,42.616875,129600
2005-09-06,62.750000,71.750000,62.000000,69.449997,47.776299,300000
2005-09-08,83.000000,83.000000,69.949997,71.300003,49.048977,241200
2005-09-09,71.900002,72.449997,69.050003,69.500000,47.810699,111300
2005-09-12,71.000000,74.400002,70.250000,73.650002,50.665592,109600
2005-09-13,74.099998,85.900002,72.500000,81.550003,56.100170,300900
2005-09-14,82.900002,85.599998,77.300003,79.849998,54.930714,268700
2005-09-15,79.000000,82.000000,79.000000,79.699997,54.827522,82100
2005-09-16,80.800003,83.500000,79.300003,79.750000,54.861916,82400
2005-09-19,80.000000,80.800003,76.099998,79.050003,54.380375,70400
2005-09-20,79.500000,79.500000,74.099998,74.650002,51.353504,44300
2005-09-21,74.750000,76.000000,67.099998,72.000000,49.530518,39583
2005-09-22,74.900002,74.900002,64.000000,64.599998,44.439880,26400
2005-09-23,65.000000,67.449997,62.549999,66.300003,45.609348,25200
2005-09-26,66.900002,71.750000,66.900002,70.699997,48.636200,17800
2005-09-27,72.000000,73.900002,71.650002,72.150002,49.633701,21100
2005-09-28,71.849998,72.000000,69.050003,69.650002,47.913891,6300
2005-09-29,71.500000,71.500000,65.500000,67.300003,46.297276,9100
2005-09-30,66.000000,66.349998,63.000000,64.949997,44.680649,16300
2005-10-03,66.000000,67.500000,64.500000,65.699997,45.196587,13700
2005-10-04,66.800003,69.750000,65.550003,66.349998,45.643738,14900
2005-10-05,66.099998,67.900002,65.099998,65.400002,44.990211,5900
2005-10-06,67.900002,67.900002,64.300003,64.349998,44.267891,6400
2005-10-07,64.500000,65.900002,62.500000,62.750000,43.167210,22200
2005-10-10,63.000000,63.650002,62.049999,62.200001,42.788860,10500
2005-10-11,62.099998,62.700001,61.150002,61.500000,42.307312,9600
2005-10-13,61.900002,62.000000,60.500000,60.650002,41.722580,8100
2005-10-14,61.000000,61.299999,57.500000,58.500000,40.243546,17100
2005-10-17,59.000000,59.000000,57.000000,57.650002,39.658810,10900
2005-10-18,58.900002,58.900002,57.250000,57.900002,39.830784,4200
2005-10-19,58.000000,58.500000,54.599998,55.049999,37.870209,12200
2005-10-20,55.000000,55.750000,46.400002,51.000000,35.084118,11900
2005-10-21,50.500000,54.000000,50.000000,53.200001,36.597549,11400
2005-10-24,53.950001,54.900002,52.799999,53.000000,36.459961,10800
2005-10-25,53.950001,53.950001,52.299999,52.900002,36.391171,2300
2005-10-26,53.400002,53.599998,52.500000,52.700001,36.253578,2800
2005-10-27,52.599998,53.250000,50.049999,50.900002,35.015316,9400
2005-10-28,51.000000,51.000000,47.299999,47.900002,32.951546,15300
2005-10-31,49.349998,49.500000,46.000000,49.349998,33.949036,23900
2005-11-02,51.900002,53.000000,50.549999,52.549999,36.150387,17610
2005-11-04,null,null,null,null,null,null
2005-11-07,53.099998,53.349998,51.500000,51.799999,35.634445,33000
2005-11-08,51.000000,53.400002,51.000000,51.549999,35.462467,74900
2005-11-09,52.500000,53.750000,52.000000,52.650002,36.219189,23000
2005-11-10,52.700001,53.900002,51.349998,51.549999,35.462467,59800
2005-11-11,51.200001,52.500000,51.000000,51.150002,35.187298,44500
2005-11-14,51.049999,52.299999,50.799999,51.299999,35.994190,14600
2005-11-16,54.799999,54.799999,50.099998,50.599998,35.503040,54600
2005-11-17,51.500000,53.299999,50.299999,50.599998,35.503040,114100
2005-11-18,50.750000,51.900002,50.750000,51.349998,36.029270,158300
2005-11-21,51.849998,52.950001,51.500000,52.549999,36.871243,18600
2005-11-22,52.750000,60.849998,52.750000,59.200001,41.537151,170800
2005-11-23,59.900002,62.500000,57.700001,59.900002,42.028301,127700
2005-11-24,59.900002,64.800003,59.900002,61.000000,42.800106,118300
2005-11-25,61.599998,62.000000,58.500000,58.900002,41.326660,47400
2005-11-28,60.799999,62.400002,59.099998,59.500000,41.747646,26700
2005-11-29,58.549999,59.000000,55.900002,56.299999,39.502392,30200
2005-11-30,57.000000,57.900002,50.200001,54.700001,38.379768,35400
2005-12-01,54.549999,55.500000,53.750000,55.000000,38.590260,45200
2005-12-02,54.599998,57.750000,54.599998,55.599998,39.011242,54600
2005-12-05,55.750000,56.500000,55.400002,56.000000,39.291897,26700
2005-12-06,57.000000,66.000000,56.000000,63.200001,44.343716,347600
2005-12-07,63.849998,66.050003,62.700001,64.699997,45.396179,242400
2005-12-08,64.250000,66.400002,64.099998,65.750000,46.132893,113900
2005-12-09,66.900002,68.500000,66.250000,66.900002,46.939785,88700
2005-12-12,67.199997,71.000000,65.500000,69.500000,48.764061,129700
2005-12-13,70.349998,72.300003,68.300003,70.900002,49.746353,113100
2005-12-14,70.500000,71.699997,67.699997,69.050003,48.448322,64100
2005-12-15,69.650002,69.699997,65.000000,66.949997,46.974869,27400
2005-12-16,67.800003,67.800003,66.500000,66.750000,46.834549,17900
2005-12-19,63.599998,68.500000,63.599998,66.750000,46.834549,15600
2005-12-20,66.599998,67.250000,65.750000,66.699997,46.799450,26800
2005-12-21,67.000000,67.800003,66.250000,66.500000,46.659134,30300
2005-12-22,67.000000,68.500000,66.550003,67.650002,47.466022,33900
2005-12-23,70.500000,75.000000,68.000000,68.750000,48.237823,75800
2005-12-26,69.500000,71.449997,67.250000,67.650002,47.466022,41100
2005-12-27,67.900002,81.199997,66.699997,80.750000,56.657520,422000
2005-12-28,83.000000,95.400002,80.650002,93.550003,65.638535,3102800
2005-12-29,94.000000,101.949997,90.750000,98.500000,69.111649,2884600
2005-12-30,99.300003,102.900002,97.250000,98.800003,69.322136,1203000
