Date,open,high,low,close,adj_close,volume
2004-09-09,14.000000,14.100000,13.300000,14.080000,4.739148,3325
2004-09-10,13.410000,14.160000,13.410000,13.800000,4.644904,5315
2004-09-13,13.990000,14.300000,13.990000,14.000000,4.712221,82895
2004-09-14,14.100000,14.200000,13.100000,13.700000,4.611245,13195
2004-09-15,13.820000,14.000000,13.360000,13.500000,4.543928,54940
2004-09-16,13.780000,13.950000,13.760000,13.810000,4.648270,8850
2004-09-17,14.200000,14.200000,13.800000,13.830000,4.655001,46265
2004-09-20,14.000000,14.100000,13.530000,13.800000,4.644904,28895
2004-09-21,13.980000,15.350000,13.900000,14.530000,4.890614,218020
2004-09-22,14.800000,15.560000,14.580000,15.360000,5.169980,156505
2004-09-23,15.220000,15.870000,15.000000,15.230000,5.126224,262235
2004-09-24,15.400000,15.630000,15.000000,15.130000,5.092566,107395
2004-09-27,16.299999,16.299999,15.100000,15.380000,5.176712,324630
2004-09-28,15.500000,15.890000,15.220000,15.730000,5.294518,261830
2004-09-29,15.790000,16.200001,15.300000,16.000000,5.385396,245595
2004-09-30,16.299999,16.299999,15.500000,15.860000,5.338272,182470
2004-10-01,16.200001,16.200001,15.500000,15.740000,5.297884,45665
2004-10-04,16.000000,16.570000,15.830000,16.160000,5.439250,461645
2004-10-05,16.299999,16.400000,15.730000,15.970000,5.375298,147170
2004-10-06,16.170000,16.590000,15.850000,15.970000,5.375298,181535
2004-10-07,15.700000,16.340000,15.700000,16.120001,5.425786,106675
2004-10-08,16.000000,16.959999,15.960000,16.400000,5.520031,299660
2004-10-11,16.420000,16.870001,15.720000,16.070000,5.408958,329965
2004-10-12,16.580000,16.580000,15.400000,15.700000,5.284420,107595
2004-10-13,null,null,null,null,null,null
2004-10-14,15.400000,16.200001,15.390000,15.770000,5.307981,82140
2004-10-15,16.000000,16.400000,15.600000,15.780000,5.311347,62190
2004-10-18,15.800000,15.800000,15.230000,15.480000,5.210370,112735
2004-10-19,15.500000,15.530000,15.210000,15.350000,5.166614,15630
2004-10-20,15.310000,15.760000,14.450000,15.200000,5.116125,61320
2004-10-21,15.200000,16.500000,15.000000,16.030001,5.395493,226095
2004-10-22,null,null,null,null,null,null
2004-10-25,16.299999,16.299999,15.200000,15.880000,5.345005,113575
2004-10-26,15.950000,16.299999,15.620000,15.820000,5.324811,89710
2004-10-27,15.800000,16.260000,15.780000,16.110001,5.422421,96720
2004-10-28,16.400000,16.620001,16.200001,16.580000,5.580617,106785
2004-10-29,16.600000,16.980000,16.500000,16.750000,5.637835,153520
2004-11-01,17.440001,20.100000,17.350000,19.809999,6.667796,2184585
2004-11-02,20.340000,20.559999,19.230000,19.570000,6.587012,1001600
2004-11-03,19.889999,19.889999,18.559999,19.049999,6.411986,389310
2004-11-04,19.540001,20.100000,15.240000,18.920000,6.368229,540130
2004-11-05,18.400000,20.170000,18.400000,19.340000,6.509596,784150
2004-11-08,19.200001,19.570000,18.700001,18.860001,6.348035,268970
2004-11-09,19.500000,19.570000,18.299999,18.420000,6.199936,134460
2004-11-10,18.420000,19.850000,18.420000,19.340000,6.509596,872595
2004-11-11,19.540001,19.900000,19.200001,19.290001,6.492768,354850
2004-11-12,19.480000,21.459999,19.480000,20.740000,6.980822,1072345
2004-11-15,null,null,null,null,null,null
2004-11-16,21.170000,21.799999,20.660000,20.780001,6.994283,1021840
2004-11-17,21.290001,22.200001,20.900000,21.219999,7.142382,1267185
2004-11-18,21.559999,21.670000,20.400000,20.549999,6.916866,490170
2004-11-19,20.900000,21.030001,19.219999,19.690001,6.627403,380900
2004-11-22,19.400000,20.750000,19.400000,19.959999,6.718280,491885
2004-11-23,20.549999,20.980000,19.920000,20.150000,6.782232,738145
2004-11-24,21.780001,21.780001,20.000000,20.280001,6.825989,658230
2004-11-25,20.400000,20.990000,20.000000,20.190001,6.795695,598735
2004-11-26,null,null,null,null,null,null
2004-11-29,20.379999,20.379999,19.799999,20.010000,6.735110,271825
2004-11-30,20.100000,21.170000,20.100000,20.639999,6.947160,731040
2004-12-01,20.340000,21.290001,19.620001,21.129999,7.112087,710985
2004-12-02,20.820000,21.219999,20.020000,20.150000,7.491299,408560
2004-12-03,20.100000,20.500000,19.950001,20.170000,7.498737,391265
2004-12-06,20.700001,20.700001,20.100000,20.280001,7.539633,198290
2004-12-07,20.120001,20.510000,20.100000,20.290001,7.543348,176425
2004-12-08,20.299999,20.540001,20.209999,20.320000,7.554502,207595
2004-12-09,20.379999,21.500000,20.200001,20.639999,7.673471,432825
2004-12-10,21.160000,21.180000,20.620001,20.740000,7.710648,317780
2004-12-13,21.000000,21.200001,20.700001,21.049999,7.825899,349890
2004-12-14,21.200001,21.770000,21.010000,21.100000,7.844488,296365
2004-12-15,21.379999,21.549999,20.600000,20.830000,7.744109,331620
2004-12-16,21.000000,21.200001,20.600000,20.639999,7.673471,120675
2004-12-17,21.000000,21.000000,20.400000,20.610001,7.662316,107665
2004-12-20,20.799999,20.799999,20.240000,20.500000,7.621419,317670
2004-12-21,20.799999,21.799999,20.500000,21.290001,7.915126,485050
2004-12-22,21.600000,22.750000,21.010000,21.629999,8.041533,1138215
2004-12-23,22.000000,22.389999,21.620001,21.790001,8.101013,370845
2004-12-24,22.120001,22.120001,21.200001,21.370001,7.944870,321600
2004-12-27,21.430000,21.580000,21.049999,21.230000,7.892819,154525
2004-12-28,21.299999,22.190001,21.299999,22.030001,8.190238,344890
2004-12-29,22.559999,23.000000,21.440001,21.790001,8.101013,370485
2004-12-30,22.000000,22.090000,21.219999,21.790001,8.101013,280605
