Date,open,high,low,close,adj_close,volume
2004-09-10,3.200000,3.200000,3.020000,3.165000,0.342582,2500
2004-09-13,3.250000,3.250000,3.130000,3.165000,0.342582,116900
2004-09-14,2.842000,3.134000,2.811000,3.094000,0.334897,723470
2004-09-15,3.229000,3.238000,3.085000,3.157000,0.341716,1408840
2004-09-16,3.247000,3.247000,3.058000,3.121000,0.337820,276110
2004-09-17,3.418000,3.418000,3.018000,3.045000,0.329593,256640
2004-09-20,3.049000,3.121000,3.013000,3.036000,0.328619,199310
2004-09-21,3.053000,3.053000,2.968000,2.982000,0.322774,86010
2004-09-22,2.968000,3.000000,2.932000,2.941000,0.318336,112070
2004-09-23,2.901000,2.941000,2.851000,2.860000,0.309569,73460
2004-09-24,2.901000,2.941000,2.770000,2.802000,0.303291,288680
2004-09-27,2.923000,2.923000,2.721000,2.743000,0.296905,295300
2004-09-28,2.833000,2.833000,2.698000,2.707000,0.293008,237370
2004-09-29,2.707000,2.820000,2.703000,2.797000,0.302749,209790
2004-09-30,2.856000,2.856000,2.743000,2.784000,0.301342,351330
2004-10-01,2.797000,2.842000,2.730000,2.752000,0.297879,128040
2004-10-04,2.793000,2.811000,2.671000,2.703000,0.292575,666320
2004-10-05,2.784000,2.784000,2.667000,2.671000,0.289111,270490
2004-10-06,2.833000,2.833000,2.676000,2.694000,0.291601,794170
2004-10-07,2.743000,2.770000,2.698000,2.721000,0.294523,881810
2004-10-08,2.788000,2.829000,2.671000,2.685000,0.290627,409220
2004-10-11,3.050000,3.060000,2.676000,2.698000,0.292034,2142120
2004-10-12,2.698000,2.743000,2.680000,2.694000,0.291601,1170300
2004-10-13,null,null,null,null,null,null
2004-10-14,2.721000,2.721000,2.671000,2.676000,0.289652,571860
2004-10-15,2.662000,2.712000,2.662000,2.689000,0.291059,380890
2004-10-18,2.698000,2.721000,2.680000,2.707000,0.293008,215970
2004-10-19,2.761000,2.761000,2.640000,2.653000,0.287163,167200
2004-10-20,2.694000,2.716000,2.658000,2.662000,0.288137,136040
2004-10-21,2.721000,2.721000,2.644000,2.707000,0.293008,471000
2004-10-22,null,null,null,null,null,null
2004-10-25,2.707000,2.748000,2.698000,2.743000,0.296905,411990
2004-10-26,2.743000,2.770000,2.608000,2.716000,0.293982,327520
2004-10-27,2.698000,2.833000,2.698000,2.788000,0.301775,197060
2004-10-28,2.847000,2.851000,2.676000,2.703000,0.292575,288370
2004-10-29,2.698000,2.725000,2.698000,2.712000,0.293549,46520
2004-11-01,2.707000,2.725000,2.653000,2.676000,0.289652,185680
2004-11-02,2.680000,2.707000,2.680000,2.689000,0.291059,59970
2004-11-03,2.833000,2.923000,2.703000,2.892000,0.313032,1087790
2004-11-04,2.910000,2.968000,2.833000,2.856000,0.309136,289400
2004-11-05,2.878000,2.937000,2.775000,2.847000,0.308161,804330
2004-11-08,2.820000,2.878000,2.820000,2.847000,0.308161,152210
2004-11-09,2.856000,2.892000,2.788000,2.806000,0.303724,241600
2004-11-10,2.784000,2.878000,2.784000,2.811000,0.304265,165410
2004-11-11,2.869000,2.869000,2.802000,2.815000,0.304698,87010
2004-11-12,2.869000,2.869000,2.815000,2.838000,0.307187,55860
2004-11-15,null,null,null,null,null,null
2004-11-16,2.793000,2.824000,2.793000,2.802000,0.303291,30300
2004-11-17,2.815000,2.905000,2.815000,2.860000,0.309569,263710
2004-11-18,2.878000,3.193000,2.851000,3.098000,0.335330,1514500
2004-11-19,3.143000,3.175000,2.968000,2.991000,0.323748,645890
2004-11-22,3.049000,3.071000,2.878000,3.053000,0.330459,342660
2004-11-23,3.080000,3.143000,3.036000,3.053000,0.330459,323720
2004-11-24,3.058000,3.085000,2.995000,3.031000,0.328078,273140
2004-11-25,2.937000,3.508000,2.937000,3.027000,0.327645,245160
2004-11-26,null,null,null,null,null,null
