Date,open,high,low,close,adj_close,volume
2000-01-03,9.400000,10.260000,9.400000,10.230000,3.790836,105250
2000-01-04,10.300000,10.300000,9.900000,10.000000,3.705607,101750
2000-01-05,10.200000,10.580000,9.620000,10.080000,3.735252,76250
2000-01-06,10.090000,10.890000,9.560000,10.890000,4.035406,217000
2000-01-07,11.180000,11.770000,10.510000,11.090000,4.109518,191250
2000-01-10,11.500000,11.880000,10.800000,11.620000,4.305916,414500
2000-01-11,11.200000,11.360000,10.690000,10.690000,3.961293,442750
2000-01-12,10.900000,11.530000,10.900000,11.020000,4.083580,117910
2000-01-13,10.700000,11.000000,10.600000,10.620000,3.935354,64740
2000-01-14,10.310000,10.670000,10.200000,10.620000,3.935354,69490
2000-01-17,10.550000,10.700000,10.400000,10.530000,3.902004,59755
2000-01-18,10.100000,10.360000,10.070000,10.210000,3.783426,91590
2000-01-19,10.200000,10.500000,10.200000,10.290000,3.813070,57400
2000-01-20,10.260000,10.450000,10.100000,10.350000,3.835304,84165
2000-01-21,10.560000,10.580000,10.020000,10.050000,3.724135,109605
2000-01-24,10.390000,10.580000,10.010000,10.020000,3.713019,99390
2000-01-25,10.390000,10.650000,9.800000,9.920000,3.675962,185450
2000-01-26,null,null,null,null,null,null
2000-01-27,10.400000,10.400000,9.790000,9.830000,3.642612,148830
2000-01-28,9.990000,10.590000,9.400000,9.450000,3.501799,299220
2000-01-31,9.790000,9.890000,8.710000,8.840000,3.275757,366360
2000-02-01,8.850000,9.100000,8.200000,8.960000,3.320224,168340
2000-02-02,9.140000,9.680000,9.100000,9.680000,3.587028,159800
2000-02-03,10.400000,10.450000,9.740000,9.790000,3.627789,359365
2000-02-04,9.800000,10.190000,9.300000,9.480000,3.512916,184025
2000-02-07,9.400000,9.540000,9.100000,9.230000,3.420275,81590
2000-02-08,9.070000,9.350000,8.800000,9.030000,3.346163,179090
2000-02-09,9.540000,9.540000,8.950000,9.180000,3.401747,163615
2000-02-10,9.400000,9.590000,9.180000,9.310000,3.449920,128505
2000-02-11,9.400000,9.700000,9.160000,9.300000,3.446215,117755
2000-02-14,9.540000,9.540000,8.900000,8.960000,3.320224,74285
2000-02-15,8.700000,8.990000,8.700000,8.830000,3.272051,80435
2000-02-16,9.190000,9.190000,8.600000,8.910000,3.301696,66815
2000-02-17,8.710000,9.100000,8.710000,9.070000,3.360986,69770
2000-02-18,8.810000,9.000000,8.400000,8.780000,3.253523,42415
2000-02-21,8.610000,8.980000,8.480000,8.800000,3.260934,94745
2000-02-22,8.990000,9.500000,8.860000,9.230000,3.420275,160580
2000-02-23,9.600000,9.690000,9.100000,9.350000,3.464743,91365
2000-02-24,9.590000,10.100000,9.500000,9.860000,3.653729,262510
2000-02-25,10.100000,10.100000,9.240000,9.390000,3.479566,93220
2000-02-28,9.600000,10.100000,9.420000,9.990000,3.701901,225200
2000-02-29,10.770000,10.770000,9.190000,9.270000,3.435098,264560
2000-03-01,9.550000,10.020000,9.200000,9.850000,3.650023,230460
2000-03-02,10.000000,10.390000,9.230000,9.330000,3.457331,240575
2000-03-03,9.200000,9.570000,8.660000,8.970000,3.323930,59980
2000-03-06,8.980000,8.980000,8.260000,8.850000,3.279463,122505
2000-03-07,8.800000,8.800000,8.150000,8.150000,3.020069,146585
2000-03-08,8.400000,8.400000,7.520000,7.750000,2.871846,54365
2000-03-09,7.980000,7.980000,7.260000,7.650000,2.834789,67095
2000-03-10,7.600000,7.780000,7.200000,7.630000,2.827378,116650
2000-03-13,7.600000,7.800000,7.300000,7.410000,2.745855,77410
2000-03-14,7.400000,7.550000,7.000000,7.350000,2.723621,240215
