Date,open,high,low,close,adj_close,volume
2002-07-01,5.695000,5.820000,5.695000,5.710000,4.911443,2610
2002-07-02,5.845000,6.000000,5.770000,5.940000,5.109277,14430
2002-07-03,6.000000,6.480000,6.000000,6.145000,5.285607,16670
2002-07-04,6.240000,6.400000,6.220000,6.325000,5.440433,16288
2002-07-05,6.250000,6.430000,6.250000,6.320000,5.436132,9934
2002-07-08,6.400000,6.570000,6.380000,6.445000,5.543652,18620
2002-07-09,6.530000,7.390000,6.510000,7.015000,6.033936,41244
2002-07-10,7.300000,8.250000,7.225000,8.075000,6.945692,127818
2002-07-11,8.090000,9.040000,7.900000,8.385000,7.212337,421820
2002-07-12,8.600000,8.800000,8.100000,8.220000,7.070413,89672
2002-07-15,8.300000,8.500000,7.470000,7.605000,6.541423,54414
2002-07-16,7.500000,7.700000,7.200000,7.290000,6.270477,28338
2002-07-17,7.140000,7.585000,7.120000,7.500000,6.451106,28040
2002-07-18,7.505000,7.745000,7.500000,7.575000,6.515617,11386
2002-07-19,7.650000,7.765000,7.440000,7.495000,6.446806,23540
2002-07-22,7.500000,7.500000,7.000000,7.090000,6.098447,15090
2002-07-23,7.150000,7.285000,7.060000,7.175000,6.171559,7792
2002-07-24,7.250000,7.250000,7.000000,7.050000,6.064040,7198
2002-07-25,7.400000,7.400000,6.960000,7.035000,6.051138,10934
2002-07-26,7.090000,7.100000,6.500000,6.760000,5.814598,9804
2002-07-29,6.205000,6.695000,6.205000,6.560000,5.642568,10870
2002-07-30,7.200000,7.200000,6.455000,6.510000,5.599561,10154
2002-07-31,6.020000,6.495000,6.015000,6.430000,5.530750,4602
2002-08-01,6.200000,7.270000,6.200000,6.475000,5.569457,5780
2002-08-02,6.575000,6.575000,6.475000,6.535000,5.621064,1470
2002-08-05,6.055000,6.675000,6.055000,6.655000,5.724283,6832
2002-08-06,6.690000,6.795000,6.655000,6.745000,5.801696,5510
2002-08-07,6.700000,6.975000,6.700000,6.815000,5.861906,4580
2002-08-08,6.800000,6.800000,6.615000,6.665000,5.732884,3860
2002-08-09,6.500000,6.900000,6.410000,6.800000,5.849004,6300
2002-08-12,6.970000,7.350000,6.850000,7.225000,6.214566,9292
2002-08-13,7.025000,7.345000,7.025000,7.100000,6.107048,4600
2002-08-14,7.100000,7.110000,6.890000,7.030000,6.046838,4810
2002-08-15,null,null,null,null,null,null
2002-08-16,7.350000,7.350000,6.760000,6.860000,5.900612,2008
2002-08-19,6.555000,6.850000,6.550000,6.820000,5.866207,4350
2002-08-20,6.790000,6.800000,6.760000,6.760000,5.814598,2000
2002-08-21,6.750000,6.825000,6.700000,6.740000,5.797395,1850
2002-08-22,6.700000,6.750000,6.700000,6.700000,5.762989,800
2002-08-23,6.760000,6.800000,6.700000,6.715000,5.775891,7410
2002-08-26,6.750000,6.900000,6.715000,6.735000,5.793095,6124
2002-08-27,6.825000,6.900000,6.715000,6.750000,5.805996,2780
2002-08-28,6.750000,6.990000,6.750000,6.965000,5.990927,4800
2002-08-29,6.715000,6.750000,6.715000,6.730000,5.788794,1550
2002-08-30,6.710000,6.800000,6.700000,6.715000,5.775891,1500
2002-09-02,6.710000,6.800000,6.700000,6.730000,5.788794,2510
2002-09-03,6.800000,6.800000,6.700000,6.705000,5.767290,6040
2002-09-04,6.700000,6.710000,6.700000,6.700000,5.762989,3090
2002-09-05,6.620000,6.775000,6.620000,6.760000,5.814598,5500
2002-09-06,6.700000,6.800000,6.700000,6.705000,5.767290,5996
2002-09-09,6.680000,6.700000,6.360000,6.560000,5.642568,8730
2002-09-10,null,null,null,null,null,null
2002-09-11,6.565000,6.600000,6.565000,6.600000,5.676973,2600
2002-09-12,6.700000,6.750000,6.700000,6.730000,5.788794,3050
2002-09-13,6.600000,6.895000,6.570000,6.755000,5.810297,2096
2002-09-16,6.750000,6.750000,6.640000,6.660000,5.728584,7570
2002-09-17,6.505000,6.750000,6.505000,6.630000,5.702779,4250
2002-09-18,6.600000,6.605000,6.505000,6.505000,5.595261,3260
2002-09-19,6.700000,6.700000,6.260000,6.480000,5.573756,2000
2002-09-20,6.490000,6.490000,6.350000,6.355000,5.466239,1900
2002-09-23,6.265000,6.490000,6.265000,6.405000,5.509247,1440
2002-09-24,6.300000,6.375000,6.250000,6.375000,5.483440,4822
2002-09-25,6.350000,6.370000,6.350000,6.370000,5.479141,400
2002-09-26,6.020000,6.285000,6.005000,6.285000,5.406028,1100
2002-09-27,6.130000,6.250000,6.130000,6.200000,5.332915,800
2002-09-30,6.150000,6.295000,6.150000,6.225000,5.354420,4940
2002-10-01,6.160000,6.200000,6.155000,6.155000,5.294209,1134
2002-10-02,null,null,null,null,null,null
2002-10-03,6.200000,6.300000,6.200000,6.240000,5.367321,4000
2002-10-04,6.125000,6.465000,6.125000,6.405000,5.509247,2490
2002-10-07,6.400000,6.700000,6.400000,6.620000,5.694178,3090
2002-10-08,6.770000,6.940000,6.510000,6.865000,5.904913,2588
2002-10-09,6.800000,7.300000,6.800000,7.215000,6.205966,11630
2002-10-10,7.050000,7.490000,7.050000,7.365000,6.334987,16382
2002-10-11,7.450000,7.750000,7.250000,7.705000,6.627438,19750
2002-10-14,8.145000,8.145000,7.400000,7.535000,6.481211,14284
2002-10-15,null,null,null,null,null,null
2002-10-16,7.600000,7.600000,7.300000,7.395000,6.360793,6626
2002-10-17,7.100000,7.225000,7.000000,7.105000,6.111349,14620
2002-10-18,7.500000,7.500000,7.000000,7.010000,6.029635,2210
2002-10-21,7.800000,7.800000,6.575000,6.685000,5.750087,2300
2002-10-22,6.820000,6.820000,6.620000,6.700000,5.762989,2502
2002-10-23,6.895000,6.960000,6.625000,6.700000,5.762989,1188
2002-10-24,6.850000,6.900000,6.615000,6.680000,5.745786,1740
2002-10-25,6.525000,6.780000,6.510000,6.630000,5.702779,2204
2002-10-28,6.380000,6.550000,6.365000,6.500000,5.590960,640
2002-10-29,6.700000,6.900000,6.700000,6.900000,5.935018,1400
2002-10-30,6.750000,6.750000,6.500000,6.545000,5.629667,5220
2002-10-31,6.725000,6.745000,6.505000,6.680000,5.745786,6440
2002-11-01,7.250000,7.250000,6.850000,6.850000,5.892012,1500
2002-11-04,6.555000,6.800000,6.555000,6.760000,5.814598,900
2002-11-05,6.565000,6.650000,6.565000,6.635000,5.707080,600
2002-11-06,null,null,null,null,null,null
2002-11-07,6.625000,6.700000,6.600000,6.700000,5.762989,5600
2002-11-08,6.600000,6.700000,6.600000,6.700000,5.762989,4898
2002-11-11,6.700000,6.865000,6.605000,6.605000,5.681274,1200
2002-11-12,6.600000,6.700000,6.575000,6.670000,5.737185,8252
2002-11-13,6.520000,6.705000,6.520000,6.700000,5.762989,4600
2002-11-14,6.575000,6.700000,6.500000,6.670000,5.737185,15142
2002-11-15,6.700000,6.865000,6.695000,6.790000,5.840403,20502
2002-11-18,6.790000,6.790000,6.690000,6.710000,5.771592,9460
2002-11-19,null,null,null,null,null,null
2002-11-20,6.780000,6.800000,6.700000,6.800000,5.849004,4460
2002-11-21,7.400000,7.450000,6.600000,6.600000,5.676973,4170
2002-11-22,6.880000,6.880000,6.685000,6.685000,5.750087,150
2002-11-25,6.200000,6.750000,6.200000,6.700000,5.762989,3200
2002-11-26,6.600000,6.845000,6.600000,6.705000,5.767290,2000
2002-11-27,6.700000,6.900000,6.700000,6.900000,5.935018,22638
2002-11-28,6.990000,6.990000,6.830000,6.890000,5.926417,10526
2002-11-29,6.830000,6.985000,6.830000,6.970000,5.995229,1100
2002-12-02,6.970000,7.175000,6.900000,7.055000,6.068340,18128
2002-12-03,7.000000,7.200000,7.000000,7.105000,6.111349,29654
2002-12-04,6.900000,7.020000,6.875000,7.000000,6.021034,6490
2002-12-05,7.000000,7.090000,7.000000,7.000000,6.021034,2600
2002-12-06,7.000000,7.145000,7.000000,7.075000,6.085545,3890
2002-12-09,6.900000,7.190000,6.900000,7.005000,6.025333,7464
2002-12-10,7.025000,7.100000,6.920000,7.100000,6.107048,1498
2002-12-11,7.050000,7.190000,7.050000,7.100000,6.107048,1906
2002-12-12,6.900000,6.950000,6.900000,6.930000,5.960824,1500
2002-12-13,7.000000,7.000000,6.810000,6.855000,5.896312,1972
2002-12-16,6.900000,7.070000,6.825000,6.965000,5.990927,4772
2002-12-17,6.775000,6.950000,6.775000,6.825000,5.870508,7000
2002-12-18,6.625000,6.990000,6.625000,6.820000,5.866207,2672
2002-12-19,6.810000,6.920000,6.810000,6.920000,5.952222,690
2002-12-20,6.950000,6.970000,6.850000,6.895000,5.930717,15220
2002-12-23,6.900000,6.925000,6.770000,6.860000,5.900612,15300
2002-12-24,6.820000,6.900000,6.765000,6.875000,5.913516,5700
2002-12-25,null,null,null,null,null,null
2002-12-26,6.820000,7.000000,6.820000,6.935000,5.965124,2540
2002-12-27,6.825000,6.995000,6.820000,6.910000,5.943620,13518
2002-12-30,6.800000,6.950000,6.730000,6.945000,5.973725,17320
2002-12-31,6.800000,6.950000,6.755000,6.935000,5.965124,23950
2003-01-01,6.850000,6.950000,6.850000,6.885000,5.922115,1388
2003-01-02,7.200000,7.200000,6.865000,6.865000,5.904913,800
2003-01-03,7.000000,7.150000,6.810000,6.850000,5.892012,3086
2003-01-06,6.825000,6.825000,6.820000,6.820000,5.866207,1400
2003-01-07,6.810000,6.850000,6.800000,6.800000,5.849004,8070
2003-01-08,6.775000,6.810000,6.775000,6.810000,5.857605,1068
2003-01-09,6.860000,6.960000,6.800000,6.905000,5.939319,2260
2003-01-10,6.850000,7.000000,6.800000,6.940000,5.969425,8080
2003-01-13,7.000000,7.100000,6.905000,6.990000,6.012433,4660
2003-01-14,7.090000,7.100000,7.000000,7.095000,6.102747,26000
2003-01-15,7.100000,7.450000,7.100000,7.200000,6.193062,30948
2003-01-16,7.270000,7.325000,7.200000,7.250000,6.236070,3698
2003-01-17,7.200000,7.500000,7.200000,7.480000,6.433904,17338
2003-01-20,7.490000,7.540000,7.425000,7.495000,6.446806,8542
2003-01-21,7.575000,7.600000,7.205000,7.275000,6.257575,11118
2003-01-22,7.375000,7.400000,7.155000,7.185000,6.180160,9646
2003-01-23,6.940000,7.150000,6.940000,7.100000,6.107048,2690
2003-01-24,7.100000,7.120000,6.955000,7.005000,6.025333,2180
2003-01-27,7.200000,7.200000,6.880000,6.970000,5.995229,4308
2003-01-28,6.765000,6.825000,6.500000,6.815000,5.861906,9058
2003-01-29,6.215000,7.100000,6.215000,6.890000,5.926417,3450
2003-01-30,6.565000,7.000000,6.565000,6.880000,5.917817,3000
2003-01-31,6.800000,6.970000,6.800000,6.860000,5.900612,2580
2003-02-03,6.860000,7.020000,6.805000,7.020000,6.038237,700
2003-02-04,7.000000,7.000000,6.500000,6.655000,5.724283,21420
2003-02-05,6.680000,6.870000,6.680000,6.685000,5.750087,2692
2003-02-06,6.610000,6.800000,6.600000,6.770000,5.823199,2970
2003-02-07,6.930000,6.975000,6.800000,6.945000,5.973725,4572
2003-02-10,6.800000,6.800000,6.800000,6.800000,5.849004,200
2003-02-11,6.725000,6.990000,6.675000,6.905000,5.939319,2704
2003-02-12,6.830000,6.900000,6.830000,6.850000,5.892012,1850
