Date,open,high,low,close,adj_close,volume
2002-07-01,3.000000,3.050000,2.950000,2.950000,2.653518,1600
2002-07-02,3.000000,3.500000,3.000000,3.100000,2.788442,6182
2002-07-03,3.000000,3.150000,3.000000,3.150000,2.833417,1350
2002-07-04,3.200000,3.450000,2.950000,3.250000,2.923367,4613
2002-07-05,3.300000,3.600000,3.250000,3.500000,3.148241,9151
2002-07-08,3.600000,4.000000,3.150000,3.900000,3.508040,8661
2002-07-09,3.900000,4.100000,3.400000,3.650000,3.283166,12535
2002-07-10,3.500000,3.650000,3.150000,3.600000,3.238191,5525
2002-07-11,3.250000,3.500000,3.250000,3.250000,2.923367,763
2002-07-12,3.000000,3.200000,3.000000,3.200000,2.878392,2900
2002-07-15,null,null,null,null,null,null
2002-07-16,3.000000,3.000000,2.700000,2.850000,2.563568,1007
2002-07-17,2.800000,2.800000,2.300000,2.400000,2.158794,2250
2002-07-18,2.400000,2.450000,2.300000,2.450000,2.203769,2050
2002-07-19,2.400000,2.900000,2.400000,2.900000,2.608543,1150
2002-07-22,2.350000,2.850000,2.350000,2.850000,2.563568,550
2002-07-23,2.400000,2.400000,2.400000,2.400000,2.158794,50
2002-07-24,2.900000,2.900000,2.400000,2.850000,2.563568,5202
2002-07-25,2.600000,2.650000,2.600000,2.650000,2.383668,525
2002-07-26,2.250000,2.250000,2.200000,2.200000,1.978895,550
2002-07-29,2.100000,2.100000,2.000000,2.000000,1.798995,500
2002-07-30,2.000000,2.000000,2.000000,2.000000,1.798995,50
2002-07-31,1.800000,1.800000,1.800000,1.800000,1.619095,50
2002-08-01,2.000000,2.000000,2.000000,2.000000,1.798995,250
2002-08-02,1.650000,2.200000,1.650000,2.200000,1.978895,801
2002-08-05,2.600000,2.600000,2.600000,2.600000,2.338693,1
2002-08-06,2.150000,2.150000,2.150000,2.150000,1.933920,175
2002-08-07,1.750000,2.450000,1.750000,2.450000,2.203769,2
2002-08-08,2.500000,2.650000,2.350000,2.400000,2.158794,8944
2002-08-09,2.150000,2.150000,2.150000,2.150000,1.933920,500
2002-08-12,2.500000,2.550000,2.150000,2.200000,1.978895,1999
2002-08-13,2.250000,2.250000,2.250000,2.250000,2.023870,53
2002-08-14,2.200000,2.600000,2.200000,2.200000,1.978895,1600
2002-08-15,null,null,null,null,null,null
2002-08-16,2.250000,2.550000,2.250000,2.250000,2.023870,442
2002-08-19,2.000000,2.050000,2.000000,2.050000,1.843970,100
2002-08-20,2.000000,2.300000,2.000000,2.100000,1.888945,2300
2002-08-21,1.800000,2.400000,1.800000,2.400000,2.158794,500
2002-08-22,null,null,null,null,null,null
2002-08-23,2.100000,2.700000,2.100000,2.550000,2.293719,3000
2002-08-26,2.350000,2.700000,2.200000,2.200000,1.978895,1200
2002-08-27,2.000000,2.150000,2.000000,2.150000,1.933920,152
2002-08-28,1.750000,2.050000,1.750000,2.050000,1.843970,51
2002-08-29,1.750000,2.400000,1.750000,2.400000,2.158794,2
