Date,open,high,low,close,adj_close,volume
2002-07-01,12.904000,13.000000,12.720000,12.799200,-5.359211,406660
2002-07-02,12.800000,13.040000,12.750000,12.802000,-5.360382,338010
2002-07-03,12.558000,12.560000,12.300000,12.341200,5.423314,69855
2002-07-04,12.400000,12.700000,12.400000,12.532000,5.507159,64510
2002-07-05,12.680000,13.000000,12.600000,12.893200,5.665888,313940
2002-07-08,12.521200,12.966000,12.521200,12.886000,5.662724,91040
2002-07-09,12.800000,12.800000,12.500000,12.559200,5.519112,25060
2002-07-10,12.698000,12.739200,12.440000,12.489200,5.488351,14595
2002-07-11,12.599200,12.600000,12.380000,12.421200,5.458468,285405
2002-07-12,12.570000,12.580000,12.364000,12.388000,5.443879,70035
2002-07-15,12.400000,12.600000,12.226000,12.356000,5.429817,182240
2002-07-16,12.500000,12.592000,12.396000,12.502000,5.493976,41250
2002-07-17,12.403200,12.480000,12.200000,12.275200,5.394309,72435
2002-07-18,12.580000,12.580000,12.220000,12.305200,5.407492,131950
2002-07-19,12.290000,12.497200,12.280000,12.397200,5.447922,159830
2002-07-22,12.420000,12.420000,12.200000,12.303200,5.406612,151415
2002-07-23,12.479200,12.479200,12.200000,12.229200,5.374095,72960
2002-07-24,12.200000,12.278000,12.120000,12.149200,5.338939,64755
2002-07-25,12.100000,12.470000,12.100000,12.331200,5.418919,265735
2002-07-26,12.438000,12.438000,12.000000,12.030000,5.286556,239625
2002-07-29,12.100000,12.398000,12.100000,12.212000,5.366536,252450
2002-07-30,12.300000,12.370000,12.203200,12.317200,5.412766,119860
2002-07-31,11.200000,12.740000,11.200000,12.646000,5.557257,370815
2002-08-01,12.798000,12.930000,12.440000,12.808000,5.628448,610540
2002-08-02,11.622000,12.798000,11.622000,12.597200,5.535811,212470
2002-08-05,12.442000,12.530000,12.301200,12.346000,5.425422,38690
2002-08-06,12.380000,12.480000,12.300000,12.364000,5.433332,56100
2002-08-07,12.460000,12.460000,12.250000,12.364000,5.433332,130750
2002-08-08,12.223200,12.300000,12.222000,12.276000,5.394661,33510
2002-08-09,12.240000,12.697200,12.166000,12.607200,5.540206,340875
2002-08-12,12.600000,12.607200,12.360000,12.510000,5.497491,117965
2002-08-13,12.600000,12.660000,12.245200,12.379200,5.440012,64615
2002-08-14,12.240000,12.500000,12.100000,12.204000,5.363021,74895
2002-08-15,null,null,null,null,null,null
2002-08-16,12.344000,12.433200,12.206000,12.331200,5.418919,118505
2002-08-19,12.262000,12.400000,12.185200,12.267200,5.390794,77890
2002-08-20,12.375200,12.375200,12.020000,12.083200,5.309937,143220
2002-08-21,12.100000,12.260000,11.942000,12.000000,5.273374,200570
2002-08-22,12.060000,12.060000,11.864000,11.938000,5.246127,197085
2002-08-23,11.900000,11.971200,11.704000,11.757200,5.166675,200990
2002-08-26,11.780000,11.780000,11.100000,11.261200,4.948709,662105
2002-08-27,11.220000,11.700000,11.220000,11.411200,5.014626,565905
2002-08-28,11.300000,11.560000,11.241200,11.499200,5.053298,312555
2002-08-29,11.548000,11.548000,11.401200,11.495200,5.051540,418925
2002-08-30,11.497200,11.800000,11.360000,11.656000,5.122203,910400
2002-09-02,11.740000,12.018000,11.740000,11.921200,5.238745,172470
2002-09-03,11.980000,12.000000,11.845200,11.933200,5.244019,106805
2002-09-04,11.860000,11.956000,11.761200,11.909200,5.233472,66760
2002-09-05,11.960000,11.960000,10.837200,11.556000,5.078259,89995
2002-09-06,11.550000,11.801200,11.544000,11.774000,5.174058,368615
2002-09-09,11.540000,11.929200,11.540000,11.875200,5.218531,339810
2002-09-10,null,null,null,null,null,null
