Date,open,high,low,close,adj_close,volume
2002-08-12,48.250000,49.200001,47.900002,48.549999,48.549999,1632747
2002-08-13,49.000000,49.000000,47.650002,48.200001,48.200001,1000175
2002-08-14,47.900002,48.200001,46.599998,46.799999,46.799999,1253472
2002-08-15,null,null,null,null,null,null
2002-08-16,48.000000,48.000000,44.400002,44.849998,44.849998,3944661
2002-08-19,46.799999,46.799999,42.750000,43.200001,43.200001,3018922
2002-08-20,43.799999,46.900002,41.849998,46.500000,46.500000,9960283
2002-08-21,46.750000,49.500000,45.599998,47.799999,47.799999,9841478
2002-08-22,48.250000,48.950001,46.150002,46.599998,46.599998,4885154
2002-08-23,46.950001,47.799999,46.049999,46.750000,46.750000,3783145
2002-08-26,46.700001,47.549999,46.099998,46.650002,46.650002,2156565
2002-08-27,47.000000,47.750000,44.900002,45.200001,45.200001,3914782
2002-08-28,44.650002,45.200001,43.650002,44.900002,44.900002,2025829
2002-08-29,44.500000,45.200001,43.650002,44.250000,44.250000,1745453
2002-08-30,44.700001,46.200001,44.299999,45.849998,45.849998,2379021
2002-09-02,46.000000,55.049999,46.000000,55.049999,55.049999,14637789
2002-09-03,55.500000,58.200001,53.549999,55.549999,55.549999,24356698
2002-09-04,53.349998,55.849998,52.250000,55.049999,55.049999,15798537
2002-09-05,57.000000,57.000000,53.450001,54.599998,54.599998,15371314
2002-09-06,53.150002,53.900002,50.599998,51.500000,51.500000,11798198
2002-09-09,51.049999,53.099998,51.000000,51.750000,51.750000,6383771
2002-09-10,null,null,null,null,null,null
2002-09-11,52.599998,53.950001,52.500000,52.799999,52.799999,6033197
2002-09-12,53.099998,53.799999,51.650002,52.250000,52.250000,4804800
2002-09-13,51.250000,51.799999,50.799999,51.099998,51.099998,2907674
2002-09-16,52.400002,53.599998,51.599998,52.250000,52.250000,8282743
2002-09-17,53.250000,53.799999,52.750000,53.400002,53.400002,5412174
2002-09-18,53.000000,53.000000,50.849998,51.150002,51.150002,4588304
2002-09-19,51.950001,51.950001,49.000000,50.099998,50.099998,5853514
2002-09-20,48.950001,50.400002,48.000000,49.950001,49.950001,4992127
2002-09-23,51.000000,51.000000,47.099998,47.750000,47.750000,4884853
2002-09-24,46.799999,47.150002,45.250000,46.450001,46.450001,5358631
2002-09-25,45.099998,47.250000,45.099998,46.799999,46.799999,5312962
2002-09-26,47.799999,47.799999,45.849998,46.349998,46.349998,5527669
2002-09-27,46.500000,47.599998,46.299999,46.599998,46.599998,5268374
2002-09-30,46.299999,46.299999,42.099998,42.900002,42.900002,7850270
2002-10-01,42.500000,43.099998,37.500000,38.799999,38.799999,13514649
2002-10-02,null,null,null,null,null,null
2002-10-03,39.200001,39.500000,38.099998,38.400002,38.400002,6093787
2002-10-04,38.450001,39.000000,36.549999,37.250000,37.250000,6525257
2002-10-07,37.150002,38.799999,36.250000,38.200001,38.200001,7727893
2002-10-08,38.450001,39.650002,37.900002,39.099998,39.099998,6777443
2002-10-09,39.500000,40.799999,38.000000,38.250000,38.250000,8579550
2002-10-10,38.000000,38.400002,36.400002,37.000000,37.000000,6316959
2002-10-11,38.500000,38.700001,36.200001,36.700001,36.700001,10283350
