Date,open,high,low,close,adj_close,volume
2002-07-01,7.020000,8.020000,6.840000,7.900000,3.886279,26509
2002-07-02,7.480000,7.920000,7.480000,7.550000,3.714102,8020
2002-07-03,7.330000,7.670000,7.140000,7.190000,3.537005,3546
2002-07-04,7.260000,7.560000,7.090000,7.220000,3.551763,6558
2002-07-05,7.430000,7.650000,7.140000,7.330000,3.605876,8173
2002-07-08,7.320000,7.550000,7.220000,7.440000,3.659989,4088
2002-07-09,7.380000,7.490000,7.100000,7.100000,3.492731,6011
2002-07-10,7.080000,7.180000,7.040000,7.130000,3.507490,2723
2002-07-11,7.150000,7.150000,6.790000,6.870000,3.379586,2970
2002-07-12,6.740000,6.940000,6.730000,6.890000,3.389426,2349
2002-07-15,6.850000,6.960000,6.670000,6.810000,3.350070,4023
2002-07-16,6.720000,6.720000,6.020000,6.290000,3.094265,12985
2002-07-17,6.270000,6.350000,6.130000,6.280000,3.089345,2489
2002-07-18,6.370000,6.540000,6.320000,6.510000,3.202490,4050
2002-07-19,6.540000,6.680000,6.370000,6.480000,3.187733,1450
2002-07-22,6.060000,6.060000,5.470000,5.530000,2.720395,19058
2002-07-23,5.750000,5.760000,5.520000,5.670000,2.789266,3216
2002-07-24,5.740000,5.740000,5.610000,5.690000,2.799104,2576
2002-07-25,5.990000,6.590000,5.590000,5.740000,2.823701,4299
2002-07-26,5.530000,5.590000,5.280000,5.330000,2.622008,6399
2002-07-29,5.280000,5.300000,5.060000,5.160000,2.538379,2808
2002-07-30,5.270000,5.380000,5.140000,5.170000,2.543299,4028
2002-07-31,5.160000,5.160000,4.860000,4.930000,2.425234,5176
2002-08-01,5.040000,5.040000,4.950000,4.970000,2.444912,750
2002-08-02,4.960000,5.020000,4.960000,4.990000,2.454750,1050
2002-08-05,5.270000,5.270000,5.100000,5.230000,2.572815,951
2002-08-06,5.400000,5.400000,5.170000,5.230000,2.572815,825
2002-08-07,5.350000,5.390000,5.290000,5.390000,2.651524,251
2002-08-08,5.160000,5.360000,5.160000,5.330000,2.622008,202
2002-08-09,5.330000,5.380000,5.040000,5.050000,2.484267,712
2002-08-12,5.120000,5.240000,4.950000,4.990000,2.454750,1200
2002-08-13,5.020000,5.260000,5.020000,5.150000,2.533460,152
2002-08-14,5.180000,5.180000,5.040000,5.160000,2.538379,225
2002-08-15,null,null,null,null,null,null
2002-08-16,5.170000,5.170000,5.110000,5.110000,2.513783,800
2002-08-19,5.060000,5.210000,4.940000,4.980000,2.449831,1275
2002-08-20,5.000000,5.090000,4.940000,4.990000,2.454750,3003
2002-08-21,5.240000,5.240000,4.820000,4.920000,2.420316,1603
2002-08-22,4.930000,5.110000,4.930000,4.990000,2.454750,602
2002-08-23,4.940000,4.940000,4.920000,4.920000,2.420316,1050
2002-08-26,4.980000,5.030000,4.690000,4.820000,2.371121,3759
2002-08-27,5.080000,5.080000,4.860000,4.870000,2.395719,204
2002-08-28,4.510000,4.890000,4.510000,4.850000,2.385880,987
2002-08-29,4.760000,4.760000,4.730000,4.730000,2.326848,825
2002-08-30,5.030000,5.030000,4.680000,4.740000,2.331767,1883
2002-09-02,4.780000,5.040000,4.720000,4.760000,2.341606,1975
2002-09-03,4.810000,4.810000,4.690000,4.720000,2.321928,1699
2002-09-04,4.690000,4.740000,4.690000,4.740000,2.608043,284
2002-09-05,4.800000,4.850000,4.740000,4.800000,2.641056,2130
