Date,open,high,low,close,adj_close,volume
2005-09-01,140.000000,150.000000,108.250000,22.271999,19.808712,72278515
2005-09-02,108.000000,111.400002,106.599998,21.472000,19.097198,21464115
2005-09-05,108.800003,109.000000,99.199997,20.158001,17.928522,12781925
2005-09-06,101.599998,104.739998,101.000000,20.375999,18.122414,12794610
2005-09-08,102.599998,103.339996,100.250000,20.132000,17.905397,3575585
2005-09-09,101.199997,101.800003,97.000000,19.534000,17.373539,3671165
2005-09-12,97.599998,98.980003,95.599998,19.290001,17.156527,2426010
2005-09-13,96.800003,99.339996,95.000000,19.375999,17.233015,5024230
2005-09-14,97.000000,97.199997,94.019997,18.924000,16.831005,2156705
2005-09-15,94.599998,96.419998,94.269997,18.992001,16.891485,1650695
2005-09-16,94.800003,95.400002,94.059998,18.938000,16.843458,974860
2005-09-19,94.900002,95.940002,92.459999,18.614000,16.555294,762710
2005-09-20,93.099998,93.099998,90.410004,18.158001,16.149723,1229040
2005-09-21,91.199997,91.199997,85.599998,17.664000,15.710361,1498175
2005-09-22,88.000000,88.000000,80.599998,16.618000,14.780048,1201730
2005-09-23,82.000000,83.970001,79.410004,16.362000,14.552361,2104515
2005-09-26,82.660004,84.489998,82.400002,16.681999,14.836969,961535
2005-09-27,83.809998,84.980003,83.000000,16.676001,14.831633,716935
2005-09-28,83.800003,84.199997,83.019997,16.738001,14.886776,443310
2005-09-29,85.000000,95.199997,83.400002,17.000000,15.119800,1624130
2005-09-30,85.199997,86.400002,83.599998,17.018000,15.135808,858075
2005-10-03,85.209999,85.800003,84.199997,16.954000,15.078887,268250
2005-10-04,84.800003,89.800003,84.580002,17.850000,15.875791,1886885
2005-10-05,90.400002,90.400002,88.099998,17.660000,15.706804,747555
2005-10-06,88.680000,88.680000,86.199997,17.441999,15.512915,323120
2005-10-07,88.400002,92.800003,87.199997,18.430000,16.391642,2197425
2005-10-10,92.410004,93.800003,91.669998,18.459999,16.418324,922145
2005-10-11,92.779999,95.199997,91.800003,18.868000,16.781195,1233900
2005-10-13,94.199997,96.400002,92.400002,19.048000,16.941290,2111460
2005-10-14,95.000000,96.599998,92.430000,18.638000,16.576637,743265
2005-10-17,93.389999,94.000000,92.000000,18.436001,16.396978,455160
2005-10-18,92.000000,93.199997,91.440002,18.365999,16.334719,496855
