Date,open,high,low,close,adj_close,volume
2015-01-02,2.250000,2.400000,1.950000,2.300000,2.300000,65443
2015-01-05,2.400000,2.600000,2.300000,2.500000,2.500000,119674
2015-01-06,2.500000,2.750000,2.500000,2.600000,2.600000,122155
2015-01-07,2.850000,2.850000,2.600000,2.800000,2.800000,148301
2015-01-08,3.000000,3.050000,2.800000,3.050000,3.050000,122411
2015-01-09,3.200000,3.350000,3.050000,3.300000,3.300000,106357
2015-01-12,3.300000,3.450000,3.150000,3.150000,3.150000,112072
2015-01-13,3.100000,3.200000,3.000000,3.000000,3.000000,46941
2015-01-14,2.850000,2.950000,2.850000,2.850000,2.850000,40915
2015-01-15,2.750000,2.750000,2.750000,2.750000,2.750000,19187
2015-01-16,2.750000,2.850000,2.650000,2.700000,2.700000,45675
2015-01-19,2.700000,2.700000,2.600000,2.650000,2.650000,37452
2015-01-20,2.750000,2.750000,2.550000,2.550000,2.550000,67708
2015-01-21,2.500000,2.500000,2.450000,2.450000,2.450000,32235
2015-01-22,2.500000,2.550000,2.350000,2.550000,2.550000,40621
2015-01-23,2.550000,2.650000,2.500000,2.550000,2.550000,22217
2015-01-27,2.550000,2.600000,2.450000,2.500000,2.500000,11256
2015-01-28,2.500000,2.500000,2.400000,2.400000,2.400000,11408
2015-01-29,2.400000,2.500000,2.300000,2.350000,2.350000,26929
2015-01-30,2.450000,2.450000,2.250000,2.300000,2.300000,12607
2015-02-02,2.400000,2.400000,2.250000,2.400000,2.400000,19899
2015-02-03,2.450000,2.500000,2.350000,2.400000,2.400000,7234
2015-02-04,2.500000,2.500000,2.350000,2.400000,2.400000,13859
2015-02-05,2.500000,2.500000,2.350000,2.400000,2.400000,16509
2015-02-06,2.500000,2.500000,2.300000,2.300000,2.300000,38676
2015-02-09,2.400000,2.400000,2.200000,2.200000,2.200000,22414
2015-02-10,2.300000,2.300000,2.100000,2.150000,2.150000,23283
2015-02-11,2.200000,2.250000,2.050000,2.150000,2.150000,59315
2015-02-12,2.200000,2.200000,2.150000,2.150000,2.150000,8190
2015-02-13,2.250000,2.250000,2.050000,2.100000,2.100000,44402
2015-02-16,2.100000,2.200000,2.000000,2.200000,2.200000,35325
2015-02-18,2.200000,2.300000,2.200000,2.250000,2.250000,38217
2015-02-19,2.350000,2.350000,2.200000,2.300000,2.300000,44101
2015-02-20,2.250000,2.400000,2.250000,2.400000,2.400000,21656
2015-02-23,2.500000,2.500000,2.450000,2.450000,2.450000,21811
2015-02-24,2.550000,2.550000,2.400000,2.500000,2.500000,14019
2015-02-25,2.500000,2.600000,2.400000,2.400000,2.400000,16487
2015-02-26,2.400000,2.500000,2.350000,2.500000,2.500000,11817
2015-02-27,2.500000,2.600000,2.400000,2.450000,2.450000,26082
2015-02-28,null,null,null,null,null,null
2015-03-02,2.650000,2.650000,2.450000,2.500000,2.500000,43158
2015-03-03,2.400000,2.500000,2.400000,2.400000,2.400000,30878
2015-03-04,2.300000,2.500000,2.300000,2.300000,2.300000,25936
2015-03-05,2.350000,2.350000,2.200000,2.250000,2.250000,19140
2015-03-09,2.250000,2.400000,2.100000,2.350000,2.350000,26036
2015-03-10,2.500000,2.500000,2.250000,2.400000,2.400000,22307
2015-03-11,2.450000,2.450000,2.300000,2.350000,2.350000,6548
2015-03-12,2.400000,2.400000,2.200000,2.250000,2.250000,29037
2015-03-13,2.300000,2.350000,2.200000,2.300000,2.300000,9678
2015-03-16,2.350000,2.350000,2.150000,2.200000,2.200000,5440
2015-03-17,2.250000,2.250000,2.100000,2.100000,2.100000,14682
2015-03-18,2.050000,2.200000,2.000000,2.050000,2.050000,26581
2015-03-19,2.200000,2.200000,1.950000,1.950000,1.950000,24581
2015-03-20,2.100000,2.100000,1.950000,2.000000,2.000000,16468
2015-03-23,2.100000,2.100000,1.900000,2.050000,2.050000,60743
2015-03-24,1.950000,2.200000,1.950000,2.150000,2.150000,3519
2015-03-25,2.250000,2.250000,2.000000,2.000000,2.000000,16277
2015-03-26,2.000000,2.200000,1.900000,1.950000,1.950000,37188
2015-03-27,2.050000,2.050000,1.850000,1.850000,1.850000,27974
2015-03-30,1.850000,2.000000,1.850000,1.950000,1.950000,22184
2015-03-31,1.950000,2.050000,1.850000,1.950000,1.950000,28840
2015-04-01,1.950000,2.100000,1.800000,2.100000,2.100000,17695
2015-04-06,2.100000,2.250000,2.050000,2.200000,2.200000,27509
2015-04-07,2.250000,2.400000,2.150000,2.400000,2.400000,30679
2015-04-08,2.600000,2.600000,2.200000,2.400000,2.400000,10256
2015-04-09,2.450000,2.450000,2.200000,2.300000,2.300000,5280
2015-04-10,2.150000,2.500000,2.150000,2.350000,2.350000,26151
2015-04-13,2.550000,2.550000,2.300000,2.450000,2.450000,21322
2015-04-15,2.450000,2.700000,2.200000,2.550000,2.550000,17997
2015-04-16,2.750000,2.750000,2.300000,2.350000,2.350000,18572
2015-04-17,2.550000,2.550000,2.400000,2.400000,2.400000,2702
2015-04-20,2.550000,2.550000,2.000000,2.400000,2.400000,16912
2015-04-21,2.550000,2.550000,2.050000,2.200000,2.200000,11862
2015-04-22,2.000000,2.500000,2.000000,2.100000,2.100000,15017
2015-04-23,2.400000,2.400000,2.050000,2.050000,2.050000,9512
2015-04-24,2.000000,2.450000,2.000000,2.250000,2.250000,84655
2015-04-27,2.450000,2.450000,2.100000,2.200000,2.200000,6922
2015-04-28,2.300000,2.300000,2.100000,2.100000,2.100000,11958
2015-04-29,2.200000,2.200000,2.050000,2.050000,2.050000,3379
2015-04-30,2.300000,2.300000,1.950000,2.000000,2.000000,9889
2015-05-04,2.000000,2.300000,2.000000,2.100000,2.100000,30909
2015-05-05,2.200000,2.200000,2.000000,2.050000,2.050000,5270
2015-05-06,2.150000,2.150000,2.000000,2.050000,2.050000,18691
2015-05-07,2.150000,2.150000,1.950000,2.000000,2.000000,17526
2015-05-08,2.150000,2.150000,1.950000,2.050000,2.050000,4056
2015-05-11,1.950000,2.100000,1.950000,2.100000,2.100000,15934
2015-05-12,2.100000,2.100000,1.950000,2.100000,2.100000,5536
2015-05-13,2.150000,2.150000,1.950000,1.950000,1.950000,20071
2015-05-14,2.050000,2.050000,1.850000,2.000000,2.000000,74896
2015-05-15,2.150000,2.150000,1.950000,2.050000,2.050000,12821
2015-05-18,2.100000,2.200000,1.950000,2.150000,2.150000,25472
2015-05-19,2.250000,2.250000,1.950000,2.000000,2.000000,40862
2015-05-20,2.100000,2.200000,2.000000,2.000000,2.000000,18102
2015-05-21,2.000000,2.100000,2.000000,2.050000,2.050000,11466
2015-05-22,2.000000,2.100000,1.950000,2.000000,2.000000,11047
2015-05-25,2.100000,2.100000,1.900000,2.100000,2.100000,2046
2015-05-26,2.100000,2.100000,1.950000,2.100000,2.100000,8503
2015-05-27,2.100000,2.100000,1.950000,1.950000,1.950000,3390
2015-05-28,2.100000,2.100000,1.950000,2.000000,2.000000,5210
2015-05-29,2.100000,2.150000,2.100000,2.100000,2.100000,24045
2015-06-01,1.900000,2.250000,1.900000,2.100000,2.100000,9954
