Date,open,high,low,close,adj_close,volume
2000-01-03,118.000000,124.199997,118.000000,124.199997,109.355797,2400
2000-01-04,126.500000,134.000000,124.400002,130.000000,114.462601,3400
2000-01-05,125.000000,140.300003,125.000000,140.300003,123.531548,2300
2000-01-06,149.000000,149.899994,139.800003,142.000000,125.028374,1600
2000-01-07,141.000000,141.000000,139.000000,139.250000,122.607033,1400
2000-01-10,null,null,null,null,null,null
2000-01-11,140.000000,140.000000,134.000000,134.000000,117.984520,1900
2000-01-12,135.000000,135.000000,134.000000,134.000000,117.984520,300
2000-01-13,null,null,null,null,null,null
2000-01-14,134.000000,134.000000,131.949997,131.949997,116.179527,800
2000-01-17,125.000000,125.000000,125.000000,125.000000,110.060196,200
2000-01-18,129.000000,135.000000,128.000000,135.000000,118.864990,2700
2000-01-19,145.000000,145.000000,141.000000,145.000000,127.669815,1100
2000-01-20,156.500000,156.500000,143.000000,143.800003,126.613235,2600
2000-01-21,149.000000,149.000000,148.000000,148.000000,130.311264,900
2000-01-24,150.000000,158.000000,145.000000,145.050003,127.713844,600
2000-01-25,148.000000,148.000000,145.000000,147.000000,129.430786,3100
2000-01-26,null,null,null,null,null,null
2000-01-27,149.899994,150.000000,145.000000,150.000000,132.072250,500
2000-01-28,157.000000,162.000000,155.000000,161.750000,142.417862,2000
2000-01-31,165.000000,165.000000,156.000000,156.000000,137.355118,2500
2000-02-01,155.000000,158.000000,154.000000,158.000000,139.116089,1500
2000-02-02,null,null,null,null,null,null
2000-02-03,null,null,null,null,null,null
2000-02-04,160.000000,170.649994,160.000000,170.000000,149.681854,500
2000-02-07,160.000000,164.000000,160.000000,164.000000,144.398972,200
2000-02-08,164.000000,164.000000,164.000000,164.000000,144.398972,100
2000-02-09,165.000000,165.000000,165.000000,165.000000,145.279449,100
2000-02-10,164.500000,164.500000,164.500000,164.500000,144.839233,100
2000-02-11,164.500000,164.500000,162.000000,162.000000,142.638000,200
2000-02-14,159.000000,159.000000,159.000000,159.000000,139.996552,100
2000-02-15,155.000000,155.000000,155.000000,155.000000,136.474640,100
2000-02-16,149.500000,150.000000,149.500000,149.949997,132.028183,1000
2000-02-17,150.000000,152.000000,150.000000,151.500000,133.392960,400
