Date,open,high,low,close,adj_close,volume
2006-02-22,60.166000,65.334000,44.183998,45.150002,30.670364,85711040
2006-02-23,46.284000,46.284000,42.250000,43.599998,29.617439,31518005
2006-02-24,43.834000,45.633999,43.034000,44.916000,30.511396,19464655
2006-02-27,45.084000,45.084000,43.433998,43.633999,29.640537,5181775
2006-02-28,43.500000,43.834000,42.042000,42.391998,28.796846,2499670
2006-03-01,42.450001,43.116001,41.666000,42.557999,28.909611,3071645
2006-03-02,42.966000,44.166000,41.924000,42.223999,28.682724,2268650
2006-03-03,42.334000,42.484001,41.507999,42.108002,28.603930,1489710
2006-03-06,42.166000,43.608002,41.683998,42.958000,29.181337,1961750
2006-03-07,43.166000,43.216000,41.916000,42.616001,28.949009,1105740
2006-03-08,42.750000,43.966000,41.500000,43.057999,29.249260,2570950
2006-03-09,43.334000,48.273998,43.150002,47.534000,32.289810,12336705
2006-03-10,48.334000,48.834000,45.608002,45.958000,31.219231,2794190
2006-03-13,45.834000,46.000000,44.208000,44.383999,30.150013,893490
2006-03-14,44.584000,44.874001,43.500000,43.716000,29.696236,469585
2006-03-16,43.834000,44.750000,43.166000,43.416000,29.492451,737480
2006-03-17,43.341999,44.000000,43.166000,43.234001,29.368818,405800
2006-03-20,42.500000,45.234001,42.442001,43.784000,29.742434,1638305
2006-03-21,43.500000,45.150002,43.500000,44.574001,30.279083,797280
2006-03-22,44.000000,49.116001,44.000000,48.515999,32.956879,7442150
2006-03-23,48.716000,50.716000,47.166000,50.042000,33.993488,9210280
2006-03-24,50.000000,50.765999,47.784000,50.015999,33.975819,3557005
2006-03-27,50.084000,53.500000,49.007999,52.391998,35.589840,2971080
2006-03-28,53.166000,53.166000,47.549999,48.700001,33.081871,1677625
2006-03-29,48.566002,50.834000,48.099998,49.057999,33.325062,1472635
2006-03-30,49.234001,49.584000,48.015999,48.473999,32.928349,760335
2006-03-31,48.834000,50.000000,48.334000,49.074001,33.335930,703045
2006-04-03,49.166000,49.616001,48.116001,48.616001,33.024811,583280
2006-04-04,48.834000,48.942001,48.000000,48.250000,32.776180,269095
2006-04-05,48.166000,49.166000,48.166000,48.824001,33.166107,171980
2006-04-07,49.000000,49.666000,47.442001,47.973999,32.588699,238385
2006-04-10,48.484001,48.484001,47.334000,47.523998,32.283016,127915
2006-04-12,47.666000,48.334000,47.000000,47.834000,32.493595,235735
2006-04-13,47.334000,47.834000,45.000000,45.708000,31.049408,289670
2006-04-17,45.834000,46.966000,45.500000,46.408001,31.524916,92130
2006-04-18,47.500000,48.666000,45.874001,46.574001,31.637680,353580
2006-04-19,46.566002,48.666000,46.566002,47.515999,32.277584,435700
2006-04-20,47.500000,52.484001,47.500000,51.466000,34.960815,2794155
2006-04-21,51.666000,51.666000,49.700001,50.515999,34.315472,613840
2006-04-24,50.484001,50.484001,49.174000,49.916000,33.907898,273115
2006-04-25,50.000000,51.908001,48.750000,49.708000,33.766605,408595
2006-04-26,50.000000,50.750000,49.500000,49.824001,33.845398,180465
2006-04-27,50.334000,51.834000,50.000000,50.349998,34.202705,490350
2006-04-28,41.666000,49.666000,41.666000,49.234001,33.444614,345590
2006-05-02,48.250000,49.500000,47.666000,49.158001,33.392986,1878220
2006-05-03,48.334000,50.799999,48.334000,49.192001,33.416088,549090
2006-05-04,50.666000,50.666000,48.834000,49.183998,33.410652,158995
2006-05-05,49.666000,50.000000,49.166000,49.366001,33.534283,236940
2006-05-08,49.334000,53.066002,49.334000,49.666000,33.738075,170915
2006-05-09,49.334000,49.916000,49.174000,49.349998,33.523411,160415
2006-05-10,49.624001,49.834000,49.334000,49.507999,33.630745,248280
2006-05-11,49.816002,50.000000,49.166000,49.500000,33.625305,110010
2006-05-12,48.334000,49.834000,48.334000,49.174000,33.403858,169745
2006-05-15,48.666000,49.666000,48.666000,49.200001,33.421516,173510
2006-05-16,47.834000,50.166000,47.834000,49.708000,33.766605,659665
2006-05-17,49.416000,50.416000,49.166000,49.341999,33.517979,433535
2006-05-18,49.183998,49.666000,49.007999,49.174000,33.403858,156010
2006-05-19,49.834000,50.000000,41.666000,45.358002,30.811653,235050
2006-05-22,44.166000,45.750000,42.500000,43.408001,29.487013,103695
2006-05-23,40.500000,44.166000,40.500000,43.708000,29.690807,33175
2006-05-24,48.666000,49.000000,43.349998,44.084000,29.946224,29420
2006-05-25,43.666000,44.124001,42.734001,43.099998,29.277798,29250
2006-05-26,44.834000,44.834000,42.341999,43.424000,29.497885,32845
2006-05-29,44.166000,44.334000,43.000000,43.284000,29.402786,21745
2006-05-30,43.500000,43.966000,42.500000,42.916000,29.152803,23170
2006-05-31,42.000000,42.500000,41.666000,42.108002,28.603930,20385
2006-06-01,41.666000,42.666000,40.000000,40.292000,27.370319,28540
2006-06-02,37.916000,40.834000,37.834000,39.466000,26.809223,60435
2006-06-05,39.250000,42.500000,39.250000,39.992001,27.166533,267665
2006-06-06,37.334000,38.834000,37.250000,38.023998,25.829668,170505
2006-06-07,38.015999,38.015999,32.500000,33.891998,23.022804,212480
2006-06-08,32.500000,32.500000,29.000000,30.392000,20.645260,95035
2006-06-09,30.000000,32.933998,28.834000,32.208000,21.878866,190860
2006-06-12,30.834000,35.334000,30.000000,32.515999,22.088091,39195
