Date,open,high,low,close,adj_close,volume
2002-07-01,9.187500,9.245000,8.875000,9.037500,3.324553,3200
2002-07-02,9.370000,9.937500,9.370000,9.712500,3.572860,27660
2002-07-03,9.962500,10.125000,9.750000,9.832500,3.617004,14940
2002-07-04,10.095000,10.112500,9.662500,9.707500,3.571022,13844
2002-07-05,9.875000,10.232500,9.687500,10.007500,3.681380,17416
2002-07-08,10.125000,10.125000,9.887500,9.987500,3.674023,7920
2002-07-09,10.000000,10.000000,9.750000,9.750000,3.586655,6100
2002-07-10,9.782500,9.857500,9.462500,9.582500,3.525038,6200
2002-07-11,9.575000,9.725000,9.400000,9.475000,3.485493,912
2002-07-12,9.500000,9.750000,9.450000,9.700000,3.568262,4900
2002-07-15,9.507500,9.875000,9.507500,9.537500,3.508486,2620
2002-07-16,9.682500,10.000000,9.382500,9.382500,3.451466,9956
2002-07-17,9.375000,9.620000,9.095000,9.162500,3.370537,7060
2002-07-18,8.462500,9.375000,8.462500,9.300000,3.421117,4004
2002-07-19,9.125000,9.250000,9.125000,9.220000,3.391690,1720
2002-07-22,9.125000,9.307500,9.012500,9.032500,3.322715,3000
2002-07-23,9.095000,9.125000,9.000000,9.062500,3.333750,1380
2002-07-24,9.007500,9.125000,9.007500,9.025000,3.319955,980
2002-07-25,9.032500,9.037500,9.032500,9.032500,3.322715,1796
2002-07-26,9.125000,9.125000,8.875000,8.875000,3.264776,1760
2002-07-29,8.875000,8.875000,8.687500,8.750000,3.218794,2480
2002-07-30,9.345000,9.345000,8.562500,9.087500,3.342947,1656
2002-07-31,8.625000,8.750000,8.600000,8.750000,3.218794,3520
2002-08-01,8.750000,9.057500,8.750000,9.057500,3.331911,160
2002-08-02,8.382500,8.620000,8.375000,8.582500,3.157177,1740
2002-08-05,8.375000,8.425000,8.212500,8.400000,4.028907,3660
2002-08-06,8.375000,8.375000,8.312500,8.312500,3.986939,1000
2002-08-07,8.282500,8.375000,8.162500,8.320000,3.990537,6260
2002-08-08,8.375000,8.375000,8.232500,8.232500,3.948569,800
2002-08-09,8.412500,8.412500,8.212500,8.212500,3.938976,1200
2002-08-12,8.412500,8.425000,8.412500,8.425000,4.040899,140
2002-08-13,8.470000,8.470000,8.470000,8.470000,4.062481,100
2002-08-14,8.470000,8.470000,8.470000,8.470000,4.062481,400
2002-08-15,null,null,null,null,null,null
2002-08-16,8.437500,8.757500,8.437500,8.500000,4.076870,1600
2002-08-19,null,null,null,null,null,null
2002-08-20,8.500000,8.732500,8.500000,8.550000,4.100852,1660
2002-08-21,8.507500,8.507500,8.507500,8.507500,4.080467,400
2002-08-22,8.625000,8.745000,8.550000,8.745000,4.194380,1600
2002-08-23,9.000000,9.000000,8.637500,8.637500,4.142820,1000
2002-08-26,8.775000,8.812500,8.575000,8.632500,4.140422,6780
2002-08-27,8.600000,8.600000,8.595000,8.595000,4.122436,2400
2002-08-28,8.712500,8.750000,8.712500,8.750000,4.196778,4000
2002-08-29,8.625000,8.662500,8.625000,8.662500,4.154810,900
2002-08-30,8.637500,8.787500,8.637500,8.645000,4.146418,4300
2002-09-02,null,null,null,null,null,null
2002-09-03,8.507500,8.507500,8.507500,8.507500,4.080467,200
2002-09-04,8.445000,8.445000,8.437500,8.437500,4.046893,1600
2002-09-05,8.375000,8.375000,8.375000,8.375000,4.016916,400
2002-09-06,8.750000,8.750000,8.500000,8.500000,4.076870,600
2002-09-09,null,null,null,null,null,null
2002-09-10,null,null,null,null,null,null
2002-09-11,8.195000,8.195000,8.045000,8.045000,3.858639,4656
2002-09-12,8.062500,8.187500,7.882500,7.900000,3.789092,4200
2002-09-13,8.150000,8.150000,7.882500,7.970000,3.822666,1920
2002-09-16,8.000000,8.000000,7.687500,7.687500,3.687170,3300
2002-09-17,7.687500,7.687500,7.487500,7.487500,3.591243,9400
2002-09-18,7.687500,7.687500,7.325000,7.562500,3.627215,5320
2002-09-19,7.562500,7.562500,7.562500,7.562500,3.627215,600
2002-09-20,7.750000,7.750000,7.487500,7.512500,3.603234,2404
2002-09-23,7.595000,7.625000,7.562500,7.562500,3.627215,1276
2002-09-24,7.375000,7.375000,7.250000,7.270000,3.486923,1604
2002-09-25,7.270000,7.550000,7.187500,7.262500,3.483325,2740
2002-09-26,7.500000,7.650000,7.500000,7.650000,3.669184,1000
2002-09-27,7.500000,7.562500,7.500000,7.500000,3.597239,3000
2002-09-30,7.500000,7.500000,7.257500,7.257500,3.480929,4880
2002-10-01,null,null,null,null,null,null
2002-10-02,null,null,null,null,null,null
2002-10-03,7.500000,7.625000,7.125000,7.245000,3.474932,3200
2002-10-04,7.087500,7.370000,7.087500,7.345000,3.522895,88
2002-10-07,7.375000,7.495000,7.345000,7.495000,3.594840,2600
2002-10-08,7.520000,7.520000,7.495000,7.500000,3.597239,13936
2002-10-09,7.507500,7.562500,7.487500,7.500000,3.597239,4600
2002-10-10,7.257500,7.500000,7.257500,7.500000,3.597239,800
2002-10-11,7.595000,7.595000,7.595000,7.595000,3.642804,400
2002-10-14,7.745000,7.775000,7.470000,7.500000,3.597239,1912
2002-10-15,null,null,null,null,null,null
2002-10-16,7.445000,7.445000,7.437500,7.437500,3.567262,600
2002-10-17,7.375000,7.375000,7.375000,7.375000,3.537285,200
2002-10-18,7.557500,7.562500,7.557500,7.562500,3.627215,8
2002-10-21,7.595000,7.595000,7.382500,7.575000,3.633211,1004
2002-10-22,null,null,null,null,null,null
2002-10-23,7.537500,7.562500,7.537500,7.562500,3.627215,1300
2002-10-24,7.337500,7.337500,7.337500,7.337500,3.519298,2000
2002-10-25,7.562500,7.562500,7.300000,7.312500,3.507308,1360
2002-10-28,7.500000,7.500000,7.500000,7.500000,3.597239,1680
2002-10-29,7.407500,7.607500,7.375000,7.607500,3.648800,4800
2002-10-30,7.400000,7.420000,7.250000,7.250000,3.477331,11200
2002-10-31,null,null,null,null,null,null
2002-11-01,7.250000,7.250000,7.250000,7.250000,3.477331,4012
2002-11-04,7.245000,7.245000,6.870000,6.870000,3.295071,20440
2002-11-05,6.862500,6.862500,6.562500,6.612500,3.171565,1800
2002-11-06,null,null,null,null,null,null
2002-11-07,6.250000,6.682500,6.250000,6.620000,3.175162,1748
2002-11-08,6.375000,6.375000,6.250000,6.262500,3.003694,5400
2002-11-11,6.250000,6.262500,6.250000,6.250000,2.997699,1440
2002-11-12,6.375000,6.375000,6.375000,6.375000,3.057653,400
2002-11-13,6.032500,6.375000,5.962500,6.375000,3.057653,3700
2002-11-14,6.262500,6.312500,6.132500,6.312500,3.027676,2400
2002-11-15,6.525000,6.525000,6.250000,6.262500,3.003694,1920
2002-11-18,6.250000,6.250000,6.082500,6.112500,2.931750,3200
2002-11-19,null,null,null,null,null,null
2002-11-20,6.137500,6.362500,6.125000,6.132500,2.941343,2500
2002-11-21,6.375000,6.375000,6.207500,6.207500,2.977314,380
2002-11-22,6.312500,6.375000,6.250000,6.250000,2.997699,1800
2002-11-25,6.282500,6.287500,6.220000,6.270000,3.007292,3640
2002-11-26,6.437500,6.575000,6.250000,6.250000,2.997699,1280
2002-11-27,6.250000,6.250000,6.195000,6.220000,2.983310,800
2002-11-28,6.375000,6.375000,6.250000,6.250000,2.997699,2680
2002-11-29,6.362500,6.375000,6.245000,6.375000,3.057653,1520
2002-12-02,6.250000,6.612500,6.250000,6.587500,3.159575,2800
2002-12-03,6.625000,6.625000,6.187500,6.200000,2.973717,8780
2002-12-04,6.250000,6.312500,6.175000,6.250000,2.997699,3404
2002-12-05,6.262500,6.312500,6.250000,6.250000,2.997699,1600
2002-12-06,6.487500,6.487500,6.187500,6.187500,2.967722,2600
2002-12-09,6.612500,6.612500,6.212500,6.262500,3.003694,6240
2002-12-10,6.195000,6.482500,6.187500,6.445000,3.091227,18000
2002-12-11,6.320000,6.487500,6.320000,6.487500,3.111611,1200
2002-12-12,6.612500,6.612500,6.232500,6.275000,3.009690,9332
2002-12-13,6.370000,6.375000,6.257500,6.257500,3.001296,1080
