Date,open,high,low,close,adj_close,volume
2002-07-01,5.100000,5.220000,5.075000,5.182500,0.166064,7500
2002-07-02,5.187500,5.187500,4.957500,5.107500,0.163661,5860
2002-07-03,5.282500,5.375000,5.137500,5.300000,0.169829,39728
2002-07-04,5.262500,5.345000,5.187500,5.195000,0.166465,13168
2002-07-05,5.187500,5.450000,5.145000,5.375000,0.172232,13004
2002-07-08,5.500000,5.912500,5.500000,5.912500,0.189456,23780
2002-07-09,5.945000,6.125000,5.412500,5.507500,0.176478,25748
2002-07-10,5.412500,5.470000,5.195000,5.287500,0.169429,5172
2002-07-11,5.350000,5.550000,5.150000,5.300000,0.169829,3848
2002-07-12,5.250000,5.362500,5.182500,5.207500,0.166865,9528
2002-07-15,5.007500,5.045000,4.845000,4.950000,0.158614,4360
2002-07-16,4.957500,5.095000,4.875000,4.957500,0.158854,3760
2002-07-17,5.000000,5.000000,4.900000,4.907500,0.157252,1336
2002-07-18,5.182500,5.387500,5.182500,5.375000,0.172232,13300
2002-07-19,5.332500,5.432500,5.187500,5.225000,0.167426,20880
2002-07-22,5.020000,5.250000,4.887500,5.025000,0.161017,9036
2002-07-23,4.907500,4.907500,4.750000,4.875000,0.156211,4796
2002-07-24,4.845000,4.845000,4.812500,4.837500,0.155009,1200
2002-07-25,4.812500,4.845000,4.512500,4.537500,0.525872,8128
2002-07-26,4.562500,4.562500,4.312500,4.500000,0.521526,5768
2002-07-29,4.312500,4.312500,4.250000,4.250000,0.492552,2200
2002-07-30,4.100000,4.250000,4.100000,4.250000,0.492552,80
2002-07-31,4.012500,4.237500,3.975000,4.032500,0.467345,6296
2002-08-01,4.007500,4.007500,3.970000,3.987500,0.462130,2000
2002-08-02,4.025000,4.307500,3.975000,4.045000,0.468794,3208
2002-08-05,4.250000,4.350000,4.000000,4.350000,0.504142,1164
2002-08-06,4.125000,4.332500,4.050000,4.075000,0.472271,1204
2002-08-07,3.975000,4.345000,3.975000,4.125000,0.478065,2668
2002-08-08,4.132500,4.250000,4.132500,4.162500,0.482411,2200
2002-08-09,null,null,null,null,null,null
2002-08-12,null,null,null,null,null,null
2002-08-13,4.312500,4.312500,4.300000,4.300000,0.498347,800
2002-08-14,4.107500,4.107500,4.107500,4.107500,0.476037,400
2002-08-15,null,null,null,null,null,null
2002-08-16,4.125000,4.125000,4.125000,4.125000,0.478065,400
2002-08-19,null,null,null,null,null,null
2002-08-20,3.887500,3.887500,3.887500,3.887500,0.450540,4
2002-08-21,4.062500,4.275000,4.062500,4.275000,0.495450,604
2002-08-22,4.125000,4.125000,4.125000,4.125000,0.478065,400
2002-08-23,4.037500,4.062500,3.782500,4.012500,0.465027,4000
2002-08-26,4.050000,4.312500,4.050000,4.175000,0.483860,400
