Date,open,high,low,close,adj_close,volume
2002-07-01,2.940000,3.090000,2.850000,2.910000,1.538414,391510
2002-07-02,2.880000,3.000000,2.740000,2.805000,1.482905,316930
2002-07-03,2.815000,2.890000,2.710000,2.725000,1.440612,392930
2002-07-04,2.720000,2.760000,2.570000,2.595000,1.371885,463760
2002-07-05,2.665000,2.970000,2.625000,2.815000,1.488191,1322020
2002-07-08,2.895000,2.895000,2.570000,2.760000,1.459115,241470
2002-07-09,2.980000,2.980000,2.710000,2.745000,1.451185,390040
2002-07-10,2.800000,2.810000,2.670000,2.700000,1.427395,350680
2002-07-11,2.600000,2.710000,2.600000,2.680000,1.416822,139080
2002-07-12,2.685000,2.900000,2.655000,2.750000,1.453828,200060
2002-07-15,2.710000,2.760000,2.600000,2.605000,1.377172,70170
2002-07-16,2.200000,2.600000,2.200000,2.545000,1.345452,69770
2002-07-17,2.400000,2.450000,2.280000,2.335000,1.234432,131750
2002-07-18,1.915000,2.420000,1.915000,2.375000,1.255579,45770
2002-07-19,2.350000,2.450000,2.350000,2.385000,1.260866,100070
2002-07-22,2.325000,2.350000,2.000000,2.210000,1.168349,28270
2002-07-23,1.825000,2.300000,1.825000,2.200000,1.163063,32550
2002-07-24,1.850000,2.275000,1.850000,2.140000,1.131343,113170
2002-07-25,1.855000,2.280000,1.855000,2.175000,1.149846,45890
2002-07-26,1.780000,2.190000,1.780000,2.065000,1.091693,55400
2002-07-29,1.690000,2.050000,1.690000,2.035000,1.075833,17520
2002-07-30,1.665000,2.150000,1.665000,2.050000,1.083763,55390
2002-07-31,1.700000,2.040000,1.700000,1.945000,1.028253,66160
2002-08-01,1.590000,2.030000,1.590000,2.000000,1.057330,128790
2002-08-02,1.805000,2.000000,1.805000,1.960000,1.036183,49480
2002-08-05,1.840000,2.130000,1.840000,2.120000,1.120769,79460
2002-08-06,1.850000,2.085000,1.755000,2.080000,1.099623,168520
2002-08-07,2.490000,2.490000,1.920000,2.030000,1.073190,127890
2002-08-08,2.020000,2.050000,1.970000,1.980000,1.046756,188000
2002-08-09,1.815000,2.000000,1.815000,1.990000,1.052043,35340
2002-08-12,2.045000,2.090000,2.000000,2.090000,1.104909,30940
2002-08-13,2.495000,2.495000,2.010000,2.010000,1.062616,778850
2002-08-14,2.070000,2.070000,2.030000,2.050000,1.083763,6500
2002-08-15,null,null,null,null,null,null
2002-08-16,1.820000,2.100000,1.820000,2.060000,1.089050,51300
2002-08-19,2.005000,2.050000,2.005000,2.040000,1.078476,7440
2002-08-20,2.045000,2.130000,2.045000,2.080000,1.099623,30120
2002-08-21,2.005000,2.215000,2.005000,2.080000,1.099623,22290
2002-08-22,2.075000,2.270000,2.075000,2.110000,1.115482,29040
2002-08-23,2.130000,2.140000,2.050000,2.115000,1.118126,28340
2002-08-26,2.020000,2.150000,2.020000,2.140000,1.131343,10010
2002-08-27,1.860000,2.275000,1.860000,2.075000,1.096980,35230
2002-08-28,2.130000,2.130000,2.030000,2.030000,1.073190,10140
2002-08-29,2.050000,2.050000,1.995000,1.995000,1.054686,10340
2002-08-30,2.000000,2.050000,1.960000,2.000000,1.057330,30500
2002-09-02,1.800000,2.025000,1.800000,2.010000,1.062616,29480
2002-09-03,1.645000,2.065000,1.645000,1.980000,1.046756,139800
2002-09-04,1.800000,2.060000,1.750000,1.970000,1.041470,4040
2002-09-05,1.930000,2.035000,1.930000,2.010000,1.062616,5260
2002-09-06,1.885000,1.975000,1.885000,1.935000,1.022966,31270
2002-09-09,1.740000,2.000000,1.740000,1.930000,1.020323,8080
2002-09-10,null,null,null,null,null,null
2002-09-11,1.825000,2.000000,1.825000,1.975000,1.044113,17040
2002-09-12,1.935000,1.970000,1.930000,1.930000,1.020323,14300
2002-09-13,1.730000,1.960000,1.730000,1.910000,1.009750,16700
2002-09-16,1.700000,1.900000,1.700000,1.900000,1.004463,60
2002-09-17,1.905000,1.970000,1.900000,1.905000,1.007107,43500
2002-09-18,1.740000,1.900000,1.740000,1.880000,0.993890,2020
2002-09-19,1.900000,1.900000,1.825000,1.845000,0.975387,14660
2002-09-20,1.870000,1.870000,1.825000,1.830000,0.967457,8960
2002-09-23,1.500000,1.865000,1.500000,1.805000,0.954240,115200
2002-09-24,1.600000,1.800000,1.600000,1.795000,0.948954,45910
2002-09-25,1.785000,1.825000,1.655000,1.805000,0.954240,45170
2002-09-26,1.770000,1.820000,1.770000,1.810000,0.956883,49870
2002-09-27,1.780000,1.845000,1.780000,1.805000,0.954240,40830
2002-09-30,1.650000,1.820000,1.650000,1.790000,0.946310,44030
2002-10-01,1.650000,1.785000,1.650000,1.715000,0.906660,85810
2002-10-02,null,null,null,null,null,null
2002-10-03,1.660000,1.795000,1.660000,1.720000,0.909304,37090
2002-10-04,1.705000,1.770000,1.705000,1.735000,0.917233,90490
2002-10-07,1.760000,1.800000,1.760000,1.790000,0.946310,88300
2002-10-08,1.760000,1.805000,1.755000,1.800000,0.951597,69420
2002-10-09,1.795000,1.800000,1.785000,1.795000,0.948954,63500
2002-10-10,1.800000,1.800000,1.780000,1.790000,0.946310,72180
2002-10-11,1.795000,1.835000,1.790000,1.795000,0.948954,47700
2002-10-14,2.155000,2.155000,1.675000,1.870000,0.988603,44640
2002-10-15,null,null,null,null,null,null
2002-10-16,1.940000,1.940000,1.855000,1.865000,0.985960,22050
2002-10-17,2.235000,2.235000,1.850000,1.890000,0.999177,5820
2002-10-18,1.890000,1.890000,1.850000,1.850000,0.978030,18110
2002-10-21,1.855000,1.875000,1.850000,1.860000,0.983317,15390
2002-10-22,1.705000,1.870000,1.705000,1.830000,0.967457,30870
2002-10-23,1.840000,1.860000,1.835000,1.845000,0.975387,25000
2002-10-24,1.840000,1.840000,1.830000,1.835000,0.970100,19020
2002-10-25,1.810000,1.850000,1.800000,1.835000,0.970100,31780
2002-10-28,1.700000,1.790000,1.700000,1.775000,0.938380,29640
2002-10-29,2.100000,2.100000,1.775000,1.835000,0.970100,26730
2002-10-30,1.845000,1.845000,1.845000,1.845000,0.975387,20000
2002-10-31,1.805000,1.885000,1.805000,1.830000,0.967457,24000
2002-11-01,1.710000,1.845000,1.710000,1.840000,0.972743,14240
2002-11-04,null,null,null,null,null,null
2002-11-05,1.810000,1.880000,1.810000,1.825000,0.964813,23210
2002-11-06,null,null,null,null,null,null
2002-11-07,1.835000,1.835000,1.835000,1.835000,0.970100,25000
2002-11-08,1.785000,1.865000,1.785000,1.810000,0.956883,32010
2002-11-11,1.785000,1.830000,1.785000,1.805000,0.954240,29000
2002-11-12,1.710000,1.805000,1.710000,1.805000,0.954240,20000
2002-11-13,1.820000,1.840000,1.815000,1.825000,0.964813,31510
2002-11-14,1.755000,1.855000,1.755000,1.825000,0.964813,56470
2002-11-15,1.785000,1.850000,1.785000,1.825000,0.964813,33060
2002-11-18,1.815000,1.830000,1.810000,1.825000,0.964813,23700
2002-11-19,null,null,null,null,null,null
2002-11-20,1.840000,1.850000,1.820000,1.840000,0.972743,27000
2002-11-21,1.780000,1.850000,1.780000,1.850000,0.978030,24140
2002-11-22,1.850000,1.890000,1.835000,1.845000,0.975387,20480
2002-11-25,1.825000,1.850000,1.820000,1.845000,0.975387,34880
2002-11-26,1.880000,1.880000,1.850000,1.860000,0.983317,27930
2002-11-27,1.830000,1.865000,1.830000,1.865000,0.985960,8030
2002-11-28,1.760000,1.825000,1.760000,1.825000,0.964813,21770
2002-11-29,1.810000,1.865000,1.810000,1.845000,0.975387,40480
2002-12-02,1.900000,1.950000,1.840000,1.910000,1.009750,129440
2002-12-03,1.915000,2.200000,1.900000,1.970000,1.041470,376830
2002-12-04,1.940000,1.960000,1.935000,1.955000,1.033540,63370
2002-12-05,1.970000,2.000000,1.960000,1.960000,1.036183,67450
2002-12-06,1.995000,2.000000,1.960000,1.980000,1.046756,17240
2002-12-09,1.955000,2.020000,1.950000,1.950000,1.030897,34350
2002-12-10,1.905000,1.960000,1.905000,1.950000,1.030897,39500
2002-12-11,1.915000,1.955000,1.915000,1.920000,1.015036,31000
2002-12-12,1.990000,1.990000,1.920000,1.930000,1.020323,38010
2002-12-13,1.900000,1.985000,1.900000,1.930000,1.020323,64090
2002-12-16,1.905000,1.925000,1.875000,1.875000,0.991247,28600
2002-12-17,1.880000,1.900000,1.860000,1.880000,0.993890,24210
2002-12-18,1.840000,1.900000,1.840000,1.840000,0.972743,51130
2002-12-19,1.875000,1.875000,1.840000,1.860000,0.983317,38600
2002-12-20,1.810000,1.865000,1.810000,1.865000,0.985960,37710
2002-12-23,1.845000,1.845000,1.825000,1.830000,0.967457,32590
2002-12-24,1.920000,1.920000,1.800000,1.820000,0.962170,72760
2002-12-25,null,null,null,null,null,null
2002-12-26,1.855000,1.855000,1.825000,1.825000,0.964813,31500
2002-12-27,1.975000,1.975000,1.820000,1.830000,0.967457,74680
2002-12-30,1.830000,1.850000,1.800000,1.820000,0.962170,38330
2002-12-31,1.825000,1.860000,1.820000,1.840000,0.972743,47460
2003-01-01,1.825000,1.825000,1.800000,1.805000,0.954240,20010
2003-01-02,1.840000,1.840000,1.795000,1.800000,0.951597,45020
2003-01-03,1.810000,1.825000,1.810000,1.815000,0.959527,66270
2003-01-06,1.800000,1.820000,1.765000,1.765000,0.933093,35000
2003-01-07,1.735000,1.785000,1.735000,1.750000,0.925163,47890
2003-01-08,1.760000,1.795000,1.750000,1.790000,0.946310,59650
2003-01-09,1.750000,1.795000,1.750000,1.785000,0.943667,47010
2003-01-10,1.760000,1.785000,1.750000,1.760000,0.930450,47120
2003-01-13,1.710000,1.800000,1.710000,1.775000,0.938380,53570
2003-01-14,1.710000,1.785000,1.705000,1.755000,0.927807,54990
2003-01-15,1.725000,1.825000,1.725000,1.815000,0.959527,60000
2003-01-16,1.830000,1.830000,1.785000,1.785000,0.943667,34000
2003-01-17,1.770000,1.795000,1.770000,1.780000,0.941024,21000
2003-01-20,1.795000,1.800000,1.775000,1.775000,0.938380,22090
2003-01-21,1.770000,1.790000,1.750000,1.755000,0.927807,31880
2003-01-22,1.755000,1.975000,1.750000,1.900000,1.004463,85360
2003-01-23,1.895000,1.895000,1.815000,1.875000,0.991247,67050
2003-01-24,1.835000,1.885000,1.800000,1.800000,0.951597,51000
2003-01-27,1.760000,1.850000,1.740000,1.740000,0.919877,42950
2003-01-28,1.755000,1.785000,1.715000,1.715000,0.906660,35840
2003-01-29,1.740000,1.815000,1.740000,1.815000,0.959527,39010
2003-01-30,1.745000,1.830000,1.740000,1.755000,0.927807,42550
2003-01-31,1.680000,1.785000,1.680000,1.760000,0.930450,48730
2003-02-03,1.715000,1.795000,1.715000,1.795000,0.948954,33930
2003-02-04,1.755000,1.815000,1.755000,1.770000,0.935737,64080
2003-02-05,1.840000,1.840000,1.760000,1.765000,0.933093,31200
2003-02-06,1.815000,1.815000,1.755000,1.785000,0.943667,31000
2003-02-07,1.735000,1.795000,1.735000,1.750000,0.925163,41160
2003-02-10,1.740000,1.775000,1.740000,1.750000,0.925163,25130
2003-02-11,1.730000,1.760000,1.705000,1.710000,0.904017,52470
2003-02-12,1.710000,1.740000,1.705000,1.705000,0.901374,44240
2003-02-13,null,null,null,null,null,null
2003-02-14,1.705000,1.740000,1.660000,1.710000,0.904017,59640
2003-02-17,1.675000,1.700000,1.650000,1.675000,0.885513,50430
2003-02-18,1.665000,1.740000,1.665000,1.740000,0.919877,40480
2003-02-19,1.700000,1.700000,1.660000,1.665000,0.880227,27160
2003-02-20,1.625000,1.705000,1.625000,1.695000,0.896087,27250
2003-02-21,1.660000,1.715000,1.640000,1.655000,0.874940,38000
2003-02-24,1.640000,1.695000,1.640000,1.670000,0.882870,32250
2003-02-25,1.705000,1.705000,1.660000,1.670000,0.882870,39100
2003-02-26,1.610000,1.675000,1.605000,1.660000,0.877584,39470
2003-02-27,1.630000,1.690000,1.630000,1.645000,0.869654,62400
2003-02-28,1.710000,1.715000,1.675000,1.675000,0.885513,32500
2003-03-03,1.700000,1.700000,1.650000,1.655000,0.874940,52730
2003-03-04,1.650000,1.655000,1.600000,1.630000,0.861724,138750
2003-03-05,1.640000,1.660000,1.605000,1.615000,0.853794,43280
2003-03-06,1.620000,1.655000,1.620000,1.620000,0.856437,22500
2003-03-07,1.615000,1.645000,1.560000,1.620000,0.856437,36000
2003-03-10,1.600000,1.650000,1.590000,1.650000,0.872297,67170
2003-03-11,1.670000,1.670000,1.595000,1.665000,0.880227,45120
2003-03-12,1.620000,1.665000,1.600000,1.610000,0.851151,36600
2003-03-13,1.590000,1.630000,1.570000,1.605000,0.848507,106770
2003-03-14,null,null,null,null,null,null
2003-03-17,1.605000,1.750000,1.605000,1.675000,0.885513,78100
2003-03-18,null,null,null,null,null,null
2003-03-19,1.590000,1.715000,1.585000,1.655000,0.874940,35880
2003-03-20,1.630000,1.760000,1.630000,1.725000,0.911947,90380
2003-03-21,1.710000,1.760000,1.710000,1.745000,0.922520,51120
2003-03-24,1.650000,1.840000,1.650000,1.800000,0.951597,349830
2003-03-25,1.700000,1.825000,1.695000,1.750000,0.925163,90750
2003-03-26,1.695000,1.780000,1.660000,1.685000,0.890800,295710
2003-03-27,1.645000,1.705000,1.640000,1.690000,0.893444,29000
2003-03-28,1.650000,1.750000,1.650000,1.700000,0.898730,70850
2003-03-31,1.715000,1.805000,1.605000,1.640000,0.867010,58160
2003-04-01,1.840000,1.840000,1.660000,1.780000,0.941024,74760
2003-04-02,1.670000,1.840000,1.670000,1.825000,0.964813,95200
2003-04-03,1.800000,1.910000,1.800000,1.900000,1.004463,93100
2003-04-04,1.870000,2.000000,1.855000,1.915000,1.012393,111290
2003-04-07,1.900000,2.085000,1.900000,2.025000,1.070546,110730
2003-04-08,2.000000,2.135000,1.760000,2.080000,1.099623,191280
2003-04-09,2.125000,2.215000,2.110000,2.125000,1.123413,166190
2003-04-10,2.110000,2.110000,2.015000,2.050000,1.083763,44180
2003-04-11,1.990000,2.075000,1.975000,2.070000,1.094336,61500
2003-04-14,null,null,null,null,null,null
2003-04-15,1.960000,2.070000,1.960000,2.000000,1.057330,44700
