Date,open,high,low,close,adj_close,volume
2015-01-02,5.700000,6.300000,5.450000,6.000000,6.000000,26490
2015-01-05,6.000000,6.750000,5.850000,6.500000,6.500000,34966
2015-01-06,6.500000,6.950000,5.900000,6.100000,6.100000,14707
2015-01-07,6.250000,6.250000,5.700000,5.800000,5.800000,9497
2015-01-08,5.750000,6.800000,5.500000,6.600000,6.600000,24710
2015-01-09,6.750000,7.050000,6.550000,6.550000,6.550000,6451
2015-01-12,6.500000,6.550000,5.900000,6.500000,6.500000,9120
2015-01-13,5.800000,6.900000,5.800000,6.700000,6.700000,18520
2015-01-14,7.200000,7.300000,6.200000,6.800000,6.800000,9115
2015-01-15,6.700000,7.250000,6.150000,7.000000,7.000000,40980
2015-01-16,6.900000,6.900000,6.250000,6.300000,6.300000,15594
2015-01-19,6.100000,6.800000,5.700000,6.250000,6.250000,9110
2015-01-20,6.300000,6.650000,6.100000,6.250000,6.250000,10098
2015-01-21,6.200000,6.700000,6.100000,6.450000,6.450000,6943
2015-01-22,6.300000,7.450000,6.100000,6.850000,6.850000,35073
2015-01-23,6.800000,7.700000,6.750000,7.450000,7.450000,104926
2015-01-27,7.450000,7.700000,7.000000,7.500000,7.500000,17046
2015-01-28,7.400000,7.750000,7.350000,7.500000,7.500000,13553
2015-01-29,7.400000,7.600000,7.000000,7.300000,7.300000,8443
2015-01-30,7.200000,7.650000,7.000000,7.400000,7.400000,20047
2015-02-02,7.300000,8.100000,7.050000,7.950000,7.950000,32329
2015-02-03,8.000000,8.650000,7.600000,7.800000,7.800000,95924
2015-02-04,7.700000,8.300000,7.350000,8.250000,8.250000,89631
2015-02-05,8.000000,8.000000,7.300000,7.400000,7.400000,30601
2015-02-06,8.750000,8.750000,7.150000,7.150000,7.150000,15774
2015-02-09,7.100000,7.100000,6.800000,6.950000,6.950000,2386
2015-02-10,7.100000,7.300000,6.450000,6.700000,6.700000,8588
2015-02-11,6.700000,7.000000,6.250000,6.350000,6.350000,7164
2015-02-12,7.150000,7.150000,6.250000,6.400000,6.400000,6383
2015-02-13,6.550000,6.900000,6.150000,6.900000,6.900000,6263
2015-02-16,7.450000,7.450000,6.300000,6.500000,6.500000,17227
2015-02-18,6.500000,7.150000,6.350000,6.700000,6.700000,14492
2015-02-19,6.600000,7.000000,6.500000,6.700000,6.700000,12520
2015-02-20,6.600000,6.900000,6.550000,6.850000,6.850000,77519
2015-02-23,6.700000,6.800000,6.650000,6.800000,6.800000,10616
2015-02-24,7.200000,7.200000,6.700000,6.850000,6.850000,8008
2015-02-25,6.800000,7.000000,6.750000,6.950000,6.950000,4885
2015-02-26,6.800000,7.100000,6.300000,6.900000,6.900000,29952
2015-02-27,7.850000,7.850000,6.500000,7.100000,7.100000,9884
2015-02-28,null,null,null,null,null,null
2015-03-02,7.100000,7.850000,6.900000,7.400000,7.400000,30940
2015-03-03,7.400000,7.800000,6.650000,7.400000,7.400000,12054
2015-03-04,7.500000,7.750000,7.100000,7.250000,7.250000,5451
2015-03-05,7.500000,7.500000,7.100000,7.100000,7.100000,6710
2015-03-09,7.100000,7.100000,6.650000,6.650000,6.650000,8318
2015-03-10,6.800000,7.000000,6.700000,7.000000,7.000000,3425
2015-03-11,6.900000,6.900000,6.050000,6.600000,6.600000,34309
2015-03-12,6.600000,6.800000,6.350000,6.800000,6.800000,3279
2015-03-13,6.750000,6.900000,6.150000,6.350000,6.350000,14139
2015-03-16,6.650000,7.050000,6.200000,6.300000,6.300000,16639
2015-03-17,6.300000,6.900000,6.000000,6.150000,6.150000,29886
2015-03-18,6.550000,6.550000,6.100000,6.300000,6.300000,4092
2015-03-19,6.150000,6.550000,6.000000,6.100000,6.100000,4567
2015-03-20,6.050000,6.100000,5.600000,5.800000,5.800000,10274
2015-03-23,5.700000,5.900000,5.600000,5.750000,5.750000,3134
2015-03-24,5.700000,6.000000,5.250000,5.500000,5.500000,33268
2015-03-25,6.500000,6.500000,5.400000,5.400000,5.400000,12650
2015-03-26,5.300000,5.800000,5.250000,5.350000,5.350000,6977
2015-03-27,5.300000,5.850000,5.100000,5.200000,5.200000,4522
2015-03-30,4.500000,6.200000,4.500000,6.200000,6.200000,35742
2015-03-31,7.000000,7.200000,6.350000,7.100000,7.100000,30269
2015-04-01,7.000000,7.750000,7.000000,7.400000,7.400000,20940
2015-04-06,7.400000,7.650000,6.950000,7.100000,7.100000,14125
2015-04-07,6.900000,7.200000,6.750000,7.200000,7.200000,6274
2015-04-08,6.800000,7.750000,6.600000,7.500000,7.500000,62656
2015-04-09,7.300000,7.450000,7.000000,7.200000,7.200000,4447
2015-04-10,6.950000,7.550000,6.950000,7.500000,7.500000,11403
2015-04-13,7.150000,7.750000,7.050000,7.700000,7.700000,19488
2015-04-15,7.700000,7.750000,7.250000,7.600000,7.600000,24034
2015-04-16,7.900000,8.350000,7.200000,7.350000,7.350000,34079
2015-04-17,7.250000,7.500000,7.250000,7.400000,7.400000,7128
2015-04-20,7.400000,7.400000,6.900000,7.100000,7.100000,19137
2015-04-21,7.800000,7.800000,6.800000,6.950000,6.950000,8938
2015-04-22,7.000000,7.000000,6.700000,6.750000,6.750000,8413
2015-04-23,6.950000,6.950000,6.800000,6.850000,6.850000,3830
2015-04-24,6.450000,6.750000,6.450000,6.600000,6.600000,8591
2015-04-27,6.600000,7.000000,6.200000,6.400000,6.400000,14098
2015-04-28,6.150000,6.750000,6.150000,6.600000,6.600000,751
2015-04-29,6.550000,7.250000,6.500000,7.150000,7.150000,1200
2015-04-30,6.750000,7.000000,6.750000,7.000000,7.000000,2501
2015-05-04,7.000000,7.000000,6.600000,6.750000,6.750000,4365
2015-05-05,6.600000,7.500000,6.250000,7.000000,7.000000,4365
2015-05-06,6.600000,6.950000,6.500000,6.950000,6.950000,2223
2015-05-07,6.700000,6.900000,6.200000,6.400000,6.400000,8840
2015-05-08,6.400000,7.650000,6.000000,7.400000,7.400000,54349
2015-05-11,7.400000,7.400000,6.650000,6.700000,6.700000,8639
2015-05-12,6.550000,6.850000,6.100000,6.450000,6.450000,12294
2015-05-13,6.450000,6.850000,5.900000,6.700000,6.700000,4510
2015-05-14,6.500000,6.600000,6.300000,6.350000,6.350000,1761
2015-05-15,6.350000,6.800000,6.350000,6.600000,6.600000,2098
2015-05-18,6.500000,6.800000,6.500000,6.550000,6.550000,3661
2015-05-19,6.450000,6.750000,6.100000,6.600000,6.600000,13393
2015-05-20,6.500000,6.500000,6.250000,6.350000,6.350000,10360
2015-05-21,7.350000,7.350000,6.100000,6.300000,6.300000,2963
2015-05-22,6.250000,6.500000,6.250000,6.450000,6.450000,5843
2015-05-25,6.500000,6.500000,6.250000,6.400000,6.400000,1691
