Date,open,high,low,close,adj_close,volume
2002-07-01,2.960000,3.200000,2.950000,3.200000,0.106227,375
2002-07-02,3.170000,3.170000,3.080000,3.080000,0.102244,1697
2002-07-03,3.000000,3.000000,2.950000,2.960000,0.098260,2800
2002-07-04,3.150000,3.260000,3.140000,3.260000,0.108219,1396
2002-07-05,3.370000,3.590000,3.230000,3.550000,0.117846,5347
2002-07-08,3.650000,3.840000,3.500000,3.810000,0.126477,2914
2002-07-09,3.700000,3.700000,3.520000,3.520000,0.116850,1650
2002-07-10,3.520000,3.520000,3.260000,3.380000,0.112203,732
2002-07-11,3.400000,3.460000,3.300000,3.330000,0.110543,1575
2002-07-12,3.300000,3.350000,3.220000,3.290000,0.109215,250
2002-07-15,3.110000,3.110000,3.100000,3.100000,0.102908,100
2002-07-16,3.300000,3.300000,3.160000,3.160000,0.104900,350
2002-07-17,2.900000,3.200000,2.900000,3.200000,0.106227,200
2002-07-18,3.070000,3.070000,3.010000,3.050000,0.101248,1175
2002-07-19,3.010000,3.010000,3.010000,3.010000,0.099920,100
2002-07-22,2.840000,2.840000,2.840000,2.840000,0.094277,75
2002-07-23,2.850000,2.850000,2.720000,2.720000,0.090293,350
2002-07-24,2.980000,2.980000,2.980000,2.980000,0.098924,5
2002-07-25,3.040000,3.050000,2.880000,2.880000,0.095605,187
2002-07-26,2.880000,2.880000,2.880000,2.880000,0.095605,25
2002-07-29,2.800000,2.800000,2.600000,2.600000,0.086310,1125
2002-07-30,2.790000,2.860000,2.700000,2.840000,0.094277,387
2002-07-31,2.850000,2.930000,2.680000,2.700000,0.089629,361
2002-08-01,2.880000,2.880000,2.880000,2.880000,0.095605,100
2002-08-02,2.730000,2.980000,2.710000,2.850000,0.094609,187
2002-08-05,3.100000,3.100000,2.790000,2.820000,0.093613,207
2002-08-06,2.790000,2.790000,2.780000,2.790000,0.092617,306
2002-08-07,3.050000,3.050000,2.980000,2.980000,0.098924,250
2002-08-08,3.000000,3.000000,2.810000,2.830000,0.093945,106
2002-08-09,2.820000,2.860000,2.800000,2.860000,0.094941,659
2002-08-12,null,null,null,null,null,null
2002-08-13,2.780000,3.140000,2.780000,3.060000,0.101580,1763
2002-08-14,3.020000,3.180000,3.020000,3.180000,0.105563,300
2002-08-15,null,null,null,null,null,null
2002-08-16,3.210000,3.330000,3.210000,3.280000,0.108883,1408
2002-08-19,3.210000,3.210000,3.210000,3.210000,0.106559,1000
2002-08-20,2.970000,3.200000,2.920000,3.200000,0.106227,592
2002-08-21,3.000000,3.300000,2.970000,3.150000,0.104568,165
2002-08-22,3.030000,3.030000,3.020000,3.020000,0.100252,200
2002-08-23,2.810000,3.100000,2.810000,3.000000,0.099588,425
2002-08-26,2.940000,2.990000,2.800000,2.990000,0.595537,1450
2002-08-27,2.770000,2.770000,2.770000,2.770000,0.551718,150
2002-08-28,2.650000,2.780000,2.650000,2.780000,0.553710,440
2002-08-29,null,null,null,null,null,null
2002-08-30,2.800000,2.800000,2.800000,2.800000,0.557694,150
2002-09-02,null,null,null,null,null,null
2002-09-03,2.710000,2.940000,2.710000,2.940000,0.585578,51
2002-09-04,2.750000,2.850000,2.750000,2.850000,0.567652,100
2002-09-05,null,null,null,null,null,null
2002-09-06,2.930000,2.950000,2.930000,2.950000,0.587570,641
2002-09-09,null,null,null,null,null,null
2002-09-10,null,null,null,null,null,null
2002-09-11,2.840000,2.950000,2.840000,2.850000,0.567652,111
2002-09-12,2.900000,2.900000,2.900000,2.900000,0.577611,364
2002-09-13,2.950000,2.950000,2.950000,2.950000,0.587570,1000
2002-09-16,2.900000,2.900000,2.900000,2.900000,0.577611,45
2002-09-17,2.870000,3.000000,2.870000,3.000000,0.597529,225
2002-09-18,3.070000,3.070000,3.050000,3.050000,0.607488,4
2002-09-19,2.980000,3.140000,2.950000,3.140000,0.625414,301
2002-09-20,3.000000,3.000000,3.000000,3.000000,0.597529,50
2002-09-23,2.930000,2.930000,2.930000,2.930000,0.583587,100
2002-09-24,3.000000,3.000000,2.960000,2.970000,0.591554,1731
2002-09-25,3.190000,3.190000,2.930000,2.930000,0.583587,601
2002-09-26,2.950000,2.950000,2.950000,2.950000,0.587570,50
2002-09-27,2.970000,3.020000,2.930000,2.930000,0.583587,876
2002-09-30,3.070000,3.070000,2.850000,2.860000,0.569644,101
2002-10-01,2.890000,2.900000,2.890000,2.890000,0.575620,421
2002-10-02,null,null,null,null,null,null
2002-10-03,2.920000,3.000000,2.680000,2.890000,0.575620,2103
2002-10-04,2.800000,2.810000,2.800000,2.800000,0.557694,650
2002-10-07,2.760000,2.930000,2.760000,2.820000,0.561677,450
2002-10-08,2.710000,2.780000,2.680000,2.680000,0.533792,1058
2002-10-09,2.730000,2.730000,2.600000,2.700000,0.537776,1275
2002-10-10,null,null,null,null,null,null
2002-10-11,2.700000,2.700000,2.670000,2.670000,0.531801,550
2002-10-14,2.460000,2.860000,2.460000,2.860000,0.569644,375
