Date,open,high,low,close,adj_close,volume
2006-03-23,75.680000,88.199997,73.120003,75.199997,66.231354,7037700
2006-03-24,75.779999,80.400002,74.599998,76.550003,67.420341,3315875
2006-03-27,77.000000,78.959999,76.300003,76.519997,67.393898,375950
2006-03-28,78.000000,78.900002,75.000000,75.709999,66.680519,274175
2006-03-29,null,null,null,null,null,null
2006-03-30,77.529999,78.400002,73.000000,73.820000,65.015930,663275
2006-03-31,74.000000,76.400002,72.199997,73.800003,64.998329,582575
2006-04-03,74.010002,77.000000,72.000000,76.019997,66.953545,338025
2006-04-04,74.599998,77.800003,74.599998,76.940002,67.763832,117950
2006-04-05,78.000000,82.879997,76.599998,80.059998,70.511703,1715100
2006-04-07,81.000000,81.500000,75.599998,76.570000,67.437950,476900
2006-04-10,78.209999,91.889999,78.209999,90.669998,79.856323,4241625
2006-04-12,null,null,null,null,null,null
2006-04-13,99.000000,100.599998,88.000000,94.419998,83.159096,2540525
2006-04-17,92.199997,104.800003,92.199997,102.839996,90.574890,7330475
2006-04-18,104.580002,104.580002,94.800003,95.769997,84.348061,5443550
2006-04-19,97.540001,97.540001,90.400002,90.989998,80.138176,1467025
2006-04-20,93.160004,95.580002,91.800003,92.980003,81.890816,941200
2006-04-21,94.800003,98.199997,94.000000,94.760002,83.458542,1163025
2006-04-24,96.750000,99.599998,95.000000,98.059998,86.364952,1297550
2006-04-25,99.199997,99.199997,95.000000,95.690002,84.277618,1193950
2006-04-26,97.800003,97.800003,93.989998,94.879997,83.564217,810400
2006-04-27,96.779999,96.779999,93.000000,94.279999,83.035782,203125
2006-04-28,null,null,null,null,null,null
2006-05-02,93.949997,94.000000,89.010002,90.180000,79.424744,357000
2006-05-03,91.400002,92.000000,86.000000,87.400002,76.976318,374875
2006-05-04,88.400002,90.379997,86.000000,86.660004,76.324577,415975
2006-05-05,87.029999,88.959999,86.019997,87.250000,76.844200,428625
2006-05-08,89.000000,89.360001,86.620003,88.190002,77.672096,477825
