Date,open,high,low,close,adj_close,volume
2002-07-01,11.000000,11.000000,11.000000,11.000000,8.128370,571
2002-07-02,11.000000,11.000000,10.500000,10.500000,7.758898,300
2002-07-03,11.000000,11.200000,11.000000,11.100000,8.202265,750
2002-07-04,10.550000,11.400000,10.500000,11.100000,8.202265,1300
2002-07-05,11.250000,11.800000,11.250000,11.350000,8.386999,1256
2002-07-08,11.500000,11.500000,11.500000,11.500000,8.497839,50
2002-07-09,11.900000,13.800000,11.350000,12.400000,9.162889,5310
2002-07-10,13.700000,13.750000,12.100000,12.450000,9.199836,1209
2002-07-11,12.500000,13.000000,11.700000,11.700000,8.645630,500
2002-07-12,11.300000,11.300000,11.300000,11.300000,8.350054,400
2002-07-15,10.150000,12.500000,9.850000,9.900000,7.315532,1051
2002-07-16,null,null,null,null,null,null
2002-07-17,null,null,null,null,null,null
2002-07-18,9.150000,10.500000,9.150000,9.550000,7.056902,414
2002-07-19,10.000000,10.700000,10.000000,10.550000,7.795846,1993
2002-07-22,11.350000,11.350000,11.350000,11.350000,8.386999,1
2002-07-23,10.000000,10.000000,10.000000,10.000000,7.389427,99
2002-07-24,null,null,null,null,null,null
2002-07-25,null,null,null,null,null,null
2002-07-26,null,null,null,null,null,null
2002-07-29,null,null,null,null,null,null
2002-07-30,null,null,null,null,null,null
2002-07-31,null,null,null,null,null,null
2002-08-01,10.950000,10.950000,10.950000,10.950000,8.091421,1
2002-08-02,11.400000,11.400000,8.900000,8.900000,6.576590,303
2002-08-05,10.650000,10.650000,8.550000,9.000000,6.650485,803
2002-08-06,10.500000,10.500000,10.500000,10.500000,7.758898,1
2002-08-07,11.400000,11.400000,9.900000,9.900000,7.315532,2
2002-08-08,10.950000,10.950000,10.200000,10.200000,7.537216,2
2002-08-09,12.150000,12.150000,12.150000,12.150000,8.978153,1
2002-08-12,9.750000,11.350000,9.750000,10.250000,7.574163,178
2002-08-13,12.150000,12.150000,8.700000,8.700000,6.428801,500
2002-08-14,9.550000,9.550000,9.550000,9.550000,7.056902,1
2002-08-15,null,null,null,null,null,null
2002-08-16,null,null,null,null,null,null
2002-08-19,10.550000,10.550000,7.750000,9.450000,6.983008,952
2002-08-20,10.750000,10.750000,8.100000,9.950000,7.352479,300
2002-08-21,10.700000,10.700000,8.000000,8.150000,6.022383,200
2002-08-22,9.600000,9.600000,9.600000,9.600000,7.093850,1
2002-08-23,10.800000,10.800000,10.800000,10.800000,7.980580,1
2002-08-26,12.750000,12.750000,8.750000,8.750000,6.465749,100
2002-08-27,10.500000,10.500000,8.000000,8.000000,5.911542,300
2002-08-28,9.600000,9.600000,9.450000,9.450000,6.983008,400
2002-08-29,10.450000,10.450000,8.000000,9.100000,6.724380,442
2002-08-30,10.900000,10.900000,7.800000,7.900000,5.837647,1000
2002-09-02,6.450000,6.450000,6.450000,6.450000,4.766180,1
2002-09-03,null,null,null,null,null,null
2002-09-04,5.350000,7.700000,5.350000,7.700000,5.689858,600
2002-09-05,9.250000,9.250000,6.500000,9.250000,6.835219,152
2002-09-06,10.650000,10.650000,10.650000,10.650000,7.869740,1
2002-09-09,null,null,null,null,null,null
2002-09-10,null,null,null,null,null,null
2002-09-11,12.750000,12.750000,8.550000,8.550000,6.317960,400
2002-09-12,7.550000,9.950000,7.550000,8.850000,6.539642,600
2002-09-13,7.100000,9.950000,7.100000,7.750000,5.726805,400
2002-09-16,6.250000,7.500000,6.250000,6.350000,4.692286,3
2002-09-17,5.450000,5.450000,5.450000,5.450000,4.027237,1
2002-09-18,5.000000,6.550000,5.000000,6.550000,4.840075,500
2002-09-19,7.850000,7.850000,7.850000,7.850000,5.800700,1
2002-09-20,9.400000,9.400000,9.400000,9.400000,6.946061,1
2002-09-23,10.850000,10.850000,10.850000,10.850000,8.017529,1
2002-09-24,13.000000,13.000000,8.700000,8.700000,6.428801,78
2002-09-25,10.400000,10.400000,10.400000,10.400000,7.685003,1
2002-09-26,12.400000,12.400000,8.400000,8.400000,6.207117,76
2002-09-27,10.050000,10.050000,7.850000,7.850000,5.800700,51
2002-09-30,9.400000,9.400000,9.400000,9.400000,6.946061,1
2002-10-01,10.150000,10.150000,10.150000,10.150000,7.500268,1
2002-10-02,null,null,null,null,null,null
2002-10-03,12.150000,12.150000,8.150000,9.450000,6.983008,52
2002-10-04,11.300000,11.300000,7.600000,8.700000,6.428801,200
2002-10-07,10.400000,10.400000,7.000000,7.500000,5.542069,300
2002-10-08,9.000000,9.000000,9.000000,9.000000,6.650485,1
2002-10-09,10.700000,10.700000,7.200000,7.200000,5.320387,500
2002-10-10,null,null,null,null,null,null
2002-10-11,5.800000,5.800000,5.800000,5.800000,4.285868,1
2002-10-14,4.750000,4.750000,4.750000,4.750000,3.509978,1
2002-10-15,null,null,null,null,null,null
2002-10-16,null,null,null,null,null,null
