Date,open,high,low,close,adj_close,volume
2002-07-01,10.300000,12.600000,10.300000,11.850000,10.811996,900
2002-07-02,11.300000,12.000000,11.300000,11.750000,10.720756,685
2002-07-03,11.450000,11.900000,11.200000,11.650000,10.629515,1348
2002-07-04,12.500000,12.850000,12.250000,12.700000,11.587540,766
2002-07-05,12.000000,13.000000,12.000000,12.950000,11.815640,946
2002-07-08,13.000000,14.250000,13.000000,13.400000,12.226222,935
2002-07-09,15.000000,15.000000,13.250000,13.800000,12.591185,575
2002-07-10,12.800000,13.400000,12.800000,13.250000,12.089362,1199
2002-07-11,13.250000,15.300000,12.500000,13.200000,12.043741,1191
2002-07-12,13.000000,13.000000,12.000000,12.150000,11.085716,790
2002-07-15,11.250000,11.500000,11.150000,11.500000,10.492654,290
2002-07-16,12.900000,12.900000,11.550000,11.600000,10.583895,245
2002-07-17,11.300000,11.950000,11.300000,11.950000,10.903236,660
2002-07-18,11.200000,11.900000,11.100000,11.900000,10.857615,290
2002-07-19,11.350000,13.750000,11.350000,11.950000,10.903236,484
2002-07-22,11.400000,11.400000,11.350000,11.350000,10.355794,510
2002-07-23,11.400000,12.000000,11.350000,12.000000,10.948856,380
2002-07-24,11.400000,11.400000,10.800000,10.800000,9.853971,440
2002-07-25,11.300000,12.050000,11.100000,12.050000,10.994476,890
2002-07-26,11.000000,12.000000,11.000000,12.000000,10.948856,1090
2002-07-29,10.600000,10.600000,10.300000,10.300000,9.397768,400
2002-07-30,11.250000,11.500000,10.300000,10.950000,9.990830,1194
2002-07-31,11.000000,11.000000,10.500000,10.500000,9.580249,70
2002-08-01,11.950000,12.000000,10.750000,10.750000,9.808350,740
2002-08-02,11.000000,11.000000,11.000000,11.000000,10.036451,100
2002-08-05,11.500000,11.500000,11.500000,11.500000,10.492654,25
2002-08-06,10.100000,11.900000,10.100000,11.900000,10.857615,46
2002-08-07,11.000000,11.000000,11.000000,11.000000,10.036451,70
2002-08-08,10.000000,10.000000,10.000000,10.000000,9.124046,1
2002-08-09,10.400000,11.850000,10.400000,10.600000,9.671490,396
2002-08-12,10.350000,11.750000,10.300000,10.450000,9.534629,582
2002-08-13,null,null,null,null,null,null
2002-08-14,null,null,null,null,null,null
2002-08-15,null,null,null,null,null,null
2002-08-16,null,null,null,null,null,null
2002-08-19,null,null,null,null,null,null
2002-08-20,null,null,null,null,null,null
2002-08-21,null,null,null,null,null,null
2002-08-22,null,null,null,null,null,null
2002-08-23,null,null,null,null,null,null
2002-08-26,10.050000,10.900000,10.050000,10.550000,9.625869,351
2002-08-27,10.400000,11.200000,10.400000,10.700000,9.762730,188
2002-08-28,null,null,null,null,null,null
2002-08-29,10.350000,10.950000,10.300000,10.300000,9.397768,878
2002-08-30,null,null,null,null,null,null
2002-09-02,null,null,null,null,null,null
2002-09-03,null,null,null,null,null,null
2002-09-04,11.800000,11.800000,10.300000,10.300000,9.397768,589
2002-09-05,10.300000,10.900000,10.300000,10.900000,9.945210,274
2002-09-06,null,null,null,null,null,null
2002-09-09,12.250000,12.250000,10.350000,12.100000,11.914559,242
2002-09-10,null,null,null,null,null,null
2002-09-11,null,null,null,null,null,null
2002-09-12,11.050000,11.050000,10.300000,10.900000,10.732950,212
2002-09-13,null,null,null,null,null,null
2002-09-16,12.400000,12.400000,10.300000,10.950000,10.782184,536
2002-09-17,null,null,null,null,null,null
2002-09-18,null,null,null,null,null,null
