Date,open,high,low,close,adj_close,volume
2002-07-01,5.300000,5.300000,4.950000,4.960000,4.212188,59480
2002-07-02,4.935000,5.050000,4.935000,4.960000,4.212188,8760
2002-07-03,5.000000,5.010000,4.925000,4.980000,4.229172,22520
2002-07-04,4.950000,5.000000,4.950000,4.950000,4.203695,27750
2002-07-05,4.950000,5.175000,4.810000,5.090000,4.322587,30420
2002-07-08,5.000000,5.145000,4.950000,5.100000,4.331080,56450
2002-07-09,5.125000,5.140000,5.015000,5.105000,4.335326,22800
2002-07-10,5.010000,5.040000,4.810000,4.825000,4.097541,15270
2002-07-11,4.800000,4.800000,4.515000,4.645000,3.944680,27270
2002-07-12,4.980000,4.980000,4.650000,4.650000,3.948926,8560
2002-07-15,4.700000,4.825000,4.650000,4.750000,4.033849,7080
2002-07-16,4.800000,4.800000,4.670000,4.685000,3.978649,12560
2002-07-17,4.775000,4.775000,4.505000,4.560000,3.872496,10050
2002-07-18,4.795000,4.795000,4.625000,4.780000,4.059327,6600
2002-07-19,4.960000,4.960000,4.520000,4.835000,4.106034,17580
2002-07-22,4.725000,4.725000,4.610000,4.640000,3.940433,3800
2002-07-23,4.875000,4.875000,4.605000,4.800000,4.076311,11940
2002-07-24,4.610000,4.850000,4.610000,4.800000,4.076311,15900
2002-07-25,4.750000,4.900000,4.700000,4.815000,4.089049,10300
2002-07-26,4.680000,4.680000,4.600000,4.600000,3.906465,12050
2002-07-29,4.600000,4.675000,4.550000,4.565000,3.876741,3560
2002-07-30,4.500000,4.900000,4.085000,4.755000,4.038096,37260
2002-07-31,4.800000,5.040000,4.700000,4.940000,4.195203,755320
2002-08-01,4.950000,4.985000,4.850000,4.880000,4.144249,43620
2002-08-02,4.800000,5.100000,4.800000,5.100000,4.331080,62850
2002-08-05,5.135000,5.250000,5.025000,5.170000,4.390526,126080
2002-08-06,5.240000,5.380000,5.215000,5.255000,4.462711,23880
2002-08-07,5.150000,5.290000,5.150000,5.290000,4.492434,7370
2002-08-08,5.000000,5.120000,5.000000,5.100000,4.331080,14850
2002-08-09,5.000000,5.340000,4.815000,5.280000,4.483942,382280
2002-08-12,5.300000,5.765000,5.250000,5.535000,4.700496,290510
2002-08-13,5.700000,5.770000,5.400000,5.435000,4.615572,22190
2002-08-14,5.425000,5.500000,5.200000,5.410000,4.594342,89560
2002-08-15,null,null,null,null,null,null
2002-08-16,5.465000,5.510000,5.310000,5.380000,4.568865,14760
2002-08-19,5.110000,5.320000,5.110000,5.265000,4.471203,2030
2002-08-20,4.910000,5.345000,4.910000,5.155000,4.377788,6180
2002-08-21,5.600000,5.600000,4.950000,5.300000,4.500926,21690
2002-08-22,5.675000,5.675000,5.100000,5.405000,4.590096,227910
2002-08-23,5.550000,5.550000,5.300000,5.395000,4.581603,33590
2002-08-26,5.500000,5.545000,5.400000,5.400000,4.585850,18230
2002-08-27,5.495000,5.665000,5.495000,5.625000,4.776926,70450
2002-08-28,5.600000,5.675000,5.575000,5.645000,4.793912,34710
2002-08-29,6.200000,6.200000,5.600000,5.675000,4.819388,46560
2002-08-30,5.700000,5.785000,5.590000,5.720000,4.857603,45280
2002-09-02,5.500000,5.595000,5.125000,5.510000,4.679265,27220
2002-09-03,5.520000,5.520000,5.415000,5.500000,4.670773,43620
2002-09-04,5.500000,5.595000,5.400000,5.455000,4.632557,17950
2002-09-05,5.590000,5.770000,5.550000,5.705000,4.844865,36230
2002-09-06,5.750000,5.800000,5.680000,5.735000,4.870342,48310
2002-09-09,5.700000,5.800000,5.700000,5.765000,4.895819,18830
2002-09-10,null,null,null,null,null,null
