Date,open,high,low,close,adj_close,volume
2006-04-13,270.000000,308.700012,237.250000,243.449997,195.048996,5023442
2006-04-17,240.000000,292.149994,240.000000,281.250000,225.333878,3202719
2006-04-18,282.000000,285.750000,269.100006,272.950012,218.684036,1343096
2006-04-19,274.000000,284.000000,263.149994,277.950012,222.689941,883327
2006-04-20,281.299988,315.950012,275.600006,306.850006,245.844223,1502644
2006-04-21,308.000000,330.899994,283.799988,320.450012,256.740417,1658143
2006-04-24,317.899994,337.799988,308.000000,318.549988,255.218201,779575
2006-04-25,320.000000,326.000000,305.549988,308.500000,247.166229,251822
2006-04-26,309.399994,322.000000,308.000000,312.350006,250.250732,180272
2006-04-27,314.399994,359.000000,314.399994,335.549988,268.838287,746687
2006-04-28,271.000000,343.000000,270.000000,340.049988,272.443665,257373
2006-05-02,343.000000,364.000000,339.000000,347.299988,278.252258,184973
2006-05-03,348.700012,372.950012,335.000000,348.950012,279.574219,337110
2006-05-04,350.200012,352.399994,333.000000,335.750000,268.998566,91683
2006-05-05,271.500000,345.000000,271.500000,337.250000,270.200317,62604
2006-05-08,335.500000,338.950012,322.000000,326.450012,261.547485,46959
2006-05-09,322.049988,335.000000,315.049988,326.649994,261.707703,44735
2006-05-10,335.000000,352.000000,333.100006,338.950012,271.562378,78478
2006-05-11,335.000000,344.700012,325.049988,330.350006,264.672180,25207
2006-05-12,325.100006,338.000000,322.000000,326.500000,261.587555,67496
2006-05-15,323.000000,330.000000,315.600006,320.049988,256.419952,57125
2006-05-16,320.000000,329.000000,295.649994,322.600006,258.463043,36875
2006-05-17,340.000000,358.000000,326.000000,333.799988,267.436218,231998
2006-05-18,340.000000,340.000000,282.600006,287.649994,230.461441,70658
2006-05-19,295.000000,298.850006,245.000000,256.500000,205.504501,170293
2006-05-22,262.250000,262.250000,216.149994,222.050003,177.903610,33801
2006-05-23,224.000000,256.000000,208.500000,242.699997,194.448105,139957
2006-05-24,260.000000,260.000000,233.050003,237.800003,190.522263,36305
2006-05-25,239.000000,250.000000,235.000000,246.850006,197.773056,12166
2006-05-26,241.000000,259.750000,224.000000,241.199997,193.246353,15608
2006-05-29,242.500000,253.800003,238.100006,241.750000,193.686981,13007
2006-05-30,243.949997,252.000000,240.000000,241.149994,193.206253,11739
2006-05-31,237.000000,237.000000,221.199997,229.300003,183.712234,12816
2006-06-01,232.000000,239.500000,224.000000,225.949997,181.028244,7561
2006-06-02,215.000000,228.000000,212.000000,221.050003,177.102432,25481
2006-06-05,220.000000,223.899994,212.000000,212.699997,170.412506,7084
2006-06-06,202.000000,209.000000,192.500000,199.000000,159.436203,11861
2006-06-07,203.000000,204.000000,172.500000,182.100006,145.896133,24134
2006-06-08,170.000000,200.000000,150.000000,176.649994,141.529709,43564
2006-06-09,169.000000,209.899994,145.000000,186.949997,149.781906,26329
2006-06-12,188.000000,195.000000,175.000000,188.649994,151.143967,30696
2006-06-13,180.000000,185.000000,172.100006,175.649994,140.728470,8403
2006-06-14,200.000000,200.000000,162.000000,174.850006,140.087585,21037
2006-06-15,178.000000,180.000000,170.000000,177.600006,142.290848,11990
2006-06-16,176.000000,193.800003,165.000000,173.750000,139.206268,34475
2006-06-19,175.000000,176.000000,170.000000,171.500000,137.403564,5370
2006-06-20,166.000000,184.000000,166.000000,169.149994,135.520782,7658
2006-06-21,174.699997,179.949997,173.000000,176.649994,141.529709,9349
2006-06-22,179.000000,199.000000,177.899994,187.600006,150.302719,42325
2006-06-23,178.500000,202.000000,178.500000,198.899994,159.356110,26080
2006-06-26,205.750000,213.000000,183.100006,186.699997,149.581650,11372
2006-06-27,193.600006,193.600006,180.000000,185.550003,148.660278,4500
2006-06-28,178.600006,188.800003,178.000000,185.800003,148.860580,3173
2006-06-29,187.000000,190.000000,181.000000,183.649994,147.137955,1678
2006-06-30,187.500000,193.000000,184.500000,188.350006,150.903610,5359
2006-07-03,184.250000,193.000000,183.000000,191.050003,153.066772,7542
2006-07-04,187.000000,204.000000,187.000000,199.550003,159.876923,16447
2006-07-05,201.000000,207.199997,201.000000,203.100006,162.721069,6768
2006-07-06,200.000000,204.949997,198.000000,199.350006,159.716629,2118
2006-07-07,200.000000,202.699997,186.050003,189.850006,152.105423,5802
2006-07-10,189.000000,190.899994,185.600006,186.949997,149.781906,2549
2006-07-11,195.000000,195.000000,186.000000,187.449997,150.182495,1067
2006-07-12,183.100006,187.000000,182.000000,185.600006,148.700256,798
2006-07-13,189.500000,192.000000,187.050003,190.050003,152.265579,1821
2006-07-14,184.050003,193.000000,184.050003,190.750000,152.826431,1948
2006-07-17,191.000000,192.000000,178.000000,182.699997,146.376816,4879
2006-07-18,183.250000,183.250000,175.000000,176.600006,141.489655,3167
2006-07-19,180.000000,180.000000,170.000000,170.949997,136.962921,2517
2006-07-20,174.000000,175.899994,171.000000,172.399994,138.124603,2754
2006-07-21,173.000000,173.000000,167.000000,169.699997,135.961426,1833
2006-07-24,165.000000,176.000000,164.100006,173.300003,138.845749,7714
2006-07-25,168.149994,177.300003,168.149994,171.250000,137.203262,642
2006-07-26,174.750000,175.000000,170.500000,170.550003,136.642471,2225
2006-07-27,172.000000,174.850006,171.550003,171.750000,137.603851,505
2006-07-28,171.500000,174.500000,167.000000,168.600006,135.080170,1601
2006-07-31,171.949997,173.000000,168.000000,169.500000,135.801193,849
2006-08-01,170.699997,171.750000,167.000000,168.899994,135.320511,647
2006-08-02,168.000000,173.000000,168.000000,171.199997,137.163254,1220
2006-08-03,174.300003,179.000000,172.050003,175.199997,140.367981,7507
2006-08-04,176.000000,176.399994,171.449997,171.949997,137.764069,877
2006-08-07,169.500000,185.000000,169.500000,174.399994,139.727020,1793
2006-08-08,175.000000,175.750000,171.600006,174.100006,139.486725,1669
2006-08-09,171.449997,176.750000,171.399994,176.100006,141.089096,1406
2006-08-10,177.800003,189.000000,177.800003,182.399994,146.136520,7050
2006-08-11,188.000000,191.000000,184.250000,187.350006,150.102417,9058
2006-08-14,193.899994,195.000000,190.199997,194.000000,155.430298,7061
2006-08-16,204.000000,204.000000,195.199997,197.800003,158.474869,6744
2006-08-17,204.000000,205.500000,192.100006,196.250000,157.232956,7016
2006-08-18,193.250000,208.000000,193.250000,195.649994,156.752274,10659
2006-08-21,195.000000,198.949997,194.100006,194.500000,155.830887,2400
2006-08-22,199.000000,199.000000,190.699997,193.149994,154.749298,4871
2006-08-23,194.000000,207.000000,189.199997,191.250000,153.227066,70066
2006-08-24,190.000000,201.199997,190.000000,196.699997,157.593506,31340
2006-08-25,202.000000,202.000000,193.100006,194.600006,155.911026,7522
2006-08-28,200.000000,200.000000,195.050003,196.050003,157.072754,3424
2006-08-29,197.000000,199.699997,193.500000,194.399994,155.750763,5288
2006-08-30,194.250000,197.000000,190.100006,191.949997,154.983719,7880
2006-08-31,193.000000,193.949997,186.050003,187.899994,151.713669,4737
2006-09-01,187.199997,191.500000,185.500000,187.050003,151.027420,3286
2006-09-04,182.000000,192.600006,182.000000,187.899994,151.713669,3484
2006-09-05,191.949997,192.000000,184.100006,186.250000,150.381500,4530
2006-09-06,188.000000,188.000000,183.699997,184.100006,148.645493,6513
2006-09-07,184.100006,199.800003,183.100006,194.000000,156.638916,75737
2006-09-08,195.000000,204.449997,194.000000,199.800003,161.321930,38061
2006-09-11,204.850006,204.850006,191.050003,192.000000,155.024109,8276
2006-09-12,190.000000,193.000000,187.000000,190.449997,153.772614,2487
2006-09-13,196.750000,199.000000,192.250000,196.649994,158.778595,6949
2006-09-14,197.899994,198.750000,196.000000,196.000000,158.253784,4122
2006-09-15,195.500000,197.750000,195.000000,195.300003,157.688583,2352
2006-09-18,198.800003,198.800003,193.100006,193.649994,156.356339,2665
2006-09-19,194.500000,195.449997,188.000000,190.449997,153.772614,1313
2006-09-20,187.050003,194.899994,187.050003,191.350006,154.499252,1890
2006-09-21,200.000000,200.000000,189.800003,191.149994,154.337814,1793
2006-09-22,187.000000,193.500000,187.000000,190.699997,153.974396,3132
2006-09-25,189.000000,192.000000,188.000000,188.350006,152.076996,1777
2006-09-26,187.800003,189.949997,187.199997,188.449997,152.157745,2345
2006-09-27,190.100006,194.949997,186.000000,188.000000,151.794418,1690
2006-09-28,188.000000,192.000000,187.100006,190.300003,153.651489,1926
2006-09-29,194.000000,199.899994,185.000000,186.699997,150.744797,26393
2006-10-03,192.000000,195.500000,187.100006,188.399994,152.117416,33280
2006-10-04,190.000000,195.750000,190.000000,192.350006,155.306686,17597
2006-10-05,194.000000,198.000000,190.199997,196.949997,159.020813,12553
2006-10-06,198.949997,236.350006,196.199997,236.350006,190.833069,238117
2006-10-09,241.000000,247.850006,230.550003,233.350006,188.410828,352849
2006-10-10,236.000000,236.699997,226.199997,227.500000,183.687408,117487
2006-10-11,233.399994,238.750000,221.000000,222.600006,179.731094,127429
2006-10-12,223.000000,239.899994,222.600006,234.300003,189.177856,72495
2006-10-13,241.750000,270.350006,238.000000,261.899994,211.462540,326492
2006-10-16,263.000000,266.850006,249.000000,252.050003,203.509491,188285
2006-10-17,253.800003,262.000000,242.699997,246.500000,199.028336,88925
2006-10-18,246.800003,255.000000,244.050003,245.800003,198.463104,24832
2006-10-19,249.800003,254.300003,240.000000,241.899994,195.314240,27793
2006-10-20,243.000000,248.399994,239.000000,239.899994,193.699371,13977
2006-10-23,241.000000,243.800003,230.500000,232.949997,188.087799,6672
2006-10-26,235.050003,238.800003,230.199997,232.199997,187.482254,11256
2006-10-27,234.100006,257.000000,234.100006,245.149994,197.938370,33943
2006-10-30,245.000000,253.899994,241.000000,241.949997,195.354584,15156
2006-10-31,245.800003,260.500000,245.000000,254.949997,205.851013,71557
2006-11-01,250.000000,274.899994,250.000000,268.549988,216.831879,154721
2006-11-02,268.000000,270.000000,256.049988,257.299988,207.748444,17654
2006-11-03,255.000000,263.950012,252.199997,253.699997,204.841721,8626
2006-11-06,258.899994,260.000000,252.500000,253.100006,204.357285,6481
2006-11-07,259.000000,259.000000,246.050003,247.800003,200.078033,13679
2006-11-08,248.500000,252.000000,235.100006,238.449997,192.528595,7462
2006-11-09,242.000000,251.000000,241.500000,243.500000,196.606094,8917
2006-11-10,244.699997,252.000000,243.000000,245.500000,198.220917,7741
2006-11-13,250.000000,250.949997,246.050003,246.800003,199.270569,3545
2006-11-14,249.000000,249.000000,235.500000,243.350006,196.484970,4497
2006-11-15,248.600006,248.600006,238.000000,239.100006,193.053467,5359
2006-11-16,244.000000,246.449997,235.000000,236.399994,190.873413,3403
2006-11-17,240.000000,241.399994,232.000000,232.850006,188.007050,4761
2006-11-20,230.000000,234.949997,227.100006,230.949997,186.473053,4974
2006-11-21,233.000000,255.000000,233.000000,239.850006,193.659012,22687
2006-11-22,242.000000,246.000000,237.250000,239.000000,192.972717,6099
2006-11-23,249.000000,260.000000,235.399994,240.250000,193.981979,4960
2006-11-24,241.800003,242.000000,233.000000,234.949997,189.702652,2994
2006-11-27,237.000000,241.500000,233.000000,234.250000,189.137497,4738
2006-11-28,234.000000,248.000000,231.000000,234.350006,189.218246,13923
2006-11-29,240.000000,241.000000,232.500000,233.750000,188.733765,3632
2006-11-30,242.000000,243.000000,230.000000,231.199997,186.674850,3973
2006-12-01,229.000000,234.800003,229.000000,229.750000,185.504059,5572
2006-12-04,235.050003,238.000000,228.600006,233.350006,188.410828,3920
2006-12-05,235.000000,236.449997,227.600006,229.199997,185.060013,2491
2006-12-06,232.000000,232.000000,225.050003,225.649994,182.193665,2796
2006-12-07,233.949997,234.000000,225.050003,227.250000,183.485550,2784
2006-12-08,227.000000,229.899994,224.000000,224.050003,180.901779,3725
2006-12-11,223.000000,224.000000,215.100006,218.850006,176.703323,4428
2006-12-12,233.949997,233.949997,209.000000,210.750000,170.163132,6022
2006-12-13,214.000000,220.000000,205.600006,215.100006,173.675385,3548
2006-12-14,216.000000,225.000000,214.000000,217.199997,175.371048,4948
2006-12-15,225.500000,225.500000,215.199997,216.050003,174.442505,1456
2006-12-18,210.000000,215.899994,210.000000,213.199997,172.141388,1222
2006-12-19,215.000000,217.000000,211.000000,216.050003,174.442505,1059
2006-12-20,215.100006,219.949997,210.000000,211.800003,171.010941,2513
2006-12-21,213.000000,217.199997,210.100006,214.449997,173.150604,1613
2006-12-22,214.000000,217.899994,210.000000,210.899994,170.284286,4995
