Date,open,high,low,close,adj_close,volume
2007-03-16,8.500000,9.340000,8.000000,8.310000,4.043317,1430135
2007-03-19,8.520000,8.600000,7.400000,7.740000,3.765977,94415
2007-03-20,8.000000,9.260000,7.040000,7.640000,3.717322,100500
2007-03-21,7.700000,7.880000,6.850000,7.230000,3.517832,85000
2007-03-22,6.800000,7.600000,6.800000,7.210000,3.508101,97700
2007-03-23,6.880000,7.380000,6.880000,7.250000,3.527563,36380
2007-03-26,7.200000,7.220000,6.540000,6.720000,3.269686,26000
2007-03-28,6.550000,6.600000,6.480000,6.490000,3.157777,95500
2007-03-29,6.800000,6.800000,6.510000,6.610000,3.216165,9000
2007-03-30,6.500000,6.800000,6.400000,6.700000,3.259955,15235
2007-04-02,6.410000,6.600000,5.400000,6.490000,3.157777,40500
2007-04-03,6.500000,6.660000,6.370000,6.550000,3.186971,11000
2007-04-04,6.800000,6.800000,6.510000,6.550000,3.186971,3500
2007-04-05,6.590000,6.590000,6.100000,6.290000,3.060465,15500
2007-04-09,6.500000,6.760000,6.380000,6.660000,3.240493,5550
2007-04-10,6.910000,6.930000,5.800000,6.510000,3.167508,32500
2007-04-11,6.600000,6.770000,6.600000,6.620000,3.221030,19000
2007-04-12,6.600000,6.780000,6.600000,6.780000,3.298879,5895
2007-04-13,6.940000,7.000000,6.740000,6.960000,3.386460,600
2007-04-16,7.120000,7.120000,6.810000,6.860000,3.337805,5960
2007-04-17,6.640000,6.900000,6.640000,6.750000,3.284283,4000
2007-04-18,6.750000,6.800000,6.750000,6.800000,3.308611,615
2007-04-19,6.750000,6.750000,6.750000,6.750000,3.284283,5500
2007-04-20,6.750000,7.090000,6.750000,6.750000,3.284283,3980
2007-04-23,6.710000,6.710000,6.710000,6.710000,3.264821,200
2007-04-24,6.710000,7.000000,6.420000,6.710000,3.264821,4000
2007-04-25,6.700000,7.300000,6.700000,7.170000,3.488638,18000
2007-04-26,7.200000,7.200000,6.800000,6.900000,3.357266,3705
2007-04-27,6.950000,6.950000,6.720000,6.720000,3.269686,3250
2007-04-30,6.600000,6.600000,6.600000,6.600000,3.211298,500
2007-05-03,7.050000,7.140000,6.700000,6.700000,3.259955,7500
2007-05-04,6.640000,6.800000,6.640000,6.780000,3.298879,7000
2007-05-07,6.700000,6.800000,6.510000,6.620000,3.221030,10000
2007-05-08,6.740000,6.740000,6.740000,6.740000,3.279417,500
2007-05-09,6.500000,7.300000,6.300000,6.620000,3.221030,6000
