Date,open,high,low,close,adj_close,volume
2008-08-01,11.464400,11.464400,2.470770,5.435700,5.435700,6302284
2008-08-04,4.941540,5.238030,4.645050,4.793300,4.793300,675088
2008-08-05,4.892130,5.238030,4.249730,4.447390,4.447390,383585
2008-08-06,4.496800,4.743880,4.249730,4.299140,4.299140,311239
2008-08-07,4.546220,4.546220,3.854400,3.903820,3.903820,349891
2008-08-08,3.953230,3.953230,3.607330,3.953230,3.953230,336130
2008-08-11,3.953230,4.150890,3.854400,3.903820,3.903820,107052
2008-08-12,3.804990,3.903820,3.656740,3.755570,3.755570,163490
2008-08-13,3.755570,3.804990,3.508490,3.508490,3.508490,255210
2008-08-14,3.903820,4.101480,3.162590,3.755570,3.755570,380537
2008-08-18,3.854400,4.002650,3.656740,3.755570,3.755570,207931
2008-08-19,3.854400,3.854400,3.607330,3.755570,3.755570,86017
2008-08-20,3.656740,3.903820,3.508490,3.656740,3.656740,104439
2008-08-21,3.953230,3.953230,3.459080,3.508490,3.508490,94716
2008-08-22,3.459080,3.607330,3.360250,3.508490,3.508490,108772
2008-08-25,3.706160,3.706160,3.459080,3.459080,3.459080,46179
2008-08-26,3.459080,3.459080,3.310830,3.360250,3.360250,38526
2008-08-27,3.459080,3.459080,3.310830,3.310830,3.310830,43225
2008-08-28,3.360250,3.459080,3.261420,3.310830,3.310830,42630
2008-08-29,3.804990,3.804990,3.063760,3.310830,3.310830,55119
2008-09-01,3.656740,3.656740,3.162590,3.261420,3.261420,74707
2008-09-02,3.212000,3.459080,3.212000,3.360250,3.360250,128301
2008-09-04,3.261420,3.409660,3.261420,3.310830,3.310830,42598
2008-09-05,3.459080,3.459080,2.767260,3.212000,3.212000,35819
2008-09-08,3.607330,3.755570,3.261420,3.310830,3.310830,35381
2008-09-09,3.360250,3.409660,3.212000,3.310830,3.310830,31164
2008-09-10,3.162590,3.360250,3.162590,3.261420,3.261420,35753
2008-09-11,3.212000,3.360250,3.063760,3.212000,3.212000,47648
2008-09-12,3.459080,3.459080,3.113170,3.113170,3.113170,45509
2008-09-15,2.964920,3.063760,2.767260,2.964920,2.964920,50490
2008-09-16,2.866090,2.964920,2.619020,2.816680,2.816680,64889
2008-09-17,2.816680,2.816680,2.668430,2.717850,2.717850,33390
2008-09-18,2.717850,2.717850,2.569600,2.668430,2.668430,39098
2008-09-19,2.964920,2.964920,2.717850,2.767260,2.767260,27118
2008-09-22,2.915510,2.915510,2.668430,2.767260,2.767260,53568
2008-09-23,2.717850,2.816680,2.668430,2.767260,2.767260,34503
2008-09-24,2.619020,2.816680,2.619020,2.717850,2.717850,18921
2008-09-25,2.767260,2.767260,2.520190,2.569600,2.569600,58787
2008-09-26,2.767260,2.767260,2.223690,2.371940,2.371940,51300
2008-09-29,2.322520,2.371940,2.075450,2.273110,2.273110,39967
2008-09-30,2.371940,2.371940,1.828370,2.223690,2.223690,43812
2008-10-01,2.421360,2.421360,2.124860,2.273110,2.273110,50592
2008-10-03,2.322520,2.619020,2.174280,2.273110,2.273110,91654
2008-10-06,2.273110,2.322520,1.976620,1.976620,1.976620,65718
2008-10-07,1.976620,2.174280,1.581290,1.680120,1.680120,160679
2008-10-08,1.630710,1.680120,1.383630,1.581290,1.581290,161134
2008-10-10,1.680120,1.877790,1.433050,1.877790,1.877790,148551
2008-10-13,1.877790,2.124860,1.581290,1.927200,1.927200,103932
2008-10-14,2.223690,2.273110,1.877790,1.927200,1.927200,129674
2008-10-15,1.729540,2.075450,1.729540,1.927200,1.927200,76899
2008-10-16,1.828370,1.828370,1.630710,1.729540,1.729540,55794
2008-10-17,2.026030,2.026030,1.729540,1.828370,1.828370,39768
2008-10-20,1.630710,1.927200,1.630710,1.877790,1.877790,65769
2008-10-21,1.778950,1.976620,1.729540,1.828370,1.828370,154920
2008-10-22,1.828370,1.927200,1.729540,1.778950,1.778950,207931
2008-10-23,1.877790,1.877790,1.680120,1.680120,1.680120,109154
2008-10-24,1.680120,1.729540,1.581290,1.630710,1.630710,103611
2008-10-27,1.531880,1.877790,1.433050,1.729540,1.729540,191886
2008-10-29,1.680120,2.075450,1.680120,1.729540,1.729540,210194
2008-10-31,1.877790,1.927200,1.680120,1.927200,1.927200,207324
2008-11-03,1.828370,1.976620,1.581290,1.828370,1.828370,106500
2008-11-04,1.729540,1.877790,1.680120,1.778950,1.778950,145400
2008-11-05,1.927200,1.927200,1.729540,1.729540,1.729540,32986
2008-11-06,1.729540,1.828370,1.729540,1.778950,1.778950,29949
2008-11-07,1.877790,1.877790,1.680120,1.778950,1.778950,66072
2008-11-10,1.828370,1.828370,1.680120,1.828370,1.828370,9612
2008-11-11,1.680120,1.778950,1.680120,1.729540,1.729540,10827
2008-11-12,1.778950,1.778950,1.433050,1.531880,1.531880,209111
2008-11-14,1.630710,1.630710,1.433050,1.531880,1.531880,94808
2008-11-17,1.482460,1.630710,1.482460,1.531880,1.531880,17808
2008-11-18,1.482460,1.581290,1.482460,1.531880,1.531880,15886
2008-11-19,1.630710,1.630710,1.482460,1.482460,1.482460,40574
2008-11-20,1.531880,1.531880,1.383630,1.531880,1.531880,52109
2008-11-21,1.482460,1.531880,1.235390,1.531880,1.531880,36527
2008-11-24,1.581290,1.581290,1.482460,1.581290,1.581290,11737
2008-11-25,1.630710,1.630710,1.433050,1.482460,1.482460,36128
2008-11-26,1.581290,1.630710,1.433050,1.581290,1.581290,25789
2008-11-27,null,null,null,null,null,null
2008-11-28,1.630710,1.877790,1.531880,1.778950,1.778950,26004
2008-12-01,1.581290,1.828370,1.581290,1.680120,1.680120,8702
2008-12-02,1.581290,1.828370,1.581290,1.630710,1.630710,6199
2008-12-03,1.778950,1.778950,1.581290,1.680120,1.680120,12142
2008-12-04,1.531880,1.778950,1.531880,1.729540,1.729540,21046
2008-12-05,1.729540,1.828370,1.630710,1.778950,1.778950,16695
2008-12-08,1.778950,1.877790,1.630710,1.778950,1.778950,25840
2008-12-10,1.877790,1.877790,1.630710,1.828370,1.828370,46325
2008-12-11,1.927200,1.927200,1.729540,1.729540,1.729540,6338
2008-12-12,1.729540,1.976620,1.729540,1.828370,1.828370,18258
2008-12-15,1.877790,1.877790,1.877790,1.927200,1.927200,607
2008-12-16,1.828370,1.927200,1.778950,1.927200,1.927200,6071
2008-12-17,1.927200,1.927200,1.828370,1.927200,1.927200,6982
2008-12-18,1.778950,1.927200,1.778950,1.778950,1.778950,3339
2008-12-19,1.729540,1.877790,1.729540,1.778950,1.778950,10118
2008-12-22,1.729540,1.877790,1.729540,1.927200,1.927200,13457
2008-12-23,1.778950,1.778950,1.680120,1.729540,1.729540,19933
2008-12-24,1.680120,1.729540,1.680120,1.927200,1.927200,14166
2008-12-26,1.778950,1.778950,1.630710,1.927200,1.927200,1720
2008-12-29,1.680120,1.729540,1.680120,1.927200,1.927200,10422
2008-12-30,1.630710,1.778950,1.630710,1.927200,1.927200,13053
2008-12-31,1.729540,1.778950,1.680120,1.927200,1.927200,20641
2009-01-02,1.680120,1.778950,1.680120,1.927200,1.927200,19124
2009-01-05,1.729540,1.877790,1.729540,1.927200,1.927200,6779
2009-01-06,1.729540,1.828370,1.680120,1.729540,1.729540,12243
2009-01-07,1.729540,1.778950,1.680120,1.927200,1.927200,27016
2009-01-09,1.680120,1.778950,1.630710,1.927200,1.927200,71132
2009-01-12,1.729540,1.729540,1.729540,1.927200,1.927200,1012
2009-01-13,1.729540,1.729540,1.680120,1.927200,1.927200,506
2009-01-14,1.778950,1.778950,1.630710,1.680120,1.680120,5363
2009-01-15,1.630710,1.630710,1.630710,1.927200,1.927200,5565
2009-01-16,1.680120,1.680120,1.581290,1.927200,1.927200,7589
2009-01-19,1.581290,1.680120,1.531880,1.581290,1.581290,24385
2009-01-20,1.531880,1.581290,1.531880,1.927200,1.927200,13255
2009-01-21,1.630710,1.630710,1.581290,1.927200,1.927200,22463
2009-01-22,1.581290,1.581290,1.531880,1.927200,1.927200,14469
2009-01-23,1.531880,1.581290,1.482460,1.531880,1.531880,2833
2009-01-27,1.482460,1.581290,1.482460,1.531880,1.531880,22361
2009-01-28,1.581290,1.581290,1.482460,1.927200,1.927200,405
2009-01-29,1.531880,1.630710,1.531880,1.927200,1.927200,41687
2009-01-30,1.581290,1.581290,1.482460,1.531880,1.531880,20743
2009-02-02,1.482460,1.581290,1.482460,1.482460,1.482460,7184
2009-02-03,1.531880,1.531880,1.433050,1.927200,1.927200,10017
2009-02-04,1.433050,1.482460,1.383630,1.433050,1.433050,16796
2009-02-05,1.383630,1.482460,1.383630,1.433050,1.433050,14874
2009-02-06,1.482460,1.482460,1.383630,1.433050,1.433050,12547
2009-02-09,1.433050,1.531880,1.433050,1.927200,1.927200,32075
2009-02-10,1.581290,1.630710,1.482460,1.927200,1.927200,7993
2009-02-11,1.630710,1.680120,1.531880,1.581290,1.581290,6678
2009-02-12,1.680120,1.680120,1.581290,1.630710,1.630710,6880
2009-02-13,1.531880,1.680120,1.531880,1.927200,1.927200,17302
2009-02-16,1.630710,1.729540,1.581290,1.927200,1.927200,6577
