Date,open,high,low,close,adj_close,volume
2006-11-27,27.000000,29.000000,24.000000,24.139999,24.139999,193425960
2006-11-28,23.500000,24.135000,22.400000,23.420000,23.420000,53525380
2006-11-29,23.615000,27.065001,23.600000,26.650000,26.650000,186538570
2006-11-30,27.500000,27.584999,25.625000,26.100000,26.100000,78339490
2006-12-01,26.200001,27.000000,26.105000,26.254999,26.254999,35823300
2006-12-04,26.400000,27.184999,25.809999,26.639999,26.639999,42204650
2006-12-05,26.860001,27.180000,26.000000,26.170000,26.170000,32693700
2006-12-06,26.200001,26.645000,25.000000,25.184999,25.184999,33596540
2006-12-07,25.000000,25.469999,24.190001,24.670000,24.670000,26888360
2006-12-08,24.700001,25.469999,23.780001,24.820000,24.820000,29704180
2006-12-11,25.020000,25.180000,23.330000,23.955000,23.955000,23353270
2006-12-12,23.955000,24.840000,21.799999,22.775000,22.775000,28756510
2006-12-13,23.059999,23.500000,21.700001,23.165001,23.165001,23277800
2006-12-14,23.500000,24.670000,23.299999,24.315001,24.315001,15024850
2006-12-15,24.700001,25.094999,24.475000,24.520000,24.520000,11824060
2006-12-18,24.700001,26.770000,23.905001,26.180000,26.180000,47448590
2006-12-19,26.469999,27.059999,24.855000,25.115000,25.115000,49036210
2006-12-20,25.400000,25.740000,24.254999,24.385000,24.385000,24489830
2006-12-21,24.629999,25.200001,23.809999,24.695000,24.695000,16568220
2006-12-22,24.750000,25.170000,24.455000,25.010000,25.010000,12231510
2006-12-26,25.200001,25.590000,25.000000,25.129999,25.129999,8646630
2006-12-27,25.375000,25.840000,25.254999,25.549999,25.549999,14535840
2006-12-28,25.830000,25.865000,24.799999,24.969999,24.969999,12227540
2006-12-29,25.500000,25.775000,25.250000,25.375000,25.375000,14502610
2007-01-02,25.469999,26.180000,25.254999,25.940001,25.940001,9892720
2007-01-03,26.299999,26.500000,25.700001,26.405001,26.405001,19383930
2007-01-04,26.590000,26.650000,25.754999,25.850000,25.850000,9066350
2007-01-05,26.000000,26.480000,24.900000,25.275000,25.275000,14341190
2007-01-08,25.129999,25.290001,24.665001,24.770000,24.770000,8118570
2007-01-09,24.900000,25.389999,24.315001,24.549999,24.549999,7170160
2007-01-10,24.590000,25.600000,24.000000,24.084999,24.084999,5456100
2007-01-11,24.100000,24.580000,23.650000,24.434999,24.434999,5447090
2007-01-12,24.510000,24.885000,24.270000,24.370001,24.370001,2170300
2007-01-15,24.770000,25.049999,24.325001,24.795000,24.795000,4087230
2007-01-16,24.850000,25.000000,24.400000,24.440001,24.440001,2006960
2007-01-17,24.500000,24.844999,24.225000,24.355000,24.355000,2333270
2007-01-18,24.355000,24.889999,24.000000,24.195000,24.195000,3583590
2007-01-19,24.400000,24.430000,23.910000,24.094999,24.094999,2939400
2007-01-22,24.195000,24.290001,23.799999,23.885000,23.885000,1930820
2007-01-23,23.889999,24.350000,23.705000,23.905001,23.905001,3362390
2007-01-24,23.950001,24.180000,23.525000,23.665001,23.665001,2939390
2007-01-25,23.799999,23.900000,23.400000,23.565001,23.565001,8413900
2007-01-29,23.600000,23.875000,23.514999,23.725000,23.725000,4338830
2007-01-31,23.950001,24.000000,23.375000,23.570000,23.570000,3445700
2007-02-01,23.799999,23.990000,23.424999,23.530001,23.530001,1810480
2007-02-02,23.850000,24.600000,23.700001,24.475000,24.475000,11983730
2007-02-05,25.400000,25.400000,24.200001,24.485001,24.485001,9709430
2007-02-06,24.670000,24.990000,24.260000,24.360001,24.360001,4489940
2007-02-07,24.540001,24.540001,23.660000,23.750000,23.750000,4015470
2007-02-08,23.840000,23.840000,22.799999,22.895000,22.895000,5978470
2007-02-09,23.100000,23.100000,21.000000,21.575001,21.575001,6788450
2007-02-12,21.600000,21.600000,18.860001,19.080000,19.080000,9153480
2007-02-13,19.094999,20.190001,18.610001,19.565001,19.565001,12177870
2007-02-14,19.299999,20.500000,18.615000,20.219999,20.219999,7872160
2007-02-15,20.719999,21.400000,20.520000,21.195000,21.195000,5002940
2007-02-19,21.469999,21.469999,20.385000,20.559999,20.559999,2339950
2007-02-20,20.700001,20.700001,19.965000,20.195000,20.195000,5537530
2007-02-21,20.200001,20.490000,19.799999,19.959999,19.959999,4244870
2007-02-22,19.980000,20.150000,18.955000,19.000000,19.000000,13329750
2007-02-23,19.004999,19.440001,18.004999,18.309999,18.309999,8622510
2007-02-26,18.400000,19.100000,17.500000,18.795000,18.795000,6357780
2007-02-27,19.200001,19.424999,18.799999,19.014999,19.014999,4159410
2007-02-28,18.110001,18.834999,16.235001,18.010000,18.010000,11566510
2007-03-01,18.014999,18.610001,17.700001,18.490000,18.490000,6874360
2007-03-02,18.490000,18.600000,18.070000,18.424999,18.424999,10421190
2007-03-05,18.000000,18.190001,17.455000,17.900000,17.900000,11199250
2007-03-06,18.969999,18.969999,16.500000,17.590000,17.590000,6287040
2007-03-07,18.000000,18.000000,16.514999,17.055000,17.055000,6178570
2007-03-08,17.200001,17.549999,16.355000,17.330000,17.330000,3566860
2007-03-09,17.400000,17.795000,16.900000,17.125000,17.125000,4381800
2007-03-12,17.290001,17.780001,16.799999,17.565001,17.565001,2608320
2007-03-13,17.400000,19.695000,17.400000,19.420000,19.420000,8538990
2007-03-14,18.500000,18.924999,17.639999,17.840000,17.840000,8182820
2007-03-15,18.299999,18.490000,17.500000,17.629999,17.629999,2851050
2007-03-16,17.650000,17.940001,16.920000,17.040001,17.040001,2505740
2007-03-19,17.100000,17.195000,16.629999,16.795000,16.795000,2935240
2007-03-20,17.000000,17.580000,16.950001,17.200001,17.200001,3355410
2007-03-21,17.389999,17.700001,17.250000,17.545000,17.545000,4179080
2007-03-22,18.924999,18.924999,17.400000,17.629999,17.629999,3038340
2007-03-23,17.650000,17.650000,17.049999,17.150000,17.150000,2160580
2007-03-26,16.799999,17.480000,16.799999,17.219999,17.219999,3869650
2007-03-28,16.900000,17.155001,16.799999,16.995001,16.995001,3486150
2007-03-29,16.930000,17.125000,15.965000,16.184999,16.184999,7102540
2007-03-30,16.299999,16.549999,15.800000,15.860000,15.860000,4353370
2007-04-02,15.860000,15.860000,14.605000,14.800000,14.800000,3057020
