Date,open,high,low,close,adj_close,volume
2002-08-12,37.900002,37.950001,37.200001,37.650002,37.650002,99100
2002-08-13,37.750000,38.400002,37.500000,37.700001,37.700001,78500
2002-08-14,37.400002,37.450001,36.599998,36.799999,36.799999,60900
2002-08-15,null,null,null,null,null,null
2002-08-16,37.150002,37.799999,37.150002,37.500000,37.500000,75400
2002-08-19,37.000000,37.750000,36.599998,36.900002,36.900002,52200
2002-08-20,37.500000,39.250000,36.400002,38.250000,38.250000,185600
2002-08-21,38.400002,38.900002,37.599998,37.950001,37.950001,65800
2002-08-22,38.000000,38.349998,37.000000,37.150002,37.150002,31700
2002-08-23,37.150002,38.450001,36.849998,37.950001,37.950001,77900
2002-08-26,38.200001,38.450001,37.750000,37.950001,37.950001,61200
2002-08-27,37.500000,38.500000,37.500000,37.650002,37.650002,44900
2002-08-28,36.500000,37.500000,36.349998,36.650002,36.650002,36100
2002-08-29,36.900002,37.750000,36.500000,37.450001,37.450001,65500
2002-08-30,38.700001,38.700001,37.700001,37.950001,37.950001,90400
2002-09-02,38.450001,38.599998,38.000000,38.150002,38.150002,51600
2002-09-03,38.150002,38.799999,37.750000,38.000000,38.000000,56200
2002-09-04,38.000000,38.299999,37.500000,38.000000,38.000000,43200
2002-09-05,37.549999,38.750000,37.549999,38.099998,38.099998,86600
2002-09-06,37.549999,38.000000,34.500000,35.700001,35.700001,162500
2002-09-09,36.500000,36.700001,35.000000,35.799999,35.799999,66400
2002-09-10,null,null,null,null,null,null
2002-09-11,36.450001,36.750000,35.799999,36.000000,36.000000,26300
2002-09-12,35.599998,36.900002,35.400002,36.049999,36.049999,22600
2002-09-13,35.500000,43.250000,35.500000,40.549999,40.549999,1176800
2002-09-16,41.299999,43.400002,39.200001,40.349998,40.349998,599000
2002-09-17,42.000000,42.000000,40.150002,40.500000,40.500000,176200
2002-09-18,40.900002,42.700001,40.349998,40.950001,40.950001,262700
2002-09-19,41.900002,42.099998,39.549999,40.099998,40.099998,158200
2002-09-20,38.799999,39.799999,38.650002,39.349998,39.349998,99500
2002-09-23,40.400002,40.599998,38.599998,39.000000,39.000000,74700
2002-09-24,39.000000,39.000000,37.650002,38.500000,38.500000,80600
2002-09-25,37.599998,38.150002,37.599998,37.849998,37.849998,50100
2002-09-26,38.450001,41.700001,38.049999,39.450001,39.450001,289100
2002-09-27,39.900002,41.000000,39.650002,40.200001,40.200001,194300
2002-09-30,40.500000,40.849998,38.750000,38.950001,38.950001,86500
2002-10-01,39.099998,40.799999,38.750000,39.099998,39.099998,107200
2002-10-02,null,null,null,null,null,null
2002-10-03,39.150002,39.450001,38.299999,38.549999,38.549999,41800
2002-10-04,39.200001,39.950001,38.099998,38.799999,38.799999,110200
2002-10-07,39.000000,39.799999,38.250000,39.000000,39.000000,50500
2002-10-08,39.250000,39.700001,38.799999,39.000000,39.000000,39300
2002-10-09,39.349998,40.950001,39.250000,39.549999,39.549999,145600
2002-10-10,39.849998,40.150002,38.500000,39.000000,39.000000,56600
2002-10-11,39.599998,39.700001,38.400002,38.650002,38.650002,45400
2002-10-14,39.200001,39.500000,38.700001,38.849998,38.849998,34600
2002-10-15,null,null,null,null,null,null
2002-10-16,39.799999,40.700001,38.000000,39.549999,39.549999,160500
2002-10-17,39.849998,39.900002,38.849998,39.299999,39.299999,40900
2002-10-18,39.950001,39.950001,38.849998,39.000000,39.000000,140700
2002-10-21,39.500000,39.599998,37.950001,38.099998,38.099998,103900
2002-10-22,38.799999,38.799999,36.750000,37.150002,37.150002,64200
2002-10-23,37.250000,37.650002,36.700001,37.250000,37.250000,51300
2002-10-24,37.500000,37.700001,36.250000,37.299999,37.299999,42600
2002-10-25,36.599998,37.500000,36.299999,36.599998,36.599998,40400
2002-10-28,36.799999,36.799999,35.799999,36.299999,36.299999,40000
2002-10-29,36.500000,37.700001,36.250000,37.150002,37.150002,66800
2002-10-30,37.200001,37.900002,37.000000,37.099998,37.099998,22800
2002-10-31,36.549999,37.900002,36.500000,36.700001,36.700001,40800
2002-11-01,37.450001,38.400002,35.900002,36.299999,36.299999,160600
2002-11-04,37.700001,38.400002,36.599998,37.150002,37.150002,59600
2002-11-05,37.349998,37.450001,36.500000,36.750000,36.750000,29600
2002-11-06,null,null,null,null,null,null
2002-11-07,37.000000,37.200001,36.200001,36.400002,36.400002,37700
2002-11-08,36.200001,37.150002,36.200001,36.549999,36.549999,43400
2002-11-11,36.750000,36.750000,36.299999,36.450001,36.450001,26700
2002-11-12,36.650002,36.700001,36.099998,36.450001,36.450001,19500
2002-11-13,36.549999,36.849998,36.250000,36.549999,36.549999,24000
2002-11-14,36.750000,36.750000,36.250000,36.299999,36.299999,14500
2002-11-15,36.099998,37.000000,36.099998,36.700001,36.700001,52100
2002-11-18,36.799999,38.900002,36.500000,38.000000,38.000000,67500
2002-11-19,null,null,null,null,null,null
2002-11-20,38.500000,38.900002,38.099998,38.599998,38.599998,68200
2002-11-21,38.950001,41.400002,38.799999,40.549999,40.549999,273900
2002-11-22,41.000000,42.799999,39.500000,40.049999,40.049999,107600
2002-11-25,39.250000,40.000000,38.599998,39.000000,39.000000,111500
2002-11-26,40.000000,42.200001,39.099998,41.349998,41.349998,561200
2002-11-27,41.599998,42.000000,39.250000,39.849998,39.849998,318600
2002-11-28,40.500000,40.750000,38.450001,38.849998,38.849998,299700
2002-11-29,null,null,null,null,null,null
2002-12-02,39.849998,41.750000,39.799999,41.099998,41.099998,556500
2002-12-03,41.950001,41.950001,40.049999,40.200001,40.200001,300900
2002-12-04,39.849998,40.099998,39.250000,39.500000,39.500000,88000
2002-12-05,40.000000,40.700001,39.150002,39.299999,39.299999,115900
2002-12-06,40.000000,40.250000,39.200001,39.450001,39.450001,92900
2002-12-09,41.799999,41.900002,38.000000,38.200001,38.200001,134800
2002-12-10,38.299999,38.900002,38.000000,38.450001,38.450001,66100
2002-12-11,39.500000,39.500000,37.049999,37.349998,37.349998,76600
2002-12-12,37.750000,38.799999,37.299999,38.000000,38.000000,101800
2002-12-13,38.000000,38.200001,37.599998,37.900002,37.900002,44000
2002-12-16,38.750000,38.750000,37.099998,37.250000,37.250000,64200
2002-12-17,37.799999,37.849998,36.900002,36.950001,36.950001,44700
2002-12-18,37.250000,37.250000,36.500000,36.599998,36.599998,53600
2002-12-19,36.799999,38.000000,36.500000,37.250000,37.250000,84000
2002-12-20,37.750000,37.750000,36.650002,36.799999,36.799999,41200
2002-12-23,36.900002,37.000000,36.250000,36.400002,36.400002,25000
2002-12-24,36.950001,36.950001,36.200001,36.299999,36.299999,38700
2002-12-25,null,null,null,null,null,null
2002-12-26,36.900002,37.950001,36.650002,36.849998,36.849998,34700
2002-12-27,37.400002,38.400002,36.599998,37.799999,37.799999,216100
2002-12-30,37.400002,37.599998,36.750000,36.950001,36.950001,67100
