Date,open,high,low,close,adj_close,volume
2010-05-19,131.000000,139.500000,130.000000,133.550003,127.539871,16919452
2010-05-20,135.949997,140.649994,131.000000,133.600006,127.587631,2545220
2010-05-21,132.100006,136.649994,131.500000,135.449997,129.354355,736253
2010-05-24,136.899994,137.649994,134.100006,136.050003,129.927383,395442
2010-05-25,136.800003,138.500000,132.000000,136.649994,130.500351,264950
2010-05-26,136.399994,146.050003,136.399994,140.750000,134.415848,555714
2010-05-27,141.399994,143.899994,138.500000,141.350006,134.988846,184164
2010-05-28,142.000000,144.050003,139.050003,142.649994,136.230331,223172
2010-05-31,142.000000,142.000000,137.199997,139.649994,133.365341,137587
2010-06-01,137.000000,143.199997,137.000000,142.050003,135.657333,115878
2010-06-02,140.750000,144.449997,140.750000,143.000000,136.564590,54541
2010-06-03,142.500000,144.949997,140.500000,142.100006,135.705093,110094
2010-06-04,142.000000,143.899994,140.500000,141.949997,135.561813,111763
2010-06-07,113.599998,142.000000,113.599998,140.250000,133.938339,28700
2010-06-08,139.050003,154.850006,139.050003,149.750000,143.010803,761944
2010-06-09,149.750000,156.500000,149.750000,151.399994,144.586578,250124
2010-06-10,153.500000,158.350006,152.199997,155.800003,148.788559,320839
2010-06-11,157.000000,157.000000,146.500000,149.850006,143.106323,100190
2010-06-14,149.899994,152.550003,146.050003,150.000000,143.249588,146892
2010-06-15,150.050003,151.399994,147.050003,149.649994,142.915329,73139
2010-06-16,150.000000,153.899994,144.300003,147.149994,140.527832,251756
2010-06-17,147.300003,151.699997,145.850006,146.850006,140.241333,39199
2010-06-18,148.000000,150.399994,145.300003,146.250000,139.668335,32742
2010-06-21,149.600006,151.449997,143.000000,148.250000,141.578323,216155
2010-06-22,148.000000,150.000000,147.100006,147.949997,141.291809,25391
2010-06-23,149.699997,153.149994,146.500000,150.050003,143.297318,253466
2010-06-24,151.399994,152.100006,148.050003,148.899994,142.199097,39783
2010-06-25,150.899994,151.399994,148.500000,149.500000,142.772079,50627
2010-06-28,151.000000,151.000000,148.649994,149.300003,142.581070,50091
2010-06-29,149.000000,150.000000,146.199997,148.199997,141.530579,40092
2010-06-30,148.600006,152.350006,146.149994,149.500000,142.772079,86409
2010-07-01,150.000000,153.300003,148.949997,151.699997,144.873047,173245
2010-07-02,153.000000,153.000000,150.100006,150.199997,143.440582,46035
2010-07-05,151.050003,152.699997,148.000000,148.600006,141.912598,52362
2010-07-06,151.449997,151.449997,148.100006,149.000000,142.294571,30466
2010-07-07,151.000000,152.000000,148.500000,149.899994,143.154068,40629
2010-07-08,151.899994,151.899994,147.050003,149.850006,143.106323,110947
2010-07-09,145.250000,150.000000,145.250000,147.600006,140.957596,32267
2010-07-12,149.000000,150.000000,146.199997,146.949997,140.336823,31976
2010-07-13,145.000000,157.800003,145.000000,155.149994,148.167801,150107
2010-07-14,155.300003,159.899994,151.449997,154.649994,147.690308,1046765
2010-07-15,156.500000,163.000000,155.699997,161.250000,153.993286,106979
2010-07-16,162.800003,169.000000,161.100006,163.949997,156.571793,189085
2010-07-19,162.000000,169.899994,162.000000,169.350006,161.728775,228150
2010-07-20,170.350006,170.500000,165.350006,167.050003,159.532272,134661
2010-07-21,170.199997,170.199997,166.500000,167.850006,160.296265,76116
2010-07-22,168.000000,169.699997,166.600006,167.949997,160.391769,59161
2010-07-23,168.000000,169.050003,164.550003,166.850006,159.341278,61886
2010-07-26,168.000000,168.449997,162.000000,164.100006,156.715042,63142
2010-07-27,165.000000,165.000000,159.500000,160.550003,153.324799,64744
2010-07-28,164.000000,164.000000,160.000000,160.449997,153.229294,57663
2010-07-29,162.949997,164.500000,158.050003,160.449997,153.229294,43836
2010-07-30,159.500000,160.199997,158.050003,159.550003,152.369797,4781
2010-08-02,163.899994,164.800003,158.600006,163.100006,155.760025,84929
2010-08-03,161.000000,166.500000,160.600006,165.100006,157.670059,261685
2010-08-04,165.649994,166.850006,162.550003,163.399994,156.046539,30886
2010-08-05,168.699997,168.699997,161.350006,163.500000,156.142044,24231
2010-08-06,160.600006,168.000000,160.449997,165.050003,157.622269,57443
2010-08-09,167.000000,168.449997,163.149994,167.399994,159.866501,76660
2010-08-10,172.750000,172.750000,162.399994,164.649994,157.240295,29473
2010-08-11,167.000000,167.000000,162.100006,164.000000,156.619553,9123
2010-08-12,164.000000,165.649994,162.149994,163.000000,155.664536,21566
2010-08-13,164.000000,169.000000,163.000000,165.000000,157.574524,80406
2010-08-16,168.399994,170.000000,162.399994,164.750000,157.335800,81536
2010-08-17,166.800003,169.449997,163.600006,164.399994,157.001511,77500
2010-08-18,165.000000,173.000000,163.600006,168.449997,160.869278,1124761
