Date,open,high,low,close,adj_close,volume
2007-02-02,38.799999,39.599998,35.000000,36.180000,18.171225,236500
2007-02-05,37.200001,37.200001,35.020000,35.700001,17.930145,19070
2007-02-06,32.549999,34.000000,32.549999,33.360001,16.754894,17500
2007-02-07,34.000000,37.000000,34.000000,34.130001,17.141623,5050
2007-02-08,33.299999,34.000000,32.619999,33.430000,16.790052,4150
2007-02-09,32.849998,34.000000,32.849998,33.090000,16.619287,3995
2007-02-12,33.000000,33.000000,31.000000,31.389999,15.765469,3500
2007-02-13,31.600000,32.799999,30.200001,30.709999,15.423944,3175
2007-02-14,30.420000,31.000000,30.420000,31.000000,15.569595,1410
2007-02-15,32.790001,32.790001,31.200001,31.780001,15.961346,335
2007-02-19,31.020000,32.599998,31.020000,31.200001,15.670046,1830
2007-02-20,31.110001,31.110001,31.000000,31.059999,15.599729,790
2007-02-21,30.000000,31.799999,29.799999,31.040001,15.589687,6310
2007-02-22,30.850000,31.600000,30.820000,30.900000,15.519369,750
2007-02-23,31.000000,31.889999,31.000000,31.889999,16.016594,700
2007-02-26,29.900000,31.000000,28.209999,30.000000,15.067349,4950
2007-02-27,150.000000,150.000000,150.000000,150.000000,75.336754,0
2007-02-28,28.410000,28.410000,28.410000,28.410000,14.268781,100
2007-03-01,27.400000,30.000000,27.400000,29.700001,14.916677,2630
2007-03-02,32.799999,32.799999,28.450001,29.850000,14.992014,7485
2007-03-05,28.520000,29.400000,27.700001,27.700001,13.912186,5000
2007-03-06,28.000000,28.000000,27.400000,27.480000,13.801693,1975
2007-03-07,32.000000,32.000000,27.400000,29.290001,14.710758,8955
2007-03-08,30.400000,30.400000,27.639999,29.360001,14.745914,7000
2007-03-09,28.040001,28.040001,27.700001,27.700001,13.912186,50
2007-03-12,29.799999,30.000000,29.600000,29.990000,15.062328,10025
2007-03-13,29.959999,29.959999,28.219999,28.219999,14.173355,7000
2007-03-14,27.610001,29.590000,27.610001,28.770000,14.449586,9500
2007-03-15,29.000000,29.900000,29.000000,29.240000,14.685646,3320
2007-03-16,29.000000,29.980000,28.799999,29.870001,15.002059,440
2007-03-19,29.200001,29.219999,28.200001,28.200001,14.163310,1255
2007-03-20,30.190001,30.400000,28.709999,29.400000,14.766002,6950
2007-03-21,28.299999,30.000000,28.299999,30.000000,15.067349,2800
2007-03-22,30.000000,30.600000,30.000000,30.030001,15.082417,3500
2007-03-23,30.200001,33.599998,30.200001,30.330000,15.233093,3000
2007-03-26,30.400000,30.969999,29.420000,30.190001,15.162776,775
2007-03-28,28.010000,30.600000,28.010000,30.000000,15.067349,21000
2007-03-29,28.600000,30.799999,28.600000,30.799999,15.469144,640
2007-03-30,28.450001,30.770000,28.450001,30.770000,15.454080,650
2007-04-02,27.469999,30.770000,27.459999,30.600000,15.368697,2600
2007-04-03,153.000000,153.000000,153.000000,153.000000,76.843498,0
2007-04-04,29.799999,30.799999,29.299999,30.030001,15.082417,6780
2007-04-05,28.980000,29.000000,28.980000,29.000000,14.565105,5000
2007-04-09,30.799999,31.790001,28.799999,29.450001,14.791116,4500
2007-04-10,33.000000,33.000000,30.980000,31.049999,15.594709,2345
2007-04-11,31.760000,32.000000,30.400000,31.520000,15.830762,2650
2007-04-12,32.000000,33.000000,31.400000,31.400000,15.770491,3955
2007-04-13,31.400000,33.000000,31.200001,32.000000,16.071840,730
2007-04-16,29.000000,32.790001,29.000000,30.969999,15.554528,735
2007-04-17,35.200001,35.200001,30.459999,32.490002,16.317940,350
2007-04-18,30.879999,32.770000,30.400000,30.660000,15.398830,1130
2007-04-19,29.600000,33.580002,29.530001,32.000000,16.071840,1905
2007-04-20,31.020000,32.400002,31.000000,31.320000,15.730313,2125
2007-04-23,31.200001,32.400002,31.000000,31.000000,15.569595,1500
2007-04-24,30.100000,32.400002,30.100000,32.400002,16.272738,1000
2007-04-25,31.200001,31.200001,31.000000,31.100000,15.619821,500
2007-04-26,30.420000,31.559999,30.420000,31.559999,15.850856,130
2007-04-27,30.230000,31.389999,30.200001,31.389999,15.765469,805
2007-04-30,29.020000,31.940001,28.200001,31.559999,15.850856,550
2007-05-03,32.000000,32.000000,32.000000,32.000000,16.071840,50
2007-05-04,160.000000,160.000000,160.000000,160.000000,80.359207,0
2007-05-07,29.420000,31.590000,28.620001,30.160000,15.147710,7480
2007-05-08,30.160000,30.799999,28.480000,29.320000,14.725824,7000
2007-05-09,30.520000,30.600000,28.000000,28.469999,14.298915,25000
2007-05-10,29.370001,29.559999,28.799999,29.549999,14.841340,10500
2007-05-11,29.799999,29.799999,29.000000,29.000000,14.565105,320
2007-05-14,28.809999,30.010000,28.809999,30.000000,15.067349,3500
2007-05-15,30.879999,32.520000,30.100000,30.790001,15.464122,2730
2007-05-16,30.010000,30.879999,29.200001,30.000000,15.067349,6000
2007-05-17,28.860001,29.000000,28.860001,29.000000,14.565105,300
2007-05-18,30.000000,30.000000,28.600000,28.940001,14.534969,4500
2007-05-21,30.020000,30.020000,30.020000,30.020000,15.077394,895
2007-05-22,150.100006,150.100006,150.100006,150.100006,75.386978,0
2007-05-23,30.000000,30.400000,28.510000,29.980000,15.057305,965
2007-05-24,28.830000,30.000000,28.820000,29.730000,14.931743,90
2007-05-25,29.000000,30.200001,29.000000,30.200001,15.167800,225
2007-05-28,31.000000,31.000000,30.000000,30.219999,15.177843,2000
2007-05-29,30.410000,30.600000,29.299999,29.600000,14.866450,625
2007-05-30,28.450001,29.799999,28.400000,29.200001,14.665556,5000
2007-05-31,30.000000,30.400000,29.420000,29.420000,14.776050,6000
2007-06-01,30.000000,30.020000,28.809999,29.400000,14.766002,5635
2007-06-04,29.400000,29.400000,28.820000,28.950001,14.539993,2225
2007-06-05,31.510000,31.510000,29.200001,29.290001,14.710758,7500
2007-06-06,29.600000,29.600000,28.799999,28.799999,14.464656,1600
2007-06-07,26.680000,29.260000,26.680000,28.299999,14.213532,440
2007-06-08,28.200001,29.260000,26.320000,28.049999,14.087972,1875
2007-06-11,26.940001,29.580000,26.920000,28.120001,14.123132,635
2007-06-12,28.120001,29.190001,28.120001,28.969999,14.550038,4825
2007-06-13,29.000000,29.200001,28.600000,29.200001,14.665556,2475
2007-06-14,29.620001,29.620001,29.020000,29.030001,14.580174,3000
2007-06-15,29.200001,29.200001,28.320000,28.410000,14.268781,555
2007-06-18,28.100000,28.120001,28.100000,28.110001,14.118107,850
2007-06-19,27.400000,28.400000,27.400000,28.120001,14.123132,300
2007-06-20,140.600006,140.600006,140.600006,140.600006,70.615654,0
2007-06-21,140.600006,140.600006,140.600006,140.600006,70.615654,0
2007-06-22,27.620001,29.580000,27.610001,28.120001,14.123132,345
2007-06-25,140.600006,140.600006,140.600006,140.600006,70.615654,0
2007-06-26,27.410000,27.410000,27.400000,27.400000,13.761513,125
2007-06-27,30.799999,30.799999,29.000000,29.250000,14.690668,13500
2007-06-28,29.580000,29.580000,29.580000,29.580000,14.856406,10
2007-06-29,147.899994,147.899994,147.899994,147.899994,74.282028,0
2007-07-02,28.230000,28.780001,28.230000,28.410000,14.268781,1400
2007-07-03,26.209999,28.969999,26.209999,27.809999,13.967433,1000
2007-07-04,27.799999,28.969999,27.020000,28.330000,14.228599,325
2007-07-05,28.000000,28.379999,27.600000,27.990000,14.057837,3000
2007-07-06,26.660000,28.740000,26.660000,28.730000,14.429497,3890
2007-07-09,28.500000,29.500000,27.420000,27.719999,13.922231,1250
2007-07-10,27.629999,27.629999,27.600000,27.600000,13.861961,2110
2007-07-11,27.600000,27.620001,27.400000,27.580000,13.851915,830
2007-07-12,28.200001,31.510000,27.400000,27.620001,13.872008,4400
2007-07-13,27.620001,27.620001,27.400000,27.400000,13.761513,1250
2007-07-16,28.000000,28.780001,27.799999,28.110001,15.535587,3255
2007-07-17,28.000000,28.000000,27.700001,27.709999,15.314520,975
2007-07-18,28.360001,28.360001,28.290001,28.290001,15.635073,50
2007-07-19,27.709999,28.200001,27.600000,27.879999,15.408474,2495
2007-07-20,28.180000,28.450001,28.000000,28.450001,15.723496,1450
2007-07-23,26.450001,27.200001,26.320000,27.200001,15.032658,1450
2007-07-24,28.180000,28.400000,26.900000,28.400000,15.695864,1220
2007-07-25,27.809999,27.809999,27.410000,27.600000,15.253728,2225
2007-07-26,28.299999,28.400000,27.700001,27.700001,15.308995,6500
2007-07-27,138.500000,138.500000,138.500000,138.500000,76.544960,0
2007-07-30,28.200001,28.200001,28.200001,28.200001,15.585329,300
2007-07-31,27.400000,27.400000,26.799999,27.000000,14.922122,8500
2007-08-01,27.200001,27.200001,26.600000,27.000000,14.922122,4895
2007-08-02,28.799999,28.799999,26.250000,27.000000,14.922122,3290
2007-08-03,26.500000,26.500000,26.500000,26.500000,14.645788,125
2007-08-06,26.400000,26.400000,26.000000,26.000000,14.369452,11000
2007-08-07,26.600000,26.799999,26.400000,26.400000,14.590520,1190
2007-08-08,26.400000,26.799999,26.209999,26.410000,14.596049,3000
2007-08-09,27.010000,28.600000,27.010000,27.379999,15.132138,4500
2007-08-10,25.610001,26.600000,25.610001,26.080000,14.413669,1275
2007-08-13,130.000000,130.000000,130.000000,130.000000,71.847260,0
2007-08-14,26.000000,26.000000,26.000000,26.000000,14.369452,500
2007-08-16,130.000000,130.000000,130.000000,130.000000,71.847260,0
2007-08-17,25.400000,25.400000,25.400000,25.400000,14.037848,50
2007-08-20,127.000000,127.000000,127.000000,127.000000,70.189247,0
2007-08-21,26.980000,26.980000,26.980000,26.980000,14.911069,5
2007-08-22,21.600000,32.200001,21.600000,26.200001,14.479985,7000
2007-08-23,25.000000,25.209999,25.000000,25.150000,13.899681,240
2007-08-24,24.000000,24.299999,24.000000,24.299999,13.429910,2325
2007-08-27,23.200001,24.969999,23.200001,24.969999,13.800200,2750
2007-08-28,124.849998,124.849998,124.849998,124.849998,69.001007,0
2007-08-29,25.000000,26.959999,25.000000,26.879999,14.855801,510
2007-08-30,25.000000,26.379999,25.000000,26.379999,14.579465,1500
2007-08-31,25.000000,26.000000,25.000000,26.000000,14.369452,175
2007-09-03,27.600000,27.600000,25.799999,27.400000,15.143193,800
2007-09-04,26.600000,27.400000,26.010000,26.639999,14.723161,5895
2007-09-05,27.400000,27.400000,26.200001,26.799999,14.811586,545
2007-09-06,26.219999,26.799999,26.219999,26.799999,14.811586,775
2007-09-07,26.280001,26.280001,26.260000,26.260000,14.513146,250
2007-09-10,26.200001,26.200001,26.200001,26.200001,14.479985,5
2007-09-11,23.000000,27.600000,23.000000,26.990000,14.916593,2170
2007-09-12,26.400000,26.900000,26.400000,26.400000,14.590520,1905
2007-09-13,26.139999,26.139999,26.030001,26.030001,14.386034,150
2007-09-14,26.580000,26.580000,26.580000,26.580000,14.690002,125
2007-09-17,27.650000,27.650000,25.209999,26.940001,14.888964,905
2007-09-18,27.990000,27.990000,25.860001,27.580000,15.242672,520
2007-09-19,26.020000,26.940001,26.020000,26.129999,14.441299,2000
2007-09-20,26.260000,27.400000,26.160000,26.400000,14.590520,3500
2007-09-21,25.420000,27.980000,25.420000,27.299999,15.087925,1480
2007-09-24,27.799999,27.799999,26.100000,26.980000,14.911069,1500
2007-09-25,25.820000,26.760000,25.400000,26.000000,14.369452,635
2007-09-26,26.000000,26.000000,25.010000,26.000000,14.369452,970
2007-09-27,27.379999,31.200001,27.379999,31.200001,17.243343,29500
2007-09-28,34.490002,37.400002,32.599998,34.020000,18.801878,215495
2007-10-01,32.000000,32.759998,31.230000,31.459999,17.387035,7925
2007-10-03,32.200001,32.200001,28.000000,28.690001,15.856137,21785
2007-10-04,29.200001,29.200001,27.200001,27.799999,15.364260,6215
2007-10-05,27.799999,28.650000,26.000000,27.610001,15.259251,7500
2007-10-08,27.600000,27.600000,26.000000,26.299999,14.535252,3895
2007-10-09,25.600000,26.799999,25.600000,26.629999,14.717633,7540
2007-10-10,26.000000,27.600000,26.000000,27.570000,15.237144,13775
2007-10-11,137.000000,137.000000,137.000000,137.000000,75.715965,0
2007-10-12,27.600000,31.200001,26.780001,27.209999,15.038184,2525
2007-10-15,27.959999,30.400000,26.600000,28.639999,15.828503,13400
2007-10-16,31.200001,34.200001,31.100000,31.650000,17.492044,41485
2007-10-17,32.590000,32.590000,27.459999,30.379999,16.790152,11495
2007-10-18,31.000000,33.000000,31.000000,31.910000,17.635736,10375
2007-10-19,32.000000,32.349998,28.010000,29.900000,16.524866,10015
2007-10-22,28.010000,30.500000,28.010000,29.400000,16.248537,4765
2007-10-23,30.799999,34.000000,28.799999,31.080000,17.177023,34970
2007-10-24,31.080000,36.799999,31.080000,34.189999,18.895824,51975
2007-10-25,36.200001,41.029999,34.299999,40.770000,22.532408,208330
2007-10-26,42.299999,47.000000,40.220001,41.119999,22.725840,761125
2007-10-29,42.200001,42.939999,39.980000,40.290001,22.267124,103600
2007-10-30,41.200001,41.200001,38.000000,38.200001,21.112040,48885
2007-10-31,38.200001,42.200001,37.000000,41.220001,22.781109,87325
2007-11-01,42.200001,43.000000,37.430000,38.290001,21.161781,52785
2007-11-02,36.799999,41.599998,36.799999,40.160000,22.195276,37010
2007-11-05,44.000000,48.200001,39.599998,48.139999,26.605597,436630
2007-11-06,50.599998,52.959999,44.099998,44.950001,24.842571,345500
2007-11-07,48.000000,48.000000,43.020000,45.450001,25.118906,105420
2007-11-08,41.650002,49.000000,41.650002,46.259998,25.566572,105615
2007-11-12,49.590000,49.599998,44.200001,45.169998,24.964157,24215
2007-11-13,46.000000,46.560001,45.000000,45.279999,25.024958,18170
2007-11-14,49.799999,49.799999,42.529999,43.830002,24.223581,34720
2007-11-15,43.680000,46.779999,42.200001,42.580002,23.532743,14065
2007-11-16,42.419998,43.599998,42.400002,42.660000,23.576952,12315
2007-11-19,43.980000,46.930000,43.980000,46.930000,25.936861,40500
2007-11-20,48.700001,51.630001,47.599998,49.619999,27.423542,230500
2007-11-21,51.599998,54.799999,47.000000,48.400002,26.749289,50000
2007-11-22,43.099998,48.939999,43.099998,44.480000,24.582815,15500
2007-11-23,44.230000,46.990002,44.230000,46.389999,25.638418,10500
2007-11-26,43.110001,49.540001,43.110001,49.500000,27.357227,91710
2007-11-27,47.400002,49.580002,47.000000,48.000000,26.528215,39000
2007-11-28,49.200001,49.200001,45.020000,46.000000,25.422878,18000
2007-11-29,46.799999,46.799999,42.000000,44.250000,24.455702,10000
2007-11-30,46.000000,46.000000,44.000000,44.200001,24.428066,9500
2007-12-03,46.000000,46.000000,42.810001,43.630001,24.113043,6055
2007-12-04,43.980000,45.820000,42.009998,42.279999,23.366938,6660
2007-12-05,43.599998,43.599998,42.000000,42.000000,23.212191,1930
2007-12-06,42.400002,42.480000,41.000000,41.060001,22.692680,9975
2007-12-07,40.650002,41.790001,39.430000,40.599998,22.438450,4000
2007-12-10,40.599998,42.630001,40.599998,42.630001,23.560373,1000
2007-12-11,43.900002,44.000000,41.880001,43.799999,24.207003,500
2007-12-12,43.799999,45.799999,41.619999,43.599998,24.096466,8000
2007-12-13,43.599998,43.700001,41.700001,43.700001,24.151735,3000
2007-12-14,41.619999,42.799999,41.619999,41.990002,23.206665,3570
2007-12-17,43.490002,43.490002,41.799999,41.959999,23.190088,3000
2007-12-18,43.200001,43.200001,39.910000,40.200001,22.217381,3500
2007-12-19,42.200001,42.200001,42.099998,42.099998,23.267458,500
2007-12-20,43.990002,44.000000,40.209999,40.220001,22.228437,3000
2007-12-24,42.000000,42.880001,41.990002,42.799999,23.654325,7000
2007-12-26,42.599998,43.700001,41.209999,41.720001,23.057444,3500
2007-12-27,42.000000,43.810001,42.000000,43.810001,24.212528,2500
2007-12-28,43.810001,45.639999,42.209999,44.599998,24.649136,7000
2007-12-31,45.599998,46.310001,44.450001,46.310001,25.594202,5500
2008-01-01,46.000000,47.509998,44.200001,47.509998,26.257406,11160
2008-01-02,48.990002,49.820000,47.599998,49.820000,27.534081,17930
2008-01-03,52.000000,52.000000,47.330002,47.799999,26.417685,12855
2008-01-04,44.990002,47.400002,44.990002,45.240002,25.002846,6125
2008-01-07,45.240002,46.599998,44.000000,44.000000,24.317537,6310
2008-01-08,44.000000,44.400002,42.400002,42.410000,23.438786,1695
2008-01-09,41.200001,44.000000,40.990002,43.000000,23.764862,2100
2008-01-10,41.200001,43.599998,41.200001,41.200001,22.770056,1535
2008-01-11,40.599998,40.599998,39.200001,39.299999,21.719980,1490
2008-01-14,38.209999,41.200001,38.209999,41.200001,22.770056,770
2008-01-15,40.500000,43.259998,40.500000,43.259998,23.908558,100
2008-01-16,41.400002,41.599998,41.200001,41.599998,22.991119,3750
2008-01-17,41.119999,41.119999,41.080002,41.080002,22.703733,2500
2008-01-18,42.200001,43.000000,40.400002,40.400002,22.327921,3775
2008-01-21,38.900002,38.900002,38.900002,38.900002,21.498911,375
2008-01-22,36.959999,36.959999,36.959999,36.959999,20.426725,150
2008-01-23,35.200001,36.799999,35.200001,35.200001,19.454029,500
2008-01-24,33.599998,33.599998,33.599998,33.599998,18.569754,850
2008-01-25,32.000000,34.950001,32.000000,34.950001,19.315863,4060
2008-01-28,33.200001,35.599998,33.200001,35.599998,19.675097,375
2008-01-29,37.200001,37.200001,34.299999,37.080002,20.493046,30995
2008-01-30,38.400002,38.400002,35.599998,35.599998,19.675097,1450
2008-01-31,36.000000,36.000000,36.000000,36.000000,19.896164,200
2008-02-01,34.400002,36.000000,34.200001,36.000000,19.896164,775
2008-02-04,37.799999,37.799999,37.799999,37.799999,20.890970,75
2008-02-05,35.919998,35.919998,35.919998,35.919998,19.851950,50
2008-02-06,34.200001,34.200001,34.200001,34.200001,18.901358,500
2008-02-07,34.200001,34.200001,33.799999,33.799999,18.680285,455
2008-02-08,35.400002,35.400002,32.130001,32.130001,17.757328,605
2008-02-11,34.549999,34.549999,34.549999,34.549999,19.094791,5
2008-02-12,34.549999,34.549999,34.549999,34.549999,19.094791,0
2008-02-13,32.830002,32.830002,32.830002,32.830002,18.144196,250
2008-02-14,31.200001,31.200001,31.190001,31.190001,17.237816,1650
2008-02-15,29.629999,32.389999,29.629999,32.389999,17.901016,725
2008-02-18,30.740000,33.360001,30.740000,30.820000,17.033325,105
2008-02-19,32.369999,32.369999,31.240000,31.240000,17.265451,1700
2008-02-20,32.599998,32.599998,32.580002,32.580002,18.006029,10
2008-02-21,33.200001,33.799999,33.160000,33.799999,18.680285,2380
2008-02-22,33.799999,35.490002,33.799999,35.490002,19.614304,1405
2008-02-25,35.000000,36.790001,34.009998,35.599998,19.675097,3130
2008-02-26,36.599998,36.599998,34.400002,35.000000,19.343494,13210
2008-02-27,34.400002,35.720001,34.400002,35.209999,19.459553,2605
2008-02-28,35.200001,35.200001,33.689999,35.189999,19.448498,1305
2008-02-29,33.599998,35.000000,33.230000,33.650002,18.597389,4190
2008-03-03,35.000000,35.000000,33.029999,33.509998,18.520014,8050
2008-03-04,34.900002,35.000000,32.250000,33.599998,18.569754,5440
2008-03-05,32.400002,35.279999,32.400002,35.270000,19.492714,17070
2008-03-07,35.279999,35.279999,33.509998,33.509998,18.520014,2965
2008-03-10,33.200001,33.200001,30.400000,30.420000,16.812260,1735
2008-03-11,30.420000,33.470001,29.000000,33.439999,18.481327,16980
2008-03-12,35.639999,36.790001,34.799999,36.779999,20.327250,39475
2008-03-13,36.599998,37.200001,33.220001,34.700001,19.177692,38670
2008-03-14,36.599998,36.599998,32.209999,33.099998,18.293417,7980
2008-03-17,30.610001,34.189999,29.820000,30.200001,16.690670,3505
2008-03-18,31.940001,31.940001,27.620001,30.500000,16.856472,75
2008-03-19,30.000000,30.000000,27.450001,27.450001,15.170826,9905
2008-03-24,26.600000,26.600000,26.080000,26.080000,14.413669,200
2008-03-25,26.799999,26.799999,24.780001,26.799999,14.811586,3325
2008-03-26,26.000000,26.900000,25.610001,26.900000,14.866857,1735
2008-03-27,26.799999,28.240000,25.600000,26.680000,14.745270,2100
2008-03-28,25.809999,28.000000,25.809999,27.410000,15.148717,2700
2008-03-31,28.000000,28.780001,28.000000,28.780001,15.905877,3420
2008-04-01,27.730000,30.219999,27.730000,30.219999,16.701725,3135
2008-04-02,31.740000,31.740000,31.730000,31.740000,17.541788,4920
2008-04-03,33.200001,33.330002,30.209999,33.330002,18.420532,1540
2008-04-04,32.400002,35.000000,32.400002,35.000000,19.343494,5535
2008-04-07,36.480000,36.750000,36.400002,36.740002,20.305143,5815
2008-04-08,38.180000,38.580002,36.759998,38.580002,21.322056,4210
2008-04-09,40.200001,40.480000,36.650002,36.650002,20.255400,69360
2008-04-10,38.490002,38.490002,35.020000,38.490002,21.272320,16235
2008-04-11,38.400002,40.419998,38.400002,40.419998,22.338972,26250
2008-04-15,41.799999,42.450001,41.560001,42.450001,23.460892,4620
2008-04-16,44.580002,44.580002,43.599998,44.580002,24.638083,8515
2008-04-17,46.810001,46.810001,44.009998,46.500000,25.699211,18855
2008-04-21,48.599998,48.820000,44.400002,48.009998,26.533747,43085
2008-04-22,46.009998,50.000000,46.009998,49.419998,27.313009,25740
2008-04-23,47.599998,51.299999,46.950001,50.869999,28.114384,30295
2008-04-24,52.389999,52.389999,48.400002,48.619999,26.870874,13230
2008-04-25,48.799999,49.000000,46.200001,46.230000,25.549994,9320
2008-04-28,47.000000,48.549999,47.000000,48.549999,26.832186,10125
2008-04-29,49.799999,50.580002,48.520000,49.980000,27.622507,66390
2008-04-30,50.000000,50.000000,48.810001,49.349998,27.274326,28480
2008-05-02,49.599998,49.799999,49.299999,49.400002,27.301958,5240
2008-05-05,49.000000,51.869999,49.000000,51.869999,28.667057,39840
2008-05-06,53.799999,54.470001,52.830002,54.320000,30.021099,94455
2008-05-07,56.000000,57.040001,55.000000,57.040001,31.524368,74065
2008-05-08,59.599998,59.900002,57.020000,59.900002,33.105003,34525
2008-05-09,59.900002,62.900002,57.000000,62.090000,34.315353,161885
2008-05-12,63.000000,65.190002,59.660000,64.470001,35.630722,87505
2008-05-13,65.400002,67.699997,65.000000,65.459999,36.177860,52300
2008-05-14,64.860001,65.040001,62.189999,62.189999,34.370625,15590
2008-05-15,60.500000,63.680000,59.080002,59.160000,32.696030,23040
2008-05-16,58.000000,61.779999,56.700001,60.970001,33.696365,20200
2008-05-20,58.400002,63.590000,58.400002,60.580002,33.480820,26185
2008-05-21,60.000000,62.799999,58.419998,59.630001,32.955788,18055
2008-05-22,58.630001,62.000000,58.599998,59.750000,33.022106,25170
2008-05-23,62.000000,62.000000,59.250000,59.439999,32.850777,3325
2008-05-26,59.930000,62.419998,59.200001,59.299999,32.773407,12715
2008-05-27,61.400002,61.400002,58.709999,59.220001,32.729195,1545
2008-05-28,58.000000,61.790001,58.000000,61.540001,34.011383,7835
2008-05-29,60.259998,64.620003,60.259998,64.019997,35.382008,15505
2008-05-30,66.400002,66.400002,62.330002,63.270000,34.967514,9575
2008-06-02,64.000000,66.400002,62.599998,64.709999,35.763348,17130
2008-06-03,64.000000,65.989998,62.000000,63.400002,35.039356,11390
2008-06-04,62.000000,64.199997,60.419998,61.470001,33.972694,10245
2008-06-05,63.400002,63.599998,59.200001,61.860001,34.188248,5000
2008-06-06,63.000000,63.000000,62.000000,62.000000,34.265621,1445
2008-06-09,62.000000,62.000000,59.000000,61.820000,34.166130,6820
2008-06-10,61.400002,63.000000,60.439999,60.889999,33.652149,12675
2008-06-11,60.299999,62.799999,60.200001,60.500000,33.436604,2550
2008-06-12,58.209999,60.799999,58.209999,60.799999,33.602406,1610
2008-06-13,62.000000,62.000000,59.599998,60.630001,33.508465,1730
2008-06-16,62.400002,62.740002,60.799999,62.400002,34.486687,1645
2008-06-17,62.000000,62.400002,61.049999,61.400002,33.934017,1575
2008-06-18,60.200001,61.990002,59.000000,59.330002,32.789978,2000
2008-06-19,60.000000,61.599998,59.580002,59.580002,32.928150,1160
2008-06-20,58.619999,62.400002,57.080002,61.139999,33.790318,42840
2008-06-23,60.799999,61.990002,58.250000,59.270000,32.756824,4465
2008-06-24,59.200001,60.000000,57.279999,58.189999,32.159935,670
2008-06-25,55.599998,59.799999,55.599998,57.200001,31.612795,2395
2008-06-26,57.700001,60.060001,57.700001,59.959999,33.138165,7035
2008-06-27,59.799999,61.200001,57.000000,58.919998,32.563393,8615
2008-06-30,59.779999,59.779999,56.040001,56.130001,31.021431,1450
2008-07-01,54.200001,58.939999,54.200001,58.790001,32.491539,14925
2008-07-02,56.000000,58.799999,56.000000,58.470001,32.314686,3170
2008-07-03,56.410000,59.990002,55.560001,56.009998,30.955122,6695
2008-07-04,54.410000,58.799999,54.410000,58.779999,32.486012,3275
2008-07-07,60.419998,60.419998,56.220001,58.650002,32.414173,5855
2008-07-08,59.799999,60.000000,56.009998,56.310001,31.120918,1275
2008-07-09,56.400002,57.200001,56.400002,56.779999,31.380667,650
2008-07-10,55.009998,58.200001,55.000000,56.029999,30.966169,1050
2008-07-11,56.020000,58.380001,56.009998,56.450001,31.198294,1275
2008-07-14,58.000000,62.099998,58.000000,61.430000,33.950600,15135
2008-07-15,60.709999,65.000000,58.000000,61.310001,35.321747,53675
2008-07-16,61.200001,64.800003,61.200001,62.119999,35.788403,6450
2008-07-17,66.800003,66.800003,62.000000,63.200001,36.410614,2860
2008-07-18,59.200001,68.800003,59.200001,65.820000,37.920040,10115
2008-07-21,67.199997,68.800003,64.000000,67.620003,38.957050,3440
2008-07-22,69.599998,74.180000,61.599998,65.419998,37.689594,6420
2008-07-23,65.800003,71.599998,65.800003,70.080002,40.374306,8670
2008-07-24,69.599998,69.599998,66.000000,66.000000,38.023739,480
2008-07-25,68.800003,68.800003,61.410000,64.250000,37.015533,2950
2008-07-28,64.599998,66.000000,63.000000,64.010002,36.877270,4915
2008-07-29,64.809998,68.400002,64.129997,64.599998,37.217182,2785
2008-07-30,65.000000,68.000000,64.400002,64.419998,37.113483,2785
2008-07-31,64.400002,66.800003,64.400002,65.959999,38.000702,2790
2008-08-01,66.199997,66.199997,64.220001,64.519997,37.171089,1905
2008-08-04,64.220001,66.199997,64.220001,65.000000,37.447624,295
2008-08-05,63.000000,63.000000,62.799999,62.799999,36.180164,125
2008-08-06,62.799999,64.750000,60.000000,63.360001,36.502789,3570
2008-08-07,61.200001,65.000000,61.200001,64.209999,36.992485,385
2008-08-08,64.000000,65.000000,62.959999,62.959999,36.272346,255
2008-08-11,64.209999,64.599998,63.000000,63.000000,36.295391,2405
2008-08-12,64.000000,65.010002,63.599998,63.599998,36.641068,775
2008-08-13,64.400002,64.400002,62.860001,64.180000,36.975208,535
2008-08-14,65.000000,68.000000,62.349998,63.110001,36.358761,1220
