Date,open,high,low,close,adj_close,volume
2002-08-12,16.450001,16.450001,15.550000,15.550000,13.436877,11678
2002-08-13,16.000000,16.000000,15.300000,15.300000,13.220851,3551
2002-08-14,15.350000,15.500000,15.100000,15.350000,13.264055,23311
2002-08-15,null,null,null,null,null,null
2002-08-16,15.450000,15.650000,15.300000,15.500000,13.393671,9100
2002-08-19,15.600000,15.600000,15.200000,15.350000,13.264055,10060
2002-08-20,15.250000,15.250000,15.050000,15.150000,13.091234,6550
2002-08-21,15.400000,15.500000,15.000000,15.200000,13.134440,26559
2002-08-22,15.450000,15.650000,15.100000,15.250000,13.177646,26752
2002-08-23,15.050000,15.100000,14.800000,14.900000,12.875207,3200
2002-08-26,14.850000,15.000000,14.550000,14.650000,12.659180,16800
2002-08-27,14.450000,14.500000,13.550000,13.700000,11.838279,16429
2002-08-28,13.600000,14.000000,13.500000,13.850000,11.967896,4050
2002-08-29,13.550000,14.500000,13.550000,13.950000,12.054305,16200
2002-08-30,14.000000,14.700000,14.000000,14.650000,12.659180,10950
2002-09-02,14.900000,15.300000,14.750000,15.100000,13.048028,24831
2002-09-03,15.250000,15.250000,15.000000,15.000000,12.961617,38100
2002-09-04,15.000000,15.000000,14.800000,15.000000,12.961617,10700
2002-09-05,17.350000,17.350000,15.000000,15.350000,13.264055,17051
2002-09-06,15.200000,15.400000,14.900000,15.050000,13.004824,43370
2002-09-09,15.000000,15.000000,14.300000,14.350000,12.399946,32120
2002-09-10,null,null,null,null,null,null
2002-09-11,14.250000,14.500000,14.000000,14.150000,12.227128,10800
2002-09-12,14.050000,14.150000,13.850000,14.000000,12.097510,10395
2002-09-13,14.200000,14.200000,14.000000,14.000000,12.097510,14829
2002-09-16,14.150000,14.700000,14.050000,14.200000,12.270332,35150
2002-09-17,14.200000,15.250000,14.200000,14.500000,12.529565,14209
2002-09-18,15.200000,15.750000,14.500000,14.650000,12.659180,13011
2002-09-19,14.850000,14.900000,14.400000,14.500000,12.529565,13950
2002-09-20,14.350000,14.700000,14.100000,14.250000,12.313538,8000
2002-09-23,14.200000,14.300000,14.000000,14.000000,12.097510,13800
2002-09-24,13.600000,13.800000,13.500000,13.650000,11.795073,6311
2002-09-25,14.700000,14.750000,13.300000,13.550000,11.708660,4600
2002-09-26,14.000000,14.100000,13.750000,13.800000,11.924687,88034
2002-09-27,14.400000,15.250000,14.000000,14.900000,12.875207,18185
2002-09-30,14.400000,14.600000,14.100000,14.150000,12.227128,17911
2002-10-01,null,null,null,null,null,null
2002-10-02,null,null,null,null,null,null
2002-10-03,null,null,null,null,null,null
2002-10-04,null,null,null,null,null,null
2002-10-07,null,null,null,null,null,null
2002-10-08,null,null,null,null,null,null
2002-10-09,null,null,null,null,null,null
2002-10-10,null,null,null,null,null,null
2002-10-11,null,null,null,null,null,null
2002-10-14,null,null,null,null,null,null
2002-10-15,null,null,null,null,null,null
2002-10-16,null,null,null,null,null,null
2002-10-17,null,null,null,null,null,null
2002-10-18,null,null,null,null,null,null
2002-10-21,null,null,null,null,null,null
2002-10-22,null,null,null,null,null,null
2002-10-23,null,null,null,null,null,null
2002-10-24,null,null,null,null,null,null
2002-10-25,null,null,null,null,null,null
2002-10-28,null,null,null,null,null,null
2002-10-29,null,null,null,null,null,null
2002-10-30,null,null,null,null,null,null
2002-10-31,null,null,null,null,null,null
2002-11-01,null,null,null,null,null,null
2002-11-04,null,null,null,null,null,null
2002-11-05,null,null,null,null,null,null
2002-11-06,null,null,null,null,null,null
2002-11-07,null,null,null,null,null,null
2002-11-08,null,null,null,null,null,null
2002-11-11,null,null,null,null,null,null
2002-11-12,null,null,null,null,null,null
2002-11-13,null,null,null,null,null,null
2002-11-14,null,null,null,null,null,null
2002-11-15,null,null,null,null,null,null
2002-11-18,null,null,null,null,null,null
2002-11-19,null,null,null,null,null,null
2002-11-20,null,null,null,null,null,null
2002-11-21,null,null,null,null,null,null
2002-11-22,null,null,null,null,null,null
2002-11-25,null,null,null,null,null,null
2002-11-26,null,null,null,null,null,null
2002-11-27,null,null,null,null,null,null
2002-11-28,null,null,null,null,null,null
2002-11-29,null,null,null,null,null,null
2002-12-02,null,null,null,null,null,null
2002-12-03,null,null,null,null,null,null
2002-12-04,null,null,null,null,null,null
2002-12-05,null,null,null,null,null,null
2002-12-06,null,null,null,null,null,null
2002-12-09,null,null,null,null,null,null
2002-12-10,null,null,null,null,null,null
2002-12-11,null,null,null,null,null,null
2002-12-12,null,null,null,null,null,null
2002-12-13,null,null,null,null,null,null
2002-12-16,null,null,null,null,null,null
2002-12-17,null,null,null,null,null,null
2002-12-18,null,null,null,null,null,null
2002-12-19,null,null,null,null,null,null
2002-12-20,null,null,null,null,null,null
2002-12-23,null,null,null,null,null,null
2002-12-24,null,null,null,null,null,null
2002-12-25,null,null,null,null,null,null
2002-12-26,null,null,null,null,null,null
2002-12-27,null,null,null,null,null,null
2002-12-30,null,null,null,null,null,null
2002-12-31,null,null,null,null,null,null
2003-01-01,null,null,null,null,null,null
2003-01-02,null,null,null,null,null,null
2003-01-03,null,null,null,null,null,null
2003-01-06,null,null,null,null,null,null
2003-01-07,null,null,null,null,null,null
2003-01-08,null,null,null,null,null,null
2003-01-09,null,null,null,null,null,null
2003-01-10,null,null,null,null,null,null
2003-01-13,null,null,null,null,null,null
2003-01-14,null,null,null,null,null,null
2003-01-15,null,null,null,null,null,null
2003-01-16,null,null,null,null,null,null
2003-01-17,null,null,null,null,null,null
2003-01-20,null,null,null,null,null,null
2003-01-21,null,null,null,null,null,null
2003-01-22,null,null,null,null,null,null
2003-01-23,null,null,null,null,null,null
2003-01-24,null,null,null,null,null,null
2003-01-27,null,null,null,null,null,null
2003-01-28,null,null,null,null,null,null
2003-01-29,null,null,null,null,null,null
2003-01-30,null,null,null,null,null,null
2003-01-31,null,null,null,null,null,null
2003-02-03,null,null,null,null,null,null
2003-02-04,null,null,null,null,null,null
2003-02-05,null,null,null,null,null,null
2003-02-06,null,null,null,null,null,null
2003-02-07,null,null,null,null,null,null
2003-02-10,null,null,null,null,null,null
2003-02-11,null,null,null,null,null,null
2003-02-12,null,null,null,null,null,null
2003-02-13,null,null,null,null,null,null
2003-02-14,null,null,null,null,null,null
2003-02-17,null,null,null,null,null,null
2003-02-18,null,null,null,null,null,null
2003-02-19,null,null,null,null,null,null
2003-02-20,null,null,null,null,null,null
2003-02-21,null,null,null,null,null,null
2003-02-24,null,null,null,null,null,null
2003-02-25,null,null,null,null,null,null
2003-02-26,null,null,null,null,null,null
2003-02-27,null,null,null,null,null,null
2003-02-28,null,null,null,null,null,null
2003-03-03,null,null,null,null,null,null
2003-03-04,null,null,null,null,null,null
2003-03-05,null,null,null,null,null,null
2003-03-06,null,null,null,null,null,null
2003-03-07,null,null,null,null,null,null
2003-03-10,null,null,null,null,null,null
2003-03-11,null,null,null,null,null,null
2003-03-12,null,null,null,null,null,null
2003-03-13,null,null,null,null,null,null
2003-03-14,null,null,null,null,null,null
2003-03-17,null,null,null,null,null,null
2003-03-18,null,null,null,null,null,null
2003-03-19,null,null,null,null,null,null
2003-03-20,null,null,null,null,null,null
2003-03-21,null,null,null,null,null,null
2003-03-24,null,null,null,null,null,null
2003-03-25,null,null,null,null,null,null
2003-03-26,null,null,null,null,null,null
2003-03-27,null,null,null,null,null,null
2003-03-28,null,null,null,null,null,null
2003-03-31,null,null,null,null,null,null
2003-04-01,null,null,null,null,null,null
2003-04-02,null,null,null,null,null,null
2003-04-03,null,null,null,null,null,null
2003-04-04,null,null,null,null,null,null
2003-04-07,null,null,null,null,null,null
2003-04-08,null,null,null,null,null,null
2003-04-09,null,null,null,null,null,null
2003-04-10,null,null,null,null,null,null
2003-04-11,null,null,null,null,null,null
2003-04-14,null,null,null,null,null,null
2003-04-15,null,null,null,null,null,null
