Date,open,high,low,close,adj_close,volume
2002-07-01,9.198000,9.760000,9.042000,9.606000,0.002092,22955
2002-07-02,9.780000,9.910000,9.518000,9.836000,0.002142,37880
2002-07-03,9.840000,9.880000,9.660000,9.740000,0.002121,13305
2002-07-04,9.480000,9.600000,9.448000,9.490000,0.002067,5570
2002-07-05,9.600000,9.600000,9.360000,9.484000,0.002065,8865
2002-07-08,9.576000,9.600000,9.480000,9.590000,0.002088,15935
2002-07-09,9.600000,9.600000,9.502000,9.514000,0.002072,11140
2002-07-10,9.600000,9.600000,9.460000,9.560000,0.002082,14350
2002-07-11,9.580000,9.600000,9.280000,9.540000,0.002078,8130
2002-07-12,9.600000,9.600000,9.500000,9.502000,0.002069,4030
2002-07-15,9.520000,9.520000,9.302000,9.302000,0.002026,1540
2002-07-16,9.202000,9.202000,8.880000,9.004000,0.001961,3475
2002-07-17,9.800000,9.800000,8.722000,8.756000,0.001907,2785
2002-07-18,10.400000,10.400000,8.800000,8.816000,0.001920,4465
2002-07-19,9.076000,9.076000,8.480000,8.774000,0.001911,2780
2002-07-22,8.840000,8.840000,8.244000,8.348000,0.001818,9095
2002-07-23,8.000000,8.560000,7.802000,8.402000,0.001830,45320
2002-07-24,8.244000,8.580000,8.084000,8.318000,0.001811,13765
2002-07-25,8.324000,8.480000,8.290000,8.402000,0.001830,13900
2002-07-26,8.320000,8.320000,7.680000,7.808000,0.001700,10425
2002-07-29,7.480000,7.480000,7.440000,7.462000,0.001625,5700
2002-07-30,7.400000,7.800000,7.400000,7.598000,0.001655,11470
2002-07-31,7.240000,8.000000,7.200000,7.988000,0.001740,26925
2002-08-01,7.720000,7.880000,7.560000,7.580000,0.001651,28085
2002-08-02,7.600000,7.700000,7.400000,7.558000,0.001646,25815
2002-08-05,7.368000,7.592000,7.368000,7.472000,0.001627,6050
2002-08-06,7.536000,7.560000,7.342000,7.368000,0.001605,24310
2002-08-07,7.360000,7.400000,7.160000,7.336000,0.001598,3475
2002-08-08,7.560000,7.560000,7.244000,7.250000,0.001579,4265
2002-08-09,7.250000,7.440000,7.250000,7.300000,0.001590,3830
2002-08-12,7.320000,7.386000,7.284000,7.294000,0.001588,1695
2002-08-13,7.400000,7.518000,7.320000,7.518000,0.001637,1615
2002-08-14,7.280000,7.400000,7.200000,7.390000,0.001609,5260
2002-08-15,null,null,null,null,null,null
2002-08-16,7.440000,7.518000,7.382000,7.438000,0.001620,7240
2002-08-19,7.480000,7.548000,7.480000,7.498000,0.001633,1935
2002-08-20,7.500000,7.680000,7.500000,7.628000,0.001661,2080
2002-08-21,7.580000,7.596000,7.480000,7.520000,0.001638,1510
2002-08-22,7.500000,7.560000,7.360000,7.560000,0.001646,890
2002-08-23,7.292000,7.516000,7.292000,7.506000,0.001635,1570
2002-08-26,7.392000,7.556000,7.388000,7.406000,0.001613,1250
2002-08-27,7.570000,7.570000,7.570000,7.570000,0.001649,500
2002-08-28,7.392000,7.400000,7.370000,7.400000,0.001612,1495
2002-08-29,7.260000,7.260000,7.260000,7.260000,0.001581,10
2002-08-30,7.260000,7.360000,7.042000,7.360000,0.001603,450
2002-09-02,7.560000,7.560000,7.240000,7.282000,0.001586,3660
2002-09-03,7.240000,7.260000,7.240000,7.256000,0.001580,1520
2002-09-04,7.300000,7.300000,7.240000,7.242000,0.001577,1910
2002-09-05,7.260000,7.282000,7.240000,7.282000,0.001586,3870
2002-09-06,7.520000,7.520000,7.020000,7.160000,0.001559,5990
2002-09-09,7.160000,7.410000,7.040000,7.304000,0.001591,2550
2002-09-10,null,null,null,null,null,null
2002-09-11,7.120000,7.352000,6.902000,7.352000,0.001601,1400
2002-09-12,7.220000,7.220000,7.200000,7.200000,0.001568,750
2002-09-13,7.440000,7.440000,6.924000,7.006000,0.001526,10285
2002-09-16,7.438000,7.438000,7.000000,7.096000,0.001545,16740
2002-09-17,7.170000,7.180000,7.080000,7.082000,0.001542,2100
2002-09-18,7.098000,7.098000,6.800000,6.800000,0.001481,3300
2002-09-19,6.800000,6.800000,6.420000,6.580000,0.001433,6900
2002-09-20,6.000000,6.600000,6.000000,6.600000,0.001437,1780
2002-09-23,6.796000,6.796000,6.480000,6.480000,0.001411,1310
2002-09-24,6.514000,6.514000,6.320000,6.326000,0.001378,2465
2002-09-25,6.510000,6.510000,6.510000,6.510000,0.001418,25
2002-09-26,6.390000,6.600000,6.390000,6.600000,0.001437,1555
2002-09-27,6.560000,6.600000,6.532000,6.532000,0.001423,440
2002-09-30,6.560000,6.560000,6.560000,6.560000,0.001429,2125
2002-10-01,6.560000,6.560000,6.400000,6.440000,0.001402,400
2002-10-02,null,null,null,null,null,null
2002-10-03,null,null,null,null,null,null
2002-10-04,6.560000,6.600000,6.450000,6.450000,0.001405,1750
2002-10-07,6.400000,6.636000,6.400000,6.490000,0.001413,3750
2002-10-08,6.520000,6.520000,6.404000,6.480000,0.001411,700
2002-10-09,6.520000,6.560000,6.420000,6.446000,0.001404,4100
2002-10-10,6.600000,6.600000,6.444000,6.444000,0.001403,1000
2002-10-11,6.444000,6.538000,6.414000,6.430000,0.001400,3250
2002-10-14,6.520000,6.590000,6.520000,6.524000,0.001421,850
2002-10-15,null,null,null,null,null,null
2002-10-16,6.578000,6.600000,6.560000,6.560000,0.001429,875
2002-10-17,6.520000,6.520000,6.410000,6.410000,0.001396,1660
2002-10-18,6.422000,6.422000,6.322000,6.400000,0.001394,1850
2002-10-21,6.560000,6.560000,6.470000,6.480000,0.001411,1770
2002-10-22,6.560000,6.560000,6.200000,6.480000,0.001411,640
2002-10-23,6.480000,6.480000,6.402000,6.412000,0.001396,1145
2002-10-24,6.448000,6.476000,6.400000,6.400000,0.001394,2425
2002-10-25,6.344000,6.400000,6.340000,6.400000,0.001394,1175
2002-10-28,6.360000,6.400000,6.200000,6.400000,0.001394,1865
2002-10-29,6.400000,6.400000,6.398000,6.398000,0.001393,750
2002-10-30,6.290000,6.290000,6.040000,6.128000,0.001335,10050
2002-10-31,6.260000,6.260000,5.862000,5.862000,0.001277,5250
2002-11-01,5.880000,5.916000,5.600000,5.700000,0.001241,5375
2002-11-04,6.270000,6.270000,5.800000,5.918000,0.001289,1945
2002-11-05,5.800000,5.800000,5.652000,5.654000,0.001231,2410
2002-11-06,null,null,null,null,null,null
2002-11-07,5.822000,5.876000,5.540000,5.604000,0.001220,16740
2002-11-08,5.760000,5.960000,5.684000,5.766000,0.001256,3295
2002-11-11,5.840000,5.840000,5.762000,5.798000,0.001263,2685
2002-11-12,5.760000,5.920000,5.680000,5.730000,0.001248,1150
2002-11-13,5.840000,5.840000,5.670000,5.670000,0.001235,985
2002-11-14,5.680000,5.680000,5.602000,5.602000,0.001220,250
2002-11-15,5.640000,5.820000,5.600000,5.818000,0.001267,2020
2002-11-18,5.956000,5.956000,5.750000,5.824000,0.001268,2300
2002-11-19,null,null,null,null,null,null
2002-11-20,5.842000,5.930000,5.800000,5.836000,0.001271,7460
2002-11-21,5.956000,6.238000,5.956000,6.072000,0.001322,3125
2002-11-22,6.320000,6.396000,6.060000,6.394000,0.001392,5475
2002-11-25,6.360000,6.360000,6.180000,6.342000,0.001381,7025
2002-11-26,6.400000,6.578000,6.360000,6.480000,0.001411,4600
2002-11-27,6.200000,6.530000,6.200000,6.360000,0.001385,3725
2002-11-28,6.402000,6.578000,6.402000,6.504000,0.001416,675
2002-11-29,6.362000,6.656000,6.362000,6.588000,0.001435,3050
2002-12-02,6.538000,6.796000,6.538000,6.690000,0.001457,4455
2002-12-03,6.600000,6.980000,6.600000,6.688000,0.001456,5125
2002-12-04,6.640000,6.640000,6.490000,6.508000,0.001417,600
2002-12-05,6.916000,6.916000,6.916000,6.916000,0.001506,250
2002-12-06,6.800000,6.800000,6.490000,6.568000,0.001430,4075
2002-12-09,6.520000,6.600000,6.480000,6.480000,0.001411,1050
2002-12-10,null,null,null,null,null,null
2002-12-11,6.320000,6.400000,6.320000,6.400000,0.001394,30
2002-12-12,6.400000,6.400000,6.300000,6.400000,0.001394,2870
2002-12-13,6.320000,6.400000,6.320000,6.400000,0.001394,2175
2002-12-16,6.400000,6.400000,6.200000,6.200000,0.001350,1255
2002-12-17,6.260000,6.260000,6.160000,6.180000,0.001346,2930
2002-12-18,6.356000,6.356000,6.202000,6.354000,0.001384,5315
2002-12-19,6.002000,6.360000,6.002000,6.360000,0.001385,600
2002-12-20,6.250000,6.390000,6.190000,6.240000,0.001359,3230
2002-12-23,6.224000,6.224000,6.224000,6.224000,0.001355,500
2002-12-24,6.248000,6.248000,6.248000,6.248000,0.001361,1000
2002-12-25,null,null,null,null,null,null
2002-12-26,6.280000,6.396000,6.204000,6.274000,0.001366,2925
2002-12-27,6.280000,6.388000,6.240000,6.240000,0.001359,3575
2002-12-30,6.200000,6.356000,6.200000,6.234000,0.001358,3005
2002-12-31,6.202000,6.250000,6.202000,6.246000,0.001360,2350
2003-01-01,6.280000,6.280000,6.228000,6.230000,0.001357,1265
2003-01-02,6.280000,6.360000,6.220000,6.280000,0.001368,4525
2003-01-03,6.320000,6.396000,6.320000,6.396000,0.001393,1930
2003-01-06,6.396000,6.396000,6.200000,6.282000,0.001368,1675
2003-01-07,6.242000,6.320000,6.080000,6.082000,0.001325,4170
2003-01-08,6.100000,6.160000,6.066000,6.160000,0.001341,2270
2003-01-09,6.084000,6.198000,6.004000,6.072000,0.001322,2790
2003-01-10,6.098000,6.180000,6.040000,6.172000,0.001344,3950
2003-01-13,6.010000,6.160000,6.000000,6.080000,0.001324,4175
2003-01-14,6.190000,6.250000,6.150000,6.150000,0.001339,680
2003-01-15,6.200000,6.316000,6.160000,6.306000,0.001373,3290
2003-01-16,6.300000,6.300000,6.180000,6.220000,0.001355,7485
2003-01-17,6.060000,6.298000,5.840000,6.082000,0.001325,15600
2003-01-20,6.148000,6.200000,6.000000,6.080000,0.001324,5100
2003-01-21,5.962000,6.036000,5.960000,6.036000,0.001314,3600
2003-01-22,5.960000,5.960000,5.860000,5.860000,0.001276,2850
2003-01-23,5.880000,5.890000,5.724000,5.766000,0.001256,6425
2003-01-24,5.680000,5.800000,5.640000,5.682000,0.001237,1565
2003-01-27,5.520000,5.862000,5.520000,5.820000,0.001267,2000
2003-01-28,6.148000,6.148000,5.440000,5.556000,0.001210,7800
2003-01-29,5.520000,5.554000,5.490000,5.490000,0.001196,1200
2003-01-30,5.520000,5.520000,5.450000,5.450000,0.001187,1810
2003-01-31,5.440000,5.476000,5.440000,5.476000,0.001193,750
2003-02-03,5.472000,5.872000,5.440000,5.700000,0.001241,5300
2003-02-04,5.600000,5.680000,5.600000,5.640000,0.001228,4725
2003-02-05,5.528000,5.780000,5.528000,5.780000,0.001259,1600
2003-02-06,6.240000,6.240000,5.612000,5.614000,0.001223,1020
2003-02-07,5.446000,5.860000,5.442000,5.714000,0.001244,1530
2003-02-10,5.610000,5.612000,5.582000,5.586000,0.001216,2170
2003-02-11,5.460000,5.586000,5.440000,5.586000,0.001216,3000
2003-02-12,5.586000,5.636000,5.562000,5.562000,0.001211,1555
2003-02-13,null,null,null,null,null,null
2003-02-14,null,null,null,null,null,null
2003-02-17,5.354000,5.520000,5.290000,5.474000,0.001192,4000
2003-02-18,null,null,null,null,null,null
2003-02-19,5.520000,5.520000,5.338000,5.410000,0.001178,2665
2003-02-20,5.324000,5.400000,5.324000,5.400000,0.001176,52500
2003-02-21,5.400000,5.500000,5.400000,5.484000,0.001194,3250
2003-02-24,5.464000,5.474000,5.320000,5.390000,0.001174,10270
2003-02-25,5.400000,5.476000,5.200000,5.412000,0.001179,3255
2003-02-26,5.290000,5.392000,5.280000,5.390000,0.001174,1900
2003-02-27,5.360000,5.440000,5.360000,5.440000,0.001185,975
2003-02-28,null,null,null,null,null,null
2003-03-03,5.420000,5.420000,5.316000,5.332000,0.001161,920
2003-03-04,5.280000,5.510000,5.224000,5.436000,0.001184,1800
2003-03-05,5.400000,5.400000,5.242000,5.364000,0.001168,1350
2003-03-06,5.358000,5.358000,5.358000,5.358000,0.001167,25
2003-03-07,5.120000,5.760000,5.120000,5.396000,0.001175,515
2003-03-10,5.280000,5.280000,5.240000,5.240000,0.001141,750
2003-03-11,5.240000,5.280000,5.240000,5.260000,0.001146,3000
2003-03-12,5.302000,5.320000,5.300000,5.320000,0.001159,20250
2003-03-13,5.500000,5.500000,5.240000,5.282000,0.001150,775
2003-03-14,null,null,null,null,null,null
2003-03-17,5.200000,5.200000,5.200000,5.200000,0.001132,2000
2003-03-18,null,null,null,null,null,null
2003-03-19,5.400000,5.400000,5.400000,5.400000,0.001176,230
2003-03-20,5.480000,5.480000,5.440000,5.440000,0.001185,15400
2003-03-21,5.260000,5.538000,5.220000,5.236000,0.001140,2050
2003-03-24,26.160000,26.160000,5.170000,5.190000,0.001130,6405
2003-03-25,5.220000,5.220000,5.202000,5.202000,0.001133,750
2003-03-26,5.206000,5.220000,5.204000,5.214000,0.001135,830
2003-03-27,5.720000,5.720000,5.204000,5.206000,0.001134,2255
2003-03-28,5.210000,5.210000,4.888000,4.926000,0.001073,4150
2003-03-31,4.852000,5.000000,4.540000,4.798000,0.001045,5060
