Date,open,high,low,close,adj_close,volume
2000-01-03,16.000000,16.799999,15.937500,16.600000,2.625857,830820
2000-01-04,16.000000,16.712500,15.600000,15.862500,2.509197,348728
2000-01-05,15.737500,17.125000,15.000000,16.500000,2.610039,659420
2000-01-06,17.125000,17.825001,17.125000,17.825001,2.819633,139700
2000-01-07,19.250000,19.250000,18.512501,19.250000,3.045046,890180
2000-01-10,20.787500,20.787500,19.375000,19.687500,3.114251,1191392
2000-01-11,20.000000,20.000000,18.150000,18.587500,2.940250,724084
2000-01-12,19.287500,19.937500,18.312500,18.637501,2.948158,294780
2000-01-13,18.750000,19.225000,17.924999,18.049999,2.855224,527468
2000-01-14,17.775000,18.237499,17.500000,17.924999,2.835451,148564
2000-01-17,17.525000,18.600000,17.500000,17.762501,2.809747,906692
2000-01-18,18.112499,18.250000,17.525000,17.662500,2.793929,343444
2000-01-19,18.625000,19.075001,18.500000,19.075001,3.017363,181000
2000-01-20,20.600000,20.600000,20.600000,20.600000,3.258594,271096
2000-01-21,22.200001,22.200001,19.875000,21.212500,3.355482,1886484
2000-01-24,21.412500,21.475000,19.525000,19.674999,3.112274,727660
2000-01-25,20.700001,20.700001,19.512501,20.275000,3.207184,999252
2000-01-26,null,null,null,null,null,null
2000-01-27,21.900000,21.900000,20.025000,20.275000,3.207184,978980
2000-01-28,21.000000,21.000000,19.500000,19.950001,3.155775,333164
2000-01-31,20.000000,20.000000,18.362499,18.387501,2.908612,497116
2000-02-01,17.975000,18.250000,17.250000,17.600000,2.784041,886004
2000-02-02,18.250000,18.987499,17.975000,18.537500,2.932339,444884
2000-02-03,19.962500,20.025000,19.250000,19.325001,3.056909,1277212
2000-02-04,20.000000,20.000000,19.150000,19.475000,3.080638,833452
2000-02-07,19.750000,20.500000,18.775000,19.212500,3.039114,769764
2000-02-08,18.875000,19.000000,18.062500,18.187500,2.876975,748440
2000-02-09,18.375000,19.000000,18.137501,18.237499,2.884884,321568
2000-02-10,18.299999,18.500000,17.625000,17.799999,2.815678,435100
2000-02-11,18.424999,18.450001,17.262501,17.450001,2.760314,329668
2000-02-14,17.950001,18.000000,16.500000,16.875000,2.669358,607348
2000-02-15,16.262501,16.262501,15.525000,15.550000,2.459764,1054576
2000-02-16,15.512500,16.375000,15.512500,15.762500,2.493379,673876
2000-02-17,16.150000,16.174999,15.512500,15.650000,2.475583,225552
2000-02-18,15.750000,15.750000,14.512500,15.400000,2.436036,217172
2000-02-21,15.250000,15.750000,14.900000,15.025000,2.376718,303180
2000-02-22,15.000000,15.500000,14.000000,14.212500,2.248193,768220
2000-02-23,14.750000,15.225000,14.062500,14.762500,2.335194,454480
2000-02-24,14.937500,15.250000,14.112500,14.500000,2.293671,242620
2000-02-25,14.500000,14.500000,13.625000,13.750000,2.175032,266340
2000-02-28,13.762500,14.362500,13.750000,14.200000,2.246215,244408
2000-02-29,14.700000,14.850000,13.075000,13.250000,2.095941,567696
2000-03-01,13.000000,13.737500,12.750000,12.887500,2.038599,545240
2000-03-02,13.212500,13.437500,12.587500,12.750000,2.016848,317240
2000-03-03,12.250000,12.625000,12.012500,12.437500,1.967416,102320
2000-03-06,12.750000,12.750000,11.450000,11.450000,1.811209,267524
2000-03-07,10.750000,11.750000,10.625000,10.937500,1.730140,572404
