Date,open,high,low,close,adj_close,volume
2002-07-01,5.990000,6.400000,5.990000,6.340000,0.099282,7158
2002-07-02,6.320000,6.500000,6.320000,6.430000,0.100692,2430
2002-07-03,6.310000,6.400000,6.150000,6.155000,0.096385,3700
2002-07-04,6.550000,6.590000,5.810000,6.095000,0.095446,6912
2002-07-05,6.390000,6.390000,6.200000,6.355000,0.099517,5850
2002-07-08,6.410000,6.995000,6.410000,6.995000,0.109539,27400
2002-07-09,6.710000,7.695000,6.710000,7.675000,0.120188,50474
2002-07-10,7.990000,7.990000,6.950000,7.015000,0.109853,18470
2002-07-11,7.000000,7.100000,6.870000,6.915000,0.108287,5178
2002-07-12,6.990000,7.190000,6.755000,7.105000,0.111262,8130
2002-07-15,6.905000,7.000000,6.860000,6.965000,0.109070,1934
2002-07-16,6.705000,7.100000,6.615000,6.895000,0.107973,6548
2002-07-17,6.800000,7.245000,6.800000,7.070000,0.110714,11100
2002-07-18,7.225000,7.620000,7.225000,7.375000,0.115490,27932
2002-07-19,7.195000,7.800000,6.700000,6.880000,0.107738,12620
2002-07-22,6.800000,7.275000,6.600000,6.605000,0.103432,6420
2002-07-23,6.600000,6.900000,6.500000,6.785000,0.106251,3200
2002-07-24,6.600000,6.700000,6.600000,6.700000,0.104920,4530
2002-07-25,6.600000,6.775000,6.215000,6.305000,0.098734,13480
2002-07-26,6.290000,6.300000,6.150000,6.195000,0.097012,2888
2002-07-29,5.925000,6.050000,5.710000,5.900000,0.092392,3700
2002-07-30,5.605000,6.150000,5.605000,5.820000,0.091139,1088
2002-07-31,5.575000,5.945000,5.550000,5.840000,0.091452,2750
2002-08-01,5.900000,5.905000,5.850000,5.895000,0.092314,680
2002-08-02,6.250000,6.250000,5.780000,5.900000,0.092392,2900
2002-08-05,6.120000,6.465000,6.000000,6.240000,0.097716,1990
2002-08-06,6.470000,6.470000,6.200000,6.200000,0.097090,1680
2002-08-07,6.300000,6.515000,6.000000,6.050000,0.094741,4220
2002-08-08,6.000000,6.180000,5.710000,5.890000,0.092235,1330
2002-08-09,6.080000,6.090000,6.080000,6.080000,0.095211,450
2002-08-12,6.590000,6.590000,5.705000,6.280000,0.098343,1824
2002-08-13,6.350000,6.590000,6.250000,6.300000,0.098656,1756
2002-08-14,6.450000,6.450000,6.000000,6.035000,0.094506,1590
2002-08-15,null,null,null,null,null,null
2002-08-16,6.205000,6.205000,6.190000,6.190000,0.096933,2476
2002-08-19,6.015000,6.025000,5.660000,5.940000,0.483852,2054
2002-08-20,5.985000,5.995000,5.800000,5.960000,0.485481,2630
2002-08-21,5.750000,6.045000,5.750000,6.045000,0.492405,810
2002-08-22,5.855000,5.900000,5.855000,5.900000,0.480594,2200
2002-08-23,5.875000,5.875000,5.650000,5.710000,0.465117,802
2002-08-26,5.990000,5.990000,5.600000,5.745000,0.467968,1000
2002-08-27,5.600000,6.000000,5.600000,6.000000,0.488739,300
2002-08-28,5.645000,5.865000,5.645000,5.810000,0.473263,500
2002-08-29,5.700000,5.790000,5.415000,5.785000,0.471226,702
2002-08-30,6.300000,6.300000,5.650000,5.650000,0.460230,190
2002-09-02,5.650000,5.650000,5.650000,5.650000,0.460230,100
2002-09-03,5.600000,5.600000,5.525000,5.540000,0.451269,280
2002-09-04,5.550000,5.550000,5.550000,5.550000,0.452084,200
2002-09-05,5.570000,5.690000,5.305000,5.345000,0.435385,4188
2002-09-06,5.685000,5.790000,5.375000,5.790000,0.471634,1330
2002-09-09,5.650000,5.785000,5.650000,5.700000,0.464302,1500
2002-09-10,null,null,null,null,null,null
2002-09-11,5.450000,5.450000,5.210000,5.350000,0.435792,3600
2002-09-12,5.790000,5.790000,5.400000,5.500000,0.448011,1800
2002-09-13,5.400000,5.400000,5.400000,5.400000,0.439865,1100
2002-09-16,null,null,null,null,null,null
2002-09-17,5.375000,5.375000,5.225000,5.275000,0.429683,300
2002-09-18,5.235000,5.255000,5.235000,5.255000,0.428054,760
2002-09-19,5.250000,5.300000,5.000000,5.110000,0.416243,2434
2002-09-20,null,null,null,null,null,null
2002-09-23,5.295000,5.350000,5.295000,5.350000,0.435792,600
2002-09-24,5.800000,5.800000,5.340000,5.470000,0.445567,9070
2002-09-25,5.600000,5.600000,5.405000,5.450000,0.443938,2288
2002-09-26,5.500000,5.500000,5.300000,5.300000,0.431720,40
2002-09-27,5.300000,5.325000,5.300000,5.325000,0.433756,640
2002-09-30,5.590000,5.590000,5.590000,5.590000,0.455342,200
2002-10-01,5.300000,5.400000,5.300000,5.300000,0.431720,1290
2002-10-02,null,null,null,null,null,null
2002-10-03,5.390000,5.390000,5.200000,5.200000,0.423574,300
2002-10-04,5.500000,5.500000,5.500000,5.500000,0.448011,392
2002-10-07,null,null,null,null,null,null
2002-10-08,null,null,null,null,null,null
2002-10-09,5.400000,5.400000,5.250000,5.390000,0.439051,900
2002-10-10,5.400000,5.400000,5.400000,5.400000,0.439865,200
2002-10-11,5.450000,5.450000,5.250000,5.300000,0.431720,1480
2002-10-14,null,null,null,null,null,null
2002-10-15,null,null,null,null,null,null
2002-10-16,5.210000,5.340000,5.210000,5.260000,0.428461,160
2002-10-17,5.345000,5.400000,5.345000,5.365000,0.437014,200
2002-10-18,5.695000,5.900000,5.400000,5.750000,0.468375,6100
2002-10-21,5.705000,6.000000,5.700000,5.720000,0.465931,2446
2002-10-22,null,null,null,null,null,null
2002-10-23,5.700000,5.700000,5.700000,5.700000,0.464302,400
2002-10-24,5.525000,5.940000,5.520000,5.940000,0.483852,1200
2002-10-25,6.400000,6.400000,5.920000,5.925000,0.482630,500
2002-10-28,5.600000,5.600000,5.600000,5.600000,0.456157,200
2002-10-29,5.800000,5.800000,5.800000,5.800000,0.472448,200
2002-10-30,5.620000,5.620000,5.515000,5.555000,0.452491,800
2002-10-31,5.900000,6.100000,5.700000,5.960000,0.485481,3100
2002-11-01,6.100000,6.100000,5.900000,5.900000,0.480594,500
2002-11-04,5.600000,5.600000,5.600000,5.600000,0.456157,100
2002-11-05,6.160000,6.160000,6.160000,6.160000,0.501772,100
2002-11-06,null,null,null,null,null,null
2002-11-07,6.700000,6.700000,5.900000,5.975000,0.486703,1650
2002-11-08,6.045000,6.045000,5.700000,5.860000,0.477335,900
2002-11-11,5.900000,5.900000,5.895000,5.895000,0.480186,400
2002-11-12,5.710000,5.710000,5.620000,5.620000,0.457786,650
2002-11-13,5.620000,5.620000,5.620000,5.620000,0.457786,400
2002-11-14,5.610000,5.610000,5.400000,5.425000,0.441902,3420
2002-11-15,5.690000,5.690000,5.355000,5.470000,0.445567,1420
2002-11-18,5.500000,5.500000,5.305000,5.400000,0.439865,8850
2002-11-19,null,null,null,null,null,null
2002-11-20,5.840000,5.840000,5.575000,5.745000,0.467968,1500
