Date,open,high,low,close,adj_close,volume
2002-06-28,275.000000,275.000000,247.524994,250.524994,190.370422,1447220
2002-07-01,250.550003,260.950012,246.830002,258.130005,196.149384,1611810
2002-07-02,255.000000,259.899994,252.580002,256.929993,195.237518,379092
2002-07-03,259.450012,273.000000,257.049988,271.500000,206.309052,1710024
2002-07-04,275.000000,277.899994,261.500000,266.279999,202.342422,1151154
2002-07-05,267.500000,269.000000,262.600006,266.649994,202.623566,428138
2002-07-08,271.000000,271.500000,266.380005,268.350006,203.915405,203696
2002-07-09,268.380005,269.000000,265.000000,266.649994,202.623566,83474
2002-07-10,265.000000,268.000000,256.630005,257.929993,195.997391,85028
2002-07-11,256.000000,258.000000,251.149994,252.979996,192.235962,110290
2002-07-12,257.500000,258.950012,251.550003,255.729996,194.325653,124322
2002-07-15,257.500000,257.500000,248.000000,254.100006,193.087051,72726
2002-07-16,256.250000,257.200012,250.529999,255.000000,193.770935,52662
2002-07-17,252.500000,255.000000,250.500000,251.350006,190.997345,37580
2002-07-18,253.000000,257.500000,252.500000,255.300003,193.998886,34492
2002-07-19,247.500000,254.399994,247.500000,251.949997,191.453262,30906
2002-07-22,237.500000,249.000000,237.500000,242.300003,184.120377,22600
2002-07-23,239.000000,244.800003,235.500000,242.580002,184.333130,77808
2002-07-24,239.000000,240.800003,225.500000,229.029999,174.036697,69694
2002-07-25,236.500000,250.000000,232.500000,235.649994,179.067123,109472
2002-07-26,235.630005,235.630005,225.000000,226.300003,171.962219,216618
2002-07-29,228.000000,232.000000,217.630005,227.279999,172.706879,41742
2002-07-30,270.100006,270.100006,228.050003,232.600006,176.749496,199568
2002-07-31,232.500000,234.500000,200.500000,231.479996,175.898407,147114
2002-08-01,235.000000,244.399994,230.580002,242.100006,183.968399,143030
2002-08-02,236.000000,249.500000,232.500000,247.800003,188.299744,142724
2002-08-05,248.080002,258.980011,243.550003,246.550003,187.349884,55396
2002-08-06,247.500000,249.500000,240.500000,246.600006,187.387878,26574
2002-08-07,250.500000,251.830002,244.350006,246.949997,187.653839,47832
2002-08-08,248.500000,249.000000,242.500000,242.850006,184.538300,21200
2002-08-09,247.500000,254.500000,245.029999,247.050003,187.729828,59650
2002-08-12,247.779999,251.699997,247.779999,249.550003,189.629532,24768
2002-08-13,249.000000,251.500000,248.529999,249.899994,189.895493,14000
2002-08-14,241.000000,250.000000,241.000000,248.899994,189.135605,8130
2002-08-15,null,null,null,null,null,null
2002-08-16,251.000000,263.200012,251.000000,259.450012,197.152420,244772
2002-08-19,260.500000,265.000000,258.529999,261.429993,198.657013,69170
2002-08-20,263.500000,265.950012,255.500000,263.980011,200.594696,73486
2002-08-21,261.000000,265.950012,258.049988,261.700012,198.862183,42898
2002-08-22,250.000000,263.480011,250.000000,258.950012,196.772476,21096
2002-08-23,258.630005,266.250000,258.630005,265.700012,201.901703,53938
2002-08-26,263.500000,276.000000,262.549988,267.079987,202.950333,206454
2002-08-27,270.000000,273.500000,260.529999,261.480011,199.629303,109832
2002-08-28,262.000000,262.000000,254.130005,255.779999,195.277573,70208
2002-08-29,252.550003,264.429993,252.550003,262.000000,200.026306,67034
2002-08-30,263.500000,272.450012,262.500000,271.079987,206.958466,108512
2002-09-02,276.200012,287.850006,271.250000,281.329987,214.783951,599052
2002-09-03,282.500000,282.700012,272.500000,276.679993,211.233871,187556
2002-09-04,270.549988,292.450012,270.549988,289.549988,221.059570,683370
2002-09-05,290.000000,292.950012,279.500000,281.429993,214.860306,333282
2002-09-06,275.500000,283.399994,270.029999,277.700012,212.012604,203694
2002-09-09,278.980011,288.450012,275.549988,285.630005,218.066849,162166
2002-09-10,null,null,null,null,null,null
2002-09-11,287.779999,301.000000,286.549988,296.630005,226.464905,464956
2002-09-12,299.880005,306.350006,295.500000,298.649994,228.007050,487628
2002-09-13,292.500000,297.450012,289.730011,291.299988,222.395645,165750
2002-09-16,295.000000,302.399994,289.049988,290.600006,221.861221,153146
2002-09-17,292.500000,299.000000,292.500000,296.130005,226.083160,130310
2002-09-18,293.000000,295.000000,285.799988,288.500000,220.257965,86432
2002-09-19,291.000000,293.500000,275.000000,278.579987,212.684418,263146
2002-09-20,235.000000,282.399994,235.000000,279.299988,213.234131,340460
2002-09-23,280.630005,288.649994,280.630005,283.829987,216.692596,149450
2002-09-24,281.950012,281.950012,274.679993,279.399994,213.310486,122182
2002-09-25,275.000000,289.000000,270.049988,287.480011,219.479218,141390
2002-09-26,290.000000,294.000000,285.549988,288.730011,220.433563,81674
2002-09-27,289.000000,292.000000,277.500000,283.600006,216.516998,144436
2002-09-30,280.500000,284.250000,277.230011,277.950012,212.203491,90986
2002-10-01,282.500000,289.450012,276.730011,286.230011,218.524918,142444
2002-10-02,null,null,null,null,null,null
2002-10-03,285.000000,291.250000,284.000000,285.179993,217.723267,113922
2002-10-04,286.500000,289.500000,285.000000,286.399994,218.654694,49510
2002-10-07,287.500000,289.500000,281.299988,283.980011,216.807144,49680
2002-10-08,280.049988,290.500000,280.049988,289.450012,220.983231,58074
2002-10-09,292.500000,293.480011,285.049988,286.329987,218.601212,53026
2002-10-10,284.000000,297.850006,283.000000,294.980011,225.205200,154956
2002-10-11,299.500000,311.250000,297.529999,302.429993,230.892929,473348
2002-10-14,305.000000,309.399994,298.049988,303.899994,232.015228,180564
2002-10-15,null,null,null,null,null,null
2002-10-16,307.500000,310.000000,298.000000,300.480011,229.404221,188368
2002-10-17,301.500000,307.399994,300.500000,305.480011,233.221466,109640
2002-10-18,304.329987,311.000000,304.329987,308.579987,235.588226,178612
2002-10-21,311.049988,314.450012,308.049988,309.299988,236.137894,136610
2002-10-22,308.049988,311.450012,304.000000,305.600006,233.313110,68206
2002-10-23,295.029999,313.000000,295.000000,309.399994,236.214233,146646
2002-10-24,310.000000,312.000000,303.000000,307.950012,235.107208,69226
2002-10-25,309.000000,309.000000,298.799988,301.450012,230.144791,87910
2002-10-28,300.500000,305.000000,292.500000,297.000000,226.747375,107094
2002-10-29,299.000000,307.480011,286.130005,301.179993,229.938614,135982
2002-10-30,261.779999,306.350006,261.779999,300.929993,229.747772,35754
2002-10-31,302.000000,308.850006,300.049988,305.950012,233.580322,35870
2002-11-01,304.500000,314.000000,304.079987,309.730011,236.466202,111982
2002-11-04,312.500000,315.000000,308.529999,313.429993,239.291000,30176
2002-11-05,314.500000,317.450012,311.600006,314.730011,240.283508,31988
2002-11-06,null,null,null,null,null,null
2002-11-07,314.500000,317.500000,306.500000,310.250000,236.863144,43656
2002-11-08,305.000000,311.929993,305.000000,306.950012,234.343796,27686
2002-11-11,306.500000,315.500000,302.549988,312.230011,238.374863,82044
2002-11-12,306.000000,312.950012,306.000000,312.179993,238.336685,54158
2002-11-13,314.500000,345.500000,313.679993,318.399994,243.085373,608258
2002-11-14,323.500000,338.250000,316.130005,336.799988,257.132996,631970
2002-11-15,337.649994,347.500000,337.649994,341.829987,260.973236,335028
2002-11-18,339.950012,347.000000,334.079987,343.350006,262.133698,192844
2002-11-19,null,null,null,null,null,null
2002-11-20,341.500000,359.000000,339.000000,355.049988,271.066193,305172
2002-11-21,357.500000,362.450012,345.500000,350.079987,267.271729,255940
2002-11-22,354.500000,361.000000,338.000000,340.200012,259.728790,339134
2002-11-25,341.000000,347.500000,340.750000,342.899994,261.790131,94288
2002-11-26,342.000000,354.929993,342.000000,352.029999,268.760498,243538
2002-11-27,352.549988,361.000000,346.250000,357.549988,272.974762,187746
2002-11-28,362.500000,369.000000,356.630005,366.529999,279.830658,271800
2002-11-29,368.500000,368.500000,356.000000,363.730011,277.692963,154198
2002-12-02,363.500000,366.500000,361.500000,365.049988,278.700745,88440
2002-12-03,367.500000,372.500000,342.500000,348.700012,266.218231,224286
2002-12-04,352.500000,354.350006,343.000000,344.730011,263.187256,106416
2002-12-05,353.500000,358.399994,346.000000,351.000000,267.974152,69834
2002-12-06,355.000000,360.000000,355.000000,358.799988,273.929138,60038
2002-12-09,362.500000,367.500000,355.000000,358.480011,273.684814,92948
2002-12-10,354.899994,357.380005,347.500000,349.750000,267.019836,126202
2002-12-11,354.380005,364.500000,354.380005,359.730011,274.639160,100606
2002-12-12,365.000000,373.450012,361.549988,368.730011,281.510284,233798
2002-12-13,370.730011,372.329987,365.500000,368.200012,281.105621,72350
2002-12-16,371.000000,371.100006,357.049988,360.950012,275.570557,67824
2002-12-17,360.049988,365.250000,352.549988,361.579987,276.051544,72882
2002-12-18,360.000000,369.000000,357.250000,368.279999,281.166718,73882
2002-12-19,368.049988,368.049988,360.579987,365.880005,279.334442,71752
2002-12-20,366.500000,380.000000,366.029999,378.579987,289.030365,210664
2002-12-23,379.500000,397.000000,374.079987,392.929993,299.985992,224226
2002-12-24,394.500000,417.000000,391.049988,412.649994,315.041443,534554
2002-12-25,null,null,null,null,null,null
2002-12-26,414.350006,423.450012,407.549988,409.679993,312.773926,305902
2002-12-27,411.700012,421.000000,409.980011,417.850006,319.011444,256584
2002-12-30,416.000000,447.200012,413.000000,441.730011,337.242828,679590
