Date,open,high,low,close,adj_close,volume
2002-07-01,15.450000,15.650000,14.850000,15.050000,13.474917,4773
2002-07-02,14.600000,15.300000,14.050000,14.250000,12.758643,2120
2002-07-03,13.500000,14.300000,13.350000,13.400000,11.997601,5450
2002-07-04,13.200000,13.950000,13.050000,13.500000,12.087133,3286
2002-07-05,13.950000,13.950000,13.650000,13.800000,12.355739,2301
2002-07-08,14.400000,14.500000,13.600000,14.000000,12.534807,3550
2002-07-09,13.550000,13.800000,13.350000,13.350000,11.952834,3200
2002-07-10,13.100000,13.100000,12.050000,12.100000,10.833655,1445
2002-07-11,12.750000,13.350000,11.500000,11.950000,10.699352,4352
2002-07-12,11.400000,11.400000,11.350000,11.400000,10.206913,300
2002-07-15,11.400000,11.600000,11.400000,11.600000,10.385983,600
2002-07-16,11.050000,11.150000,11.050000,11.150000,9.983078,150
2002-07-17,10.600000,10.700000,10.600000,10.700000,9.580173,161
2002-07-18,10.750000,10.750000,10.100000,10.600000,9.490640,416
2002-07-19,10.000000,10.500000,10.000000,10.500000,9.401105,400
2002-07-22,null,null,null,null,null,null
2002-07-23,10.250000,10.700000,9.500000,10.700000,9.580173,301
2002-07-24,9.900000,9.900000,9.900000,9.900000,8.863899,5
2002-07-25,10.250000,10.250000,9.100000,9.100000,8.147626,600
2002-07-26,null,null,null,null,null,null
2002-07-29,null,null,null,null,null,null
2002-07-30,9.000000,9.000000,8.200000,8.200000,7.341815,110
2002-07-31,7.400000,7.400000,7.400000,7.400000,6.625541,1000
2002-08-01,7.300000,8.150000,7.300000,7.500000,6.715075,402
2002-08-02,8.250000,8.250000,7.050000,7.050000,6.312171,152
2002-08-05,6.350000,6.350000,6.350000,6.350000,5.685431,1
2002-08-06,7.000000,7.000000,7.000000,7.000000,6.267404,899
2002-08-07,7.700000,7.700000,7.700000,7.700000,6.894144,1
2002-08-08,8.400000,8.400000,7.550000,7.550000,6.759842,553
2002-08-09,8.250000,8.250000,7.050000,7.500000,6.715075,306
2002-08-12,8.200000,8.200000,8.200000,8.200000,7.341815,1
2002-08-13,8.700000,8.700000,7.450000,8.050000,7.207514,611
2002-08-14,7.350000,7.350000,7.350000,7.350000,6.580773,1
2002-08-15,null,null,null,null,null,null
2002-08-16,7.700000,7.700000,7.700000,7.700000,6.894144,200
2002-08-19,7.050000,7.050000,7.050000,7.050000,6.312171,1
2002-08-20,7.100000,7.100000,6.500000,6.500000,5.819732,201
2002-08-21,6.150000,6.150000,6.150000,6.150000,5.506362,1
2002-08-22,6.500000,6.500000,6.300000,6.300000,5.640663,101
2002-08-23,5.700000,6.150000,5.700000,6.150000,5.506362,101
2002-08-26,5.600000,6.750000,5.600000,6.750000,6.043567,302
2002-08-27,7.400000,7.400000,6.500000,6.550000,5.864500,304
2002-08-28,7.150000,7.150000,6.500000,7.100000,6.356938,143
2002-08-29,7.750000,7.750000,6.500000,6.500000,5.819732,401
2002-08-30,5.900000,7.000000,5.900000,7.000000,6.267404,851
2002-09-02,6.350000,6.500000,6.350000,6.450000,5.774965,201
2002-09-03,6.100000,7.050000,6.100000,7.050000,6.312171,702
2002-09-04,7.750000,7.750000,6.350000,7.300000,6.536007,553
2002-09-05,8.000000,8.000000,6.600000,6.750000,6.043567,820
2002-09-06,6.100000,6.900000,6.100000,6.100000,5.461594,3613
2002-09-09,6.700000,6.700000,5.500000,5.950000,5.327293,1116
2002-09-10,null,null,null,null,null,null
2002-09-11,6.500000,6.500000,5.500000,6.200000,5.551128,102
2002-09-12,6.800000,6.800000,5.600000,5.750000,5.148223,1968
2002-09-13,6.300000,6.300000,5.250000,5.250000,4.700552,504
2002-09-16,5.450000,5.500000,4.750000,5.200000,4.655785,1036
2002-09-17,5.650000,5.650000,5.000000,5.200000,4.655785,415
2002-09-18,5.700000,5.700000,5.000000,5.400000,4.834855,52
2002-09-19,5.900000,5.900000,4.900000,5.100000,4.566251,940
2002-09-20,5.600000,5.600000,5.150000,5.250000,4.700552,2320
2002-09-23,5.750000,5.750000,4.850000,5.000000,4.476717,732
2002-09-24,5.500000,5.500000,5.200000,5.350000,4.790087,7
2002-09-25,5.750000,5.750000,4.850000,5.150000,4.611018,1103
2002-09-26,5.650000,5.650000,5.650000,5.650000,5.058690,1
2002-09-27,6.200000,6.200000,5.650000,5.650000,5.058690,2
2002-09-30,6.200000,6.200000,5.750000,5.850000,5.237759,8
2002-10-01,6.400000,6.400000,6.400000,6.400000,5.730198,1
2002-10-02,null,null,null,null,null,null
2002-10-03,7.000000,7.000000,5.800000,5.800000,5.192992,3
2002-10-04,5.250000,5.400000,5.250000,5.400000,4.834855,501
2002-10-07,5.900000,5.900000,5.000000,5.350000,4.790087,202
2002-10-08,5.900000,5.900000,5.900000,5.900000,5.282526,1
2002-10-09,6.450000,6.450000,5.350000,5.700000,5.103456,24
2002-10-10,5.250000,5.250000,5.150000,5.150000,4.611018,300
2002-10-11,5.650000,5.650000,5.050000,5.450000,4.879622,136
2002-10-14,5.950000,5.950000,5.950000,5.950000,5.327293,1
2002-10-15,null,null,null,null,null,null
2002-10-16,6.500000,6.500000,6.500000,6.500000,5.819732,1
2002-10-17,7.150000,7.150000,7.150000,7.150000,6.401705,1
2002-10-18,null,null,null,null,null,null
2002-10-21,7.850000,7.850000,7.850000,7.850000,7.028445,1
2002-10-22,8.600000,8.600000,8.600000,8.600000,7.699953,1
2002-10-23,null,null,null,null,null,null
2002-10-24,9.450000,9.450000,9.450000,9.450000,8.460994,1
2002-10-25,8.500000,8.500000,8.500000,8.500000,7.610418,100
2002-10-28,null,null,null,null,null,null
2002-10-29,null,null,null,null,null,null
2002-10-30,7.650000,7.650000,7.650000,7.650000,6.849377,100
2002-10-31,6.900000,6.900000,6.900000,6.900000,6.177869,100
2002-11-01,7.550000,7.550000,6.250000,6.250000,5.595895,2
2002-11-04,null,null,null,null,null,null
2002-11-05,6.850000,6.850000,5.650000,5.650000,5.058690,6
2002-11-06,null,null,null,null,null,null
2002-11-07,6.200000,6.200000,6.200000,6.200000,5.551128,1
2002-11-08,null,null,null,null,null,null
2002-11-11,5.600000,5.600000,5.600000,5.600000,5.013922,190
2002-11-12,5.100000,5.150000,5.100000,5.100000,4.566251,26
2002-11-13,5.650000,5.650000,5.000000,5.100000,4.566251,21
2002-11-14,5.600000,5.600000,5.600000,5.600000,5.013922,1
2002-11-15,null,null,null,null,null,null
2002-11-18,6.150000,6.150000,5.300000,5.300000,4.745320,3
2002-11-19,null,null,null,null,null,null
2002-11-20,5.800000,5.800000,5.800000,5.800000,5.192992,1
2002-11-21,6.350000,6.350000,5.500000,5.550000,4.969156,4
2002-11-22,6.050000,6.050000,6.050000,6.050000,5.416828,1
2002-11-25,5.450000,5.500000,5.450000,5.500000,4.924389,20
2002-11-26,5.800000,5.800000,5.000000,5.000000,4.476717,603
2002-11-27,5.500000,5.500000,5.050000,5.400000,4.834855,214
2002-11-28,5.850000,5.850000,4.900000,5.000000,4.476717,602
2002-11-29,5.500000,5.500000,5.350000,5.500000,4.924389,750
2002-12-02,5.000000,6.050000,5.000000,6.050000,5.416828,1873
2002-12-03,6.500000,6.500000,5.550000,5.900000,5.282526,2000
2002-12-04,5.900000,5.900000,5.900000,5.900000,5.282526,605
2002-12-05,5.500000,5.500000,5.350000,5.500000,4.924389,601
2002-12-06,null,null,null,null,null,null
2002-12-09,5.050000,5.300000,5.050000,5.300000,4.745320,901
2002-12-10,4.400000,4.400000,4.400000,4.400000,3.939511,1
2002-12-11,5.000000,5.300000,4.950000,5.300000,4.745320,301
2002-12-12,4.800000,6.250000,4.800000,4.950000,4.431950,626
2002-12-13,4.600000,4.600000,4.600000,4.600000,4.118578,100
2002-12-16,4.750000,5.400000,4.750000,4.950000,4.431950,457
2002-12-17,4.650000,5.600000,4.650000,5.600000,5.013922,552
2002-12-18,null,null,null,null,null,null
2002-12-19,6.000000,6.000000,4.600000,4.750000,4.252880,262
2002-12-20,5.500000,5.500000,5.150000,5.150000,4.611018,2
2002-12-23,null,null,null,null,null,null
2002-12-24,5.000000,5.000000,5.000000,5.000000,4.476717,100
2002-12-25,null,null,null,null,null,null
2002-12-26,4.900000,4.900000,4.900000,4.900000,4.387183,100
2002-12-27,null,null,null,null,null,null
2002-12-30,5.000000,5.000000,5.000000,5.000000,4.476717,150
2002-12-31,null,null,null,null,null,null
2003-01-01,4.600000,4.600000,4.600000,4.600000,4.118578,200
2003-01-02,5.000000,5.000000,5.000000,5.000000,4.476717,110
2003-01-03,4.600000,5.100000,4.600000,5.050000,4.521485,102
2003-01-06,4.500000,5.200000,4.500000,4.600000,4.118578,1502
2003-01-07,null,null,null,null,null,null
2003-01-08,4.300000,5.000000,4.300000,4.550000,4.073813,150
2003-01-09,4.850000,4.950000,4.850000,4.950000,4.431950,150
2003-01-10,5.000000,5.000000,4.950000,5.000000,4.476717,60
2003-01-13,4.950000,5.000000,4.950000,5.000000,4.476717,500
2003-01-14,5.200000,5.400000,4.550000,5.350000,4.790087,601
2003-01-15,5.600000,5.750000,4.800000,5.150000,4.611018,1057
2003-01-16,5.000000,5.050000,5.000000,5.000000,4.476717,345
