Date,open,high,low,close,adj_close,volume
2010-04-06,180.800003,223.649994,180.800003,203.175003,171.203400,29890642
2010-04-07,204.000000,205.250000,196.375000,201.274994,169.602371,7656100
2010-04-08,200.000000,215.949997,199.149994,207.149994,174.552856,16736458
2010-04-09,207.500000,209.925003,204.149994,205.300003,172.993988,3160216
2010-04-12,205.899994,207.625000,197.800003,200.675003,169.096802,1546928
2010-04-13,200.000000,204.949997,198.500000,200.100006,168.612259,1673172
2010-04-15,202.000000,204.399994,197.800003,198.975006,167.664307,1256608
2010-04-16,198.949997,202.000000,197.500000,200.050003,168.570145,791808
2010-04-19,198.500000,199.925003,192.500000,195.449997,164.693970,684288
2010-04-20,196.000000,198.399994,192.500000,196.350006,165.452332,364116
2010-04-21,197.000000,206.425003,196.774994,201.324997,169.644501,1821970
2010-04-22,200.000000,204.699997,199.050003,200.550003,168.991455,750496
2010-04-23,200.800003,203.949997,196.649994,198.175003,166.990173,488752
2010-04-26,201.050003,205.500000,199.500000,200.975006,169.349579,864868
2010-04-27,201.500000,201.899994,196.399994,197.250000,166.210770,365768
2010-04-28,202.750000,205.000000,191.274994,192.475006,162.187180,242528
2010-04-29,193.500000,200.750000,193.500000,198.475006,167.242981,447320
2010-04-30,199.000000,202.949997,198.000000,199.324997,167.959213,475910
2010-05-03,197.399994,201.300003,197.399994,199.774994,169.614838,441704
2010-05-04,199.500000,202.225006,196.000000,196.574997,166.897903,347874
2010-05-05,194.500000,199.300003,180.100006,198.225006,168.298813,274078
2010-05-06,198.949997,199.500000,192.125000,193.225006,164.053680,200326
2010-05-07,191.500000,192.449997,187.500000,188.074997,159.681168,190912
2010-05-10,192.500000,194.500000,189.975006,193.625000,164.393295,135854
2010-05-11,194.449997,194.449997,190.500000,191.149994,162.291916,109142
2010-05-12,191.000000,192.500000,188.675003,189.925003,161.251892,168864
2010-05-13,190.125000,193.500000,189.000000,190.800003,161.994781,127534
2010-05-14,189.524994,192.925003,187.699997,190.000000,161.315567,120790
2010-05-17,188.500000,190.375000,187.550003,189.149994,160.593887,97132
2010-05-18,187.600006,198.824997,187.600006,193.274994,164.096146,272212
2010-05-19,192.500000,195.250000,188.500000,189.024994,160.487747,208592
2010-05-20,190.000000,193.850006,188.500000,189.074997,160.530228,103062
2010-05-21,187.550003,191.750000,182.600006,189.925003,161.251892,128022
2010-05-24,191.425003,193.500000,189.000000,189.149994,160.593887,77542
2010-05-25,186.550003,192.399994,182.500000,183.425003,155.733200,293074
2010-05-26,184.250000,187.449997,182.500000,184.750000,156.858139,84496
2010-05-27,185.625000,186.750000,183.774994,185.399994,157.410034,102590
2010-05-28,186.475006,190.000000,186.050003,189.600006,160.975983,97224
2010-05-31,189.250000,194.475006,188.000000,193.399994,164.202255,75504
2010-06-01,191.500000,196.500000,190.050003,193.375000,164.181061,115420
2010-06-02,193.949997,195.100006,189.449997,194.274994,164.945175,90578
